Gid	Name	CPM-nCoV1	CPM-nCoV2	CPM-Ctrl1	CPM-Ctrl2	CPM-Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000225972.1	MTND1P23	30.6008	19.3789	0.5418	0.3769	0.3743	152.0732	7.3583	0.5049	14.5732	0	0	Up
ENSG00000225630.1	MTND2P28	323.1444	484.8249	93.5189	1.7477	94.7531	2332.1035	4.0732	1.0125	4.0227	1e-4	3e-4	NC
ENSG00000237973.1	MTCO1P12	194.621	227.2617	46.4293	46.3986	50.4551	1255.2374	3.5619	0.2527	14.0977	0	0	Up
ENSG00000229344.1	MTCO2P12	10.6083	11.275	0.6942	0.9595	0.5802	74.7604	5.4989	0.5957	9.231	0	0	Up
ENSG00000248527.1	MTATP6P1	2800.9924	2344.1425	323.193	126.8936	123.9482	13859.7993	5.088	0.387	13.1477	0	0	Up
ENSG00000198744.5	MTCO3P12	17.1364	22.55	1.8965	0.8567	0.9919	150.7178	5.8118	0.8278	7.0207	0	0	Up
ENSG00000228794.9	LINC01128	14.6884	5.6375	12.6825	15.1806	10.7049	62.7779	0.7907	0.4406	1.7948	0.0727	0.1361	NC
ENSG00000187608.10	ISG15	122.8112	220.2148	83.8165	89.456	71.0789	1041.5455	2.432	0.3994	6.0887	0	0	NC
ENSG00000078808.17	SDF4	5.7121	6.3422	189.8824	168.0149	179.1757	319.4799	-3.4148	0.433	-7.8858	0	0	Down
ENSG00000160087.20	UBE2J2	5.7121	10.218	42.1622	35.1073	40.2181	97.5354	-1.0869	0.5703	-1.9058	0.0567	0.1106	NC
ENSG00000127054.20	INTS11	9.3842	5.2852	75.1639	65.4515	69.1325	140.9271	-2.0163	0.3038	-6.6375	0	0	NC
ENSG00000175756.13	AURKAIP1	12.2403	21.1406	37.8275	30.7211	35.9512	135.7111	0.2053	0.4043	0.5077	0.6117	0.7604	NC
ENSG00000221978.12	CCNL2	53.8574	14.4461	157.9983	161.4698	158.6268	422.1595	-0.9417	0.4866	-1.9354	0.0529	0.1043	NC
ENSG00000242485.6	MRPL20	33.0489	20.0836	49.9174	47.478	51.6155	209.6991	0.3728	0.1711	2.1792	0.0293	0.0649	NC
ENSG00000160075.12	SSU72	66.5057	54.9656	119.9507	111.97	136.562	485.2092	0.2353	0.1763	1.3341	0.1822	0.2921	NC
ENSG00000228594.4	FNDC10	7.3442	1.4094	14.6298	11.9252	11.9775	40.3814	-0.3437	0.4553	-0.7548	0.4503	0.611	NC
ENSG00000248333.8	CDK11B	8.5682	4.5805	36.0665	31.8005	33.7428	94.5274	-0.9133	0.4692	-1.9468	0.0516	0.102	NC
ENSG00000189339.12	SLC35E2B	16.3204	13.3891	57.6556	41.8924	44.0734	159.7264	-0.2867	0.373	-0.7687	0.4421	0.6019	NC
ENSG00000215790.7	SLC35E2A	8.1602	6.6945	7.3488	23.422	22.4391	62.4113	-0.0426	0.5986	-0.0712	0.9433	0.9691	NC
ENSG00000008130.15	NADK	18.7685	158.2023	148.9224	156.3296	152.2637	759.1756	0.714	0.8953	0.7975	0.4251	0.5835	NC
ENSG00000078369.18	GNB1	153.412	76.8109	648.1978	614.4042	649.5539	1579.2552	-1.1876	0.2116	-5.6124	0	0	NC
ENSG00000157933.10	SKI	71.8099	38.0531	220.3612	203.3964	257.6656	627.8199	-0.7891	0.2051	-3.8479	1e-4	5e-4	NC
ENSG00000157916.20	RER1	38.353	14.4461	149.7521	141.0976	145.3206	345.9509	-1.3004	0.3287	-3.9557	1e-4	3e-4	NC
ENSG00000158109.15	TPRG1L	3.2641	22.55	99.4961	87.1944	84.0482	211.0911	-1.4177	0.8188	-1.7316	0.0834	0.1525	NC
ENSG00000116213.16	WRAP73	9.7923	5.6375	46.8187	47.5466	40.2556	106.9833	-1.2698	0.2715	-4.6772	0	0	NC
