Gid	Name	CPM-N1	CPM-N2	CPM-N3	CPM-P1	CPM-P2	CPM-P3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000223972.5	DDX11L1	9.7897	0.2495	12.1383	0.3694	1.1709	3.0721	363.0088	-2.023	0.9105	-2.2218	0.0263	0.1389	NC
ENSG00000227232.5	WASH7P	52.3204	37.4144	48.7229	24.1511	47.8639	52.4723	4435.2268	0.0592	0.2674	0.2213	0.8248	0.922	NC
ENSG00000238009.6	AL627309.1	4.4384	0.8733	2.0545	1.6006	2.1702	2.8423	229.1134	0.2491	0.4838	0.5149	0.6067	0.795	NC
ENSG00000233750.3	CICP27	20.9625	3.1642	7.7844	7.4122	8.4198	9.4886	948.0032	0.1701	0.563	0.3022	0.7625	0.8885	NC
ENSG00000268903.1	AL627309.6	252.9783	19.7563	96.2206	65.4106	80.1858	84.2143	9525.0317	-0.1363	0.6605	-0.2064	0.8365	0.9282	NC
ENSG00000269981.1	AL627309.7	87.3483	4.6045	27.6693	33.7919	36.8264	40.9243	3831.3884	0.4819	0.7388	0.6522	0.5142	0.7324	NC
ENSG00000239906.1	AL627309.2	47.0685	4.1168	15.4368	23.6217	19.6214	21.2238	2266.8106	0.5869	0.6947	0.8448	0.3982	0.646	NC
ENSG00000241860.7	AL627309.5	465.6677	25.9031	113.0333	229.6543	196.0421	289.9931	22514.6543	0.8311	0.7578	1.0968	0.2727	0.5281	NC
ENSG00000241599.1	AL627309.4	1.7898	0.2835	0.6785	0.8126	0.9471	0.9701	93.1025	0.4815	0.5945	0.8099	0.418	0.6618	NC
ENSG00000279928.2	FO538757.1	3.5977	0.0227	4.7121	0.0739	0.7607	0.4	129.2177	-2.4102	1.107	-2.1772	0.0295	0.1495	NC
ENSG00000279457.4	WASH9P	58.7746	46.2378	52.2098	30.4613	60.5123	68.5305	5390.8556	0.2059	0.2965	0.6944	0.4875	0.7128	NC
