Gene Module seed_gene
100 4022 0
10010 4022 0
100132285 4022 0
100132476 4022 0
100133941 4022 0
10019 4022 0
10047 4022 0
10061 4022 0
10062 4022 0
10066 4022 0
10077 4022 0
10079 4022 0
10123 4022 0
10135 4022 0
10148 4022 1
10158 4022 0
10161 4022 0
10170 4022 0
10181 4022 0
10199 4022 0
10215 4022 1
10219 4022 0
10221 4022 0
10246 4022 0
10276 4022 0
10291 4022 0
10296 4022 0
10308 4022 0
10319 4022 0
1032 4022 0
10321 4022 0
10346 4022 0
10351 4022 0
10365 4022 0
10370 4022 0
10379 4022 0
10389 4022 0
10390 4022 0
10397 4022 0
10409 4022 0
10443 4022 0
10472 4022 0
10479 4022 0
10482 4022 0
10483 4022 0
1051 4022 0
10519 4022 0
1053 4022 1
10538 4022 0
10548 4022 0
10549 4022 0
10553 4022 0
10559 4022 0
10562 4022 0
10563 4022 0
10603 4022 0
10616 4022 0
10625 4022 1
10626 4022 0
10633 4022 0
10644 4022 0
10661 4022 0
10669 4022 0
10682 4022 0
10683 4022 0
10694 4022 0
10724 4022 0
10734 4022 0
10747 4022 0
10750 4022 0
10771 4022 0
10803 4022 0
10825 4022 0
10857 4022 0
1088 4022 0
10882 4022 0
1089 4022 0
10916 4022 0
10924 4022 0
10928 4022 0
10943 4022 0
10945 4022 0
10947 4022 0
10960 4022 0
10981 4022 0
11005 4022 0
11009 4022 0
1102 4022 0
11024 4022 0
11026 4022 0
11033 4022 0
11034 4022 0
11040 4022 1
1105 4022 0
1109 4022 0
11104 4022 0
1112 4022 0
11126 4022 0
11133 4022 0
11136 4022 0
11138 4022 0
11141 4022 0
11145 4022 0
1116 4022 0
11174 4022 0
1118 4022 0
11199 4022 0
1120 4022 0
11226 4022 0
11231 4022 0
112398 4022 0
112399 4022 0
11251 4022 0
11282 4022 0
113146 4022 0
11336 4022 0
1135 4022 0
1136 4022 0
113791 4022 0
1152 4022 0
115207 4022 0
1154 4022 0
115653 4022 0
116039 4022 0
116496 4022 0
1178 4022 1
118 4022 0
1191 4022 0
120 4022 0
1215 4022 0
122704 4022 0
1232 4022 0
1233 4022 0
123872 4022 0
124 4022 0
1265 4022 0
128 4022 0
1299 4022 0
1311 4022 0
1316 4022 0
1317 4022 0
1318 4022 0
133 4022 0
1349 4022 0
1359 4022 0
136 4022 0
1361 4022 0
1370 4022 0
1380 4022 0
1382 4022 0
1387 4022 0
1390 4022 0
1393 4022 0
1396 4022 0
140462 4022 0
1410 4022 0
1437 4022 0
1440 4022 0
1445 4022 0
1453 4022 0
1455 4022 0
1462 4022 0
146227 4022 0
1466 4022 0
1471 4022 0
1482 4022 0
1490 4022 0
1491 4022 0
1493 4022 0
149628 4022 0
150094 4022 0
1509 4022 0
151011 4022 0
1511 4022 0
1515 4022 0
1521 4022 0
1528 4022 0
154 4022 0
1545 4022 0
1548 4022 0
155066 4022 0
1579 4022 0
16 4022 0
1604 4022 0
1608 4022 0
1612 4022 0
162427 4022 0
1627 4022 0
1634 4022 0
1638 4022 0
1647 4022 0
166 4022 0
1666 4022 0
1669 4022 0
1675 4022 0
1690 4022 0
169611 4022 0
170680 4022 0
171220 4022 0
171558 4022 0
1717 4022 0
1718 4022 0
173 4022 0
1733 4022 0
1738 4022 0
1746 4022 0
1748 4022 0
1755 4022 0
1776 4022 0
1777 4022 0
1791 4022 0
1807 4022 0
181 4022 0
1825 4022 0
1844 4022 0
1848 4022 0
1854 4022 0
189 4022 0
1893 4022 0
19 4022 0
192683 4022 0
1936 4022 0
1939 4022 0
1959 4022 0
1960 4022 0
1978 4022 0
1991 4022 0
2 4022 0
200734 4022 0
2012 4022 0
2013 4022 0
2015 4022 0
201562 4022 0
2020 4022 0
2026 4022 1
2030 4022 0
2039 4022 0
2051 4022 0
2052 4022 0
2059 4022 0
2072 4022 0
2081 4022 1
210 4022 0
214 4022 0
2147 4022 0
2151 4022 0
2152 4022 0
2153 4022 0
2160 4022 0
2165 4022 0
2168 4022 0
217 4022 1
2170 4022 0
2173 4022 0
2178 4022 0
2181 4022 0
2186 4022 0
220 4022 0
2205 4022 0
2206 4022 0
2208 4022 0
221037 4022 0
2217 4022 0
222487 4022 1
222642 4022 0
2235 4022 0
2243 4022 0
2244 4022 0
2267 4022 0
2272 4022 0
22798 4022 0
22822 4022 0
22828 4022 0
22838 4022 0
2286 4022 0
22876 4022 0
22882 4022 0
22903 4022 0
2296 4022 0
2297 4022 0
2303 4022 0
23030 4022 0
23042 4022 0
23067 4022 0
2308 4022 0
23089 4022 0
23090 4022 0
23111 4022 0
23118 4022 0
2312 4022 0
23130 4022 0
23158 4022 0
23179 4022 0
23199 4022 0
23200 4022 0
23213 4022 0
23220 4022 0
23231 4022 0
23237 4022 0
23258 4022 0
2327 4022 0
23313 4022 0
23314 4022 0
23328 4022 0
23336 4022 0
23338 4022 0
2334 4022 0
23379 4022 0
23382 4022 0
23429 4022 0
23462 4022 0
23475 4022 0
23480 4022 0
23484 4022 0
23515 4022 0
23516 4022 0
2352 4022 0
23528 4022 0
2353 4022 0
23533 4022 0
23558 4022 0
23569 4022 1
23588 4022 0
23597 4022 0
23625 4022 0
23645 4022 0
23657 4022 1
23670 4022 0
23682 4022 0
23683 4022 0
23753 4022 0
23764 4022 1
23769 4022 0
239 4022 0
24140 4022 0
246 4022 0
249 4022 0
2529 4022 0
2530 4022 0
253782 4022 0
2539 4022 0
2563 4022 0
25777 4022 0
2581 4022 0
2582 4022 0
25825 4022 0
25858 4022 0
25893 4022 0
25948 4022 0
25963 4022 0
25966 4022 0
25976 4022 0
25984 4022 0
26 4022 0
260294 4022 0
26112 4022 0
26119 4022 0
26227 4022 0
26228 4022 0
2623 4022 0
26253 4022 0
26275 4022 0
26279 4022 0
2628 4022 0
26286 4022 0
2643 4022 0
2644 4022 0
26472 4022 0
2649 4022 0
26499 4022 0
26502 4022 0
26511 4022 0
26585 4022 0
2662 4022 0
2673 4022 0
26959 4022 0
26999 4022 1
27018 4022 0
27044 4022 0
271 4022 0
27112 4022 0
2717 4022 0
27181 4022 0
272 4022 0
27232 4022 0
27242 4022 0
27246 4022 0
27250 4022 0
27290 4022 0
2730 4022 0
27302 4022 0
27347 4022 0
27350 4022 0
2760 4022 0
2771 4022 0
2773 4022 0
2786 4022 0
2805 4022 0
2815 4022 0
28231 4022 1
2835 4022 0
286 4022 0
2865 4022 1
2867 4022 1
2885 4022 0
28984 4022 0
28999 4022 0
290 4022 0
2908 4022 0
29098 4022 0
29100 4022 0
29109 4022 0
29110 4022 0
29116 4022 0
29121 4022 0
2918 4022 0
2919 4022 0
2920 4022 0
2921 4022 0
29796 4022 0
29802 4022 0
29906 4022 0
29916 4022 0
2993 4022 0
2994 4022 0
29940 4022 0
2995 4022 0
2996 4022 0
29968 4022 0
29984 4022 0
2999 4022 0
29999 4022 0
30 4022 0
30001 4022 0
30009 4022 0
3003 4022 0
3006 4022 0
3007 4022 0
3008 4022 0
3010 4022 0
3012 4022 0
3017 4022 0
3018 4022 0
3021 4022 0
3036 4022 0
3053 4022 0
3059 4022 0
306 4022 0
3067 4022 1
307 4022 0
30827 4022 0
30836 4022 0
3087 4022 0
3098 4022 0
3109 4022 0
3115 4022 0
3119 4022 0
3120 4022 0
3122 4022 0
3134 4022 0
314 4022 0
3157 4022 0
3198 4022 0
3201 4022 0
3202 4022 0
3204 4022 0
3240 4022 0
3267 4022 0
3290 4022 0
330 4022 1
3305 4022 0
3359 4022 0
3385 4022 1
3386 4022 0
339287 4022 0
341 4022 0
3422 4022 0
3426 4022 0
3429 4022 0
3430 4022 0
3433 4022 0
3437 4022 0
345 4022 0
346 4022 0
3475 4022 0
347902 4022 0
348 4022 0
3482 4022 0
3485 4022 1
3490 4022 0
3491 4022 0
353514 4022 0
3553 4022 0
3554 4022 0
3561 4022 0
3565 4022 0
3567 4022 0
3568 4022 0
3569 4022 0
3576 4022 0
3577 4022 0
3593 4022 0
3596 4022 0
360 4022 0
3614 4022 0
3620 4022 0
3638 4022 0
3659 4022 0
3661 4022 0
3665 4022 0
3682 4022 0
3683 4022 0
3695 4022 0
3708 4022 0
3718 4022 0
3726 4022 0
3728 4022 0
3732 4022 0
3753 4022 0
3755 4022 0
375790 4022 0
3758 4022 0
3766 4022 0
3792 4022 0
3802 4022 0
3803 4022 0
3804 4022 0
3805 4022 0
3806 4022 0
3808 4022 0
3809 4022 0
3810 4022 0
3811 4022 0
3813 4022 0
3818 4022 0
383 4022 0
3849 4022 0
3853 4022 0
3868 4022 0
3872 4022 0
388 4022 0
389 4022 0
390 4022 1
3904 4022 0
3909 4022 0
3914 4022 1
3927 4022 0
3934 4022 0
3936 4022 0
3957 4022 0
3959 4022 1
397 4022 0
3976 4022 0
398 4022 0
4034 4022 0
404281 4022 0
4043 4022 0
404672 4022 0
4057 4022 0
4061 4022 0
4065 4022 0
4066 4022 0
4082 4022 0
4118 4022 0
4121 4022 0
4124 4022 0
4125 4022 0
4129 4022 0
4141 4022 0
4142 4022 0
4143 4022 0
4153 4022 0
4199 4022 0
4210 4022 0
4216 4022 0
4233 4022 0
4256 4022 0
4283 4022 0
4311 4022 0
4317 4022 0
4318 4022 1
4321 4022 1
4329 4022 0
433 4022 0
435 4022 0
4352 4022 0
440 4022 0
440270 4022 0
440560 4022 0
4430 4022 0
4435 4022 0
444 4022 0
4482 4022 0
4499 4022 0
4548 4022 0
4582 4022 0
4606 4022 0
4616 4022 0
467 4022 0
4680 4022 0
4683 4022 0
4690 4022 0
4692 4022 0
4724 4022 0
4744 4022 0
4753 4022 0
4758 4022 0
4772 4022 0
4783 4022 0
4790 4022 0
4794 4022 0
48 4022 0
4814 4022 1
4821 4022 0
4824 4022 0
4835 4022 0
4851 4022 0
486 4022 0
4860 4022 0
4885 4022 0
4891 4022 0
4898 4022 0
490 4022 0
4900 4022 0
4914 4022 0
4929 4022 0
4938 4022 0
4939 4022 0
4940 4022 0
4973 4022 0
4990 4022 0
5002 4022 0
5004 4022 1
5008 4022 0
5009 4022 0
5023 4022 0
5026 4022 0
5033 4022 0
50486 4022 1
5050 4022 0
50618 4022 0
5062 4022 0
50650 4022 0
5076 4022 0
5077 4022 0
50861 4022 0
5090 4022 0
5105 4022 0
5106 4022 0
51066 4022 0
51070 4022 0
51083 4022 0
51097 4022 0
51129 4022 1
51131 4022 0
51143 4022 0
51144 4022 0
51156 4022 0
51179 4022 0
51192 4022 0
51204 4022 0
51228 4022 0
51237 4022 0
51266 4022 0
51271 4022 0
51278 4022 0
51280 4022 0
51297 4022 0
51316 4022 0
51321 4022 0
51327 4022 0
51348 4022 0
51363 4022 1
51374 4022 0
51379 4022 0
51382 4022 0
51422 4022 0
51439 4022 0
51440 4022 0
51471 4022 0
51474 4022 0
5148 4022 0
51507 4022 0
5151 4022 0
51540 4022 0
51555 4022 0
5156 4022 0
51566 4022 0
51585 4022 0
51606 4022 0
5163 4022 0
51696 4022 0
51703 4022 0
51706 4022 0
51734 4022 0
51742 4022 0
5176 4022 0
51776 4022 0
51780 4022 0
51809 4022 0
5184 4022 0
5196 4022 0
5197 4022 0
5199 4022 0
5209 4022 0
5265 4022 0
5266 4022 1
5267 4022 0
5268 4022 0
5272 4022 0
5284 4022 0
5293 4022 0
5295 4022 0
53 4022 0
5300 4022 0
5305 4022 0
5306 4022 0
5311 4022 0
5325 4022 0
5328 4022 1
5329 4022 0
5330 4022 0
53339 4022 0
53407 4022 0
5349 4022 0
5352 4022 0
5376 4022 0
54145 4022 0
54187 4022 0
5420 4022 0
54329 4022 0
54360 4022 0
54386 4022 0
5441 4022 0
54434 4022 0
5445 4022 0
54453 4022 0
54477 4022 0
54541 4022 1
5457 4022 0
54583 4022 0
5473 4022 0
54733 4022 0
54739 4022 0
54812 4022 0
54832 4022 0
54838 4022 0
54855 4022 0
54860 4022 0
54867 4022 0
54872 4022 0
54883 4022 0
54922 4022 0
54930 4022 0
5494 4022 0
54957 4022 0
54971 4022 0
54997 4022 0
55008 4022 0
55013 4022 0
55024 4022 0
55062 4022 0
55066 4022 0
55079 4022 0
55113 4022 0
55177 4022 1
5520 4022 0
55211 4022 0
55222 4022 0
55239 4022 0
55240 4022 0
55251 4022 0
55253 4022 0
55268 4022 1
5527 4022 0
55288 4022 0
5530 4022 0
55321 4022 1
55332 4022 0
55353 4022 0
55454 4022 0
5550 4022 0
55507 4022 0
55510 4022 0
5552 4022 0
5553 4022 0
55556 4022 0
55623 4022 0
55625 4022 0
5567 4022 0
55695 4022 0
55700 4022 0
55711 4022 0
55723 4022 0
55743 4022 0
5577 4022 0
558 4022 0
55801 4022 0
55830 4022 0
55840 4022 0
55930 4022 0
56000 4022 0
5604 4022 0
5612 4022 0
56155 4022 0
5627 4022 1
56271 4022 0
56301 4022 0
56344 4022 0
5654 4022 0
5657 4022 0
566 4022 0
5660 4022 0
5663 4022 0
56667 4022 0
56675 4022 0
56729 4022 0
56829 4022 0
56891 4022 0
56898 4022 0
56901 4022 0
56922 4022 0
56926 4022 0
56940 4022 0
56953 4022 0
56954 4022 0
5696 4022 0
5698 4022 0
5699 4022 0
57007 4022 1
57018 4022 0
57019 4022 0
57091 4022 0
57096 4022 0
57097 4022 0
57126 4022 0
57130 4022 0
57136 4022 0
57146 4022 0
57162 4022 1
5717 4022 0
5728 4022 0
5729 4022 0
57292 4022 0
5730 4022 0
5732 4022 0
57379 4022 0
57402 4022 0
57403 4022 0
5742 4022 0
5743 4022 0
57538 4022 0
57761 4022 1
5778 4022 1
57824 4022 0
5825 4022 0
5836 4022 0
58472 4022 0
58488 4022 0
58510 4022 0
58526 4022 0
5858 4022 0
5860 4022 0
5863 4022 0
5864 4022 0
5870 4022 0
5880 4022 0
5898 4022 0
5920 4022 0
5923 4022 0
59336 4022 0
5934 4022 0
59340 4022 0
59342 4022 0
5937 4022 0
5962 4022 0
597 4022 0
6001 4022 0
6005 4022 0
6006 4022 0
6007 4022 0
6016 4022 0
6035 4022 1
6036 4022 0
6037 4022 0
60385 4022 0
604 4022 0
60490 4022 0
6124 4022 0
6158 4022 0
617 4022 0
6176 4022 0
6181 4022 0
6273 4022 0
6280 4022 0
6281 4022 0
6283 4022 0
6285 4022 0
6286 4022 0
6317 4022 0
6319 4022 0
6328 4022 0
633 4022 0
6346 4022 1
6347 4022 0
635 4022 0
6354 4022 0
6356 4022 0
6361 4022 0
6362 4022 0
6363 4022 0
6364 4022 0
6367 4022 1
637 4022 0
6372 4022 0
63827 4022 0
6386 4022 0
63917 4022 0
6406 4022 0
64066 4022 0
64078 4022 0
64109 4022 0
64114 4022 0
64167 4022 0
64180 4022 0
64219 4022 0
64220 4022 0
64222 4022 0
64236 4022 0
6424 4022 0
64240 4022 0
64359 4022 0
64386 4022 0
6446 4022 0
645 4022 0
6472 4022 0
64759 4022 0
64761 4022 0
64778 4022 0
64780 4022 0
64781 4022 0
64784 4022 0
6480 4022 0
64901 4022 0
64927 4022 0
64975 4022 0
6509 4022 0
6510 4022 0
65124 4022 0
6518 4022 0
6520 4022 0
6521 4022 0
65220 4022 0
6525 4022 0
653 4022 0
6538 4022 0
654 4022 0
6554 4022 0
656 4022 0
6563 4022 0
6568 4022 0
6571 4022 0
6576 4022 0
6590 4022 0
6598 4022 0
6615 4022 0
6624 4022 0
663 4022 0
664 4022 0
6646 4022 0
6648 4022 0
6653 4022 0
6659 4022 0
6676 4022 0
6690 4022 1
6691 4022 0
6698 4022 0
6701 4022 0
671 4022 0
6713 4022 0
6718 4022 0
673 4022 0
6737 4022 0
6764 4022 0
6770 4022 0
6775 4022 0
6776 4022 0
6780 4022 0
6781 4022 0
6782 4022 0
6810 4022 0
6817 4022 0
6866 4022 0
6890 4022 0
6915 4022 0
6929 4022 0
6947 4022 0
7029 4022 0
7030 4022 0
7031 4022 0
7036 4022 0
7045 4022 0
7048 4022 0
7049 4022 0
7053 4022 0
7066 4022 0
7091 4022 0
712 4022 0
7124 4022 0
7127 4022 0
7128 4022 1
713 4022 0
7132 4022 0
715 4022 0
7165 4022 0
7168 4022 0
7171 4022 0
7185 4022 0
7203 4022 0
7253 4022 0
7262 4022 0
728642 4022 0
728661 4022 0
7292 4022 0
7293 4022 0
7294 4022 0
7299 4022 0
731 4022 0
732 4022 1
735 4022 0
7351 4022 0
7358 4022 0
7378 4022 0
7408 4022 0
7436 4022 0
7441 4022 0
7453 4022 0
7458 4022 0
747 4022 0
7474 4022 0
7480 4022 0
7481 4022 0
7512 4022 0
7535 4022 0
7538 4022 0
7547 4022 0
7644 4022 0
771 4022 0
773 4022 0
7832 4022 0
7844 4022 0
785 4022 0
7851 4022 0
7855 4022 0
7874 4022 0
790 4022 0
79037 4022 0
7905 4022 0
79053 4022 0
79094 4022 0
79143 4022 1
79154 4022 0
79155 4022 0
79188 4022 0
79581 4022 0
79587 4022 0
79665 4022 0
