HIST2H2AA3 pp PRR7
LAMB3 pp PLAU
SLC16A10 pp CD1B
NKG7 pp IL3RA
BIRC3 pp TNFAIP3
CCR7 pp LAMP3
TNFSF14 pp IL18R1
GPR132 pp IL18R1
BIRC3 pp CCR7
SLC7A5 pp DDIT4
SAMSN1 pp SLCO2B1
SLC7A5 pp TRIB3
TNFAIP3 pp DDIT4
SAMSN1 pp LAMP3
MLPH pp MARCKSL1
CYFIP2 pp KCNH2
FAIM3 pp EVL
NKG7 pp CST7
IL18RAP pp QPCT
IL18RAP pp IL18R1
GPR97 pp HDC
GPR132 pp IL3RA
CCR7 pp PTPN7
ARAP3 pp TGM2
ZDHHC18 pp IL18RAP
DNAH17 pp CCL22
IL18RAP pp ADAM8
FAIM3 pp NKG7
ARAP3 pp CAMK1
EBI3 pp CCL22
FFAR2 pp ADAM8
FFAR2 pp GPR97
SIGLEC5 pp PGLYRP1
CHST7 pp ENO2
SAMSN1 pp NKG7
BIRC3 pp ISG20
EBI3 pp NKG7
CCL22 pp IL18R1
FFAR2 pp SIGLEC5
ZDHHC18 pp NINJ1
FHL3 pp CAMK1
ARAP3 pp PROS1
NKG7 pp CCR7
SLC16A10 pp IER3
SAMSN1 pp TNFAIP3
SLCO2B1 pp CORO1A
GPR97 pp CA4
GPR97 pp IL18RAP
PADI4 pp SMOX
TNFAIP3 pp TNIP1
SLCO2B1 pp ICAM3
SIGLEC5 pp PADI4
BIRC3 pp LAMP3
EBI3 pp CCR7
FFAR2 pp ZDHHC18
PADI4 pp PGLYRP1
NKG7 pp SLCO2B1
CA4 pp ORM1
EBI3 pp SLCO2B1
ARAP3 pp FHL3
FAIM3 pp CCL22
EBI3 pp LAMP3
TKTL1 pp PADI4
PADI4 pp CAMK1
SAMSN1 pp ADORA3
ZDHHC18 pp ISG20
CCL24 pp LAMB3
PADI4 pp IL18RAP
CCL24 pp CLC
FFAR2 pp PADI4
PHACTR1 pp IL3RA
ARAP3 pp MARCKSL1
PGLYRP1 pp CA4
NINJ1 pp ISG20
CHST7 pp CAMK1
PELI1 pp NINJ1
SAMSN1 pp G0S2
CST7 pp IL18RAP
GPR132 pp TNFSF14
C20orf46 pp SLCO2B1
CORO1A pp ICAM3
CST7 pp SLCO2B1
FAIM3 pp CCR7
TKTL1 pp OLIG2
ZDHHC18 pp CLC
ADORA3 pp SLCO2B1
SIGLEC5 pp CAMK1
GPR97 pp SIGLEC5
PHACTR1 pp SLC7A5
TRIB3 pp DDIT4
FHL3 pp COL8A1
FAIM3 pp CST7
SIGLEC5 pp CA4
SAMSN1 pp CORO1A
GPR97 pp PGLYRP1
ISG20 pp TNIP1
GPR97 pp PADI4
CXCR4 pp CORO1A
FAIM3 pp HIST2H2AA3
CCL22 pp IL3RA
FFAR3 pp GPR132
C20orf46 pp SLC16A10
SLC16A10 pp TKTL1
ZDHHC18 pp ADAM8
GPR97 pp IL18R1
ARAP3 pp HIST1H2BK
CST7 pp CCR7
CCL22 pp CCR7
PHACTR1 pp PTPN7
PGLYRP1 pp CEACAM1
CD1A pp CD1B
FAIM3 pp ISG20
CST7 pp CD1B
NINJ1 pp TNIP1
FHL3 pp C15orf39
CCR7 pp SLCO2B1
CEBPE pp CA4
PGLYRP1 pp ORM1
CEACAM1 pp CA4
TNFSF14 pp CHST7
SAMSN1 pp BIRC3
CST7 pp CCL22
IL3RA pp C15orf39
CEACAM1 pp ORM1
CYFIP2 pp EVL
FFAR2 pp IL18RAP
