Gene Module seed_gene
1000 6723 0
10002 6723 0
10007 6723 1
100129128 6723 0
100132285 6723 0
100132406 6723 0
100132476 6723 0
100133941 6723 0
10016 6723 0
10018 6723 0
10019 6723 0
10020 6723 0
10022 6723 1
1004 6723 1
10047 6723 0
1005 6723 1
100507436 6723 0
10051 6723 0
10058 6723 1
1006 6723 0
10061 6723 0
10069 6723 0
10077 6723 0
1008 6723 0
10084 6723 0
10085 6723 1
10095 6723 0
1010 6723 0
10103 6723 1
10123 6723 0
10136 6723 1
1014 6723 1
10142 6723 1
10148 6723 1
10149 6723 0
10153 6723 0
10158 6723 1
1016 6723 0
10160 6723 1
10161 6723 0
10162 6723 1
10164 6723 1
1017 6723 1
10170 6723 1
10171 6723 1
10175 6723 0
10181 6723 0
10184 6723 0
10195 6723 0
10196 6723 1
10197 6723 0
102 6723 0
10202 6723 1
10204 6723 1
10208 6723 1
1021 6723 0
10214 6723 0
10215 6723 0
10216 6723 0
10218 6723 1
10219 6723 0
10220 6723 0
10221 6723 0
10223 6723 1
10226 6723 0
10232 6723 1
10234 6723 0
10235 6723 1
10237 6723 0
10239 6723 1
10240 6723 0
10242 6723 0
10246 6723 0
10257 6723 0
10265 6723 1
10276 6723 0
10280 6723 1
10289 6723 0
1029 6723 1
10291 6723 0
10297 6723 0
10298 6723 0
1030 6723 1
10308 6723 0
1031 6723 0
10316 6723 0
10317 6723 1
10319 6723 1
10321 6723 0
10324 6723 0
1033 6723 1
10332 6723 0
10345 6723 0
10346 6723 0
10351 6723 1
10360 6723 1
10365 6723 0
10368 6723 0
10369 6723 0
10370 6723 1
10371 6723 0
10379 6723 0
1038 6723 0
10389 6723 1
10390 6723 0
10395 6723 0
10397 6723 1
10403 6723 0
10406 6723 1
10409 6723 0
10410 6723 1
10411 6723 0
10417 6723 1
10425 6723 0
10437 6723 0
1044 6723 0
10443 6723 0
10446 6723 1
10449 6723 1
10451 6723 0
10452 6723 0
10455 6723 1
10468 6723 0
1047 6723 0
10472 6723 0
10476 6723 0
10478 6723 0
10479 6723 0
1048 6723 0
10485 6723 0
10491 6723 0
10497 6723 0
10501 6723 0
1051 6723 1
10512 6723 0
10519 6723 0
10523 6723 0
1053 6723 0
105375355 6723 1
10538 6723 1
10541 6723 0
10550 6723 0
10551 6723 0
10553 6723 0
10555 6723 0
10556 6723 0
10559 6723 0
10560 6723 1
10561 6723 1
10562 6723 0
10563 6723 1
10566 6723 0
10567 6723 0
10568 6723 1
10572 6723 0
10577 6723 0
10581 6723 1
10584 6723 1
10586 6723 1
10595 6723 0
10598 6723 0
10599 6723 1
10615 6723 0
10622 6723 1
10628 6723 1
10631 6723 1
10633 6723 1
10643 6723 1
10647 6723 0
10650 6723 1
10653 6723 0
10656 6723 1
1066 6723 0
10661 6723 1
10669 6723 1
1068 6723 0
10682 6723 0
10683 6723 1
10686 6723 1
10687 6723 1
10690 6723 0
10692 6723 1
10694 6723 0
10699 6723 1
107 6723 0
10712 6723 0
10716 6723 0
10732 6723 1
10738 6723 0
10747 6723 0
1075 6723 0
10761 6723 1
10763 6723 0
10785 6723 1
10786 6723 0
10794 6723 1
10797 6723 1
10799 6723 1
108 6723 1
10803 6723 1
10808 6723 1
1081 6723 0
10813 6723 1
10825 6723 1
10841 6723 0
10842 6723 0
10844 6723 0
10845 6723 0
10846 6723 1
10850 6723 0
10857 6723 0
10858 6723 0
10869 6723 0
10874 6723 1
1088 6723 0
10881 6723 0
10882 6723 0
10884 6723 0
10885 6723 1
1089 6723 0
10897 6723 0
10904 6723 0
10913 6723 1
10916 6723 0
10924 6723 1
10930 6723 0
10935 6723 0
10940 6723 1
10942 6723 1
10944 6723 0
10947 6723 1
10950 6723 0
10951 6723 0
10953 6723 1
10954 6723 0
10955 6723 0
10959 6723 0
10962 6723 0
10964 6723 0
10974 6723 0
10978 6723 0
10979 6723 1
10981 6723 0
10991 6723 1
10993 6723 0
10998 6723 1
11004 6723 1
11005 6723 1
11007 6723 1
11009 6723 1
11012 6723 1
11013 6723 1
11015 6723 1
1102 6723 0
11022 6723 0
11024 6723 0
11026 6723 0
11030 6723 0
11031 6723 0
11033 6723 0
1104 6723 1
11040 6723 0
11045 6723 1
11052 6723 0
11061 6723 0
11065 6723 1
11072 6723 1
11073 6723 0
11075 6723 1
11077 6723 1
11082 6723 1
1109 6723 1
11093 6723 0
11095 6723 1
11107 6723 0
11108 6723 0
1112 6723 1
11120 6723 0
11126 6723 1
11129 6723 0
1113 6723 1
11133 6723 0
11136 6723 1
11138 6723 0
1114 6723 1
11141 6723 0
11142 6723 0
11145 6723 1
11146 6723 1
11152 6723 0
11153 6723 0
1116 6723 1
11161 6723 0
11167 6723 0
1117 6723 1
11173 6723 1
11174 6723 1
1118 6723 0
11181 6723 1
11189 6723 0
11197 6723 1
11199 6723 1
1120 6723 0
11200 6723 0
11202 6723 1
