Gene Module seed_gene
1000 5812 0
10002 5812 0
100129128 5812 1
100130958 5812 1
100132285 5812 0
100132406 5812 0
100132476 5812 0
100133941 5812 0
10016 5812 0
10017 5812 1
10022 5812 0
1004 5812 0
10047 5812 0
1005 5812 1
100507436 5812 0
10051 5812 0
1006 5812 1
10077 5812 0
10079 5812 0
1008 5812 0
10085 5812 1
1010 5812 0
10103 5812 1
10107 5812 0
10123 5812 0
1014 5812 1
10148 5812 0
10149 5812 0
1015 5812 0
10158 5812 0
1016 5812 1
10160 5812 0
10161 5812 0
10162 5812 0
1017 5812 0
10170 5812 0
10171 5812 0
10202 5812 1
1021 5812 0
10214 5812 0
10215 5812 0
10216 5812 0
10221 5812 1
10226 5812 0
10232 5812 1
10233 5812 0
10234 5812 0
10235 5812 0
10242 5812 1
10246 5812 0
10257 5812 1
10265 5812 0
10276 5812 0
10289 5812 0
1029 5812 1
10297 5812 0
10298 5812 0
1031 5812 0
10316 5812 1
10317 5812 0
10319 5812 0
10321 5812 0
10324 5812 0
1033 5812 1
10345 5812 0
10346 5812 0
10351 5812 0
10365 5812 0
10368 5812 0
10369 5812 0
10370 5812 0
10371 5812 1
10379 5812 0
1038 5812 0
10395 5812 0
10397 5812 0
10403 5812 0
10406 5812 1
10409 5812 0
10417 5812 1
10425 5812 0
10437 5812 0
1044 5812 0
10446 5812 0
10451 5812 1
10455 5812 0
10457 5812 0
10468 5812 0
1047 5812 0
10472 5812 0
10479 5812 0
1048 5812 1
10485 5812 0
10491 5812 0
10501 5812 0
1051 5812 0
10512 5812 0
1053 5812 0
105375355 5812 0
10538 5812 1
10550 5812 0
10551 5812 0
10561 5812 0
10562 5812 1
10563 5812 1
10567 5812 0
10568 5812 1
10577 5812 0
10581 5812 0
10586 5812 0
10595 5812 1
10599 5812 0
10611 5812 1
10615 5812 1
10622 5812 0
10626 5812 0
10628 5812 0
10633 5812 0
10637 5812 1
10643 5812 0
10645 5812 1
10647 5812 0
10653 5812 0
10656 5812 0
1066 5812 1
10661 5812 0
10669 5812 1
1068 5812 0
10682 5812 0
10683 5812 1
10686 5812 1
10687 5812 1
10690 5812 0
10692 5812 0
107 5812 0
1070 5812 0
10716 5812 0
10738 5812 0
10747 5812 0
1075 5812 0
10761 5812 0
10763 5812 0
10768 5812 0
10786 5812 0
10797 5812 0
108 5812 0
10803 5812 0
1081 5812 1
10841 5812 0
10842 5812 0
10844 5812 0
10846 5812 0
10850 5812 0
10858 5812 0
10861 5812 1
10874 5812 0
10879 5812 1
1088 5812 0
10881 5812 0
10882 5812 1
1089 5812 0
10904 5812 0
10913 5812 1
10924 5812 0
10930 5812 1
10947 5812 0
10950 5812 0
10954 5812 0
10962 5812 0
10964 5812 0
10974 5812 0
10978 5812 0
10979 5812 1
10980 5812 0
10991 5812 0
10993 5812 1
11004 5812 0
11005 5812 0
11012 5812 0
11013 5812 1
11015 5812 0
11022 5812 0
11024 5812 0
11026 5812 0
1103 5812 1
11030 5812 1
11031 5812 0
11033 5812 0
11040 5812 0
11045 5812 1
11061 5812 0
11065 5812 1
11073 5812 0
11075 5812 0
11077 5812 0
11081 5812 0
11082 5812 0
1109 5812 0
11093 5812 0
11095 5812 0
11107 5812 0
11108 5812 0
1112 5812 0
1113 5812 0
11136 5812 0
1114 5812 0
11141 5812 1
11142 5812 0
11145 5812 0
1116 5812 1
11167 5812 0
11174 5812 0
1118 5812 1
11181 5812 0
11189 5812 0
11197 5812 1
11199 5812 1
11202 5812 0
11223 5812 0
11226 5812 0
1123 5812 0
11238 5812 0
112399 5812 1
11247 5812 0
11248 5812 0
11251 5812 0
11254 5812 0
11255 5812 0
11259 5812 0
11280 5812 1
11283 5812 1
1129 5812 1
1131 5812 1
113146 5812 1
113177 5812 0
11328 5812 0
1133 5812 1
11332 5812 0
1134 5812 0
11341 5812 1
1135 5812 0
1136 5812 0
1137 5812 1
1138 5812 1
114 5812 1
114088 5812 1
1141 5812 0
1143 5812 0
1144 5812 0
1146 5812 0
114881 5812 0
114883 5812 0
114884 5812 0
114897 5812 1
1149 5812 0
115207 5812 0
1154 5812 0
115653 5812 0
1158 5812 1
115817 5812 0
115939 5812 0
116 5812 0
1160 5812 0
116039 5812 0
116285 5812 1
116372 5812 0
1164 5812 0
116832 5812 0
117 5812 1
1181 5812 0
1188 5812 1
1191 5812 1
12 5812 1
120 5812 0
121006 5812 0
1215 5812 0
1232 5812 0
1233 5812 0
123872 5812 0
124 5812 0
1244 5812 0
124583 5812 0
125 5812 1
1258 5812 0
125893 5812 0
1259 5812 0
1261 5812 0
1264 5812 1
1271 5812 1
1272 5812 0
127534 5812 1
1277 5812 0
1278 5812 0
127833 5812 0
1280 5812 1
1281 5812 0
1282 5812 0
1284 5812 0
128553 5812 0
1287 5812 0
1289 5812 0
129025 5812 0
1292 5812 0
1293 5812 0
1297 5812 1
1298 5812 1
1299 5812 0
13 5812 0
1300 5812 1
1301 5812 1
1306 5812 0
131 5812 0
1310 5812 1
1311 5812 1
131578 5812 0
1325 5812 0
133 5812 0
1339 5812 0
134 5812 0
135138 5812 0
1356 5812 0
1358 5812 0
1359 5812 0
1360 5812 1
1361 5812 1
1363 5812 0
1366 5812 0
1368 5812 0
1369 5812 0
1370 5812 0
1373 5812 1
1374 5812 0
1380 5812 0
138046 5812 1
1381 5812 1
1382 5812 1
1388 5812 0
1393 5812 1
1397 5812 0
1400 5812 0
1401 5812 0
140290 5812 0
1404 5812 0
140462 5812 1
140803 5812 0
1409 5812 0
1410 5812 1
1412 5812 1
1413 5812 1
1414 5812 0
142684 5812 1
1428 5812 0
1437 5812 0
1440 5812 1
1444 5812 0
1454 5812 0
146 5812 1
1462 5812 0
146227 5812 1
1463 5812 0
1465 5812 1
1466 5812 0
1469 5812 0
147 5812 1
1470 5812 1
1472 5812 1
148 5812 1
1482 5812 0
148753 5812 1
1490 5812 0
1491 5812 0
1493 5812 1
1496 5812 1
149603 5812 0
149628 5812 0
150094 5812 1
1503 5812 0
1508 5812 0
151 5812 1
1510 5812 0
151011 5812 0
1511 5812 0
1513 5812 0
1515 5812 0
152 5812 0
152015 5812 1
1521 5812 0
1525 5812 0
1527 5812 0
1528 5812 0
153 5812 1
1535 5812 1
154 5812 0
1543 5812 0
1544 5812 0
1545 5812 0
154796 5812 1
1548 5812 0
1549 5812 0
155 5812 0
1553 5812 0
1557 5812 0
1565 5812 0
