Gene Module seed_gene
100132285 1276 0
100133941 1276 0
10123 1276 0
10135 1276 0
10161 1276 0
10169 1276 0
10170 1276 0
10175 1276 0
10296 1276 0
10321 1276 0
10409 1276 0
10412 1276 0
10430 1276 0
10438 1276 0
10440 1276 0
10456 1276 0
10476 1276 0
10542 1276 0
10562 1276 0
10613 1276 0
10632 1276 0
10661 1276 0
10694 1276 0
10730 1276 0
10775 1276 0
1088 1276 0
10899 1276 0
10907 1276 0
10923 1276 0
10928 1276 0
10935 1276 0
10944 1276 0
10956 1276 0
10975 1276 0
10981 1276 0
11012 1276 0
11026 1276 0
11079 1276 0
1116 1276 0
1118 1276 0
11224 1276 0
11235 1276 0
11251 1276 0
11315 1276 0
11331 1276 0
11342 1276 0
115207 1276 0
1191 1276 0
1232 1276 0
1265 1276 0
131 1276 0
1326 1276 0
1329 1276 0
1340 1276 0
1347 1276 0
1349 1276 0
1351 1276 0
1361 1276 0
1366 1276 0
140803 1276 0
1474 1276 0
1511 1276 0
152006 1276 0
1521 1276 0
1545 1276 0
1603 1276 0
1666 1276 0
1669 1276 0
1738 1276 0
1781 1276 0
1823 1276 0
1848 1276 0
1891 1276 0
1933 1276 0
1936 1276 0
1937 1276 0
1938 1276 0
1939 1276 0
1955 1276 0
196441 1276 0
1991 1276 0
2012 1276 0
2015 1276 0
2038 1276 0
2079 1276 0
212 1276 0
2147 1276 0
2153 1276 0
2168 1276 0
2197 1276 0
2206 1276 0
222487 1276 0
2243 1276 0
2244 1276 0
2267 1276 0
22948 1276 0
23107 1276 0
23200 1276 0
23421 1276 0
23471 1276 0
23478 1276 0
23480 1276 0
23484 1276 0
2352 1276 0
23521 1276 0
23528 1276 0
23569 1276 0
23585 1276 0
23592 1276 0
23788 1276 0
246 1276 0
2483 1276 0
249 1276 0
2547 1276 0
25796 1276 0
25814 1276 0
25873 1276 0
25875 1276 0
25893 1276 0
2591 1276 0
25949 1276 0
25978 1276 0
25984 1276 0
25994 1276 0
2623 1276 0
26239 1276 0
26279 1276 0
2633 1276 0
2643 1276 0
2647 1276 0
26521 1276 0
27044 1276 0
27069 1276 0
27181 1276 0
2720 1276 0
27249 1276 0
27257 1276 0
27335 1276 0
2745 1276 0
2879 1276 0
28972 1276 0
28985 1276 0
29074 1276 0
29080 1276 0
29088 1276 0
29097 1276 0
29103 1276 0
2919 1276 0
2959 1276 0
2971 1276 0
29796 1276 0
2990 1276 0
2993 1276 0
2994 1276 0
2999 1276 0
29997 1276 0
3003 1276 0
3010 1276 0
3015 1276 0
302 1276 0
3021 1276 0
3045 1276 0
3046 1276 0
3050 1276 0
3059 1276 0
306 1276 0
3067 1276 0
3087 1276 0
3109 1276 0
3119 1276 0
3146 1276 0
3149 1276 0
3181 1276 0
3182 1276 0
3240 1276 0
3281 1276 0
3301 1276 0
3309 1276 0
3312 1276 0
3320 1276 0
3336 1276 0
3422 1276 0
345 1276 0
3476 1276 0
3482 1276 0
3487 1276 0
353514 1276 0
3550 1276 0
3561 1276 0
3568 1276 0
3577 1276 0
360 1276 0
3646 1276 0
3792 1276 0
3806 1276 0
3813 1276 0
383 1276 1
3849 1276 0
3921 1276 0
3934 1276 0
3936 1276 0
3957 1276 0
4057 1276 0
4071 1276 0
4121 1276 0
4125 1276 0
4283 1276 0
