Gene Module seed_gene
100 6768 0
1000 6768 0
10006 6768 0
10010 6768 0
10013 6768 1
100132285 6768 0
100132406 6768 0
100133941 6768 1
10019 6768 0
10020 6768 0
10026 6768 1
1004 6768 0
10061 6768 0
10062 6768 0
10066 6768 1
10067 6768 0
10072 6768 0
10079 6768 0
10084 6768 0
10085 6768 0
10093 6768 0
10097 6768 0
1010 6768 0
10103 6768 0
10113 6768 0
10120 6768 0
10121 6768 0
10123 6768 0
10135 6768 0
10137 6768 0
1014 6768 0
10142 6768 0
10148 6768 0
10149 6768 0
1015 6768 0
10150 6768 1
10156 6768 0
10158 6768 0
10160 6768 0
10161 6768 0
10163 6768 0
10166 6768 0
10169 6768 0
10170 6768 1
10175 6768 0
1018 6768 0
10180 6768 0
10184 6768 0
10190 6768 0
10195 6768 0
10197 6768 0
10199 6768 0
10204 6768 0
1021 6768 0
10211 6768 0
10213 6768 0
10215 6768 0
10216 6768 0
10220 6768 0
10223 6768 0
10226 6768 0
10232 6768 0
10233 6768 0
10234 6768 0
10235 6768 0
10237 6768 0
10240 6768 0
10242 6768 0
10247 6768 0
10253 6768 0
10257 6768 0
10262 6768 1
10263 6768 0
10269 6768 0
1027 6768 0
10273 6768 0
10276 6768 0
10282 6768 0
10289 6768 0
1029 6768 0
10291 6768 0
10296 6768 0
10298 6768 0
10299 6768 0
1030 6768 0
10308 6768 0
1031 6768 0
10313 6768 0
10314 6768 0
10321 6768 1
10342 6768 0
10345 6768 0
10346 6768 0
10351 6768 0
10365 6768 0
10367 6768 0
10368 6768 0
10370 6768 0
10371 6768 1
10379 6768 0
10389 6768 0
1039 6768 0
10390 6768 0
10395 6768 0
10397 6768 0
10406 6768 1
10409 6768 0
10410 6768 1
10412 6768 0
10425 6768 0
10426 6768 0
10428 6768 0
10430 6768 0
10432 6768 0
10437 6768 0
1044 6768 0
10443 6768 0
10449 6768 0
10451 6768 0
10452 6768 1
10455 6768 0
10457 6768 0
10467 6768 0
10468 6768 0
1047 6768 0
10472 6768 0
10476 6768 0
10478 6768 0
10479 6768 1
1048 6768 1
10482 6768 0
10483 6768 0
10484 6768 0
10485 6768 0
10491 6768 0
10493 6768 0
10497 6768 0
1051 6768 0
10512 6768 0
1052 6768 1
10523 6768 0
10525 6768 0
105375355 6768 0
10538 6768 0
10542 6768 0
10548 6768 0
10549 6768 0
10550 6768 0
10551 6768 1
10553 6768 0
10554 6768 0
10555 6768 0
10559 6768 0
10561 6768 0
10562 6768 0
10563 6768 0
10567 6768 0
10568 6768 0
10572 6768 0
10577 6768 0
10581 6768 0
10588 6768 0
10589 6768 0
10594 6768 0
10595 6768 0
10598 6768 0
10600 6768 0
10603 6768 0
10616 6768 0
10618 6768 1
10622 6768 0
10625 6768 0
10628 6768 0
10632 6768 0
10643 6768 0
10644 6768 0
10647 6768 0
10650 6768 0
10653 6768 0
10657 6768 0
1066 6768 0
10664 6768 0
10669 6768 0
1068 6768 0
10682 6768 0
10687 6768 0
1069 6768 0
10690 6768 0
10692 6768 0
10694 6768 0
10695 6768 0
10730 6768 0
10735 6768 0
10747 6768 0
10758 6768 0
10762 6768 0
10763 6768 0
10766 6768 0
10769 6768 0
10782 6768 0
10785 6768 0
10786 6768 0
10787 6768 1
10794 6768 1
10802 6768 0
10813 6768 0
10844 6768 0
10850 6768 0
10857 6768 0
10858 6768 0
10869 6768 1
10874 6768 0
1088 6768 0
10892 6768 0
10897 6768 0
10899 6768 0
10904 6768 0
10908 6768 1
10911 6768 1
10916 6768 0
10923 6768 0
10924 6768 1
10928 6768 0
10930 6768 0
10935 6768 0
10940 6768 0
10943 6768 0
10944 6768 0
10945 6768 0
10947 6768 0
10948 6768 0
10950 6768 0
10951 6768 0
10954 6768 0
10955 6768 0
10956 6768 1
10957 6768 1
10959 6768 0
10960 6768 1
10961 6768 0
10962 6768 0
10964 6768 0
10972 6768 0
10974 6768 0
10975 6768 0
10978 6768 0
10979 6768 0
10980 6768 0
10981 6768 0
