Gene Module seed_gene
10010 1536 0
100132406 1536 0
10019 1536 0
10075 1536 0
10123 1536 0
10135 1536 0
10161 1536 0
10221 1536 0
10240 1536 0
10308 1536 0
10346 1536 0
10379 1536 1
10390 1536 0
10410 1536 0
10437 1536 0
10443 1536 0
10457 1536 0
1047 1536 0
10472 1536 0
105375355 1536 0
10559 1536 0
10561 1536 1
10581 1536 0
10616 1536 0
10682 1536 0
10724 1536 0
10844 1536 0
10964 1536 0
10994 1536 0
1102 1536 0
1105 1536 0
11073 1536 0
11133 1536 0
11145 1536 0
11247 1536 0
11252 1536 0
11255 1536 0
115207 1536 0
12 1536 0
1244 1536 0
1267 1536 0
1297 1536 0
13 1536 0
1306 1536 0
1356 1536 0
1409 1536 0
1429 1536 0
1445 1536 0
151230 1536 0
1523 1536 0
1535 1536 0
16 1536 0
162427 1536 0
163486 1536 0
1666 1536 0
1672 1536 0
1687 1536 0
174 1536 0
1770 1536 0
1839 1536 0
1939 1536 0
1955 1536 0
197 1536 0
1981 1536 0
2004 1536 0
200734 1536 0
2012 1536 0
2059 1536 0
213 1536 0
2147 1536 0
2162 1536 0
2243 1536 0
2244 1536 0
2266 1536 1
2267 1536 0
22822 1536 0
22838 1536 0
22876 1536 0
23052 1536 0
2312 1536 0
23130 1536 0
23254 1536 0
23258 1536 0
23313 1536 0
23325 1536 0
23399 1536 0
23424 1536 0
23429 1536 0
23451 1536 0
23462 1536 0
23518 1536 0
23531 1536 0
23586 1536 1
23607 1536 0
23625 1536 0
249 1536 0
250 1536 0
2537 1536 1
25805 1536 0
25941 1536 0
25978 1536 0
26085 1536 0
26227 1536 0
26228 1536 0
26257 1536 0
2633 1536 0
2643 1536 0
266977 1536 0
27250 1536 0
27347 1536 0
27348 1536 0
27429 1536 0
2745 1536 0
2771 1536 0
2776 1536 0
2784 1536 0
28951 1536 0
28983 1536 0
29121 1536 0
2919 1536 0
2920 1536 0
2921 1536 0
2959 1536 0
29767 1536 0
29887 1536 0
29919 1536 0
29947 1536 0
29969 1536 0
30009 1536 0
3006 1536 0
3021 1536 0
3026 1536 0
30844 1536 0
3106 1536 0
3107 1536 0
3108 1536 0
3109 1536 0
3115 1536 0
3134 1536 0
3149 1536 0
3156 1536 0
3201 1536 0
3237 1536 0
325 1536 0
3290 1536 0
330 1536 0
3305 1536 0
335 1536 0
336 1536 0
338 1536 0
341 1536 0
3419 1536 0
3428 1536 1
3429 1536 1
3430 1536 1
3433 1536 1
3434 1536 1
3437 1536 1
345 1536 0
3458 1536 0
3482 1536 0
350 1536 0
3561 1536 0
3627 1536 0
3638 1536 0
3659 1536 0
3665 1536 1
3698 1536 0
3726 1536 0
3732 1536 0
374286 1536 0
379 1536 0
3796 1536 0
3831 1536 0
3851 1536 1
3860 1536 0
3897 1536 0
3959 1536 0
397 1536 0
3988 1536 0
4061 1536 0
4065 1536 0
4069 1536 0
4074 1536 0
4092 1536 0
4125 1536 0
4134 1536 0
4149 1536 0
4236 1536 0
4312 1536 0
