Gene Module seed_gene
100 7008 0
1000 7008 0
10006 7008 0
10007 7008 1
100132285 7008 0
100132406 7008 0
100133941 7008 0
10015 7008 0
10018 7008 0
10019 7008 0
10020 7008 0
10038 7008 0
10040 7008 0
10051 7008 0
10061 7008 0
10066 7008 0
10067 7008 0
10073 7008 0
10075 7008 0
10077 7008 0
10079 7008 0
1008 7008 0
10084 7008 0
10093 7008 0
10101 7008 0
10103 7008 0
10106 7008 0
10121 7008 0
10123 7008 1
10135 7008 0
10137 7008 0
10140 7008 0
10142 7008 0
10148 7008 0
10149 7008 0
10153 7008 0
10160 7008 0
10161 7008 0
10166 7008 0
10169 7008 0
1017 7008 0
10170 7008 0
10171 7008 0
10175 7008 0
10181 7008 0
10184 7008 1
10190 7008 0
10195 7008 0
10197 7008 0
10199 7008 0
102 7008 0
10200 7008 0
10204 7008 0
1021 7008 0
10213 7008 0
10214 7008 0
10215 7008 0
10216 7008 0
10219 7008 1
10220 7008 1
10223 7008 0
10226 7008 0
10234 7008 0
10235 7008 0
10236 7008 0
10237 7008 0
1024 7008 0
10240 7008 0
10242 7008 0
10246 7008 0
10253 7008 1
10257 7008 0
10262 7008 0
10263 7008 0
10269 7008 0
1027 7008 0
10273 7008 0
10276 7008 1
10280 7008 0
10282 7008 0
10289 7008 0
1029 7008 0
10291 7008 0
10299 7008 0
1030 7008 1
10302 7008 0
10308 7008 0
1031 7008 0
10313 7008 0
10316 7008 0
10319 7008 0
1032 7008 0
10321 7008 0
10326 7008 0
1033 7008 1
10342 7008 0
10346 7008 0
10351 7008 0
10365 7008 1
10367 7008 1
10368 7008 0
10370 7008 0
10371 7008 0
10379 7008 0
10389 7008 0
10390 7008 0
10395 7008 0
10397 7008 0
10403 7008 0
10409 7008 0
10412 7008 0
10417 7008 0
10423 7008 0
10426 7008 0
10430 7008 0
10437 7008 0
1044 7008 0
10443 7008 0
10447 7008 0
10449 7008 0
10451 7008 0
10452 7008 0
10455 7008 0
10457 7008 1
10467 7008 0
10468 7008 0
1047 7008 0
10472 7008 0
10476 7008 0
10477 7008 0
10478 7008 0
10479 7008 0
10482 7008 0
10483 7008 1
10484 7008 0
10490 7008 0
