hgnc_symbol entrezgene_id
AARS 16
ABCB6 10058
ABCF1 23
ABCF3 55324
ABL1 25
ACBD3 64746
ACD 65057
ADAM10 102
ADGRE5 976
ADH5 128
AGL 178
AKAP8 10270
AKT1 207
ALAS1 211
ALDH7A1 501
ALDOC 230
APPBP2 10513
ARFIP2 23647
ARHGAP1 392
ARNT2 9915
ATMIN 23300
ATP1B1 481
ATP6V0B 533
ATP6V1D 51382
B3GNT2 10678
BAD 572
BAMBI 25805
BCL2 596
BCL7B 9275
BHLHE40 8553
BIRC5 332
BLCAP 10904
BLMH 642
BNIP3 664
BPHL 670
BUB1B 701
C2CD2L 9854
CALU 813
CAPN1 823
CASC3 22794
CASK 8573
CASP3 836
CAT 847
CBR1 873
CBR3 874
CCDC85B 11007
CCDC86 79080
CCNA2 890
CCNB2 9133
CCNF 899
CCP110 9738
CD44 960
CD58 965
CDC45 8318
CDH3 1001
CDK1 983
CDK2 1017
CDKN1A 1026
CEBPD 1052
CEBPZ 10153
CENPE 1062
CEP57 9702
CGRRF1 10668
CHERP 10523
CIAPIN1 57019
CLIC4 25932
CLPX 10845
CLSTN1 22883
CLTB 1212
CNOT4 4850
COASY 80347
COG2 22796
COPB2 9276
COPS7A 50813
CORO1A 11151
CPNE3 8895
CPSF4 10898
CREB1 1385
CREG1 8804
CRTAP 10491
CRYZ 1429
CSK 1445
CSNK2A2 1459
CSRP1 1465
CTNNAL1 8727
CTNND1 1500
CTSD 1509
CTSL 1514
CYB561 1534
CYTH1 9267
DCK 1633
DCTD 1635
DDB2 1643
DDIT4 54541
DDR1 780
DDX10 1662
DDX42 11325
DECR1 1666
DLD 1738
DMTF1 9988
DNAJA3 9093
DNAJB1 3337
DNAJB2 3300
DNAJB6 10049
DNM1L 10059
DNMT1 1786
DNTTIP2 30836
DPH2 1802
DRAP1 10589
DUSP11 8446
DUSP14 11072
DYNLT3 6990
EAPP 55837
EBNA1BP2 10969
EBP 10682
ECD 11319
ECH1 1891
EDEM1 9695
EFCAB14 9813
EGFR 1956
ELAC2 60528
ELAVL1 1994
ELOVL6 79071
ELP1 8518
EML3 256364
ENOSF1 55556
EPB41L2 2037
EPN2 22905
EPRS 2058
ETFB 2109
EXT1 2131
EZH2 2146
FAH 2184
FAM20B 9917
FAS 355
FAT1 2195
FBXO7 25793
FDFT1 2222
FHL2 2274
FKBP4 2288
FOS 2353
FOXJ3 22887
FOXO4 4303
FPGS 2356
FUT1 2523
G3BP1 10146
GAA 2548
GABPB1 2553
GADD45A 1647
GADD45B 4616
GALE 2582
GAPDH 2597
GFPT1 2673
GLOD4 51031
GLRX 2745
GNAI2 2771
GNAS 2778
GNB5 10681
GNPDA1 10007
GPC1 2817
GRN 2896
GSTM2 2946
GTF2A2 2958
GTF2E2 2961
HADH 3033
HAT1 8520
HDAC2 3066
HDAC6 10013
HES1 3280
HIST2H2BE 8349
HK1 3098
HMGCR 3156
HPRT1 3251
HS2ST1 9653
HSD17B10 3028
HTATSF1 27336
HTRA1 5654
HYOU1 10525
ICAM3 3385
ICMT 23463
ID2 3398
IER3 8870
IFRD2 7866
IGF1R 3480
IGF2R 3482
IKBKB 3551
IKBKE 9641
IL13RA1 3597
IL4R 3566
ILK 3611
INPP1 3628
INPP4B 8821
INSIG1 3638
INTS3 65123
IPO13 9670
IQGAP1 8826
ITGAE 3682
ITGB1BP1 9270
ITGB5 3693
JUN 3725
KAT6A 7994
KCNK1 3775
KDELR2 11014
KDM5A 5927
KDM5B 10765
KEAP1 9817
KHDC4 22889
KIAA0100 9703
KIAA0355 9710
KIAA0753 9851
KIF14 9928
KIF5C 3800
KIT 3815
KLHL21 9903
KTN1 3895
LAMA3 3909
LBR 3930
LGALS8 3964
LGMN 5641
LIG1 3978
LIPA 3988
LOXL1 4016
LPAR2 9170
LPGAT1 9926
LRP10 26020
LRPAP1 4043
LRRC41 10489
LSM6 11157
LSR 51599
LYRM1 57149
MACF1 23499
MACF1 643314
MALT1 10892
MAMLD1 10046
MAN2B1 4125
MAP2K5 5607
MAP3K4 4216
MAP4K4 9448
MAP7 9053
MAPK9 5601
MAPKAPK3 7867
MBNL2 10150
MBOAT7 79143
MBTPS1 8720
MCM3 4172
MELK 9833
MEST 4232
MFSD10 10227
MLEC 9761
MOK 5891
MPC2 25874
MPZL1 9019
MRPL12 6182
MRPL19 9801
MSH6 2956
MTF2 22823
MTFR1 9650
MTHFD2 10797
MVP 9961
MYBL2 4605
MYC 4609
MYCBP 26292
MYO10 4651
NCAPD2 9918
NCOA3 8202
NET1 10276
NFE2L2 4780
NFIL3 4783
NIPSNAP1 8508
NISCH 11188
NIT1 4817
NMT1 4836
NNT 23530
NOLC1 9221
NPC1 4864
NPRL2 10641
NR2F6 2063
NRIP1 8204
NUCB2 4925
NUDCD3 23386
NUP133 55746
NUP62 23636
NUP88 4927
NUP93 9688
NVL 4931
ORC1 4998
OXA1L 5018
OXCT1 5019
OXSR1 9943
P4HA2 8974
PAF1 54623
PAFAH1B1 5048
PAFAH1B3 5050
PAICS 10606
PAK4 10298
PAN2 9924
PAX8 7849
PCBD1 5092
PCK2 5106
PCM1 5108
PCMT1 5110
PDHX 8050
PDIA5 10954
PDLIM1 9124
PEX11A 8800
PGM1 5236
PGRMC1 10857
PHGDH 26227
PHKA1 5255
PHKB 5257
PHKG2 5261
PIGB 9488
PIK3C2B 5287
PIN1 5300
PIP4K2B 8396
PKIG 11142
PLA2G15 23659
PLOD3 8985
PLP2 5355
PLS1 5357
PLSCR1 5359
PMAIP1 5366
PMM2 5373
PNP 4860
POLB 5423
POLD4 57804
POLE2 5427
POLG2 11232
POLR1C 9533
POLR2K 5440
POP4 10775
PPARG 5468
PPIC 5480
PPIE 10450
PPOX 5498
PPP2R5A 5525
PPP2R5E 5529
PRAF2 11230
PRCP 5547
PRKACA 5566
PRKCD 5580
PRPF4 9128
PRSS23 11098
PSIP1 11168
PSMG1 8624
PSRC1 84722
PTK2 5747
PTPN1 5770
PTPN12 5782
PTPRF 5792
PTPRK 5796
PWP1 11137
PXN 5829
PYCR1 5831
PYGL 5836
RAB11FIP2 22841
RAB21 23011
RAB4A 5867
RAD51C 5889
RAD9A 5883
RAI14 26064
RAP1GAP 5909
RBM15B 29890
RBM6 10180
REEP5 7905
RELB 5971
RFC5 5985
RFX5 5993
RGS2 5997
RNH1 6050
RNMT 8731
RPA1 6117
RPA2 6118
RPN1 6184
RPP38 10557
RPS6KA1 6195
RRAGA 10670
RRP8 23378
RSU1 6251
RUVBL1 8607
RXYLT1 10329
S100A13 6284
S100A4 6275
SACM1L 22908
SCARB1 949
SCCPDH 51097
SCP2 6342
SCRN1 9805
SCYL3 57147
SDHB 6390
SENP6 26054
SFN 2810
SGCB 6443
SH3BP5 9467
SHB 6461
SKIV2L 6499
SLC25A13 10165
SLC25A14 9016
SLC25A4 291
SLC35A1 10559
SLC35A3 23443
SLC35B1 10237
SLC37A4 2542
SLC5A6 8884
SMAD3 4088
SMARCC1 6599
SMARCD2 6603
SMC1A 8243
SMC4 10051
SMNDC1 10285
SNX7 51375
SOCS2 8835
SORBS3 10174
SOX4 6659
SPAG7 9552
SPEN 23013
SPR 6697
SPTLC2 9517
SSBP2 23635
ST3GAL5 8869
ST6GALNAC2 10610
ST7 7982
STAT1 6772
STK10 6793
STK25 10494
STMN1 3925
STX1A 6804
STX4 6810
STXBP1 6812
STXBP2 6813
SYNE2 23224
SYNGR3 9143
SYPL1 6856
TARBP1 6894
TATDN2 9797
TBPL1 9519
TCEA2 6919
TCEAL4 79921
TCERG1 10915
TCFL5 10732
TCTA 6988
TENT4A 11044
TERF2IP 54386
TES 26136
TESK1 7016
TIMELESS 8914
TIMM17B 10245
TIMP2 7077
TJP1 7082
TLE1 7088
TM9SF2 9375
TMCO1 54499
TMED10 10972
TMEM109 79073
TNIP1 10318
TOMM34 10953
TOMM70 9868
TOP2A 7153
TOPBP1 11073
TOR1A 1861
TP53BP1 7158
TP53BP2 7159
TPD52L2 7165
TRAK2 66008
TRAP1 10131
TRAPPC3 27095
TRAPPC6A 79090
TRIB1 10221
TRIM13 10206
TSC22D3 1831
TSPAN3 10099
TSPAN4 7106
TSPAN6 7105
TUBB6 84617
TWF2 11344
TXNRD1 7296
UBE2A 7319
UBE2C 11065
UBE2L6 9246
UBE3C 9690
UGDH 7358
USP1 7398
USP14 9097
USP22 23326
USP6NL 9712
USP7 7874
VAPB 9217
VAT1 10493
VPS72 6944
WASF3 10810
WASHC5 9897
WFS1 7466
XBP1 7494
XPNPEP1 7511
YME1L1 10730
ZFP36 7538
ZMYM2 7750
ZNF274 10782
ZNF318 24149
ZW10 9183
ABCC5 10057
ABHD4 63874
ABHD6 57406
ACAA1 30
ACAT2 39
ACLY 47
ACOT9 23597
ADAT1 23536
ADGRG1 9289
ADI1 55256
ADO 84890
ADRB2 154
AKAP1 8165
AKAP8L 26993
AKR7A2 8574
ALDOA 226
