"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","papaverine-1755","33/100",1.86374986783458e-15,1.13688741937909e-11,0,0,5.08083140877598,172.322422478524,"IDI1;INSIG1;ADM;BCL10;ADRB2;ENO2;PTGS2;TNF;NDRG1;HSPA13;EPS8;PSTPIP2;EIF4EBP1;CCL2;CHAC1;CD14;MYLIP;SUN2;SLC38A1;CISH;HMGCS1;GADD45A;BNIP3;DHCR24;SLC39A14;F3;SQLE;P4HA1;SLCO4A1;PSAT1;DDIT4;TRIB3;ATF3",15.1515151515152,5,0,0,12.1212121212121,4
"2","dequalinium chloride-1276","29/100",3.7717643373419e-12,1.15038812288928e-08,0,0,4.46497305619708,117.44432158101,"IDI1;CD83;NARF;PFKFB3;INSIG1;HP;ADM;ENO2;CFP;SLC2A5;PTGS2;NDRG1;HSPA13;NFIL3;NEU1;CHAC1;ATP6V0E2;PDK1;EGR2;CHKB;HMGCS1;ARG1;BNIP3;MRPL52;P4HA1;IL1B;DDIT4;TRIB1;ATF3",10.3448275862069,3,0,0,6.89655172413793,2
"3","LY-294002-6186","28/100",2.24794309257119e-11,4.57081762156141e-08,0,0,4.31100846805235,105.699117993171,"ECM1;ORM1;ANKRD55;HP;SLC3A2;STC2;CCL2;CTSG;CHAC1;PIM2;PDK1;WNT10B;KLF11;ZHX2;ERAP2;ANXA3;ASNS;RNASE2;SLC39A14;CCNA1;SLC7A5;DHRS9;PSAT1;OAS3;CTH;DDIT4;TRIB3;S100P",3.57142857142857,1,0,0,17.8571428571429,5
"4","ethaverine-3037","28/100",2.24794309257119e-11,3.42811321617106e-08,0,0,4.31100846805235,105.699117993171,"IDI1;NARF;PLOD2;ADM;ADRB2;VLDLR;ENO2;PTGS2;NDRG1;NFIL3;STC2;CCL2;CHAC1;HIST1H2AM;EGLN1;EGR2;ZHX2;HMGCS1;SLC31A1;BNIP3;MMP9;LRRC20;P4HA1;PSAT1;CTH;DDIT4;MAFF;ATF3",14.2857142857143,4,0,0,14.2857142857143,4
"5","LY-294002-6198","27/100",1.2757254586441e-10,1.55638505954581e-07,0,0,4.15704387990762,94.7071701310533,"ORM1;ANKRD55;CD1D;SLC7A11;RETN;CD1C;STC2;HYAL3;CCL2;CTSG;CHAC1;KLRG1;APOBEC3C;WNT10B;ZHX2;LAMB3;CCL20;RNASE2;SLC39A14;SLC7A5;FCER2;DHRS9;PSAT1;CTH;SNAI1;PRTN3;TRIB3",3.7037037037037,1,0,0,18.5185185185185,5
"6","ellipticine-1765","26/100",6.88697384974392e-10,7.00175674723965e-07,0,0,4.0030792917629,84.4498380155827,"CD83;ADM;SLC3A2;MTMR4;TNF;AP3M2;CYB5R1;LYL1;PSTPIP2;UCP2;CCL2;CHAC1;CD14;CCNL1;TNS3;ZNF267;PCK2;EAF2;SLC39A14;LPAR6;MAP7D1;CTH;DDIT4;EXOC3;TRIB3;AARS",11.5384615384615,3,0,0,7.69230769230769,2
"7","lansoprazole-2967","25/100",3.53288891582179e-09,3.07866034093042e-06,0,0,3.84911470361817,74.9081982715485,"DENND1C;HIST1H2BN;CD82;HP;PLOD2;ADM;ENO2;CFP;PTGS2;TSPAN32;RCBTB2;A2M;S1PR4;STAT5A;WNT10B;DUSP2;CISH;TRAF1;FOS;KLF2;LRRC20;XKR8;DHRS9;NINJ1;TMBIM1",4,1,0,0,8,2
"8","doxorubicin-5671","24/100",1.72009513099412e-08,1.31157253738302e-05,0,0,3.69515011547344,66.0630065438853,"PLEKHF2;OSR2;CEBPB;EGR3;TIPARP;CITED2;IFRD1;AMIGO2;EIF2AK3;JMJD1C;RND3;RHOB;XKR8;NFIL3;SERTAD2;DDIT4;MPHOSPH10;TRIB1;JUNB;IER5;IER2;ZNF267;IER3;BANP",0,0,0,0,12.5,3
"9","daunorubicin-4983","24/100",1.72009513099412e-08,1.16584225545157e-05,0,0,3.69515011547344,66.0630065438853,"PLEKHF2;OSR2;MORC3;FOXC1;CEBPB;EGR3;TIPARP;SETD1B;AMIGO2;JMJD1C;BCL10;RND3;RHOB;PCF11;SERTAD2;DDIT4;MPHOSPH10;TRIB1;IER5;HOXA5;IER2;ZNF267;IER3;BANP",0,0,0,0,12.5,3
"10","ciclosporin-1331","24/100",1.72009513099412e-08,1.04925802990641e-05,0,0,3.69515011547344,66.0630065438853,"ACVR1;APOBEC3C;WNT10B;EGR3;PDXDC1;CCL20;EPHX1;IL24;PLEKHA5;RETN;F3;BATF;EPS8;NR4A2;CCNA1;SLC22A18;CCL2;ACO1;CD14;SGK1;ATP6V0E2;CHST2;SASH1;IER3",8.33333333333333,2,0,0,4.16666666666667,1
