"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","anisomycin-1304","50/100",7.36467306061313e-33,4.49245056697401e-29,0,0,7.69822940723634,569.58131955989,"BTG2;CD83;IL24;CXCL2;ZFP36;NAMPT;HIST1H2AE;HIST1H1E;OLR1;HIST1H2AG;PHLDA1;HIST1H2AC;IER3;HIST1H1C;DUSP2;TEX14;FOS;HIST2H2BE;RHOB;ARL4C;IL1B;HIST1H2BE;HIST1H2BH;HIST1H2BG;SGK1;ATF3;HIST1H2BD;HIST1H2BC;BIRC3;PPP1R15A;HIST1H2BJ;HIST1H2BI;CREM;PTGS2;HIST1H3H;EGR2;EGR3;DNAH17;TIPARP;CCL20;LIF;OSM;G0S2;H2BFS;BMP6;NR4A2;KLF6;NR4A3;HIST1H4H;UBAP1",4,2,0,0,10,5
"2","anisomycin-6764","46/100",2.67933499527615e-28,8.17197173559225e-25,0,0,7.08237105465743,449.637173657406,"PPP1R15A;BTG2;HIST1H2BJ;HIST1H2BI;MT1M;IL24;HIST1H1T;TNFAIP3;ADM;CXCL3;PTGS2;CXCL2;ZFP36;DMBT1;STC2;HIST1H2AE;CYP1B1;HIST1H2AG;HIST1H3H;SOX4;HIST1H1C;GADD45B;LIF;TEX14;FOS;HIST2H2BE;RHOB;ARC;IL6;KLF6;HIST3H2A;DHRS9;LPAR6;MAFF;HIST1H2BF;HIST1H2BE;HIST1H4H;HIST1H2BH;HIST1H2BG;ANGPTL4;SGK1;HIST1H4D;ATF3;HIST1H2BD;HIST1H2BC;BIRC3",2.17391304347826,1,0,0,10.8695652173913,5
"3","cicloheximide-5743","45/100",3.34425584220193e-27,6.79998687914393e-24,0,0,6.9284064665127,422.373348573034,"PPP1R15A;DLX2;HIST1H2BJ;HIST1H2BI;IL24;TNFAIP3;ADM;PTGS2;CXCL2;IFIT2;OASL;DMBT1;STC2;HIST1H2AE;CYP1B1;HIST1H2AG;HIST1H3H;PHLDA1;HIST1H2AC;SOX4;HIST1H1C;EGR2;GADD45B;GADD45A;TIPARP;LIF;H2BFS;HIST2H2BE;RHOB;IL6;KLF6;HIST3H2A;MAFF;HIST1H2BF;HIST1H2BE;HIST1H4H;HIST1H2BH;HIST1H2BG;ANGPTL4;SGK1;ATF3;HIST1H2BD;HIST1H2BC;CREB5;BIRC3",2.22222222222222,1,0,0,11.1111111111111,5
"4","8-azaguanine-1791","44/100",4.00775357058095e-26,6.11182419513594e-23,0,0,6.77444187836798,396.162461551179,"PPP1R15A;CEBPB;CSF2;CD83;BCL2A1;IL24;STC1;TNFAIP3;ADM;CXCL1;CXCL3;PTGS2;CXCL2;RND3;ZFP36;STC2;CYP1B1;CHAC1;UPP1;PHLDA1;JUNB;IER2;IER3;GADD45B;GADD45A;TIPARP;CCL20;LIF;G0S2;FOS;SOD2;KLF2;RHOB;ARC;IL6;KLF6;HIST3H2A;KRT17;KRT16;IL1B;DDIT4;MAFF;SGK1;ATF3",4.54545454545455,2,0,0,13.6363636363636,6
"5","felodipine-965","44/100",4.00775357058095e-26,4.88945935610876e-23,0,0,6.77444187836798,396.162461551179,"PPP1R15A;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H2BI;TNFAIP3;IRS2;SLC7A11;OASL;ZFP36;HIST1H2AE;HIST1H1D;HIST1H2AG;HIST1H3H;PHLDA1;JUNB;IER5;HIST1H2AC;IER2;NKX3-1;HIST1H1C;HIST1H2AI;GADD45B;GADD45A;TIPARP;FOS;KLF4;HIST2H2BE;KLF2;NR4A2;FOSL1;ARC;KLF6;NR4A3;IRF1;DDIT4;MAFF;HIST1H2BF;HIST1H4H;SIK1;HIST1H2BG;TRIB1;NFKBIE;ATF3",0,0,0,0,11.3636363636364,5
"6","azacyclonol-1520","43/100",4.61064068652249e-25,4.68748469796453e-22,0,0,6.62047729022325,370.986790068923,"PPP1R15A;DLX2;HIST1H2BO;HIST1H2BJ;TNFAIP3;IRS2;SLC7A11;TNF;OASL;ZFP36;NFIL3;HIST1H2AE;HIST1H1D;HIST1H2AG;CHAC1;CCNL1;PHLDA1;JUNB;HIST1H2AC;IER2;HIST1H1C;EGR2;EGR3;GADD45B;GADD45A;TEX14;FOS;KLF4;HIST2H2BE;KLF2;NR4A2;FOSL1;ARC;KLF6;NR4A3;IRF1;DDIT4;MAFF;HIST1H4H;HIST1H2BG;TRIB1;ATF3;HIST1H2BC",2.32558139534884,1,0,0,11.6279069767442,5
"7","anisomycin-5364","43/100",4.61064068652249e-25,4.01784402682674e-22,0,0,6.62047729022325,370.986790068923,"PPP1R15A;DLX2;CD83;HIST1H2BO;HIST1H2BJ;HIST1H2BI;TNFAIP3;TNF;OASL;ZFP36;HIST1H2AE;HIST1H1D;CYP1B1;CCL2;HIST1H2AG;HIST1H3H;CCNL1;PHLDA1;JUNB;IER2;HIST1H1C;EGR2;HIST1H2AI;HIST1H2AJ;TAP1;TEX14;FOS;HIST2H2BE;DUSP6;IL6;NR4A3;IRF1;MAFF;HIST1H2BF;HIST1H2BE;HIST1H4H;HIST1H2BH;HIST1H2BG;NFKBIE;HIST1H4D;ATF3;HIST1H2BC;BIRC3",4.65116279069767,2,0,0,9.30232558139535,4
"8","mefloquine-2210","42/100",5.09091520733337e-24,3.88182284559169e-21,0,0,6.46651270207852,346.828722667311,"PPP1R15A;HIST1H2BN;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H2BI;HIST1H1T;TNFAIP3;IRS2;SLC7A11;IFIT2;OASL;ZFP36;HIST1H2AE;CYP1B1;HIST1H2AG;CHAC1;JUNB;IER2;HIST1H1C;IL32;GADD45B;GADD45A;TEX14;FOS;HIST2H2BE;KLF2;RHOB;KLF6;NR4A3;IRF1;DDIT4;MAFF;HIST1H2BF;HIST1H4H;HIST1H2BH;TRIB3;HIST1H2BG;ATF3;HIST1H4E;HIST1H2BC;BIRC3",0,0,0,0,16.6666666666667,7
"9","lycorine-2195","42/100",5.09091520733337e-24,3.4505091960815e-21,0,0,6.46651270207852,346.828722667311,"PPP1R15A;CD83;HIST1H2BJ;IL24;CREM;CXCL2;ZFP36;NAMPT;HIST1H3G;OLR1;PHLDA1;HIST1H2AC;IER3;HIST1H1C;ABCA1;DNAH17;IL1R1;TIPARP;CCL20;OSM;ATP2B1;BMP6;HIST2H2BE;RHOB;NR4A2;ARL4C;MARCKS;KLF6;RIT1;NR4A3;DHRS9;IL1B;HIST1H2BE;UBAP1;HIST1H2BH;HIST1H2BG;TRIB1;ATF3;HIST1H2BD;HIST1H2BC;CREB5;BIRC3",2.38095238095238,1,0,0,9.52380952380952,4
"10","etoposide-1626","41/100",5.39393606636046e-23,3.29030100047988e-20,0,0,6.3125481139338,323.670739406448,"PPP1R15A;BTG2;CD83;IL24;TNFAIP2;TNFAIP3;PTGS2;CXCL2;NXF1;ME1;CYP1B1;OLR1;CCL2;CD14;PHLDA1;HIST1H2AC;IER3;ABCA1;EGR2;DUSP2;GCH1;CCL20;G0S2;ISG15;H2BFS;ATP2B1;SOD2;NR4A2;RIT1;NR4A3;OAS1;IL1B;OAS3;NINJ1;IRF7;HIST1H2BE;SGK1;ATF3;HIST1H2BD;HIST1H4E;TNFRSF21",9.75609756097561,4,0,0,9.75609756097561,4
