"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","vorinostat-6179","48/100",1.87690603916071e-30,1.14491268388803e-26,0,0,7.35632183908046,503.524988266823,"USP13;SPI1;RGS19;CXORF21;TRAC;FGL2;SLA;LRMP;ARRB1;PLA2G7;CALHM2;ADORA3;P2RY2;CLEC5A;C3AR1;CYTIP;IL6R;S1PR4;FCGR1B;LAIR1;CCR2;NFE2;IL1R2;LMO2;CARD9;CACNA2D3;DDX54;GMIP;KBTBD11;PARP8;FGR;MS4A6A;DOK2;FMNL1;IL8;FES;ELF4;GPR183;C3ORF64;TRIB3;LCP2;PLEKHO1;PTPN6;LTB;PTPN7;CD69;XAF1;GPR18",2.08333333333333,1,0,0,8.33333333333333,4
"2","vorinostat-1161","43/100",5.53984561507687e-25,1.68965291259844e-21,0,0,6.59003831417624,368.071173907614,"SLC22A4;USP13;RGS19;CXORF21;TRAC;SLA;LRMP;TARP;ADCY7;CALHM2;P2RY2;CLEC5A;CCL4;C3AR1;CYTIP;FCGR1B;LAIR1;NFE2;ATP8B4;LMO2;CACNA2D3;HMHA1;NFKB1;KBTBD11;TNFRSF1A;PARP8;BATF;FGR;MS4A6A;EVI2A;IL8;FES;GPR183;PECAM1;TRIB3;LCP2;PTPN6;PTPN7;CD69;EVI2B;GPR18;CD244;TLR2",0,0,0,0,6.97674418604651,3
"3","trichostatin A-6193","41/100",6.41574324146096e-23,1.30453445909706e-19,0,0,6.28352490421456,321.092535446832,"SPI1;SIGLEC9;RGS19;CXORF21;FGL2;SLA;ARRB1;TARP;ITGAL;PLA2G7;AGPAT3;P2RY2;CLEC5A;CCL4;C3AR1;FCGR1B;LAIR1;HERC6;CCR2;NFE2;ATP8B4;IL1R2;MX2;CARD9;HMHA1;RHOH;GMIP;LAT2;FGR;MS4A6A;DOK2;FMNL1;OAS1;FES;C3ORF64;TRIB3;PTPN6;LTB;PTPN7;CD69;GPR18",2.4390243902439,1,0,0,4.8780487804878,2
"4","vorinostat-2680","36/100",4.45074774036687e-18,6.78739030405948e-15,0,0,5.51724137931034,220.432880332619,"RGS19;CXORF21;TRAC;TARP;P2RY6;SPR;HLX;P2RY2;CLEC5A;CYTIP;FCGR1B;LAIR1;DENND2D;NFE2;ATP8B4;BATF3;IL4R;CACNA2D3;HMHA1;NFKB1;KBTBD11;FGR;MS4A6A;DOK2;IL8;FES;GPR183;TRIB3;PTPN6;FAR2;LTB;PTPN7;XAF1;RBM23;GPR18;CD244",0,0,0,0,8.33333333333333,3
"5","trichostatin A-1175","33/100",2.12932017193738e-15,2.5977706097636e-12,0,0,5.05747126436782,170.856418380059,"RGS19;CXORF21;TRAC;SLA;LRMP;TARP;RASSF2;CLEC7A;P2RY2;CLEC5A;CCL4;CYTIP;FCGR1B;NFE2;ATP8B4;LMO2;HMHA1;TNFRSF1A;PARP8;FGR;MS4A6A;FMNL1;IL8;TNIP1;GPR183;PECAM1;TRIB3;LCP2;PTPN6;PTPN7;CD69;EVI2B;GPR18",3.03030303030303,1,0,0,12.1212121212121,4
"6","LY-294002-2696","31/100",1.04069452838296e-13,1.05803943718934e-10,0,0,4.75095785440613,142.023793868213,"CX3CR1;ORM1;UNC93B1;HP;SLC2A5;AGPAT3;APOL6;EIF4EBP1;CTSG;PCK2;CCR2;DENND2D;NFE2;BATF3;CACNA2D3;DDX54;RHOH;RNASE2;TM6SF1;KBTBD11;SLC7A5;MS4A6A;VNN2;PSAT1;CLCF1;TBXAS1;IRF8;TRIB3;XAF1;BCAT1;AARS",0,0,0,0,9.67741935483871,3
"7","trichostatin A-2694","30/100",6.78846979118612e-13,5.91566653231933e-10,0,0,4.59770114942529,128.820140941943,"RGS19;CXORF21;TRAC;LRRK1;TARP;CLEC5A;LAIR1;DENND2D;NFE2;ATP8B4;LMO2;CACNA2D3;HMHA1;KBTBD11;ETV6;PARP8;FGR;MS4A6A;DOK2;FMNL1;IL8;FES;GPR183;TFEC;TRIB3;PTPN6;FAR2;PTPN7;XAF1;GPR18",0,0,0,0,10,3
"8","LY-294002-6198","28/100",2.5049433546771e-11,1.91001930794129e-08,0,0,4.2911877394636,104.748621799784,"ORM1;SIGLEC9;TRAC;RETN;CD1C;NCALD;FSTL3;P2RY6;APOL6;ADORA3;CTSG;CCR2;BATF3;IL1R2;EMR1;CACNA2D3;RHOH;RNASE2;SLC39A14;SLC7A5;MS4A6A;HAL;DHRS9;PSAT1;PNOC;IRF8;TRIB3;PFN2",0,0,0,0,14.2857142857143,4
"9","valproic acid-410","27/100",1.41452916171985e-10,9.58736431832345e-08,0,0,4.13793103448276,93.844362215666,"RASL12;SPI1;CXORF21;FGL2;TARP;C20ORF103;MAN2A2;P2RY2;CLEC5A;CD33;LAIR1;CCR2;NFE2;RNF44;CD180;CACNA2D3;RNASE6;GMIP;KBTBD11;MS4A6A;FMNL1;IL8;FES;GPR183;PTPN6;MNDA;PTPN7",0,0,0,0,7.40740740740741,2
"10","lycorine-2195","27/100",1.41452916171985e-10,8.62862788649111e-08,0,0,4.13793103448276,93.844362215666,"CX3CR1;RGS19;LRRK1;ASB13;SLA;GIMAP6;ADCY7;CCND3;CALHM2;CHST12;LAIR1;DENND2D;C14ORF159;NFE2;SEMA4D;SLC39A14;KBTBD11;SLC7A5;MS4A6A;SH3YL1;SLC7A7;PSAT1;MGAT4A;IRF8;PTPRCAP;LTB;XAF1",0,0,0,0,3.7037037037037,1
