"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","mebendazole-2338","38/100",5.85106499238155e-20,3.56914964535275e-16,0,0,5.82375478927203,257.905436058024,"CD86;IL1RN;CD83;TNFAIP6;RGS16;TRAC;FPR1;TNFAIP3;SLC2A3;LILRA2;PTGS2;CXCL2;TREM1;RGS1;C3AR1;PDE4B;CYTIP;GBP2;PDLIM7;PPP1R16B;TLE3;MEF2C;IL4R;SMOX;IL10RA;NDE1;PLAUR;G0S2;ARL4C;PTPRE;FMNL1;PTPRC;IL8;IL1B;ARHGEF3;LTB;MCTP2;GAS7",10.5263157894737,4,0,0,7.89473684210526,3
"2","clonidine-1555","35/100",3.63791559027549e-17,1.10956425503402e-13,0,0,5.3639846743295,203.04042139704,"CD86;IL1RN;NCF2;RGS13;RGS16;ATP2A3;SLC2A3;ARRB2;SLC2A5;PTGS2;FAIM3;TREM1;RAB11FIP1;RGS1;CHN2;PDE4B;CD38;PPP1R16B;ENTPD1;ARG1;SMOX;IL10RA;RNASE6;CYP27A1;PTPRE;NR4A3;GPR183;IL1B;QPCT;NINJ1;PNOC;RIN3;FCGR2C;SIGLEC7;GAS7",14.2857142857143,5,0,0,11.4285714285714,4
"3","phenylpropanolamine-3217","34/100",2.8457818016292e-16,5.78642299664604e-13,0,0,5.21072796934866,186.520736310627,"SP100;MS4A3;WIPF1;SLC43A3;GMFG;LST1;ITGB2;PLEK;FAM129A;CXCR4;ITGAL;LTC4S;SAMSN1;PLAC8;GNA15;RGS1;ALOX5;CD58;FCGR1B;ELANE;LAIR1;EXPH5;LMO2;RNASE3;IPCEF1;RNASE2;MS4A6A;CD4;TYROBP;EVI2A;IL8;IRF8;MNDA;ARHGEF6",8.82352941176471,3,0,0,5.88235294117647,2
"4","etoposide-1626","33/100",2.12932017193738e-15,3.2472132622045e-12,0,0,5.05747126436782,170.856418380059,"CD86;PPP1R15A;CD83;TNFAIP6;SAMD9;FPR1;TNFAIP3;PTGS2;CXCL2;RELB;IFIH1;MAP1LC3B;CCL4;CYP1B1;LPXN;CD58;RAB8B;PPP1R16B;EGR2;MX2;IL10RA;G0S2;KMO;NFKB2;CYLD;RIT1;NR4A3;IL8;OAS1;GPR183;IL1B;NINJ1;TFEC",6.06060606060606,2,0,0,12.1212121212121,4
"5","fenoterol-2378","33/100",2.12932017193738e-15,2.5977706097636e-12,0,0,5.05747126436782,170.856418380059,"CD86;IL1RN;TNFAIP6;PBXIP1;ARRB2;CFP;PLA2G7;CSF2RA;TREM1;SEL1L3;TYMP;GNG7;CHN2;TRBC1;CD38;SLC15A3;ICOSLG;PDLIM7;PPP1R16B;TLE3;IL11;MX2;IL10RA;RUNX1;ARL4C;PLSCR3;GPR183;PECAM1;ARHGEF3;TCF3;FCGR2C;GAS7;PLEC",6.06060606060606,2,0,0,3.03030303030303,1
"6","tretinoin-390","32/100",1.5230343987374e-14,1.54841830538302e-11,0,0,4.90421455938697,156.029972804111,"CEBPB;BCL2A1;LUZP1;SLA;NCF1C;LRMP;ARRB1;ARRB2;CFP;SLC2A5;PIK3CG;SEL1L3;LILRA5;SYDE1;CPT2;PMAIP1;CD38;CCR3;TGM2;CCR1;SLC12A4;MARCKSL1;GPR15;BIK;SMOX;SLC11A2;LILRB2;FGR;ELF4;LPPR2;PLEKHO1;SIPA1",3.125,1,0,0,9.375,3
"7","tretinoin-1152","32/100",1.5230343987374e-14,1.32721569032831e-11,0,0,4.90421455938697,156.029972804111,"CEBPB;ITGAM;PLEK;SLA;NCF1C;CXCR4;RASGRP2;CFP;SLC2A5;FAIM3;PIK3CG;SEL1L3;LILRA5;CD38;VSIG4;UPP1;TGM2;EXPH5;PPP1R16B;CCR1;PRKCH;CD300A;SMOX;G0S2;LILRB2;LILRB3;FGR;CPD;PECAM1;ARHGEF3;TLR5;GAS7",0,0,0,0,12.5,4
"8","emetine-2145","32/100",1.5230343987374e-14,1.16131372903727e-11,0,0,4.90421455938697,156.029972804111,"CD86;PPP1R15A;IL1RN;TRAF3IP3;TNFAIP6;GPR65;TNFAIP3;PRDM1;SAMSN1;FCAR;RELB;ADAM28;RAB20;HLX;CCL4;PDE4B;MEF2C;EGR2;TNFSF14;IL10RA;G0S2;KMO;LAX1;ARHGAP25;ISG20;ARL4C;NR4A3;VNN1;IL1B;ARHGEF3;RIN3;BIRC3",9.375,3,0,0,18.75,6
"9","cephaeline-2429","32/100",1.5230343987374e-14,1.03227887025535e-11,0,0,4.90421455938697,156.029972804111,"IL1RN;TRAF3IP3;C1ORF38;GPR65;CXCR5;TNFAIP3;PRDM1;LILRA2;PTGS2;FAIM3;SAMSN1;FCAR;RAB20;HLX;PDE4B;MEF2C;EGR2;TNFSF14;IL10RA;OSM;G0S2;CFLAR;LAX1;ARHGAP25;ISG20;ARL4C;NR4A3;GPR183;IL1B;RIN3;LCP2;BIRC3",12.5,4,0,0,21.875,7
"10","dobutamine-1589","31/100",1.04069452838296e-13,6.34823662313604e-11,0,0,4.75095785440613,142.023793868213,"CD86;DOCK5;IL1RN;IGSF6;RGS13;FPR1;RNF19B;GIMAP5;FPR2;RASGRP2;PVR;SEL1L3;RELB;EPB41L3;GRK6;CD38;PPP1R16B;EGR2;SMOX;SLC11A1;MX2;CACNA2D3;FCGR2A;OAS1;ELF4;GPR183;IL1B;PADI2;BPI;FCGR2C;SIGLEC7",6.45161290322581,2,0,0,9.67741935483871,3
