"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","cephaeline-2429","9/100",1.14284065574161e-10,6.97132800002381e-07,0,0,24.3243243243243,556.840555872472,"ISG20;LAMB3;TNFSF14;DNAH17;TNFAIP3;G0S2;SAMSN1;IER3;BIRC3",0,0,0,0,100,9
"2","zardaverine-2926","7/100",8.64026941615992e-08,0.000263528217192878,0,0,18.9189189189189,307.701969876693,"TKTL1;CCL22;MLPH;LAMB3;DNAH17;LAMP3;SLC16A10",0,0,0,0,100,7
"3","methylergometrine-1607","7/100",8.64026941615992e-08,0.000175685478128585,0,0,18.9189189189189,307.701969876693,"CCL22;DNAH17;SMOX;NINJ1;HIST1H2BK;SLC16A10;SAMSN1",0,0,0,0,100,7
"4","Prestwick-983-3141","7/100",8.64026941615992e-08,0.000131764108596439,0,0,18.9189189189189,307.701969876693,"ISG20;TKTL1;CCL22;LAMB3;DNAH17;SMOX;SLC16A10",0,0,0,0,100,7
"5","terfenadine-6823","7/100",8.64026941615992e-08,0.000105411286877151,0,0,18.9189189189189,307.701969876693,"ISG20;DDIT4;TNFAIP3;CXCR4;TRIB3;IER3;BIRC3",0,0,0,0,100,7
"6","(-)-isoprenaline-6149","7/100",8.64026941615992e-08,8.78427390642925e-05,0,0,18.9189189189189,307.701969876693,"ISG20;TKTL1;CCL22;LAMB3;TNFSF14;DNAH17;SLC16A10",0,0,0,0,100,7
"7","alprostadil-2938","7/100",8.64026941615992e-08,7.52937763408222e-05,0,0,18.9189189189189,307.701969876693,"ISG20;TKTL1;CCL22;LAMB3;DNAH17;SMOX;SLC16A10",0,0,0,0,100,7
"8","thioridazine-1655","7/100",8.64026941615992e-08,6.58820542982194e-05,0,0,18.9189189189189,307.701969876693,"HIST2H2AA3;ISG20;DDIT4;TNFAIP3;CXCR4;TRIB3;BIRC3",0,0,0,0,100,7
"9","emetine-2145","7/100",8.64026941615992e-08,5.85618260428617e-05,0,0,18.9189189189189,307.701969876693,"ISG20;TNFSF14;DNAH17;TNFAIP3;G0S2;SAMSN1;BIRC3",0,0,0,0,100,7
"10","tamoxifen-6768","6/100",1.88980916709281e-06,0.00115278359192662,0,0,16.2162162162162,213.714076277557,"ISG20;CA4;DDIT4;TNFAIP3;CXCR4;TGM2",0,0,0,0,100,6
"11","proadifen-7165","6/100",1.88980916709281e-06,0.00104798508356965,0,0,16.2162162162162,213.714076277557,"QPCT;DDIT4;TNFAIP3;CXCR4;TRIB3;CAMK1",0,0,0,0,100,6
"12","quinpirole-2977","6/100",1.88980916709281e-06,0.00096065299327218,0,0,16.2162162162162,213.714076277557,"ISG20;TKTL1;CCL22;DNAH17;SMOX;SLC16A10",0,0,0,0,100,6
"13","puromycin-2448","6/100",1.88980916709281e-06,0.00088675660917432,0,0,16.2162162162162,213.714076277557,"ISG20;LAMB3;TNFSF14;TNFAIP3;G0S2;BIRC3",0,0,0,0,100,6
"14","tretinoin-2671","6/100",1.88980916709281e-06,0.000823416851376154,0,0,16.2162162162162,213.714076277557,"LAMB3;SMOX;NINJ1;G0S2;TGM2;IER3",0,0,0,0,100,6
"15","clenbuterol-1613","6/100",1.88980916709281e-06,0.000768522394617744,0,0,16.2162162162162,213.714076277557,"SMOX;NINJ1;CXCR4;SLC16A10;ENO2;IER3",0,0,0,0,100,6
"16","tretinoin-6170","6/100",1.88980916709281e-06,0.000720489744954135,0,0,16.2162162162162,213.714076277557,"LAMB3;SMOX;NINJ1;G0S2;TGM2;IER3",0,0,0,0,100,6
"17","8-azaguanine-1833","6/100",1.88980916709281e-06,0.000678107995250951,0,0,16.2162162162162,213.714076277557,"HIST2H2AA3;DNAH17;G0S2;TRIB3;SLC16A10;IER3",0,0,0,0,100,6
"18","astemizole-6807","6/100",1.88980916709281e-06,0.00064043532884812,0,0,16.2162162162162,213.714076277557,"ISG20;DDIT4;TNFAIP3;CXCR4;TRIB3;BIRC3",0,0,0,0,100,6
"19","lasalocid-4985","6/100",1.88980916709281e-06,0.000606728206277166,0,0,16.2162162162162,213.714076277557,"ISG20;PLAU;SMOX;DDIT4;CAMK1;BIRC3",16.6666666666667,1,0,0,100,6
"20","maprotiline-5022","6/100",1.88980916709281e-06,0.000576391795963308,0,0,16.2162162162162,213.714076277557,"ISG20;DDIT4;TNFAIP3;CXCR4;TRIB3;BIRC3",0,0,0,0,100,6
"21","cicloheximide-2723","5/100",3.46278609549636e-05,0.010058569134537,0,0,13.5135135135135,138.795296892054,"ISG20;DNAH17;HIST1H2BK;SAMSN1;BIRC3",0,0,0,0,100,5
"22","(+)-chelidonine-1786","5/100",3.46278609549636e-05,0.00960136144660354,0,0,13.5135135135135,138.795296892054,"ISG20;ADORA3;CXCR4;SLC16A10;SAMSN1",0,0,0,0,100,5
"23","prasterone-5019","5/100",3.46278609549636e-05,0.00918391094892512,0,0,13.5135135135135,138.795296892054,"ISG20;SMOX;DDIT4;TNFAIP3;BIRC3",0,0,0,0,100,5
"24","ciclosporin-4411","5/100",3.46278609549636e-05,0.00880124799271991,0,0,13.5135135135135,138.795296892054,"ISG20;HDC;DDIT4;ADAM8;TGM2",0,0,0,0,100,5
"25","pizotifen-5072","5/100",3.46278609549636e-05,0.00844919807301111,0,0,13.5135135135135,138.795296892054,"TNIP1;DDIT4;TNFAIP3;TRIB3;BIRC3",20,1,0,0,100,5
"26","ivermectin-2213","5/100",3.46278609549636e-05,0.00812422891635684,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;TRIB3;BIRC3",0,0,0,0,100,5
"27","triamcinolone-1395","5/100",3.46278609549636e-05,0.00782333154908436,0,0,13.5135135135135,138.795296892054,"KCNH2;ADORA3;TNFAIP3;CXCR4;SAMSN1",0,0,0,0,100,5
"28","dinoprost-2446","5/100",3.46278609549636e-05,0.00754392685090278,0,0,13.5135135135135,138.795296892054,"ISG20;CCL22;TNFSF14;DNAH17;SLC16A10",0,0,0,0,100,5
"29","terfenadine-2227","5/100",3.46278609549636e-05,0.00728379144225096,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;TRIB3;BIRC3",0,0,0,0,100,5
"30","mometasone-1746","5/100",3.46278609549636e-05,0.00704099839417593,0,0,13.5135135135135,138.795296892054,"ISG20;ADORA3;DDIT4;CXCR4;SAMSN1",0,0,0,0,100,5
"31","trichostatin A-5802","5/100",3.46278609549636e-05,0.00681386941371864,0,0,13.5135135135135,138.795296892054,"KCNH2;DDIT4;PELI1;CORO1A;BIRC3",0,0,0,0,100,5
"32","nocodazole-1393","5/100",3.46278609549636e-05,0.00660093599453993,0,0,13.5135135135135,138.795296892054,"SMOX;HIST1H2BK;G0S2;SAMSN1;IER3",0,0,0,0,100,5
"33","thioridazine-1010","5/100",3.46278609549636e-05,0.00640090763106902,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;TRIB3;BIRC3",0,0,0,0,100,5
"34","puromycin-3310","5/100",3.46278609549636e-05,0.00621264564191993,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;TRIB3;BIRC3",0,0,0,0,100,5
"35","fluphenazine-5234","5/100",3.46278609549636e-05,0.00603514148072222,0,0,13.5135135135135,138.795296892054,"ISG20;PLAU;DDIT4;TNFAIP3;BIRC3",20,1,0,0,100,5
"36","pimozide-6780","5/100",3.46278609549636e-05,0.00586749866181327,0,0,13.5135135135135,138.795296892054,"ISG20;CCL22;DDIT4;TNFAIP3;TRIB3",0,0,0,0,100,5
"37","dihydroergocristine-1745","5/100",3.46278609549636e-05,0.0057089176168994,0,0,13.5135135135135,138.795296892054,"ISG20;DNAH17;SMOX;SLC16A10;SAMSN1",0,0,0,0,100,5
"38","bromocriptine-2007","5/100",3.46278609549636e-05,0.00555868294277047,0,0,13.5135135135135,138.795296892054,"DNAH17;SMOX;NINJ1;SLC16A10;SAMSN1",0,0,0,0,100,5
"39","lovastatin-2854","5/100",3.46278609549636e-05,0.00541615261090456,0,0,13.5135135135135,138.795296892054,"ISG20;CA4;DDIT4;TNFAIP3;CXCR4",0,0,0,0,100,5
"40","trifluoperazine-1004","5/100",3.46278609549636e-05,0.00528074879563194,0,0,13.5135135135135,138.795296892054,"KCNH2;ISG20;DDIT4;CXCR4;BIRC3",0,0,0,0,100,5
"41","niclosamide-4136","5/100",3.46278609549636e-05,0.00515195004451897,0,0,13.5135135135135,138.795296892054,"SMOX;DDIT4;TNFAIP3;TRIB3;BIRC3",0,0,0,0,100,5
"42","0173570-0000-7389","5/100",3.46278609549636e-05,0.00502928456726852,0,0,13.5135135135135,138.795296892054,"ISG20;SMOX;DDIT4;TNFAIP3;TRIB3",0,0,0,0,100,5
"43","norcyclobenzaprine-4190","5/100",3.46278609549636e-05,0.00491232446105297,0,0,13.5135135135135,138.795296892054,"C15ORF39;CCL22;DDIT4;CXCR4;TRIB3",0,0,0,0,80,4
"44","niclosamide-1916","5/100",3.46278609549636e-05,0.00480068072330177,0,0,13.5135135135135,138.795296892054,"TNIP1;DDIT4;PELI1;TRIB3;BIRC3",20,1,0,0,100,5
"45","metixene-5018","5/100",3.46278609549636e-05,0.00469399892945062,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;CXCR4;BIRC3",0,0,0,0,100,5
"46","prochlorperazine-5212","5/100",3.46278609549636e-05,0.00459195547446256,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;CXCR4;BIRC3",0,0,0,0,100,5
"47","suloctidil-2651","5/100",3.46278609549636e-05,0.00449425429415485,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;TRIB3;BIRC3",0,0,0,0,100,5
"48","trichostatin A-3746","5/100",3.46278609549636e-05,0.00440062399635995,0,0,13.5135135135135,138.795296892054,"KCNH2;DDIT4;PELI1;CXCR4;CORO1A",0,0,0,0,100,5
"49","dipivefrine-1752","5/100",3.46278609549636e-05,0.00431081534337302,0,0,13.5135135135135,138.795296892054,"ISG20;DNAH17;SMOX;ADAM8;SLC16A10",0,0,0,0,100,5
"50","lasalocid-6639","5/100",3.46278609549636e-05,0.00422459903650556,0,0,13.5135135135135,138.795296892054,"DDIT4;TNFAIP3;CXCR4;TRIB3;BIRC3",0,0,0,0,100,5
"51","serotonin-5633","5/100",3.46278609549636e-05,0.00414176376127996,0,0,13.5135135135135,138.795296892054,"KCNH2;PLAU;HDC;G0S2;CD1A",20,1,0,0,100,5
"52","rolipram-3072","5/100",3.46278609549636e-05,0.00406211445817842,0,0,13.5135135135135,138.795296892054,"CCL22;LAMB3;DNAH17;ADORA3;SLC16A10",0,0,0,0,100,5
"53","tretinoin-1548","5/100",3.46278609549636e-05,0.00398547078915618,0,0,13.5135135135135,138.795296892054,"SMOX;NINJ1;CXCR4;G0S2;TGM2",0,0,0,0,100,5
"54","tretinoin-1152","5/100",3.46278609549636e-05,0.00391166577454218,0,0,13.5135135135135,138.795296892054,"LAMB3;SMOX;CXCR4;G0S2;TGM2",0,0,0,0,100,5
"55","perphenazine-1956","5/100",3.46278609549636e-05,0.00384054457864141,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;TRIB3;ADAM8",0,0,0,0,100,5
"56","norcyclobenzaprine-2830","5/100",3.46278609549636e-05,0.00377196342545139,0,0,13.5135135135135,138.795296892054,"KCNH2;CCL22;DDIT4;TNFAIP3;CXCR4",0,0,0,0,100,5
"57","hyoscyamine-5099","5/100",3.46278609549636e-05,0.00370578862851365,0,0,13.5135135135135,138.795296892054,"CEACAM1;DNAH17;QPCT;COL8A1;SAMSN1",0,0,0,0,100,5
"58","monensin-2580","5/100",3.46278609549636e-05,0.00364189572112548,0,0,13.5135135135135,138.795296892054,"TNFAIP3;COL8A1;PHACTR1;IER3;BIRC3",0,0,0,0,100,5
"59","thioridazine-1486","5/100",3.46278609549636e-05,0.00358016867500471,0,0,13.5135135135135,138.795296892054,"ISG20;DDIT4;TNFAIP3;CXCR4;TRIB3",0,0,0,0,100,5
"60","Prestwick-682-4984","4/100",0.0005176957720029,0.0493428782690264,0,0,10.8108108108108,81.7959221727155,"KCNH2;PLAU;CXCR4;CAMK1",25,1,0,0,100,4
"61","trichostatin A-7077","4/100",0.0005176957720029,0.0485837570648876,0,0,10.8108108108108,81.7959221727155,"DDIT4;PELI1;CORO1A;BIRC3",0,0,0,0,100,4
"62","trichostatin A-3791","4/100",0.0005176957720029,0.0478476395336014,0,0,10.8108108108108,81.7959221727155,"KCNH2;FHL3;CXCR4;CORO1A",0,0,0,0,100,4
"63","digoxin-2423","4/100",0.0005176957720029,0.0471334956599656,0,0,10.8108108108108,81.7959221727155,"TNFAIP3;G0S2;IER3;BIRC3",0,0,0,0,100,4
"64","5109870-904","4/100",0.0005176957720029,0.0464403560179072,0,0,10.8108108108108,81.7959221727155,"DDIT4;TNFAIP3;CXCR4;ENO2",0,0,0,0,100,4
"65","thioridazine-1230","4/100",0.0005176957720029,0.0457673073799666,0,0,10.8108108108108,81.7959221727155,"DDIT4;TNFAIP3;TRIB3;BIRC3",0,0,0,0,100,4
"66","thioridazine-1068","4/100",0.0005176957720029,0.0451134887031099,0,0,10.8108108108108,81.7959221727155,"ISG20;DDIT4;TNFAIP3;IER3",0,0,0,0,100,4
"67","spiperone-5777","4/100",0.0005176957720029,0.0444780874537703,0,0,10.8108108108108,81.7959221727155,"LAMB3;DDIT4;TNFAIP3;TRIB3",0,0,0,0,100,4
"68","felodipine-3295","4/100",0.0005176957720029,0.0438603362391346,0,0,10.8108108108108,81.7959221727155,"PLAU;DDIT4;TNFAIP3;BIRC3",25,1,0,0,100,4
"69","gossypol-4762","4/100",0.0005176957720029,0.0432595097153109,0,0,10.8108108108108,81.7959221727155,"CA4;DDIT4;TNFAIP3;TRIB3",0,0,0,0,100,4
"70","8-azaguanine-1791","4/100",0.0005176957720029,0.042674921746185,0,0,10.8108108108108,81.7959221727155,"DDIT4;TNFAIP3;G0S2;IER3",0,0,0,0,100,4
