"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","vorinostat-1161","19/100",1.25159382785375e-19,7.63472234990787e-16,0,0,19.7916666666667,861.426333692014,"SLC22A4;NFE2;TRAC;SLA;TARP;FGR;LYL1;CALHM2;EVI2A;GPR183;CCL4;C3AR1;TRIB3;LCP2;CD69;CYTIP;EVI2B;FCGR1B;LAIR1",0,0,0,0,10.5263157894737,2
"2","vorinostat-6179","18/100",3.29696926565879e-18,1.00557562602593e-14,0,0,18.75,754.75365059546,"NFE2;TRAC;FGL2;SLA;FGR;LYL1;CALHM2;ADORA3;GPR183;C3AR1;TRIB3;LCP2;LTB;CD69;CYTIP;FCGR1B;LAIR1;CCR2",0,0,0,0,16.6666666666667,3
"3","trichostatin A-1175","14/100",7.51953864480849e-13,1.52897285777773e-09,0,0,14.5833333333333,407.109812422648,"NFE2;TRAC;SLA;TARP;FGR;LYL1;GPR183;CCL4;TRIB3;LCP2;CD69;CYTIP;EVI2B;FCGR1B",0,0,0,0,14.2857142857143,2
"4","trichostatin A-6193","14/100",7.51953864480849e-13,1.14672964333329e-09,0,0,14.5833333333333,407.109812422648,"NFE2;FGL2;SLA;TARP;FGR;LYL1;CCL4;C3AR1;TRIB3;LTB;CD69;FCGR1B;LAIR1;CCR2",0,0,0,0,7.14285714285714,1
"5","vorinostat-2680","12/100",2.18090626831591e-10,2.66070564734541e-07,0,0,12.5,278.076380251448,"FGR;NFE2;LYL1;SPR;GPR183;TRAC;TRIB3;LTB;TARP;CYTIP;FCGR1B;LAIR1",0,0,0,0,16.6666666666667,2
"6","LY-294002-6186","10/100",4.30476429579366e-08,4.37651036739022e-05,0,0,10.4166666666667,176.67664957124,"SLC7A5;ORM1;PSAT1;ADORA3;DDIT4;HP;TRIB3;CTSG;SLC3A2;CD69",0,0,0,0,50,5
"7","LY-294002-2696","10/100",4.30476429579366e-08,3.75129460062019e-05,0,0,10.4166666666667,176.67664957124,"NFE2;SLC7A5;ORM1;PSAT1;HP;EIF4EBP1;TRIB3;CTSG;AARS;CCR2",0,0,0,0,30,3
"8","LY-294002-6195","10/100",4.30476429579366e-08,3.28238277554266e-05,0,0,10.4166666666667,176.67664957124,"SLC7A5;ORM1;SPR;PSAT1;TRAC;CCL4;TRIB3;CTSG;SLC3A2;CD69",0,0,0,0,30,3
"9","papaverine-1755","10/100",4.30476429579366e-08,2.91767357826015e-05,0,0,10.4166666666667,176.67664957124,"BIN2;PSTPIP2;PSAT1;DDIT4;C3AR1;EIF4EBP1;TRIB3;LTB;CD69;CYTIP",0,0,0,0,20,2
"10","lycorine-2195","10/100",4.30476429579366e-08,2.62590622043413e-05,0,0,10.4166666666667,176.67664957124,"NFE2;LYL1;SLC7A5;CALHM2;PSAT1;MGAT4A;SLA;LTB;GIMAP6;LAIR1",0,0,0,0,10,1
"11","LY-294002-6198","9/100",5.14583561272429e-07,0.000285359974887438,0,0,9.375,135.749136396373,"SLC7A5;ORM1;PSAT1;ADORA3;TRAC;TRIB3;CTSG;RETN;CCR2",0,0,0,0,44.4444444444444,4
"12","valproic acid-410","8/100",5.45775313411903e-06,0.00277435784317717,0,0,8.33333333333333,100.987278056668,"NFE2;LYL1;GPR183;FGL2;MNDA;TARP;LAIR1;CCR2",0,0,0,0,12.5,1
"13","alprostadil-2938","8/100",5.45775313411903e-06,0.00256094570139431,0,0,8.33333333333333,100.987278056668,"BIN2;PSTPIP2;PSAT1;CCL4;EIF4EBP1;SLC1A5;CD69;FCGR1B",0,0,0,0,0,0
"14","parthenolide-1736","8/100",5.45775313411903e-06,0.00237802100843758,0,0,8.33333333333333,100.987278056668,"LYL1;CALHM2;IL10RA;TRAC;CCL4;LTB;FLI1;MYO1F",0,0,0,0,0,0
"15","albendazole-1547","8/100",5.45775313411903e-06,0.00221948627454174,0,0,8.33333333333333,100.987278056668,"PSTPIP2;PSAT1;CCL4;EIF4EBP1;TRIB3;SLC1A5;CD69;GIMAP6",0,0,0,0,12.5,1
"16","anisomycin-1304","8/100",5.45775313411903e-06,0.00208076838238288,0,0,8.33333333333333,100.987278056668,"NFE2;C1ORF216;CALHM2;EIF4EBP1;TACC3;SLA;LTB;AARS",0,0,0,0,0,0
"17","trichostatin A-2694","8/100",5.45775313411903e-06,0.00195837024224271,0,0,8.33333333333333,100.987278056668,"FGR;NFE2;LYL1;GPR183;TRAC;TRIB3;TARP;LAIR1",0,0,0,0,25,2
