"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","tretinoin-1152","11/100",3.22517029603817e-09,1.96735388058329e-05,0,0,11.4583333333333,224.03654261908,"FGR;PRKCH;ITGAM;SMOX;PLEK;ARHGEF3;SLA;LILRB2;TLR5;LILRB3;LILRA5",0,0,0,0,9.09090909090909,1
"2","phenylpropanolamine-3217","10/100",4.30476429579366e-08,0.000131295311021707,0,0,10.4166666666667,176.67664957124,"MS4A3;EVI2A;GMFG;LST1;PLEK;MNDA;SAMSN1;FCGR1B;ELANE;LAIR1",0,0,0,0,10,1
"3","azathioprine-5627","9/100",5.14583561272429e-07,0.0010463199079206,0,0,9.375,135.749136396373,"PRKCB;TCN1;ADORA3;SLC11A1;CCRL2;PTAFR;TREM2;CD48;FPR2",0,0,0,0,11.1111111111111,1
"4","Prestwick-983-3141","9/100",5.14583561272429e-07,0.000784739930940454,0,0,9.375,135.749136396373,"RAP1GAP2;TKTL1;CCL22;GNLY;SMOX;GPR183;HP;IL7R;MCTP2",0,0,0,0,44.4444444444444,4
"5","betamethasone-1590","9/100",5.14583561272429e-07,0.000627791944752363,0,0,9.375,135.749136396373,"PSTPIP2;ARG1;GPR65;ADORA3;SLC11A1;SLA;LCP2;SAMSN1;AIF1",11.1111111111111,1,0,0,22.2222222222222,2
"6","dobutamine-1589","9/100",5.14583561272429e-07,0.000523159953960302,0,0,9.375,135.749136396373,"IGSF6;SMOX;SLC11A1;GPR183;PADI2;BPI;GIMAP5;FPR2;RELB",0,0,0,0,22.2222222222222,2
"7","tretinoin-1548","9/100",5.14583561272429e-07,0.000448422817680259,0,0,9.375,135.749136396373,"FGR;ITGAM;ARG1;SMOX;PLEK;ARHGEF3;SLA;LCP2;LILRB2",11.1111111111111,1,0,0,11.1111111111111,1
"8","emetine-2145","9/100",5.14583561272429e-07,0.000392369965470227,0,0,9.375,135.749136396373,"TRAF3IP3;GPR65;IL10RA;CCL4;ARHGEF3;UBAP1;SAMSN1;FCAR;RELB",0,0,0,0,11.1111111111111,1
"9","valinomycin-5962","9/100",5.14583561272429e-07,0.000348773302640202,0,0,9.375,135.749136396373,"SLC7A5;CALHM2;SMOX;PSAT1;ALDH3B1;DDIT4;TRIB3;SLC3A2;SLC1A5",0,0,0,0,44.4444444444444,4
"10","mebendazole-2338","9/100",5.14583561272429e-07,0.000313895972376181,0,0,9.375,135.749136396373,"SMOX;IL10RA;TRAC;C3AR1;ARHGEF3;LTB;CYTIP;MCTP2;LILRA2",0,0,0,0,11.1111111111111,1
