"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 HME1 3H-canertinib-10","54/139",1.80730180326697e-28,5.98596430260054e-24,0,0,5.98135810058651,382.092430780635,"PLEKHF2;CHIC2;BTG2;TNFAIP3;CXCL1;CXCL3;CXCL2;ZFP36;HHEX;CCND2;PLAU;MIR22HG;PHLDA2;PHLDA1;SOX4;IER2;CAMP;IER3;FNDC3B;PLAUR;EMP1;MMP8;MMP9;DUSP6;F5;CH25H;ASPH;CEACAM6;IL1B;MALL;BPI;CEACAM8;LTF;AMIGO2;STC1;ADRB2;PTGS2;CRIP1;CHST15;S100A12;PI3;EGR3;TIPARP;CCL20;DEFA4;LIF;ARHGAP29;G0S2;FOSL1;IL6;AXL;MAFF;CD24;SPRR1A",9.25925925925926,5,0,0,14.8148148148148,8
"2","LJP006 HME1 3H-alvocidib-3.33","62/194",5.44053666435761e-27,9.00980074300943e-23,0,0,4.92051776545003,297.572837774073,"BTG2;CITED2;TNFAIP3;ADM;ARID4B;IRS2;CXCL1;CXCL3;CXCL2;RND3;ZFP36;PLAU;MIR22HG;UPP1;PHLDA2;JUNB;IER5;PHLDA1;SOX4;IER2;IER3;DUSP2;ZNF281;IFRD1;DUSP6;SERPINB5;RHOB;TNFRSF1A;TGFBR3;ARL4C;IRF1;DDIT4;SIK1;TFF1;SGK1;ATF3;LTF;PPP1R15A;CEBPB;PFKFB3;AMIGO2;BCL10;ADRB2;FOXO1;SERTAD2;ELANE;EGR3;GADD45B;GADD45A;TIPARP;LIF;ABCA8;PDZK1IP1;KLF4;FOSL1;NR4A2;IL6;MARCKS;KLF6;NR4A3;MAFF;CD24",3.2258064516129,2,0,0,9.67741935483871,6
"3","LJP006 HME1 3H-A443654-1.11","53/142",5.78864329527169e-27,6.39085515275646e-23,0,0,5.74656561385248,347.172437840789,"CHIC2;TNFAIP3;ADM;CXCL1;CXCL3;CXCL2;RND3;ZFP36;BASP1;NAMPT;PHLDA1;SLC16A3;JUNB;IER5;HOXA5;SOX4;IER2;IER3;DUSP2;DUSP6;RHOB;ARL4C;IL1B;DDIT4;SIK1;TFF1;KCTD12;SGK1;RIN2;ATF3;CHST2;BIRC3;LTF;CEBPB;ADRB2;NDRG1;NFIL3;SERTAD2;S100A12;CA12;IL32;EGR2;EGR3;TIPARP;CCL20;LIF;PDZK1IP1;KLF4;SOD2;NR4A2;FOSL1;IL6;MAFF",3.77358490566038,2,0,0,11.3207547169811,6
"4","LJP006 MDAMB231 3H-alvocidib-1.11","54/149",1.03601160734281e-26,8.57843511170029e-23,0,0,5.57992467101694,333.857127039786,"CHIC2;CITED2;TNFAIP3;ARID4B;IRS2;ADM;CHD1;CYP1B1;HOXA1;UPP1;CCNL1;PHLDA2;PHLDA1;JUNB;IER5;IER2;IER3;NKX3-1;DUSP2;FOXD1;HMGCS1;DUSP6;SERPINB5;RHOB;ARL4C;ALDH1A3;DDIT4;SIK1;TFF1;SGK1;ATF3;LTF;FOXC1;CEBPB;INSIG1;BCL10;ADRB2;SCAF8;NFIL3;SERTAD2;GADD45B;GADD45A;TIPARP;KLF4;KLF2;NR4A2;FOSL1;NET1;NELL2;MARCKS;KLF6;NR4A3;MAFF;KBTBD2",1.85185185185185,1,0,0,7.40740740740741,4
"5","LJP006 HME1 3H-dasatinib-3.33","49/127",8.62152724555692e-26,5.71107207800181e-22,0,0,5.94036599928473,342.836046933259,"CXCL6;CHIC2;CXCL1;CXCL3;CXCL2;PNP;PLAU;PHLDA2;PHLDA1;JUNB;IER3;WNT5A;PLAUR;EMP1;OLFM4;F3;DUSP6;UGDH;ALDH1A3;IFI27;CEACAM6;IL1B;S100A9;CHST2;CD44;PPP1R15A;PFKFB3;BCL2A1;STC1;IL2RG;PTGS2;PI3;EGR2;EGR3;LAMB3;GADD45A;CCL20;LIF;G0S2;FOSL1;IL6;MARCKS;KLF6;MYO1B;DHRS9;AXL;MAFF;COL9A3;S100P",6.12244897959184,3,0,0,12.2448979591837,6
"6","LJP006 HME1 3H-linifanib-10","52/144",1.1067534525379e-25,6.10946351691795e-22,0,0,5.55983234967069,319.485738330797,"BTG2;SERPINA1;TNFAIP2;JMJD1C;TNFAIP3;ADM;CXCL3;TNF;ZFP36;MED13;NAMPT;PHLDA1;SLC16A3;JUNB;IER5;HOXA5;IER2;IER3;KLF11;EMP1;F3;DUSP6;TGFBR3;ARL4C;UGDH;IFI27;IL1B;IRF1;NINJ1;DDIT4;SGK1;LTF;PFKFB3;PTGS2;CRIP1;SERTAD2;EGR2;EGR3;GADD45B;TIPARP;CCL20;PBX3;KLF4;NFKB1;NR4A2;FOSL1;IL6;MARCKS;NR4A3;RYBP;MAFF;KBTBD2",5.76923076923077,3,0,0,9.61538461538461,5
"7","LJP005 HS578T 3H-CGP-60474-10","47/125",3.21250971877663e-24,1.52002191993715e-20,0,0,5.78906851424173,313.159601976658,"IDI1;CEBPB;PFKFB3;INSIG1;ADM;CXCL1;ADRB2;AQP3;FOXO1;BASP1;SERTAD2;S100A12;PHLDA1;SLC16A3;JUNB;IER5;HOXA5;SOX4;IER2;CD55;IER3;NKX3-1;CBR3;SRGN;GADD45B;HMGCS1;MME;GCH1;GADD45A;TIPARP;MID1IP1;SERPINB9;PPBP;KLF4;KLF2;RHOB;FOSL1;TGFBR3;ARL4C;VCAN;KAT6A;DDIT4;MAFF;RBMS1;SIK1;GCLM;SGK1",2.12765957446809,1,0,0,6.38297872340426,3
"8","LJP006 HME1 3H-CGP-60474-10","46/121",5.7022056436287e-24,2.36078441403283e-20,0,0,5.85319921872515,313.270182675131,"BTG2;CEBPB;BCL2A1;TNFAIP3;ADM;CXCL1;ADRB2;CXCL3;TNF;CXCL2;CRIP1;FOXO1;ZFP36;PLAU;SERTAD2;MIR22HG;PI3;JUNB;SOX4;IER2;IER3;IL32;EGR2;EGR3;SLC31A2;WTAP;TIPARP;CCL20;LIF;SERPINB9;KLF4;SOD2;DUSP6;FOSL1;NET1;TGFBR3;CH25H;IL6;NR4A3;NAT1;IL1B;MAFF;KBTBD2;CD24;SGK1;BIRC3",8.69565217391304,4,0,0,13.0434782608696,6
"9","LJP005 HS578T 3H-CGP-60474-3.33","55/173",5.86513623794392e-24,2.15843530374378e-20,0,0,4.89482794679767,261.839112225723,"CHIC2;BTG2;CITED2;ADM;CXCL14;RND3;ZFP36;NAMPT;CCNL1;PHLDA2;PHLDA1;JUNB;IER5;HOXA5;SOX4;IER2;IER3;NCK1;SRGN;WNT5A;DNTTIP2;SLC39A14;DUSP6;RHOB;TGFBR3;ARL4C;KAT6A;DDIT4;SIK1;SGK1;RIN2;ATF3;DLX2;CEBPB;PFKFB3;INSIG1;BCL10;NFIL3;SERTAD2;STC2;S100A12;SASH1;CD55;EGR2;EGR3;GADD45B;GADD45A;TIPARP;KLF4;FOSL1;MARCKS;BCL6;MAFF;KBTBD2;CD24",1.81818181818182,1,0,0,7.27272727272727,4
"10","LJP006 HME1 3H-BMS-387032-1.11","52/156",8.40557673877975e-24,2.78401107165124e-20,0,0,5.13215293815756,272.68743571371,"CHIC2;BTG2;TNFAIP3;ADM;ZFP36;PLAU;NAMPT;MIR22HG;UPP1;PHLDA2;PHLDA1;JUNB;IER5;HOXA5;SOX4;IER2;SRGN;EMP1;DUSP6;RHOB;ARL4C;DDIT4;SIK1;SGK1;RIN2;S100A9;ATF3;LTF;CEBPB;PFKFB3;INSIG1;ADRB2;NDRG1;FOXO1;NFIL3;SERTAD2;S100A12;EGR2;GADD45B;LAMB3;GCH1;GADD45A;TIPARP;KLF4;SORL1;KLF2;NR4A2;FOSL1;MARCKS;KLF6;BCL6;MAFF",3.84615384615385,2,0,0,9.61538461538461,5
"11","LJP006 HME1 3H-CGP-60474-1.11","53/165",2.26554799350436e-23,6.82156500844163e-20,0,0,4.94552919495183,257.868005214365,"CHIC2;BTG2;CITED2;TNFAIP3;ADM;CXCL13;CXCL3;CXCL14;CXCL2;RND3;ZFP36;NAMPT;PHLDA1;JUNB;IER5;HOXA5;SOX4;IER2;IER3;SRGN;KLF11;DUSP2;DNTTIP2;DUSP6;RHOB;TGFBR3;ARL4C;IFI27;IRF1;DDIT4;SIK1;SGK1;ATF3;LTF;PPP1R15A;CEBPB;PFKFB3;INSIG1;SERTAD2;CA12;IL32;GCH1;GADD45A;TIPARP;LIF;KLF4;FOSL1;IL6;MARCKS;KLF6;NR4A3;MAFF;CD24",1.88679245283019,1,0,0,9.43396226415094,5
