"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 LNCAP 3H-ZSTK-474-0.37","27/77",1.39282583166114e-13,4.61317843704487e-09,0,0,5.37393640841917,159.080724870867,"PFKFB3;CRISP3;FAM129A;CXCL13;GATA2;PMAIP1;CTSG;ELANE;ARG1;PGAM1;DEFA4;G0S2;RUNX3;SLC39A14;TUBA4A;CXCL11;SLPI;KRT17;IL8;DHRS9;CEACAM6;PSAT1;LCN2;BPI;CEACAM8;CD24;BIRC3",3.7037037037037,1,0,0,7.40740740740741,2
"2","LJP005 MDAMB231 3H-SB590885-10","34/128",9.87721288214387e-13,1.63571583934744e-08,0,0,4.07088122605364,112.532899707004,"CXCR4;CXCL1;LRMP;IKZF1;TARP;CST7;GLIPR1;CCL5;PMAIP1;GBP2;PRKCH;RARRES3;GZMA;MYOF;RNASE2;RUNX1;EREG;PARP8;ISG20;GZMK;SLC25A37;VCAN;MLPH;DDAH1;NAV3;CEACAM6;AGTR1;FAS;CD24;CDK14;TLR4;MS4A1;BIRC3;LTF",2.94117647058824,1,0,0,14.7058823529412,5
"3","LJP006 HME1 3H-HG-6-64-01-3.33","29/103",9.52287656643581e-12,1.0513573158564e-07,0,0,4.31499460625674,109.50301683895,"IL1RN;PFKFB3;BCL2A1;SLC20A1;SLC1A1;CXCL1;PTGS2;SAMSN1;CXCL2;ADAM28;EPB41L3;CCL4;S100A12;CTSG;MAP2K3;MARCKSL1;CD93;IL1R2;PRKCD;G0S2;NRG1;HS3ST1;EREG;EHD1;IL8;DHRS9;IL1B;C3ORF64;CDK5R1",10.3448275862069,3,0,0,10.3448275862069,3
"4","LJP006 HCC515 24H-sirolimus-0.04","21/55",1.07707069284181e-11,8.91841460440341e-08,0,0,5.85161964472309,147.777920098431,"USP6NL;CDA;IGHM;MS4A3;ITGA4;RARRES3;PLAUR;FAM129A;G0S2;CALML4;RNASE2;PLAC8;IL8;POU2AF1;GPER;FAS;CTSG;MNDA;CD24;TLR4;LTF",0,0,0,0,4.76190476190476,1
"5","LJP006 HME1 3H-dasatinib-0.12","30/111",1.31617264106806e-11,8.71859080896307e-08,0,0,4.14207310759035,103.774290203639,"FBN2;CLIC5;CHIC2;IL1RN;CD83;BCL2A1;CXCL1;PTGS2;BACH1;CRIP1;RELB;HCAR3;KIAA0226L;SFN;MAP2K3;KDM6B;PLAUR;G0S2;EREG;EHD1;KLF7;IL8;CEACAM6;IL1B;NINJ1;COL8A2;PELI1;CD24;ABCG1;CREB5",10,3,0,0,10,3
"6","LJP008 HA1E 24H-(-)-JQ1-10","21/58",3.53991246736607e-11,1.9540906805272e-07,0,0,5.54894966309948,133.531778168681,"CD97;IGHM;TNFAIP6;GZMA;SH2D1A;PRF1;TNFAIP3;GZMB;IL2RG;RASGRP1;CTSS;CD2;SLC25A37;CXCL11;CCL8;CCL5;TRBC1;CD38;GBP2;IL7R;FCGR1B",4.76190476190476,1,0,0,4.76190476190476,1
"7","CPC006 HCC515 24H-imd 0354-10.0","51/286",4.51693909300218e-11,2.13722199570465e-07,0,0,2.73289928462342,65.09930466283,"CD86;CD84;PTPN21;CXCL1;COX6A1;BACH1;ACTB;ASGR1;FRAT1;FRAT2;KDR;BLNK;ARHGEF40;EGFL6;BTN3A1;APAF1;ANXA3;ARAP3;NRG1;GMIP;DDAH1;IL1B;ELMO1;ACSBG1;ERG;CHST3;GAS7;ARHGEF6;CETP;ALOX12B;AOAH;ASCL1;CALHM2;ADRBK2;ALOX5;EIF4EBP1;KIAA1609;ARSB;CDKN2D;STAT5B;ATP8B4;CCL22;EMR3;ASNS;ARHGAP25;HAL;GFI1B;PTPRC;ALPL;CD68;HAMP",3.92156862745098,2,0,0,3.92156862745098,2
"8","LJP008 HEPG2 24H-I-BET-10","31/124",5.39370969091683e-11,2.23306323341071e-07,0,0,3.83141762452107,90.5869832199521,"IGHM;PLVAP;CEBPB;TNFAIP6;SLC43A3;FAM129A;ICAM3;CD1E;SLC1A5;HCAR3;GPR171;CLEC5A;DMD;TPSAB1;CLIC2;GBP2;APOL3;CCR2;PRKCH;ARG1;IL1R2;PLAUR;IGF1;SLC39A14;VCAN;CEACAM1;EVI2A;CD27;CD48;CLC;EVI2B",3.2258064516129,1,0,0,9.67741935483871,3
"9","LJP006 HME1 3H-canertinib-10","33/139",5.81857407699276e-11,2.14129991115641e-07,0,0,3.63846853551641,85.7491734877332,"CHIC2;SLC20A1;TNFAIP3;CXCL1;PTGS2;CXCL2;CRIP1;GLIPR1;HHEX;CCL4;MIR22HG;S100A12;MBP;KDM6B;DEFA4;PRKCD;PLAUR;KCNJ15;RHOH;G0S2;NRG1;MMP8;HS3ST1;EREG;F5;CEACAM1;IL8;CEACAM6;IL1B;BPI;CEACAM8;CD24;LTF",6.06060606060606,2,0,0,9.09090909090909,3
"10","LJP005 SKBR3 3H-PD-0325901-10","20/55",9.47284936303235e-11,3.13750243752994e-07,0,0,5.57297109021247,128.624207748574,"CD52;ATP8A1;CXCR4;CSF2RB;HNMT;RUNX3;SAMSN1;UCHL1;CEACAM1;EVI2A;RGS1;LCK;TRBC1;PDE4B;CYP1B1;CCR7;CD48;IL7R;LTF;BIRC3",10,2,0,0,25,5
