"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 PC3 24H-WZ-3105-1.11","52/174",2.95737569756466e-21,9.79660273575271e-17,0,0,4.5800854362091,216.500568340643,"CLIC5;IGHM;ORM1;MS4A3;CLEC10A;NCF4;TNFAIP3;SLC2A3;CXCL13;PYCARD;SOX17;CLEC5A;PPP1R16B;CD52;ENTPD1;ITGA4;OLFM4;CLEC4A;SLPI;BPI;CEACAM8;HLA-DQB1;RGS16;C5AR1;FPR3;SAMSN1;SNN;C20ORF103;CLEC7A;FRZB;CCL5;CCL4;ZBED2;GPR116;HIST1H3H;TRD@;ELANE;LYN;MGAM;TRDV3;DEFA4;HSPA6;CYBRD1;G0S2;PTPRC;IL8;CD209;OGN;FAS;CLC;CD24;ITM2A",3.84615384615385,2,0,0,9.61538461538461,5
"2","LJP006 PC3 24H-AT-7519-10","44/139",2.84883389905262e-19,4.71852358700085e-15,0,0,4.85129138068855,207.160848826121,"USP6NL;ORM1;RGS16;TRAC;AQP9;C5AR1;TNFAIP3;CSF2RB;FPR3;CXCL13;MEOX2;IL2RG;AIF1;FYB;RELB;CECR1;HCAR3;UCHL1;CCL8;RGS1;CLEC7A;LAMP3;CCL5;TRBC1;STAB1;LYN;CD96;SH2D1A;KCNJ15;CYBRD1;G0S2;CLEC4A;CD2;VNN1;SLPI;IL8;GPR183;LCN2;PECAM1;PRKCQ;CD48;CPVL;ITM2A;TLR4",2.27272727272727,1,0,0,11.3636363636364,5
"3","LJP005 PC3 24H-WZ-3105-0.37","51/188",7.74680359571393e-19,8.55402053038732e-15,0,0,4.15749572022499,173.375206557504,"CLIC5;IGHM;SPON1;ORM1;MS4A3;NCF4;HP;TNFAIP3;SLC2A3;CXCL13;HMGN5;SOX17;ANPEP;CLEC5A;CA4;PPP1R16B;ENTPD1;OLFM4;RUNX3;CLEC4A;RNF144A;TYROBP;PELI1;XCL1;CD48;BPI;CEACAM8;HLA-DQB1;RGS16;C5AR1;CST7;SAMSN1;CCL5;CCL4;PMAIP1;HIST1H3H;TRD@;ELANE;LYN;MGAM;DEFA4;BST1;PTPRC;IL8;MNDA;TEK;CLC;IL7R;CD24;ITM2A;CDK5R1",3.92156862745098,2,0,0,13.7254901960784,7
"4","LJP005 A375 24H-WZ-3105-1.11","49/182",5.30253901781839e-18,4.3912976876063e-14,0,0,4.12614205717654,164.131106016252,"CD86;CLIC5;IGHM;ADAMDEC1;PLVAP;ORM1;FLT1;NCF2;TNFAIP3;CXCL2;CTSS;MS4A4A;HMGN5;SOX17;RGS1;LAMP3;TRBC1;BLNK;CLIC2;CD52;MEF2C;CD93;CYBB;TYROBP;HLA-DQB1;RGS16;FGL2;CD1E;SAMSN1;GNA15;CCL8;CLEC7A;CCL5;UCP2;CCL4;PMAIP1;TRD@;EXPH5;LYN;TRDV3;DEFA4;IL10RA;G0S2;CFLAR;VNN1;PTPRC;TEK;IL7R;ITM2A",4.08163265306122,2,0,0,10.2040816326531,5
"5","LJP008 HCC515 24H-CGP-60474-1.11","40/129",2.73792706430129e-17,1.81393143864089e-13,0,0,4.75214589087885,181.231378384624,"ITK;PLVAP;SPON1;ENPEP;TRAC;AQP9;TNFAIP3;CXCL13;TARP;CD3E;IL2RG;CD3D;CRIP1;SEL1L3;HCAR3;UCHL1;FCGR3B;LAMP3;CCL5;TRBC1;CCR7;TRD@;TGM2;CD52;EGR2;GOLM1;SH2D1A;NKG7;TMEM111;CD2;DARC;TYROBP;IL8;ELF3;CD8A;CPD;IL2RB;LCN2;CD48;IL7R",2.5,1,0,0,12.5,5
"6","LJP008 HA1E 24H-olaparib-10","46/177",2.45577591355168e-16,1.35583388187188e-12,0,0,3.98294261532134,143.158582697654,"FBN2;IGHM;KLRB1;TRAC;ITGB2;ATP2A3;CXCR4;IL2RG;CORO1A;SAMSN1;CD3D;HSPA13;RGS4;PLAC8;AKAP13;RGS1;FRZB;LAMP3;CCL5;TRBC1;EPB41L3;SLAMF7;ELANE;CD52;MEF2C;CD93;ITGA4;TGFB3;IL10RB;GZMA;ASNS;CFLAR;OLFM4;TYROBP;PTPRC;SPINT1;CCPG1;LCK;CPD;ATM;LCP2;CD48;MNDA;TACC2;EVI2B;IGLV3-19",2.17391304347826,1,0,0,8.69565217391304,4
"7","LJP006 HS578T 24H-AZD-7762-1.11","38/124",2.65136705628501e-16,1.25470264437853e-12,0,0,4.69657644296132,168.448754443675,"CLIC5;ADAMDEC1;SPON1;ENPEP;MS4A3;NCF2;C5AR1;FGL2;FPR1;TOB1;AIF1;MS4A4A;DACH1;TDO2;CLEC7A;PERP;MKNK1;CHN2;C3AR1;BLNK;PMAIP1;HIST1H3H;VSIG4;PLS1;CD163;JUP;MS4A6A;CEACAM1;TYROBP;VNN1;SPINT1;CEACAM6;QPCT;TRIB3;MNDA;RAPGEF5;CPVL;ABCG1",0,0,0,0,7.89473684210526,3
"8","LJP005 HS578T 24H-AS-601245-1.11","42/150",2.71757007089445e-16,1.12527782710562e-12,0,0,4.2911877394636,153.803134738491,"IGHM;IL1RN;SPON1;BCL2A1;TRAC;PRF1;ICAM3;CXCL1;IKZF1;CXCL13;ARPP19;RASGRP1;CD3D;HSPA13;CSRP2;CCL5;TRBC1;PMAIP1;SFN;PHACTR1;S100A14;TPSAB1;NEFH;CD177;EXPH5;CD52;PRKCB;GZMA;SLC11A2;GZMB;G0S2;CD2;ZAP70;PTPRC;IL8;LCN2;XCL1;CD48;LTB;IL7R;ITM2A;CDK5R1",4.76190476190476,2,0,0,7.14285714285714,3
"9","LJP006 HA1E 24H-QL-XII-47-10","47/190",9.32293200199024e-16,3.43146050553254e-12,0,0,3.79108691268401,131.205288393714,"PPP1R15A;LINC00341;CEBPB;CD83;NCF2;CLEC10A;RGS16;FGL2;CXCR4;SLC2A3;CXCL13;AIF1;MS4A4A;ISLR;RGS1;GNLY;TRBC1;OLFML1;CCL4;BLNK;PMAIP1;VSIG4;TPSAB1;FCGR1B;LYN;ENTPD1;CD163;BIK;IL1R2;IL10RA;P2RY14;HSPA6;RNASE6;PLXDC1;MS4A6A;NR4A3;IL2RB;PELI1;XCL1;IRF8;MNDA;CD69;MCTP2;ITM2A;CD200;HLA-DQB1;CDK5R1",2.12765957446809,1,0,0,4.25531914893617,2
"10","LJP005 A549 24H-CYT387-10","35/111",1.49032033093934e-15,4.93683512826965e-12,0,0,4.83241862552207,164.977734407487,"FCN1;CYFIP2;CX3CR1;ITK;IGHM;ATP8A1;SATB1;TRAC;PRF1;IKZF1;TARP;FAIM3;STK10;KLRK1;CCL8;TDO2;GNLY;PHACTR1;PLXNC1;TRD@;MAP3K5;EGR2;PRKCH;EGFL6;ACSL1;GZMB;FMO1;SORL1;GZMH;SELL;OAS1;LCK;GPER;TLR4;CD200",0,0,0,0,5.71428571428571,2
