"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 MDAMB231 3H-AZD-8330-3.33","6/55",5.23989758769827e-08,0.00173550648002154,0,0,29.4840294840295,494.281438530009,"ISG20;CEACAM1;LAMB3;CXCR4;G0S2;IER3",0,0,0,0,100,6
"2","LJP005 SKBR3 3H-PD-0325901-10","6/55",5.23989758769827e-08,0.000867753240010772,0,0,29.4840294840295,494.281438530009,"CEACAM1;CXCR4;CCR7;SAMSN1;IER3;BIRC3",0,0,0,0,100,6
"3","LJP006 HME1 3H-HG-6-64-01-10","6/69",2.0801459332773e-07,0.00229655044853591,0,0,23.5017626321974,361.590072843167,"ISG20;PLAU;TNFAIP3;G0S2;IER3;BIRC3",16.6666666666667,1,0,0,100,6
"4","LJP005 MDAMB231 3H-trametinib-1.11","7/121",3.20439244848357e-07,0.00265331705715561,0,0,15.6354701809247,233.806146963314,"ISG20;CEACAM1;MARCKSL1;PLAU;CXCR4;ENO2;IER3",14.2857142857143,1,0,0,100,7
"5","LJP006 BT20 3H-AT-7519-0.37","5/42",4.62150453076668e-07,0.00306137703127046,0,0,32.1750321750322,469.34927100608,"MARCKSL1;HIST1H2BK;CXCR4;CCR7;IER3",0,0,0,0,100,5
"6","LJP005 BT20 24H-NVP-AUY922-1.11","6/92",1.15711570172142e-06,0.00638747152611919,0,0,17.6263219741481,240.944420327815,"TKTL1;MARCKSL1;PLAU;G0S2;CLC;IER3",16.6666666666667,1,0,0,100,6
"7","LJP006 BT20 24H-lapatinib-3.33","5/53",1.51053271502769e-06,0.00714719343634743,0,0,25.4971953085161,341.740137122505,"PLAU;G0S2;ENO2;CST7;IER3",20,1,0,0,100,5
"8","LJP006 MCF10A 3H-AZD-5438-10","7/165",2.59007394331176e-06,0.0107232298845536,0,0,11.4660114660115,147.496755007099,"DDIT4;PELI1;TNFAIP3;CXCR4;NKG7;TRIB3;IER3",0,0,0,0,100,7
"9","LJP006 SKBR3 3H-alvocidib-0.04","5/59",2.59020706986255e-06,0.00953224981787973,0,0,22.9042601923958,294.6351977942,"MARCKSL1;PROS1;DDIT4;TRIB3;IER3",0,0,0,0,100,5
"10","LJP006 BT20 3H-PI-103-3.33","4/27",2.84059050571578e-06,0.00940831981398123,0,0,40.04004004004,511.371315429696,"DDIT4;G0S2;CST7;IER3",0,0,0,0,100,4
"11","LJP005 HT29 24H-BYL719-1.11","4/28",3.30476341105081e-06,0.00995064263067398,0,0,38.6100386100386,487.264311674964,"SLC7A5;PLAU;CXCR4;G0S2",25,1,0,0,100,4
"12","LJP005 MCF10A 3H-erlotinib-0.37","5/64",3.8885281123183e-06,0.0107326616340079,0,0,21.1148648648649,263.038003573326,"LAMB3;TNIP1;G0S2;CLC;IER3",20,1,0,0,100,5
"13","LJP006 HME1 3H-AT-7519-10","6/114",4.05902554817484e-06,0.0103414603985461,0,0,14.2247510668563,176.59413408141,"ISG20;LAMB3;PLAU;DDIT4;TNFAIP3;BIRC3",16.6666666666667,1,0,0,100,6
"14","LJP006 HME1 3H-BMS-387032-10","6/119",5.20510281150168e-06,0.0123141578728391,0,0,13.6270724506019,165.78520695402,"SLC7A5;TNIP1;PLAU;DDIT4;TNFAIP3;IER3",33.3333333333333,2,0,0,100,6
"15","LJP006 MCF10A 3H-lapatinib-1.11","5/69",5.64997083192517e-06,0.0124755122616129,0,0,19.5848021934978,236.66001126734,"LAMB3;PLAU;G0S2;TRIB3;IER3",20,1,0,0,100,5
"16","LJP006 MDAMB231 3H-A443654-3.33","6/123",6.30021215954602e-06,0.0130418329335202,0,0,13.18391562294,157.876430441864,"ISG20;MARCKSL1;DDIT4;TNFAIP3;CXCR4;IER3",0,0,0,0,100,6
"17","CPC007 PC3 24H-ncgc00183236-01-10.0","4/33",6.51295007429119e-06,0.0126891423182705,0,0,32.7600327600328,391.211074331747,"CCL22;DNAH17;CEBPE;COL8A1",0,0,0,0,100,4
"18","LJP005 MCF7 3H-CP466722-10","4/34",7.36072751733472e-06,0.0135441475612024,0,0,31.7965023847377,375.814047142913,"SLC7A5;CEACAM1;G0S2;CLC",0,0,0,0,100,4
"19","LJP006 HME1 3H-alvocidib-0.37","7/194",7.53456101760959e-06,0.0131343260770656,0,0,9.75202006129841,115.034926033502,"ISG20;SMOX;DDIT4;PELI1;TNFAIP3;IER3;BIRC3",0,0,0,0,100,7
"20","LJP005 MDAMB231 3H-SB590885-10","6/128",7.92487328109247e-06,0.0131239863971532,0,0,12.6689189189189,148.802840727571,"ISG20;MLPH;CXCR4;CST7;IER3;BIRC3",0,0,0,0,100,6
"21","LJP005 MCF7 3H-mitoxantrone-3.33","5/74",7.98297755389939e-06,0.0125906761696525,0,0,18.2615047479912,214.357178397408,"G0S2;NKG7;CORO1A;SAMSN1;IER3",0,0,0,0,100,5
"22","LJP005 HA1E 24H-PIK-93-1.11","5/77",9.70736557046603e-06,0.0146144388663366,0,0,17.5500175500175,202.573282264726,"ORM1;DDIT4;TNFAIP3;G0S2;BIRC3",0,0,0,0,100,5
"23","CPC017 HEPG2 6H-piplartine-10.0","4/37",1.03949838597557e-05,0.0149692287138682,0,0,29.218407596786,335.257478140206,"CYFIP2;CEBPE;ICAM3;COL8A1",0,0,0,0,100,4
"24","LJP006 HME1 24H-selumetinib-1.11","5/79",1.10096944524237e-05,0.0151938370816136,0,0,17.105713308245,195.29138486894,"CEACAM1;MLPH;G0S2;CST7;IER3",0,0,0,0,100,5
"25","LJP006 MDAMB231 3H-A443654-1.11","5/80",1.17100149154218e-05,0.0155138961605474,0,0,16.8918918918919,191.80854909834,"ISG20;MARCKSL1;DDIT4;CXCR4;IER3",0,0,0,0,100,5
"26","LJP006 HME1 3H-A443654-1.11","6/142",1.43522277810444e-05,0.0182830821667682,0,0,11.4198705748002,127.349890160741,"MARCKSL1;DDIT4;TNFAIP3;CST7;IER3;BIRC3",0,0,0,0,100,6
"27","LJP005 HA1E 24H-NVP-AUY922-0.37","6/144",1.55413873452542e-05,0.0190646774171172,0,0,11.2612612612613,124.684729068167,"MARCKSL1;PLAU;TNFAIP3;CCR7;IER3;BIRC3",16.6666666666667,1,0,0,100,6
"28","LJP005 HS578T 24H-ruxolitinib-10","5/85",1.57501492357527e-05,0.0186307390299059,0,0,15.8982511923688,175.813365937228,"ISG20;ORM1;G0S2;IER3;BIRC3",0,0,0,0,100,5
"29","CPC018 HT29 6H-strophanthidin-10.0","5/86",1.6674463448601e-05,0.0190439622027971,0,0,15.7133878064111,172.872912377054,"CCL22;ICAM3;CXCR4;TRIB3;BIRC3",0,0,0,0,100,5
"30","LJP005 HA1E 24H-pelitinib-3.33","5/87",1.76405077843134e-05,0.0194757086108082,0,0,15.5327741534638,170.011070547392,"TNFAIP3;CXCR4;CCR7;TGM2;IER3",0,0,0,0,100,5
"31","LJP006 HME1 24H-HG-6-64-01-3.33","5/87",1.76405077843134e-05,0.0188474599459434,0,0,15.5327741534638,170.011070547392,"MARCKSL1;PLAU;G0S2;TGM2;IER3",20,1,0,0,100,5
"32","CPC006 U937 6H-mw-ras12-10.0","5/88",1.86496002651743e-05,0.0193029190744637,0,0,15.3562653562654,167.224905491506,"CEBPE;CA4;ICAM3;EVL;IER3",0,0,0,0,100,5
"33","CPC013 HT29 6H-s1216-10.0","6/150",1.95944843006714e-05,0.0196663307431071,0,0,10.8108108108108,117.192026427708,"CA4;DDIT4;ICAM3;FFAR3;COL8A1;EVL",0,0,0,0,100,6
"34","LJP005 MCF10A 3H-TGX-221-0.04","5/89",1.97030820427544e-05,0.0191936994217079,0,0,15.1837230488916,164.511622921142,"ARAP3;G0S2;CCR7;CLC;IER3",0,0,0,0,100,5
"35","LJP005 MCF7 3H-CGP-60474-3.33","5/90",2.08023174245656e-05,0.0196855301548297,0,0,15.015015015015,161.868561003312,"DDIT4;TRIB3;SAMSN1;IER3;BIRC3",0,0,0,0,100,5
