"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP009 HT29 24H-BX-795-10","9/102",1.36800954917779e-10,4.53166843260636e-06,0,0,23.8473767885533,541.63340533477,"ISG20;LAMB3;TNIP1;PELI1;TNFAIP3;G0S2;TGM2;IER3;BIRC3",11.1111111111111,1,0,0,100,9
"2","LJP005 PC3 24H-BX-912-10","8/80",5.57494758488139e-10,9.23378568483905e-06,0,0,27.027027027027,575.880216606851,"TNIP1;QPCT;DDIT4;HIST1H2BK;TNFAIP3;CCR7;TGM2;BIRC3",12.5,1,0,0,100,8
"3","LJP005 HT29 24H-WZ-3105-1.11","9/137",1.93082921576836e-09,2.13202162005143e-05,0,0,17.7549812586309,356.259314514549,"CYFIP2;PRR7;LAMP3;CA4;TNFAIP3;G0S2;CLC;ENO2;IER3",0,0,0,0,100,9
"4","LJP005 MCF10A 3H-LDN-193189-10","9/162",8.45931814091159e-09,7.00558431839593e-05,0,0,15.015015015015,279.099058026689,"ISG20;TNIP1;PLAU;NINJ1;HIST1H2BK;TNFAIP3;G0S2;IER3;BIRC3",22.2222222222222,2,0,0,100,9
"5","LJP005 A549 24H-nilotinib-10","9/164",9.41811586621506e-09,6.2396901236848e-05,0,0,14.8319050758075,274.102961508063,"ISG20;LAMB3;TNIP1;PLAU;TNFAIP3;G0S2;TRIB3;IER3;BIRC3",22.2222222222222,2,0,0,100,9
"6","LJP006 SKBR3 24H-A443654-0.12","7/82",2.16334710168242e-08,0.000119438393483886,0,0,23.071852340145,407.195678848302,"TNIP1;LAMP3;DDIT4;HIST1H2BK;PELI1;CLC;BIRC3",14.2857142857143,1,0,0,100,7
"7","LJP006 SKBR3 24H-JW-7-24-1-10","8/127",2.24516662107605e-08,0.000106247699271093,0,0,17.0248989146627,299.840834335307,"ISG20;MLPH;TNIP1;LAMP3;DDIT4;TNFAIP3;TGM2;BIRC3",12.5,1,0,0,100,8
"8","LJP009 PC3 24H-BX-795-10","7/92",4.84093489055866e-08,0.000200451011480808,0,0,20.5640423031727,346.371945295806,"ORM1;TNIP1;LAMP3;DDIT4;TNFAIP3;G0S2;TGM2",14.2857142857143,1,0,0,100,7
"9","LJP005 A375 24H-mitoxantrone-0.12","8/145",6.32587699636711e-08,0.000232834445979619,0,0,14.9114631873253,247.172891905289,"ISG20;TKTL1;LAMB3;TNIP1;HIST1H2BK;PELI1;TNFAIP3;SAMSN1",12.5,1,0,0,100,8
"10","LJP006 A549 24H-QL-XII-47-10","9/219",1.1452283096309e-07,0.000379368329848331,0,0,11.1069974083673,177.517493188873,"ISG20;LAMB3;TNIP1;PLAU;HIST1H2BK;PELI1;TNFAIP3;IER3;BIRC3",22.2222222222222,2,0,0,100,9
