"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP007 A375 24H-KIN001-266-10","13/75",2.93909370939123e-13,9.7345722748747e-09,0,0,18.0555555555556,521.002172477337,"FCN1;IGSF6;GZMA;TRAC;PRF1;GZMB;OLFM4;GNLY;LCK;CCL5;CCL4;IL2RB;CCR7",7.69230769230769,1,0,0,7.69230769230769,1
"2","LJP008 HA1E 24H-(-)-JQ1-10","10/58",1.83830988472975e-10,3.04433308460669e-06,0,0,17.9597701149425,402.604244277021,"CD2;CCL8;CCL5;GZMA;PRF1;GZMB;IL2RG;IL7R;RASGRP1;FCGR1B",10,1,0,0,0,0
"3","LJP006 LNCAP 3H-ZSTK-474-0.37","11/77",1.8425422242884e-10,2.03422803368854e-06,0,0,14.8809523809524,333.552152801724,"ARG1;CEACAM6;PSAT1;CRISP3;DDIT4;LCN2;CTSG;BPI;CEACAM8;RUNX3;ELANE",9.09090909090909,1,0,0,9.09090909090909,1
"4","LJP006 MCF7 3H-KIN001-043-1.11","9/45",3.77334674018126e-10,3.12442543453859e-06,0,0,20.8333333333333,452.039345683089,"GNLY;TCN1;CEACAM6;CCL5;GZMA;PRF1;NKG7;CST7;TARP",11.1111111111111,1,0,0,22.2222222222222,2
"5","LJP008 HEPG2 24H-I-BET-10","11/124",3.15394842859987e-08,0.000208923851807313,0,0,9.24059139784946,159.603731244291,"CEACAM1;PRKCH;EVI2A;ARG1;ICAM3;CD1E;CD48;SLC1A5;TPSAB1;EVI2B;CCR2",9.09090909090909,1,0,0,18.1818181818182,2
"6","LJP006 MCF10A 3H-BMS-387032-0.12","8/54",4.44512408646116e-08,0.0002453782581128,0,0,15.4320987654321,261.248039497097,"RAP1GAP2;ITGAM;CCL5;DDIT4;LCN2;NKG7;MNDA;TARP",12.5,1,0,0,25,2
"7","LJP005 SKBR3 3H-PD-0325901-10","8/55",5.15931832136911e-08,0.000244116831602952,0,0,15.1515151515152,254.240549718905,"CEACAM1;EVI2A;LCK;CCR7;CD48;IL7R;RUNX3;SAMSN1",0,0,0,0,37.5,3
"8","LJP009 A375 24H-SB-203580-1.11","7/45",2.24478483549619e-07,0.000929368981705868,0,0,16.2037037037037,248.070374611225,"TCN1;CEACAM6;HP;LCN2;S100A12;CEACAM8;OLFM4",0,0,0,0,0,0
"9","LJP006 MDAMB231 3H-BI-2536-1.11","7/47",3.06105290549948e-07,0.00112650148092276,0,0,15.5141843971631,232.702475513955,"CRISP3;S100A12;CTSG;TPSAB1;OLFM4;EVI2B;ELANE",0,0,0,0,0,0
"10","LJP006 SKBR3 3H-GDC-0941-0.37","7/47",3.06105290549948e-07,0.00101385133283048,0,0,15.5141843971631,232.702475513955,"CEACAM1;MS4A3;PSAT1;CEACAM6;CRISP3;LCN2;TRIB3",0,0,0,0,28.5714285714286,2
"11","LJP006 HT29 24H-JNK-9L-0.37","8/77",7.44735896117025e-07,0.00224239978320836,0,0,10.8225108225108,152.708183801665,"CEACAM1;MS4A3;TCN1;S100A12;CD69;TPSAB1;CST7;IL7R",0,0,0,0,25,2
"12","LJP006 LNCAP 3H-MK-2206-0.37","6/34",7.78321082898743e-07,0.00214823104889077,0,0,18.3823529411765,258.568505421908,"MS4A3;ARG1;CEACAM6;CTSG;CEACAM8;ELANE",16.6666666666667,1,0,0,0,0
"13","LJP006 LNCAP 24H-QL-X-138-1.11","9/105",7.80110911414547e-07,0.00198754257668932,0,0,8.92857142857143,125.569908332591,"SLC7A5;PRKCH;SELL;PSAT1;DDIT4;EIF4EBP1;TACC3;GIMAP4;GIMAP6",0,0,0,0,22.2222222222222,2
"14","LJP008 HCC515 24H-IOX2-10","6/37",1.31359435210081e-06,0.00310768275256649,0,0,16.8918918918919,228.762557395529,"FCN1;GZMA;GZMB;MNDA;CST7;IL7R",0,0,0,0,16.6666666666667,1
"15","LJP006 HS578T 3H-BI-2536-1.11","7/58",1.33876527711995e-06,0.00295608298289931,0,0,12.5718390804598,170.018569731288,"MS4A3;SELL;CTSG;MNDA;TARP;ELANE;F5",0,0,0,0,0,0
"16","LJP006 BT20 3H-WYE-125132-3.33","5/22",1.78473731883145e-06,0.00369451779606352,0,0,23.6742424242424,313.357938302091,"LAMP3;GZMB;S100A12;MNDA;CST7",0,0,0,0,40,2
"17","LJP008 HEPG2 24H-PFI-1-3.33","8/88",2.07930317013153e-06,0.00405109413517215,0,0,9.46969696969697,123.896569457772,"EVI2A;ARG1;CEACAM6;LCK;HP;ICAM3;CD48;OLFM4",12.5,1,0,0,12.5,1
"18","LJP006 HME1 3H-selumetinib-10","8/88",2.07930317013153e-06,0.00382603334988481,0,0,9.46969696969697,123.896569457772,"SLC7A5;GNLY;CEACAM6;TCN1;CCL5;GZMA;CST7;SAMSN1",12.5,1,0,0,37.5,3
"19","LJP008 HEPG2 24H-I-BET-1.11","7/63",2.36581798564828e-06,0.00412411881592931,0,0,11.5740740740741,149.935031533681,"PRKCH;ARG1;CEACAM6;TCN1;ICAM3;S100A12;F5",14.2857142857143,1,0,0,14.2857142857143,1
"20","LJP005 MCF7 3H-SAR-245408-3.33","7/63",2.36581798564828e-06,0.00391791287513284,0,0,11.5740740740741,149.935031533681,"GNLY;CCL5;CCL4;PRF1;NKG7;TARP;CST7",14.2857142857143,1,0,0,28.5714285714286,2
"21","LJP006 MDAMB231 3H-WZ-4-145-10","7/63",2.36581798564828e-06,0.00373134559536461,0,0,11.5740740740741,149.935031533681,"CEACAM1;MS4A3;ARG1;CRISP3;CTSG;MMP8;OLFM4",14.2857142857143,1,0,0,14.2857142857143,1
"22","LJP009 HEPG2 24H-XMD-892-10","9/121",2.57070614064429e-06,0.00387019809473998,0,0,7.74793388429752,99.7262133308441,"ORM1;CEACAM1;ARG1;CEACAM6;SLAMF8;ICAM3;CD1E;ASGR2;F5",11.1111111111111,1,0,0,33.3333333333333,3
"23","CPC014 PHH 24H-hy-10518-10.0","11/193",2.72597131243894e-06,0.00392551721040392,0,0,5.93696027633852,76.0684063216301,"DDIT4;ICAM3;COL8A1;RAB27A;CEACAM8;LILRB3;CORO1A;ASGR1;LAIR1;C2;ASGR2",0,0,0,0,36.3636363636364,4
"24","LJP009 A549 24H-PF-3758309-3.33","5/24",2.83606280548916e-06,0.00391388484085861,0,0,21.7013888888889,277.193875949207,"ARG1;PSAT1;DDIT4;MNDA;ELANE",20,1,0,0,20,1
"25","LJP006 HS578T 3H-dasatinib-3.33","7/66",3.25034019819938e-06,0.00430618070818247,0,0,11.0479797979798,139.610568552908,"MGAM;MS4A3;TCN1;S100A12;BPI;CEACAM8;ELANE",0,0,0,0,0,0
"26","LJP006 MCF10A 3H-BI-2536-3.33","7/66",3.25034019819938e-06,0.00414055837325238,0,0,11.0479797979798,139.610568552908,"MS4A3;S100A12;CTSG;TRIB3;TARP;CST7;ELANE",0,0,0,0,28.5714285714286,2
"27","LJP005 SKBR3 3H-buparlisib-10","7/68",3.98116187571138e-06,0.00488370601797913,0,0,10.7230392156863,133.32959247687,"PRKCB;CEACAM6;TCN1;LCN2;SLA;CTSG;OLFM4",0,0,0,0,0,0
"28","LJP005 HS578T 3H-NVP-BEZ235-0.04","6/45",4.31805542780055e-06,0.00510779692229222,0,0,13.8888888888889,171.56535263197,"ITK;LCK;CEACAM6;DDIT4;IL7R;CD3D",0,0,0,0,16.6666666666667,1
"29","LJP008 HEPG2 24H-I-BET151-10","9/129",4.36616845653204e-06,0.00498661604995854,0,0,7.26744186046512,89.692040093448,"MGAM;CEACAM1;CEACAM6;ICAM3;CD1E;TPSAB1;CD1B;ASGR2;F5",0,0,0,0,33.3333333333333,3
"30","LJP009 HCC515 24H-AZD-1480-10","6/46",4.92637472175181e-06,0.00543888190530472,0,0,13.5869565217391,166.044934659918,"MS4A3;CEACAM6;LCN2;CTSG;TPSAB1;OLFM4",0,0,0,0,0,0
"31","LJP006 SKBR3 3H-GSK-2126458-0.12","6/47",5.60251829515041e-06,0.00598583898237667,0,0,13.2978723404255,160.801786778502,"MS4A3;PRKCB;HP;CTSG;OLFM4;ELANE",0,0,0,0,0,0
"32","LJP007 HA1E 24H-BMS509744-10","7/72",5.85710566845676e-06,0.00606228740140488,0,0,10.1273148148148,122.012420323153,"ITK;TRAF3IP3;CCL5;LCN2;PADI2;CST7;AIF1",14.2857142857143,1,0,0,14.2857142857143,1
"33","LJP009 HA1E 24H-PF-3758309-0.12","8/102",6.32752228383151e-06,0.00635072319887223,0,0,8.16993464052288,97.7990344999176,"MS4A3;CCL8;EVI2A;PSAT1;MNDA;CD69;ELANE;CYTH1",0,0,0,0,0,0
