"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 HA1E 24H-HG-5-113-01-10","19/185",1.76089515895242e-14,5.8331413035458e-10,0,0,10.6981981981982,338.815884669695,"RAP1GAP2;MS4A3;GZMA;LST1;PLEK;PRF1;CYBRD1;NKG7;GZMB;CST7;RUNX3;GNLY;CCL5;CCL4;S100A12;CTSG;MNDA;FCGR1B;ELANE",5.26315789473684,1,0,0,10.5263157894737,2
"2","LJP008 HCC515 24H-CGP-60474-1.11","16/129",1.14401242170608e-13,1.89482777407177e-09,0,0,12.9198966408269,385.000832789267,"ITK;TRAC;NKG7;TARP;IL2RG;CD3D;CD2;CD8A;LAMP3;CCL5;IL2RB;LCN2;CCR7;CD48;FYN;IL7R",6.25,1,0,0,18.75,3
"3","LJP005 SKBR3 24H-mitoxantrone-0.37","14/89",1.42381159292058e-13,1.57217276090291e-09,0,0,16.3857677902622,484.695414305244,"GZMA;TNFRSF9;NKG7;RASGRP1;RELB;CCL8;GNLY;CEACAM6;CD8A;LAMP3;CCL5;CCL4;IL2RB;CYTH1",7.14285714285714,1,0,0,14.2857142857143,2
"4","LJP005 PC3 24H-WZ-3105-0.37","18/188",3.00388834506439e-13,2.48767013296507e-09,0,0,9.97340425531915,287.570132757297,"MGAM;ORM1;MS4A3;NCF4;HP;OLFM4;CST7;RUNX3;SAMSN1;BST1;CCL5;CCL4;CD48;BPI;MNDA;CEACAM8;IL7R;ELANE",5.55555555555556,1,0,0,16.6666666666667,3
"5","LJP008 HA1E 24H-olaparib-10","16/177",1.58678541442881e-11,1.05127707276738e-07,0,0,9.41619585687382,234.149960500312,"KLRB1;GZMA;TRAC;OLFM4;IL2RG;CORO1A;SAMSN1;CD3D;LCK;LAMP3;CCL5;LCP2;CD48;MNDA;EVI2B;ELANE",6.25,1,0,0,18.75,3
"6","LJP005 HS578T 24H-AS-601245-1.11","15/150",1.63608007950675e-11,9.03279811895677e-08,0,0,10.4166666666667,258.709717058314,"PRKCB;GZMA;TRAC;PRF1;ICAM3;GZMB;RASGRP1;CD3D;CD2;CCL5;LCN2;CD48;LTB;IL7R;TPSAB1",6.66666666666667,1,0,0,6.66666666666667,1
"7","LJP005 HA1E 24H-AS-601245-3.33","14/135",4.84402398990783e-11,2.29233055270981e-07,0,0,10.8024691358025,256.566098322985,"GZMA;PRF1;CST7;CD2;KLRK1;CD8A;LCK;LAMP3;CCL5;IL2RB;LTB;IL7R;TPSAB1;ELANE",7.14285714285714,1,0,0,14.2857142857143,2
"8","LJP006 PC3 24H-AT-7519-10","14/139",7.19869767263878e-11,2.9808007387979e-07,0,0,10.4916067146283,245.026605582303,"ORM1;TRAC;CYBRD1;FPR3;IL2RG;AIF1;RELB;CD2;CCL8;LAMP3;GPR183;CCL5;LCN2;CD48",7.14285714285714,1,0,0,21.4285714285714,3
"9","LJP005 HA1E 24H-erlotinib-10","9/39",9.48180381097328e-11,3.48993592269223e-07,0,0,24.0384615384615,554.785130993955,"GNLY;PSAT1;DDIT4;EIF4EBP1;GZMB;NKG7;SLC3A2;TRIB3;TARP",0,0,0,0,33.3333333333333,3
"10","LJP006 HA1E 24H-alvocidib-0.37","16/204",1.35025333579413e-10,4.47284920015163e-07,0,0,8.16993464052288,185.6663292398,"MSR1;IGSF6;FLT1;ITGAM;FPR3;TREM2;SAMSN1;CCL8;LAMP3;CCL5;CCRL2;CCL4;C3AR1;SLAMF8;LTB;FCGR1B",6.25,1,0,0,12.5,2
"11","LJP006 HS578T 24H-AT-7519-0.37","15/174",1.37490296234906e-10,4.14045777552499e-07,0,0,8.97988505747127,203.910450558094,"ORM1;MS4A3;CD3D;AIF1;CEACAM6;LAMP3;APOC2;LCN2;CTSG;BPI;MNDA;CEACAM8;IL7R;TPSAB1;ELANE",0,0,0,0,13.3333333333333,2
"12","LJP006 HCC515 24H-AT-7519-10","14/160",4.74556856712758e-10,1.31001420295557e-06,0,0,9.11458333333333,195.677705421983,"TRAC;IL2RG;CST7;CD3D;AIF1;CD2;CD8A;GNLY;LCK;LAMP3;CCL5;APOC2;CCL4;IL7R",7.14285714285714,1,0,0,14.2857142857143,2
"13","LJP005 MDAMB231 3H-torin-2-0.04","10/65",5.95090376893286e-10,1.51638183268977e-06,0,0,16.025641025641,340.421599807361,"KLRK1;GNLY;LCK;CD8A;CCL5;GZMA;PRF1;GZMB;NKG7;TPSAB1",10,1,0,0,10,1
"14","LJP005 A549 24H-CYT387-10","12/111",7.47017146885898e-10,1.7675492862673e-06,0,0,11.2612612612613,236.654650638821,"FCN1;ITK;PRKCH;KLRK1;CCL8;SELL;GNLY;LCK;TRAC;PRF1;GZMB;TARP",0,0,0,0,0,0
"15","LJP006 HA1E 24H-BMS-387032-3.33","15/201",1.04034496353995e-09,2.29749781748162e-06,0,0,7.77363184079602,160.787573717977,"MSR1;FLT1;ITGAM;FPR3;TREM2;CD3D;C2;CCL8;LAMP3;CCL5;CCRL2;CCL4;SLAMF8;IL7R;TPSAB1",6.66666666666667,1,0,0,6.66666666666667,1
"16","LJP008 HA1E 24H-GSK-461364-1.11","10/69",1.09346634548004e-09,2.26388538502325e-06,0,0,15.0966183574879,311.502310585249,"CD2;KLRB1;CD8A;GZMA;TRAC;PRF1;TARP;CST7;IL7R;CD3D",0,0,0,0,10,1
"17","LJP005 HS578T 24H-pelitinib-3.33","9/53",1.76641182262649e-09,3.44200929625441e-06,0,0,17.688679245283,356.503223469431,"PSAT1;TCN1;LCN2;S100A12;CTSG;BPI;CEACAM8;MMP8;ELANE",0,0,0,0,0,0
"18","LJP008 HEPG2 24H-CGP-60474-10","13/152",2.67321411615464e-09,4.91960504509658e-06,0,0,8.90899122807018,175.863346968138,"PRKCB;OLFM4;TARP;IL2RG;SAMSN1;RASGRP1;CD3D;LAMP3;GPR183;CCL5;CCL4;SLAMF8;CD48",7.69230769230769,1,0,0,23.0769230769231,3
"19","LJP006 HEPG2 24H-BI-2536-0.12","7/25",2.79638595705614e-09,4.87542532702325e-06,0,0,29.1666666666667,574.435691173663,"KLRK1;GNLY;CD8A;CCL5;GZMA;CCL4;GZMB",14.2857142857143,1,0,0,0,0
"20","LJP005 A375 24H-AS-601245-3.33","10/76",2.89638504359319e-09,4.7972825477034e-06,0,0,13.7061403508772,269.460011159801,"CCL5;IL10RA;CCL4;HP;PRF1;LCN2;GZMB;NKG7;IL7R;FCGR1B",10,1,0,0,10,1
"21","LJP006 PC3 24H-HG-6-64-01-3.33","10/77",3.30118715314517e-09,5.20738693500414e-06,0,0,13.5281385281385,264.190796669221,"SLC7A5;CEACAM6;PSAT1;ALDH3B1;DDIT4;EIF4EBP1;S100A12;TRIB3;SLC1A5;AARS",0,0,0,0,30,3
