"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Bromfenac-5 mg/kg in CMC-Rat-Liver-5d-up","63/313",5.23700471381043e-16,4.1246649125971e-12,0,0,3.09896774859993,109.039076097768,"LGALS3BP;PIGR;BTG2;COX7B;ORM1;KDELR1;DPYS;SERPINA10;HP;CIB1;CXCL1;CLU;ASGR2;MRPL41;FADS2;ZFP36;ANPEP;CHAC1;CD36;JUNB;JAK3;IER2;CD53;FGB;HMGCS1;DIO1;PRODH2;DCN;F5;IRF1;NINJ1;S100A9;SMPDL3A;C1QB;LRPAP1;IDI1;CPB2;CFI;AKR1D1;PSMB10;PLAC8;EBP;PRDX4;HLA-DMB;C9;APOE;CD14;A2M;PCK1;DECR1;PCK2;SDF2L1;FZD5;SERPIND1;GADD45A;PSMB9;NET1;ALDH6A1;FABP7;LCN2;KLKB1;NIT2;ITM2C",1.58730158730159,1,0,0,4.76190476190476,3
"2","Alfacalcidol-0.043 mg/kg in CMC-Rat-Liver-3d-up","60/298",2.58802328182954e-15,1.01916356838447e-11,0,0,3.09995815056497,104.121028635065,"LGALS3BP;PIGR;BTG2;ORM1;CXCL9;SERPINA10;HP;CIB1;CXCL1;CLU;IFIT3;IFIT2;ZFP36;ANPEP;CHAC1;CCNL1;JUNB;JAK3;IER2;CD53;FGB;IFRD1;FNDC3B;FOS;MAT1A;KLF15;F5;UGDH;PPM1A;IRF1;NINJ1;IRF7;TRIB1;S100A9;ATF3;C1QB;C1QA;CFI;AKR1D1;PSMB10;PLAC8;C9;CEPT1;A2M;PCK1;DECR1;CCL22;SDF2L1;FZD5;GADD45A;SOD2;PSMB9;NET1;ALDH6A1;KLF6;HIST1H4B;FABP7;APOC1;LCN2;KLKB1",0,0,0,0,6.66666666666667,4
"3","Roflumilast-17 mg/kg in CMC-Rat-Liver-1d-up","56/300",6.09296968566215e-13,1.59960764147584e-09,0,0,2.87400564536823,80.8356353258776,"PIGR;BTG2;ORM1;HP;CXCL1;LITAF;CLU;ASGR2;ALAD;ZFP36;SLC22A18;JUNB;IER2;CD53;FGB;DUSP2;HMGCS1;ARG1;FOS;PPM1A;SLPI;SLC7A9;IRF1;DNASE1L3;SMPDL3A;ATF3;C1QB;C1QA;IDI1;PSMD11;MAOB;CFI;CREM;HTRA1;HSD17B12;PLAC8;PGRMC1;EBP;HLA-DMB;C9;CD14;CEPT1;A2M;HAO2;JUP;SERPIND1;SLC10A1;EPHX1;PSMB9;FABP1;ALDH6A1;FXYD2;FABP7;CTH;APOC1;KLKB1",3.57142857142857,2,0,0,1.78571428571429,1
"4","Ciprofloxacin-72 mg/kg in Corn Oil-Rat-Liver-1d-up","57/315",1.4472392160714e-12,2.84961401644458e-09,0,0,2.7860258807141,75.9508638737142,"BTG2;ORM1;DPYS;SERPINA10;HP;CIB1;MTR;ASGR2;ALAD;FADS2;ZFP36;FCGRT;PLAU;ANPEP;JUNB;IER2;FGB;HMGCS1;ARG1;DIO1;FOS;PRODH2;GCHFR;PPM1A;NINJ1;IRF7;MASP2;ATF3;C1QB;C1QA;IDI1;SHMT2;WBP2;CFI;SLC3A2;EBP;PRDX4;C9;APOE;A2M;PCK1;HAO2;DECR1;YARS;CCL22;SERPIND1;SLC10A1;EPHX1;G0S2;ALDH6A1;FABP7;CTH;ECHDC2;GCLM;KLKB1;NIT2;ADA",3.50877192982456,2,0,0,10.5263157894737,6
"5","Alfacalcidol-0.043 mg/kg in CMC-Rat-Liver-5d-up","52/283",7.64838338773409e-12,1.20477335123587e-08,0,0,2.82903130159922,72.4133755641823,"PIGR;BTG2;ORM1;SERPINA10;HP;LITAF;CLU;TNF;ASGR2;ZFP36;CHAC1;CCNL1;JUNB;IER2;CD53;HMGCS1;ARG1;IFRD1;DIO1;FOS;MAT1A;KLF15;PRODH2;F5;SLPI;NINJ1;IRF7;TRIB1;ATF3;C1QB;C1QA;MAOB;CFI;AKR1D1;GNAI3;HTRA1;PLAC8;CD14;CEPT1;PCK1;HAO2;DECR1;IVNS1ABP;FZD5;SERPIND1;GADD45A;SLC10A1;NET1;KLF6;MYO1B;APOC1;OTC",5.76923076923077,3,0,0,5.76923076923077,3
"6","Chlorobenzene-500 mg/kg in CMC-Rat-Kidney-1d-up","55/315",1.53807907924068e-11,2.0189851380166e-08,0,0,2.68827058665396,66.9322969069381,"DGKG;BTG2;IFIT3;IFIT2;EPS8;ZFP36;SLC22A18;CCNL1;JUNB;IER2;WARS;IFRD1;USP2;FOS;RHOC;F3;PRODH2;DCN;UGDH;GAL;BDH2;IRF1;IRF7;RIN2;ATF3;C1QB;C1QA;SHMT2;CREM;SLC3A2;ADD3;NDRG1;SULT1A1;PLAC8;PGRMC1;HLA-DMB;CCL2;PCK1;RAB6A;DECR1;IVNS1ABP;EGR2;GADD45A;EPHX1;G0S2;DSTN;PSMB9;GNMT;ALDH6A1;KLF6;MGP;ECHDC2;CIAPIN1;GCLM;NIT2",1.81818181818182,1,0,0,5.45454545454545,3
"7","Nafenopin-338 mg/kg in Corn Oil-Rat-Liver-5d-dn","54/308",2.00060685534687e-11,2.25096851324456e-08,0,0,2.69937914279716,66.4991659357949,"PIGR;KDELR1;DPYS;SERPINA10;HP;CXCL1;RCBTB2;ASGR2;ALAD;LAPTM4B;ALCAM;SLC22A18;ACP2;IER2;DIO1;PRODH2;F5;IRF1;NINJ1;RAB38;DNASE1L3;S100A9;CPB2;MAOB;SHMT2;PON2;CFI;HTRA1;NREP;PSMB10;SULT1A1;PLAC8;PGRMC1;EBP;PRDX4;C9;APOE;CD14;CEPT1;A2M;PCK1;HAO2;SDF2L1;SERPIND1;SLC10A1;PRG2;SOD2;GNMT;ALDH6A1;SCCPDH;CTH;KLKB1;NIT2;OTC",1.85185185185185,1,0,0,1.85185185185185,1
"8","Irinotecan-5 mg/kg in Saline-Rat-Kidney-5d-up","53/306",4.92932792898711e-11,4.85292334608781e-08,0,0,2.66670691884657,63.2895776260949,"DGKG;LGALS3BP;PIGR;BTG2;HP;CIB1;CXCL1;ZFP36;FCGRT;PLAU;PTGDS;JUNB;CTSD;IER2;TPM4;IFRD1;DIO1;FOS;F3;DCN;GREM1;SLC7A9;IRF1;NINJ1;PELI1;IRF7;RIN2;CRYAB;ATF3;LRPAP1;C1QA;PSMD11;WBP2;CREM;NREP;NDRG1;NEU1;CCL2;APOE;PCK1;HAO2;DECR1;EGLN1;EGR2;GADD45A;CCL20;G0S2;DSTN;KLF4;GATM;KLF6;HIST1H4B;ITM2C",3.77358490566038,2,0,0,9.43396226415094,5
"9","Piclamilast-17 mg/kg in CMC-Rat-Liver-1d-up","50/280",5.64695828523562e-11,4.94171593939064e-08,0,0,2.74936764544155,64.8777053209545,"PIGR;BTG2;ORM1;SERPINA10;HP;CXCL1;CLU;ZFP36;ANPEP;SLC22A18;ME1;ACP2;JUNB;IER2;CD53;FGB;HMGCS1;FOS;MAT1A;F5;UGDH;SLC7A9;DNASE1L3;SMPDL3A;ATF3;IDI1;CPB2;CFI;CREM;SULT1A1;PGRMC1;EBP;C9;CEPT1;A2M;PCK1;HAO2;DECR1;GADD45A;SLC10A1;EPHX1;DSTN;FABP1;ALDH6A1;KLF6;FABP7;CTH;LCN2;KLKB1;OTC",0,0,0,0,2,1
"10","Pralidoxime Chloride-48 mg/kg in Saline-Rat-Liver-5d-up","50/281",6.44630267031511e-11,5.07710798314018e-08,0,0,2.73958341894532,64.2841311983599,"LGALS3BP;ORM1;CXCL9;SERPINA10;HP;PIK3CD;CXCL1;CLU;TNF;ALAD;ARHGDIB;JAK3;CD53;WARS;DAPK1;MAT1A;DCN;SLPI;IL1B;IRF1;NINJ1;RAB38;LCP1;DNASE1L3;CD44;C1QB;C1QA;MAOB;AKR1D1;CAPG;IL2RG;PSMB10;PLAC8;SDCBP;EBP;HLA-DMB;C9;UCP2;CD14;CEPT1;A2M;SLC10A1;DSTN;SOD2;PSMB9;GNMT;FXYD2;APOC1;LCN2;ITM2C",6,3,0,0,6,3
