"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Doxorubicin-3 mg/kg in Saline-Rat-Bone marrow-3d-up","56/324",1.82000009772714e-11,1.4334320769699e-07,0,0,2.64888132065654,65.5057740984994,"CDKN1C;GMFG;ITGB2;HP;LSP1;ARRB2;RPL6;CTSS;STK10;FCGRT;ANPEP;SLCO2B1;OSTF1;PGLYRP1;TPSAB1;GPSM3;CD97;VWF;PGAM1;HMHA1;IL16;F5;PIAS1;HCK;CEACAM1;TYROBP;SLPI;IL1B;IRF1;NINJ1;ARHGEF3;NUMB;LCP2;DNASE1L3;LRP1;PTAFR;FGL2;PTTG1IP;AIF1;C2;PLAC8;OGFRL1;CHST12;CCL5;MFN2;VCAM1;G0S2;FMO1;NKG7;EHD1;SELP;EHD2;FMNL1;PTPRC;LCN2;PTPN6",3.57142857142857,2,0,0,10.7142857142857,6
"2","Thioguanine-12 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","54/309",2.70725883326969e-11,1.0661185285416e-07,0,0,2.67827251422832,65.1690643470864,"ORM1;GMFG;ITGB2;ICAM2;HP;LSP1;ARRB2;BACH1;RPL6;CTSS;PYCARD;STK10;FCGRT;ANPEP;ADORA3;SLCO2B1;CYP1B1;OSTF1;UPP1;PGLYRP1;CCR5;CLIC2;CD97;VWF;PGAM1;HMHA1;IL16;F5;CEACAM1;TYROBP;SLPI;CTDSP1;LRP1;SHMT2;PTAFR;FGL2;PTTG1IP;AIF1;UQCRH;PLAC8;OGFRL1;CHST12;MGAT3;JAM2;VCAM1;PKLR;G0S2;FMO1;EHD1;EHD2;FMNL1;LCN2;PTPN6;PTPN7",0,0,0,0,12.962962962963,7
"3","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","51/290",7.61803034479456e-11,1.9999868998534e-07,0,0,2.69520412207689,62.7926450918634,"RNF10;ORM1;ITGB2;PRF1;HP;LSP1;ARRB2;BACH1;FAIM3;RPL6;PYCARD;STK10;ADORA3;OSTF1;PGLYRP1;GPSM3;CD97;SYK;PGAM1;ARHGEF18;IL16;HCK;CEACAM1;SLC7A7;TYROBP;SLPI;CTDSP1;IL1B;DNASE1L3;UNC93B1;COX17;ALOX15;FGL2;RASGRP2;PLAC8;OGFRL1;CHST12;UCP2;MGAT3;VCAM1;PKLR;SMOX;G0S2;NKG7;ASNS;TBCA;EHD1;HAL;FMNL1;TNIP1;LCN2",3.92156862745098,2,0,0,15.6862745098039,8
"4","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-up","54/321",1.19726873238828e-10,2.35742213407253e-07,0,0,2.57815017724782,58.8999240055247,"RNF10;ORM1;ITGB2;PRF1;HP;LSP1;ARRB2;BACH1;FAIM3;CTSS;STK10;FCGRT;ADORA3;SLCO2B1;CD37;OSTF1;CLIC2;GPSM3;CD97;VWF;HMHA1;ARHGEF18;IL16;F5;HCK;SLC7A7;TYROBP;SLPI;NINJ1;ARHGEF3;PRKD2;LCP2;DNASE1L3;LRP1;UNC93B1;ALOX15;FGL2;PTTG1IP;IL2RG;AIF1;UQCRH;CLCN1;C2;PLAC8;MGAT3;TSPAN3;VCAM1;STAT2;LY86;RAB27A;EHD2;FMNL1;PTPRC;PTPN6",0,0,0,0,7.40740740740741,4
"5","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","52/306",1.81352740747824e-10,2.85666837225973e-07,0,0,2.604362306864,58.4173496175498,"RNF10;ORM1;GMFG;ITGB2;ICAM2;HP;ARRB2;BACH1;RPL6;CTSS;PYCARD;STK10;FCGRT;ANPEP;ADORA3;PGLYRP1;GPSM3;RAB8B;PGAM1;SIRT2;CEACAM1;SLC7A7;TYROBP;CTDSP1;ARHGEF3;ERG;RBMS2;RGS19;PTAFR;ALOX15;SLC3A2;UQCRH;C2;OGFRL1;CHST12;CCL5;UCP2;MGAT3;EIF4EBP1;JAM2;NFE2;UBE2B;SMOX;TNFSF13;PLCL2;RAB27A;NKG7;ASNS;EHD1;FMNL1;LCN2;PTPN6",1.92307692307692,1,0,0,11.5384615384615,6
"6","Famciclovir-112 mg/kg in Saline-Rat-Spleen-0.25d-up","52/321",1.05243379998976e-09,1.38149476811989e-06,0,0,2.48266313364605,51.3220106425825,"CLIC5;ORM1;ITGB2;PRF1;ATP5C1;LSP1;BACH1;FAIM3;RPL6;CTSS;PYCARD;STK10;CD37;OSTF1;CLIC2;RPS10;GPSM3;CD97;HMHA1;ARHGEF18;IL16;PIAS1;HCK;SLC7A7;CD8B;BIN1;LCK;PRKD2;RAPGEF5;DNASE1L3;LRP1;UNC93B1;SP140;FGL2;RASGRP2;IL2RG;AIF1;PLAC8;INPP5D;CCL5;UCP2;PLCG2;MARCKSL1;SDF2L1;VCAM1;PKLR;ATP13A1;LY86;NKG7;HAL;FMNL1;TNIP1",3.84615384615385,2,0,0,7.69230769230769,4
"7","Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","48/285",1.23475683965297e-09,1.38927783844382e-06,0,0,2.58116555757209,52.9458791587886,"CLIC5;RNF10;TRAF3IP3;LRP1;UNC93B1;GMFG;ALOX15;ITGB2;FGL2;ICAM2;PTTG1IP;LSP1;IL2RG;FAIM3;CTSS;PLAC8;STK10;SNN;SLCO2B1;CCL5;MGAT3;CD37;TSPAN3;OSTF1;CLIC2;RPS10;GPSM3;CD97;VCAM1;PGAM1;STAT2;IL18;LY86;HMHA1;ARHGEF18;IL16;BST1;HCK;FMNL1;TYROBP;PTPRC;TNIP1;ARHGEF3;PRKD2;LCP2;PTPN6;RAPGEF5;DNASE1L3",4.16666666666667,2,0,0,4.16666666666667,2
"8","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-1d-up","51/313",1.2379527881383e-09,1.21876451992215e-06,0,0,2.49715397892108,51.2161456550311,"RNF10;ORM1;GMFG;ITGB2;PRF1;ICAM2;HP;LSP1;ARRB2;CTSS;STK10;PPP4R1;FCGRT;ADORA3;OSTF1;PGLYRP1;GPSM3;CD97;VWF;SP110;PGAM1;IL16;F5;ETV6;HCK;CEACAM1;SLC7A7;TYROBP;SLPI;ARHGEF3;DNASE1L3;RGS19;SHMT2;ALOX15;FGL2;PTTG1IP;OGFRL1;CHST12;MGAT3;NFE2;SDF2L1;VCAM1;PKLR;TNFSF13;RAB27A;NKG7;FMO5;EHD1;EHD2;PTPRC;PTPN6",0,0,0,0,9.80392156862745,5
"9","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-1d-up","50/307",1.8257748578332e-09,1.59775586447714e-06,0,0,2.49603754040461,50.2234237158155,"RNF10;ITGB2;PRF1;ICAM2;HP;LSP1;ARRB2;FAIM3;CTSS;STK10;FCGRT;ANPEP;SLCO2B1;CD37;OSTF1;PGLYRP1;GPSM3;RAB8B;CD97;VWF;SP110;PGAM1;IL16;F5;HCK;CEACAM1;SLC7A7;TYROBP;IRF1;ARHGEF3;DNASE1L3;UNC93B1;ALOX15;FGL2;PTTG1IP;USP18;C2;PLAC8;OGFRL1;CHST12;MGAT3;SDF2L1;VCAM1;RAB27A;NKG7;EHD1;EHD2;FMNL1;LCN2;PTPN6",0,0,0,0,8,4
"10","Carboplatin-6 mg/kg in Saline-Rat-Spleen-3d-up","51/317",1.94120194459564e-09,1.52889065156353e-06,0,0,2.46564414953407,49.4607193071581,"CLIC5;ORM1;ITGB2;PRF1;LSP1;BACH1;FAIM3;RPL6;CTSS;PYCARD;ADORA3;CYP1B1;CCR5;CLIC2;NDEL1;NCOA1;CD97;SYK;PIAS1;HCK;SLC7A7;LCK;CTDSP1;IRF1;CD48;IRF5;LRP1;SHMT2;SP140;FGL2;IL2RG;AIF1;PPM1F;PLAC8;INPP5D;CCL5;PLCG2;MGAT3;MARCKSL1;VCAM1;PKLR;ATP13A1;NKG7;S100B;NFKB1;HAL;FMNL1;PTPRC;TNIP1;IL2RB;PTPN7",3.92156862745098,2,0,0,11.7647058823529,6
"11","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","49/303",3.37417474714714e-09,2.41590911895735e-06,0,0,2.47840876041627,48.3466048598251,"GMFG;ITGB2;HP;LSP1;ARRB2;BACH1;RPL6;CTSS;STK10;FCGRT;ANPEP;SLCO2B1;TIMP2;OSTF1;UPP1;PGLYRP1;TPSAB1;GPSM3;CD97;VWF;PGAM1;IL16;HCK;CEACAM1;TYROBP;SLPI;IRF1;LCP2;DNASE1L3;LRP1;PTTG1IP;AIF1;UQCRH;C2;OGFRL1;CHST12;ALOX5;CCL5;EIF4EBP1;SDF2L1;VCAM1;PKLR;G0S2;FMO1;NKG7;FMNL1;PTPRC;LCN2;PTPN7",4.08163265306122,2,0,0,12.2448979591837,6
"12","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-0.25d-up","50/314",3.98288383415423e-09,2.6140994231499e-06,0,0,2.4403933914147,47.2002823500663,"CLIC5;RNF10;ITGB2;PRF1;LSP1;FAIM3;CTSS;PYCARD;STK10;ADORA3;CD37;OSTF1;CLIC2;GPSM3;RAB8B;CD97;SYK;HMHA1;ARHGEF18;IL16;HCK;TYROBP;CD8B;LCK;CTDSP1;IRF1;IRF5;DNASE1L3;RAMP2;LRP1;UNC93B1;SP140;FGL2;PTTG1IP;IL2RG;AIF1;PLAC8;INPP5D;CCL5;MGAT3;GBP2;MARCKSL1;SDF2L1;VCAM1;JUP;NKG7;ASNS;TBCA;FMNL1;TNIP1",4,2,0,0,8,4
"13","Thioguanine-24 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","50/316",4.95003152721157e-09,2.99895756217833e-06,0,0,2.42494786362093,46.374392286853,"ITGB2;HP;LSP1;ARRB2;BACH1;RPL6;CTSS;PYCARD;STK10;FCGRT;ANPEP;SLCO2B1;TIMP2;OSTF1;PGLYRP1;TPSAB1;CLIC2;GPSM3;VWF;IL16;F5;HCK;CEACAM1;TYROBP;SLPI;CTDSP1;IRF1;NINJ1;ARHGEF3;NUMB;DNASE1L3;LRP1;UNC93B1;FGL2;PTTG1IP;RASGRP2;AIF1;C2;PLAC8;OGFRL1;CHST12;SDF2L1;VCAM1;LY86;G0S2;NKG7;S100B;FMNL1;TNIP1;LCN2",2,1,0,0,14,7
