"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-3d-up","21/333",1.01357012446601e-11,7.98287830029433e-08,0,0,6.56906906906907,166.295701985883,"ORM1;GMFG;FGL2;PTAFR;HP;NKG7;RAB27A;IL16;LILRB3;AIF1;F5;HCK;CEACAM1;ADORA3;CCL5;LCN2;ARHGEF3;LCP2;CD48;PGLYRP1;TPSAB1",4.76190476190476,1,0,0,23.8095238095238,5
"2","Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-0.25d-up","18/282",2.70327705719734e-10,1.06455050512431e-06,0,0,6.64893617021277,146.485280372413,"NFE2;ORM1;GMFG;GZMA;FGL2;HP;NKG7;RAB27A;ASGR2;F5;LYL1;CEACAM1;ADORA3;IL2RB;LCN2;TACC3;LCP2;PGLYRP1",0,0,0,0,27.7777777777778,5
"3","Vincristine-0.05 mg/kg in Saline-Rat-Bone marrow-5d-up","18/295",5.59747424515265e-10,1.46952357182741e-06,0,0,6.35593220338983,135.403827086404,"NFE2;GMFG;FGL2;HP;NKG7;RAB27A;IL16;AIF1;C2;LYL1;HCK;CEACAM1;LCN2;ARHGEF3;CD37;LCP2;CD48;PGLYRP1",0,0,0,0,16.6666666666667,3
"4","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","18/306",1.00646777918847e-09,1.98173505722211e-06,0,0,6.12745098039216,126.941292181923,"NFE2;ORM1;SMOX;GMFG;PTAFR;HP;NKG7;RAB27A;SLC3A2;C2;LYL1;CEACAM1;ADORA3;CCL5;EIF4EBP1;LCN2;ARHGEF3;PGLYRP1",5.55555555555556,1,0,0,33.3333333333333,6
"5","Doxorubicin-3 mg/kg in Saline-Rat-Bone marrow-3d-up","18/324",2.49458286229141e-09,3.92946692468142e-06,0,0,5.78703703703704,114.636251800828,"GMFG;FGL2;PTAFR;HP;NKG7;IL16;AIF1;C2;F5;HCK;CEACAM1;SLCO2B1;CCL5;LCN2;ARHGEF3;LCP2;PGLYRP1;TPSAB1",5.55555555555556,1,0,0,22.2222222222222,4
"6","Gemcitabine-11 mg/kg in Saline-Rat-Bone marrow-3d-dn","15/256",2.78102542060013e-08,3.65055936877444e-05,0,0,6.103515625,106.188116625547,"NFE2;ORM1;HP;PRF1;NKG7;RAB27A;IL16;F5;BST1;LYL1;CEACAM1;ADORA3;LCN2;CD37;PGLYRP1",0,0,0,0,33.3333333333333,5
"7","Amikacin-20 mg/kg in Saline-Rat-Bone marrow-0.25d-up","16/299",3.36765984389229e-08,3.78909841864224e-05,0,0,5.57413600891862,95.9111630386946,"NFE2;SMOX;GMFG;FGL2;HP;NKG7;RAB27A;F5;BST1;HCK;CEACAM1;ADORA3;LCN2;CD37;LCP2;PGLYRP1",0,0,0,0,31.25,5
"8","Penciclovir-1200 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","16/300",3.52778767981327e-08,3.47310697077617e-05,0,0,5.55555555555556,95.3333877170979,"GMFG;HP;NKG7;RAB27A;IL16;AIF1;F5;BST1;HCK;CEACAM1;ADORA3;EIF4EBP1;LCN2;ARHGEF3;CD37;PGLYRP1",0,0,0,0,25,4
"9","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","16/301",3.69483753835641e-08,3.23339338356612e-05,0,0,5.53709856035437,94.7604881422332,"ORM1;FGL2;HP;NKG7;IL16;AIF1;F5;BST1;HCK;CEACAM1;ADORA3;LCN2;ARHGEF3;CD37;CD48;PGLYRP1",0,0,0,0,31.25,5
"10","Vincristine-0.05 mg/kg in Saline-Rat-Bone marrow-0.25d-up","15/267",4.85258800279947e-08,3.82189831100486e-05,0,0,5.85205992509363,98.5555276948555,"NFE2;GMFG;FGL2;HP;NKG7;RAB27A;IL16;F5;CEACAM1;ADORA3;LCN2;ARHGEF3;CD37;LCP2;PGLYRP1",0,0,0,0,26.6666666666667,4
"11","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Bone marrow-3d-up","17/350",5.08650878455175e-08,3.64194028973905e-05,0,0,5.05952380952381,84.9700933858279,"NFE2;SMOX;GMFG;FGL2;HP;IL16;IL2RG;AIF1;C2;F5;BST1;LYL1;HCK;CEACAM1;LCN2;CD37;CD48",0,0,0,0,11.7647058823529,2
"12","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","16/314",6.63205423239941e-08,4.35283826119815e-05,0,0,5.30785562632696,87.7323043989942,"GMFG;FGL2;HP;NKG7;RAB27A;IL16;AIF1;C2;F5;CEACAM1;SLCO2B1;CCL5;LCN2;CD48;PGLYRP1;TPSAB1",6.25,1,0,0,25,4
"13","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","16/316",7.23760486723869e-08,4.38487507187476e-05,0,0,5.27426160337553,86.7161941546927,"GMFG;HP;NKG7;IL16;AIF1;C2;F5;HCK;CEACAM1;SLCO2B1;CCL5;EIF4EBP1;LCN2;LCP2;PGLYRP1;TPSAB1",6.25,1,0,0,25,4
"14","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-up","16/321",8.97823429320584e-08,5.0508980923778e-05,0,0,5.19210799584631,84.2465083466437,"ORM1;FGL2;HP;PRF1;RAB27A;IL16;IL2RG;AIF1;C2;F5;HCK;SLCO2B1;ADORA3;ARHGEF3;CD37;LCP2",0,0,0,0,18.75,3
"15","Doxifluridine-1230 mg/kg in CMC-Rat-Bone marrow-1d-up","15/285",1.13979058200463e-07,5.9846604159123e-05,0,0,5.48245614035088,87.6494029902564,"NFE2;FGL2;HP;RAB27A;IL16;IL2RG;BST1;HCK;CEACAM1;SLCO2B1;LCN2;CD37;LCP2;CD48;PGLYRP1",0,0,0,0,20,3
"16","Cisplatin-2 mg/kg in Saline-Rat-Bone marrow-5d-up","15/292",1.56118968322638e-07,7.68495621568186e-05,0,0,5.35102739726027,83.8647661755618,"NFE2;GMFG;HP;NKG7;IL16;AIF1;C2;LYL1;HCK;CEACAM1;LCN2;ARHGEF3;CD37;LCP2;PGLYRP1",0,0,0,0,20,3
"17","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn","15/293",1.63173132805308e-07,7.55971525867413e-05,0,0,5.33276450511945,83.342864949805,"ORM1;GMFG;HP;PRF1;NKG7;RAB27A;IL16;F5;BST1;HCK;CEACAM1;ADORA3;LCN2;CD37;PGLYRP1",0,0,0,0,33.3333333333333,5
"18","Oxaliplatin-1.31 mg/kg in Saline-Rat-Bone marrow-0.25d-up","15/295",1.78154187249317e-07,7.79523543764233e-05,0,0,5.29661016949153,82.312587082124,"NFE2;GMFG;FGL2;HP;RAB27A;IL2RG;BST1;HCK;CEACAM1;ADORA3;LCN2;CD37;LCP2;CD48;PGLYRP1",0,0,0,0,20,3
"19","Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-1d-up","15/296",1.86102214933512e-07,7.71442655166495e-05,0,0,5.27871621621622,81.804105635152,"NFE2;ORM1;SMOX;FGL2;HP;PRF1;SLC3A2;IL2RG;F5;CEACAM1;SLCO2B1;ADORA3;LCN2;ARHGEF3;PGLYRP1",0,0,0,0,40,6
"20","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","15/303",2.51353008085639e-07,9.89828145841247e-05,0,0,5.15676567656766,78.3643124956815,"GMFG;HP;NKG7;IL16;AIF1;C2;HCK;CEACAM1;SLCO2B1;CCL5;EIF4EBP1;LCN2;LCP2;PGLYRP1;TPSAB1",6.66666666666667,1,0,0,26.6666666666667,4
"21","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-1d-up","15/307",2.97321053373986e-07,0.000111509553160643,0,0,5.08957654723127,76.4884634273163,"FGL2;HP;PRF1;NKG7;RAB27A;IL16;C2;F5;HCK;CEACAM1;SLCO2B1;LCN2;ARHGEF3;CD37;PGLYRP1",0,0,0,0,26.6666666666667,4
"22","Methyl Methanesulfonate-113 mg/kg in Water-Rat-Bone marrow-3d-up","15/307",2.97321053373986e-07,0.000106440937107887,0,0,5.08957654723127,76.4884634273163,"NFE2;ORM1;GMFG;FGL2;HP;NKG7;RAB27A;IL2RG;F5;HCK;CEACAM1;ADORA3;CD37;CD48;PGLYRP1",0,0,0,0,33.3333333333333,5
"23","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-1d-up","15/313",3.80604773455491e-07,0.000130332312858063,0,0,4.99201277955272,73.7894585674973,"NFE2;ORM1;GMFG;FGL2;HP;PRF1;NKG7;RAB27A;IL16;F5;HCK;CEACAM1;ADORA3;ARHGEF3;PGLYRP1",0,0,0,0,33.3333333333333,5
"24","Azathioprine-54 mg/kg in Water-Rat-Bone marrow-3d-up","15/314",3.96371679018886e-07,0.000130075972664698,0,0,4.97611464968153,73.3524755299805,"ORM1;GMFG;FGL2;HP;NKG7;RAB27A;AIF1;C2;F5;HCK;CEACAM1;EIF4EBP1;LCN2;CD48;PGLYRP1",0,0,0,0,26.6666666666667,4
"25","Busulfan-9 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","15/316",4.29687112424698e-07,0.000135368627898277,0,0,4.94462025316456,72.4891640558013,"ORM1;SMOX;FGL2;PRF1;IL16;IL2RG;AIF1;C2;F5;HCK;LCK;SLCO2B1;CCL5;ARHGEF3;PGLYRP1",6.66666666666667,1,0,0,26.6666666666667,4
"26","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","14/278",5.20998861799063e-07,0.000157822578289593,0,0,5.24580335731415,75.8937543906587,"NFE2;GMFG;FGL2;NKG7;RAB27A;AIF1;F5;BST1;CEACAM1;LCN2;ARHGEF3;TACC3;CD37;LCP2",0,0,0,0,14.2857142857143,2
"27","Cyclophosphamide-25 mg/kg in Water-Rat-Bone marrow-1d-up","14/282",6.18397909207969e-07,0.000180388960478591,0,0,5.17139479905437,73.9309515695512,"HP;NKG7;RAB27A;IL16;BST1;LYL1;HCK;CEACAM1;ADORA3;LCN2;CD37;LCP2;CD48;PGLYRP1",0,0,0,0,28.5714285714286,4
