"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","456/3998",8.5834174588389e-40,5.99122538626955e-37,0,0,1.7560743420209,157.965159025372,"ITSN2;CHIC2;MAML1;SLC4A1;ENO2;VPREB1;TBK1;CYP1B1;PIP4K2A;HOXA1;HOXA7;PRKACB;JUNB;HOXA5;IER2;HOXA4;IER3;ACOT9;DNTTIP2;RNASE1;SCAMP2;PRKD3;RBCK1;ATF3;SKAP2;CRABP2;PRDM13;BCL10;GATA1;HSD11B1;CYB5R1;FLRT1;S100A14;NKX2-5;HAO2;ZNF267;ELANE;S100A10;WNT10B;CREBBP;JUP;KIR2DS1;FZD5;RDX;KIR2DS5;NFATC1;BRAF;AZU1;FOSL1;RNF103;TCN1;SNAI1;HBP1;TNFSF8;ADA;PIGR;DPYS;ADM;SNX11;MMP25;MED13;HEY1;CTLA4;RPLP2;NEFH;SLC18A2;DUSP2;RIPK2;ANXA3;EN2;EMP1;EMP2;SERPINB9;FOS;F3;DUSP6;HIST2H2BE;MMP12;SLC7A5;BACE2;PELI1;SLC29A1;GPRC5D;CRYAB;CHST2;HLA-DQB1;CCL11;STAU1;NDUFA4L2;TANK;PTGS1;HAS1;GCNT3;STX4;SLC17A1;EGLN1;MBD4;SF3A1;AOC2;HSPA1L;BMP8B;G0S2;POU4F1;GTF2H5;FABP3;RYBP;DHRS9;HLA-DPB1;AGRP;RHAG;SIGLEC8;CRLF3;CRLF2;SIGLEC5;MSRB1;PF4;CSF3;CSF2;RAB3A;GPR68;PLOD2;IRS2;TNF;LAPTM4B;ZFP36;TUBB1;PHLDA2;PHLDA1;MAP3K4;CD177;CPA3;MYLIP;SLC38A1;MAP2K1;S100A2;TPM4;CDC25B;TPST2;GOLGA8B;KAT6A;FSCN1;RAB38;DLX2;PFKFB3;INSIG1;CREM;ITPR1;SOCS2;BTBD1;PSAP;EIF4EBP1;NDN;RASL10A;CD160;DEFA4;GFPT1;FANCE;MFHAS1;P4HA2;MAFF;PIR;HLA-DRA;ACO1;LRCH4;BMP10;RASGRF1;PTEN;PIK3CD;ITGAE;SCPEP1;GM2A;DSE;ME1;ACP2;UPP1;CLEC1B;NCK1;NKX3-1;MSL3;HTR3A;TRAF1;ARFGAP3;TNFRSF1A;ASPH;IL1RAPL1;TMBIM1;BPI;LCP1;MET;BIRC3;PPP1R15A;CEBPB;CXXC1;IL2RG;AP3M2;CCL7;KATNA1;EIF4H;IGF2BP2;KCNJ1;SH2B2;POLR2L;CMA1;MBOAT7;APOC4;KLF4;TPD52L2;KLF2;GZMK;NELL2;KLF6;MARCKS;P2RX5;CLEC2B;ST5;IMPDH1;P2RX1;MGAT4B;PTPN7;FOLR3;EPHB6;GLTP;KDELR1;ICAM4;PPP2R2A;AQP3;RCBTB2;PNP;DPF1;CCNL1;TRIM21;AGFG1;PDK1;ACVR1;TKTL1;ATP6V0E1;IL1R1;KRT2;IFRD1;MCCC1;ACSL5;CSNK1D;RUNX2;CHIT1;SOAT1;ZW10;TRIB3;HECA;TRIM16;TRIB1;PTGES;GYPA;GYPC;TXK;STC1;CD1E;CD1D;PIK3R5;NEU3;CD79A;STC2;ST8SIA5;HIST1H3G;STAT5A;VASP;EGR2;EGR3;GADD45B;TNFSF15;GADD45A;RANBP17;LIF;NET1;MSRA;PARP11;SMTN;HIST1H4B;STAG3;HIST1H4H;GRB2;GRAP;CD24;RGL2;SPRR1A;HIST1H4D;HIST1H4E;COX7B;ECM1;PTGDR2;SLC35F2;IL24;CTSW;SLC7A11;VLDLR;CD3E;RAB22A;PPP3CA;PCF11;SEC61G;RAC2;CTSG;FFAR2;CD36;CTSD;CD53;CBR1;IL13;TFE3;GAB2;AMPD3;RHOC;RHOD;PRPF18;CEACAM4;ARHGEF3;TFF1;DBN1;CD44;HDC;GNAI3;GNAI2;NT5M;SHOC2;CCT8;LY6G6C;GABRD;CD55;IL32;CA12;SLC31A2;BATF;RIT1;NR6A1;AXL;MARS;RAB9A;F2RL2;CD83;FHOD1;MPL;ARHGDIG;ARID4B;NR3C1;CCND3;ARHGDIB;HIST1H2AG;TGM3;OSR2;PDGFRA;HIST1H2AL;RALBP1;SPINK1;SPINK5;WNT5A;KRT75;ZNF91;CD8A;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BB;HIST1H2BD;HIST1H2BC;CHRNA3;PSMD11;CHRNA6;PSEN1;SLC1A5;NDRG1;KIR2DL3;KIR2DL4;CNN2;SDCBP;FUT8;THPO;MAN2A1;PODXL;HRH4;TAC3;BPTF;YARS;PHF11;EPHX1;ARHGAP29;H2BFS;IGF2R;IL4;NR4A2;NAT1;MAN2B1;GCLM;LAMC3;DDX43;TNFAIP3;CXCL1;CHD1;CXCL2;LASP1;CASP7;ALDH2;ZIC3;HIST1H1D;RBM5;HIST1H1C;SRGN;CAD;PLAUR;PPP2R5C;MMP8;ARID1A;MMP9;PJA1;GREM1;CCNA1;ALDH1A3;AIM2;IRF3;OAS1;OAS3;ALDH1A2;NDUFS4;IRF7;CHI3L1;BLVRB;TERF2IP;RBMS1;DNASE2;IRF9;B4GALT5;RALA;PDXK;BCL2A1;HIST1H2BJ;MVP;HIST1H2BK;SLC3A2;RETN;ADD3;DLL3;NXF1;MUC1;NXF3;BNIP2;ABCF2;LAMB3;PDE6G;ATP2B1;S100B;SOD2;ERCC4;CD5;PMP22;RGS10;CDK2AP1;SCLY;GLA",2.85087719298246,13,0,0,5.48245614035088,25
"2","hydrocortisone homo sapiens gpl201 gse21909 chdir up","195/1270",6.72411764299234e-31,2.34671705740433e-28,0,0,2.36402320379699,164.239181544017,"TSKS;SLC4A1;ANPEP;DPF1;PIP4K2A;CYP1B1;PTGDS;PRKACB;JUNB;AGFG1;ACVR1;ATP6V0E1;IL1R1;SERPINF1;IFRD1;RNASE1;CHIT1;SFRP4;TFR2;SKAP2;IDO1;GYPC;SHMT2;GYPB;STC1;CD1E;PRKAR2B;PDGFD;STC2;HIST1H3G;HIST1H3H;HIST1H3C;WNT10B;KIR2DS2;GADD45A;SETD1B;GP9;STAG3;FXYD2;HIST1H4J;HIST1H4D;ITM2C;CTSW;ADM;C8B;MMP25;SCML2;RAC2;CTSG;CCR3;ARG1;ANXA3;BGN;HIST2H2BE;RHOB;SLC7A5;FCER2;HCLS1;ANGPTL4;PAFAH1B3;DNASE1L3;C1QB;FOXC2;C1QA;FOXC1;PTGER2;HDC;NDUFA4L2;LILRA3;PTGS1;PGRMC1;NFIL3;LAIR2;NT5M;CDKN2D;CCL22;HSPA1L;SLC31A2;G0S2;PDZK1IP1;GTF2H5;RIT1;RYBP;HLA-DPB1;RAB9A;CLC;PF4;NARF;PROS1;IRS2;CLU;FADS2;LAPTM4B;CCND3;PLAU;BASP1;PIM2;CPA3;HIST1H2AM;SLC38A1;MAP2K1;HIST1H2AI;TPM1;WNT5A;HIST1H2AJ;FTSJ1;TPST2;ZNF91;KAT6A;HIST1H2BF;KLRF1;HIST1H2BE;PRTN3;HIST1H2BH;CLEC4E;HIST1H2BB;HIST1H2BD;HIST1H2BC;IDI1;SEMA7A;CD151;FECH;CABP5;ALOX15;CREM;ALOX12;KIR2DL2;NDRG1;SOCS2;THPO;NDN;STAP1;KIR2DL5A;IVNS1ABP;CD160;ASNS;ARHGAP29;H2BFS;BMP6;NR4A2;MAFF;LCN2;ALPL;GCLM;MS4A3;PTEN;TNFAIP3;MTR;CXCL2;NRGN;HK1;OASL;LYL1;PSTPIP2;ME1;NCK2;HIST1H1D;HIST1H1E;UPP1;CLEC1B;HIST1H1C;NAT8B;ARID1A;MMP9;C1QL1;PPM1A;TMBIM1;IRF7;CHI3L1;B4GALT5;PPP1R15A;HIST1H2BN;CEBPB;HIST1H2BO;BCL2A1;HIST1H2BJ;C1R;HIST1H2BI;PON2;HIST1H2BK;SLC3A2;ADD3;NXF3;TBX21;IGF2BP2;APOC4;KLF1;GZMK;CLEC2B;MGAT4B;RGS10;CDK2AP1;S100P;FOLR3;GLA",5.12820512820513,10,0,0,8.71794871794872,17
"3","sirolimus homo sapiens gpl8300 gds3603 chdir up","186/1225",8.15890313944117e-29,1.89830479710998e-26,0,0,2.3377480322383,151.195859670132,"CYFIP2;CD83;FAM89B;JMJD1C;ICAM3;SLC4A1;PPP2R2A;ARID4B;CIB1;IFI35;THUMPD1;NR3C1;TNF;RNF115;ZFP36;PNP;FCGRT;BASP1;ANPEP;NAMPT;TNFSF10;PIP4K2A;CYP1B1;MIR22HG;DENND5A;PIM2;NBN;PHLDA2;PTGDS;HMGN3;IER2;SOX4;SEC63;IER3;TLE4;USP7;TAP1;CSNK1D;HLA-F;SND1;ZNF91;SLC9A6;TFR2;CD8A;KAT6A;SIK1;RBCK1;S100A9;RIN2;RPL28;CSNK1G2;CFD;LRPAP1;IDI1;PSMD11;YTHDC1;GYPB;CREM;ZC3HAV1;SLC1A5;PSEN1;AKAP17A;CFP;MTMR6;FOXO1;CD19;PSAP;GSE1;DECR1;STAT5A;DENND4B;H3F3B;GADD45B;TIPARP;GADD45A;SETD1B;DSTN;ISG15;FOXN3;NFKB1;NR4A2;REEP5;MAFF;HLA-DRA;TAB2;HBP1;MAN2B1;TGFBI;NFKBIE;ADA;SLC25A1;BTG2;SERPINA1;RPLP1;TNFAIP2;TNFAIP3;CTSW;LITAF;CHD1;CXCL2;OASL;LASP1;RAC2;RPLP2;RBM5;CCT3;WARS;TFE3;PLAUR;FOS;TRAF1;PPP2R5C;JOSD1;DUSP6;MSL1;TGFBR2;ARL4C;SLC7A5;PPM1A;UGDH;ZAP70;PRPF18;EEF1D;IL1B;IRF1;TRIM58;BLVRB;HCLS1;TERF2IP;LCP1;SGK1;CD44;IRF9;HLA-DQB1;PPP1R15A;CEBPB;STAU1;BCL2A1;STX16;WBP2;CCDC69;PTGER2;SLC3A2;LILRA1;PTGS2;IL2RG;CRIP1;PSMB10;ADD1;GNAI2;CST3;SCAF8;CCL7;NFIL3;SERTAD2;SPOCK2;UCP2;STAT4;CCL2;BNIP2;CSK;CKB;BID;SH2B3;POLR2L;CDKN2D;CDK11A;SF3A1;DMTN;GCH1;WTAP;G0S2;ATP2B1;KIR3DL3;SOD2;SORL1;PSMB9;GZMH;GZMK;KLF6;KRT17;IMPDH1;KBTBD2;CAPZA2;HLA-DPB1;RAB9A",3.76344086021505,7,0,0,4.3010752688172,8
"4","imatinib homo sapiens gpl96 gds3044 chdir up","422/4149",8.27279168300458e-25,1.4436021486843e-22,0,0,1.56599315972703,86.8369129036494,"ITSN2;GUSBP11;STMN3;SLC4A1;VPREB3;RNF115;CYP1B1;PIP4K2A;MS4A12;PRKACB;DNAAF1;SERPINF1;LGALS14;RNASE1;DYNC1LI1;BCAN;TFR2;RBCK1;RPL28;SKAP2;CFD;CFI;ZC3HAV1;GATA1;SULT1A1;CYB5R1;RHOT1;PRKAR2B;S100A10;ABCA1;WNT10B;CREBBP;JUP;KIR2DS1;FZD5;KIR2DS2;SETD1B;RDX;PBX3;KIR2DS5;RMDN3;NFATC1;ABCA8;AZU1;GP9;SQLE;BHMT;TCN1;HBP1;ADA;DENND1C;BTG2;SERPINA1;QPRT;PRKAG2;SERPINA4;ASGR2;PCMTD2;MRC2;MED13;LDLRAP1;ANXA4;TESC;PAX3;EMP2;JOSD1;HIST2H2BE;F5;GCHFR;FCER2;EXOC3;HCLS1;SLC29A1;PIGG;GPRC5D;CRYAB;PAFAH1B3;PLCB2;CHST2;HLA-DQB1;CCL11;STAU1;TANK;TMEM164;PTGS1;FAM117A;RHD;HAS1;PLAGL1;UCP2;STAT4;AHSP;SLC17A1;CDKN2D;MBD4;SF3A1;EGLN2;DMTN;HSPA1L;BMP8B;SULF1;POU4F1;PSMB8;SPSB3;TM9SF1;DHRS9;FABP7;UBAP1;RHAG;AGRN;SIGLEC6;SIGLEC5;TXNL4B;IL5RA;IRS2;OLFML2A;SLK;TUBB1;NFATC2IP;NBN;SLC16A3;HMGN3;MAP3K4;CD177;MYLIP;SSUH2;ATP11B;ARMCX3;KAT6A;FAM8A1;RHCE;CPB2;KCNE1;SEMA7A;DLX4;FECH;NREP;FOXO1;PSAP;NPTX2;NADK;KIR2DL5A;STRA6;RASL10A;DEFA4;ADAP1;NFKB1;MFHAS1;RGCC;P4HA2;LCN2;NFE2L3;PIR;HLA-DRA;LRCH4;PLEKHF2;ATRAID;ALAD;SCPEP1;LBH;GM2A;CLEC1B;SPG11;PTCRA;VPS13C;HAUS4;ARFGAP3;ARL4C;DUSP22;PPM1A;TFDP2;ADORA2B;TMBIM1;TRIM58;PPP1R15A;C1R;CXXC1;TSPAN32;DRAM1;NCLN;CCL1;CYB5A;SLC35A1;DUT;MID1IP1;KLF1;MGAT4B;APOC1;PDCD4;CLEC2D;EPHB6;AHCYL2;PANK2;FAM89B;PITPNA;ICAM4;ZDHHC7;IFIT3;IFIT2;BPIFA1;TNFSF10;EIF2D;PTGDS;TRIM21;TNS3;SOX4;SEC63;HERC6;AGFG1;TKTL1;ATP6V0E1;SLC11A2;MCCC1;CSNK1D;ANK1;ASRGL1;DHX40;KEL;IFI27;ZW10;MALL;TRIM16;KCTD12;CCDC82;GYPA;GYPC;GYPE;EBI3;PIK3R3;PIK3R1;CD1A;NEU3;NEU1;GSE1;HIST1H3G;HIST1H3H;APOE;A2M;PCK1;DECR1;APOBEC3C;GADD45B;TMEM74B;EAF2;PARP12;MSRA;ALDH6A1;STAG3;ECHDC2;MAGED2;HIST1H4J;SPRR1A;HIST1H4D;HIST1H4E;DHRS12;SYNM;DHRS11;FASTKD1;CITED2;KRT23;VLDLR;PEPD;C8B;CD3E;N4BP2L2;RAB22A;PPCDC;SCML2;PCF11;SLC22A18;CD36;CCR4;CTSD;HTATIP2;ZHX2;RHOD;NCR1;CEACAM6;IL1B;TFF1;KPTN;FOXC2;STX16;SATB2;ADH1A;UQCR10;CPN2;RASIP1;GNAI2;LILRA5;PDPR;CXCR1;SERTAD2;LAIR2;ATP6V0E2;CA12;AKR1C4;PDZK1IP1;GFI1B;HIST3H2A;AXL;CAPZA2;OTC;STEAP3;NARF;CRTC3;CD83;WBP1L;ARID4B;NR3C1;CCND3;DMBT1;IGFLR1;HIST1H2AE;HIST1H2AG;PDE8A;TGM3;HIST1H2AC;HIST1H2AM;OSR2;PDGFRA;RALBP1;HIST1H2AI;HIST1H2AK;HIST1H2AJ;KRT75;ZNF91;PREPL;KLRF1;HIST1H2BG;HIST1H2BD;HIST1H2BC;CHRNA3;CABP5;HMHB1;ALOX12;DTX4;NDRG1;PSORS1C2;SDCBP;THPO;MAN2A1;ATP6V1H;TAC3;ATP6V1D;BPTF;KLHDC2;PHF11;EPHX1;DSTN;IGF2R;ACSF2;SSH1;NAT1;TAB2;MAN2B1;TCF3;TGFBI;SLC35E2B;LGALS3BP;TTC23;LAMC3;PZP;TNFAIP2;HIST1H1T;PCTP;PKD2;HK1;LYL1;LASP1;CASP7;ALDH2;ENOSF1;GRM8;HIST1H1D;MAN1A1;RBM5;KLF11;CYP4A11;PLAUR;PPP2R5C;KLF15;DCN;TGFBR2;DCT;EEF1D;IRF1;NDUFS4;IRF7;CHI3L1;BLVRB;RBMS1;DNASE2;ZMYND11;IRF9;B4GALT5;HIST1H2BN;PDXK;NXN;MVP;PON2;LAMA3;ADD1;NXF3;WNT11;GNG4;SPOCK2;NRIP3;ABCF2;SASH1;KLRG1;GALNT6;KDM4B;WTAP;PDE6G;BNIP3;CHFR;GALC;ERCC4;XPNPEP2;ASB9;RGS10",1.65876777251185,7,0,0,3.08056872037915,13
"5","tocilizumab homo sapiens gpl6244 gse25160 chdir down","52/176",4.28053988458133e-21,5.97563367887554e-19,0,0,4.54895374063965,213.346875753981,"PROS1;HP;MPL;KRT23;PLOD2;CLU;IFIT3;NRGN;ANPEP;TUBB1;NAMPT;CYP1B1;OLR1;FFAR2;CTSG;CLEC1B;PF4V1;RSAD2;MME;RNASE3;MMP9;HIST2H2BE;CEACAM6;IL1B;KLRF1;CHI3L1;BPI;CEACAM8;CLEC4E;S100A9;HIST1H2BJ;HIST1H2BK;ALOX12;PTGS2;PTGS1;SOCS3;PGRMC1;CXCR1;PRKAR2B;PDGFD;S100A12;CCL2;HIST1H3H;ELANE;EGR2;DEFA4;G0S2;PPBP;SOD2;LCN2;S100P;PF4",13.4615384615385,7,0,0,11.5384615384615,6
"6","imatinib homo sapiens gpl96 gds3047 chdir up","155/1137",2.93667907470383e-19,3.41633665690546e-17,0,0,2.09890159739953,89.563987662693,"FHOD1;PREP;PPP2R2A;CIB1;LAPTM4B;CCND2;PNP;APMAP;PLAU;OGFOD1;NAMPT;ARHGDIB;LONP1;PIM2;CHAC1;PHLDA2;IER2;IER3;SLC38A1;ALG8;ST6GAL1;G6PD;RNF44;MAP2K1;CISH;TPM4;DAPK1;FNDC3B;DNTTIP2;ACSL3;FTSJ1;CDC25B;TPST2;MAP7D1;DDIT4;TRIB3;ATF3;LY6E;BEX4;IDI1;PSMD11;CD151;SHMT2;INSIG1;CREM;ITPR1;SLC1A5;MTMR6;SEL1L3;SOCS2;EBP;RAB11FIP1;PRDX4;TBXA2R;EIF4EBP1;ASL;PCK2;IVNS1ABP;YARS;VASP;SDF2L1;GOT1;H3F3B;EDEM1;SLC52A2;GFPT1;ASNS;DHCR24;NET1;FOSL1;STAR;MAFF;CASS4;DHCR7;CD24;GCLM;ECM1;PTGDR2;SLC35F2;SLC7A11;CXCL3;LITAF;CHD1;CXCL2;SPRED2;ME1;RAC2;PHGDH;CCT3;CD53;SRGN;WARS;HMGCS1;NSUN5;CAD;SERPINB9;AMPD2;FOS;GAB2;RHOC;SLC39A14;TNFRSF1A;RHOB;SLC7A5;GAL;TMEM214;IRF3;ASPH;SLCO4A1;ALDH1A2;SGK1;TNFRSF21;DBN1;CEBPB;ANKRD55;AMIGO2;CAPG;IL2RG;HSPA13;COCH;LIMA1;PGRMC1;MUC1;NFIL3;LEPROTL1;CKB;BID;ABCF2;SH2B3;SEC23B;PAK2;NTRK1;EGLN3;PPP1R14B;NQO2;GCH1;ATP13A1;GALE;MARCKS;P2RX5;KLF6;RYBP;PSAT1;IMPDH1;SCD;CTH;MARS;KBTBD2;PMP22;CDK2AP1;PTPN7;CRLF3;GLA;CKLF;MSRB1",1.93548387096774,3,0,0,7.09677419354839,11
"7","hydroquinone homo sapiens gpl570 gse31641 chdir up","135/933",4.69511356815423e-19,4.6816989579595e-17,0,0,2.22778342974685,94.0182406422305,"ITSN2;JMJD1C;ZDHHC7;IRS2;ARID4B;OLFML2A;IFIT3;SLK;CCND2;DMBT1;PLAU;OGFOD1;ANPEP;NAMPT;LONP1;CCNL1;IER5;TRIM22;IER2;SOX4;MYLIP;IGFBP2;IFRD1;SLC11A2;WNT5A;FNDC3B;ACSL3;HLA-F;ARMCX3;GOLGA8B;SOAT1;DDIT4;TRIB3;ATF3;TMEM87A;IDI1;PFKFB3;PDXDC1;SHMT2;YTHDC1;INSIG1;SLC1A4;MTMR4;MICAL1;STC2;PSAP;ATP6V1H;NADK;PCK2;BPTF;ABCA1;IVNS1ABP;YARS;KLHDC2;CREBBP;SDF2L1;EGR3;CHKB;GADD45B;GADD45A;SEC16A;GFPT1;EIF2AK3;ASNS;TYR;IGF2R;NR4A2;SQLE;NR4A3;P4HA2;MAFF;ACO1;HBP1;MAGED2;GCLM;HIST1H4D;AARS;LGALS3BP;TNFAIP2;TNFAIP3;SLC7A11;PYGL;CXCL3;CHD1;RND3;CXCL2;HK1;PCMTD2;MRC2;PPP3CA;SPG11;RBM5;HIST1H1C;WARS;HMGCS1;VPS13C;TBC1D9;WIPI1;FOS;ARID1A;SLC39A14;MSL1;RHOB;ARL4C;RBL2;SLC7A5;VCAN;DCT;IRF1;RBMS1;PIGG;CD44;PPP1R15A;STX16;MVP;SLC3A2;ADD3;LIMA1;NXF1;PDPR;NFIL3;SEC23B;SASH1;WTAP;AHNAK2;PLEKHA5;S100B;SOD2;KLF4;SPSB3;KLF6;PSAT1;SCD;CTH;MARS",0.740740740740741,1,0,0,8.14814814814815,11
"8","celecoxib homo sapiens gpl8300 gds3384 chdir down","66/318",2.03328293204289e-17,1.77403935820742e-15,0,0,3.19549145206037,122.816460774867,"SLC25A1;PIGR;FCGBP;AHCYL2;SYNM;IL24;ADM;AQP3;CLU;IFIT3;OASL;LGALS2;FCGRT;ANPEP;PHLDA2;PRKACB;HIST1H2AC;KRT6A;NCK1;SPINK4;RSAD2;HMGCS1;SPINK5;IGFBP2;TBC1D9;FOS;UGDH;OAS1;OAS2;MALL;DDIT4;SIK1;TFF1;RBCK1;SGK1;CRYAB;SMPDL3A;ATF3;HLA-DQB1;CFD;SATB2;ADH1A;LAMA3;BCL10;BTBD3;UCP2;CKB;CCL19;PCK1;CCL18;CA12;DMTN;GFPT1;NR1H3;ISG15;KLF4;FABP1;NR4A2;RIT1;SCCPDH;NAT1;FXYD3;KRT16;APOC1;PTPN7;PF4",1.51515151515152,1,0,0,4.54545454545455,3
"9","imatinib homo sapiens gpl96 gds3042 chdir up","305/3004",5.74580671008123e-17,4.45619231515189e-15,0,0,1.56322234967183,58.4574442661707,"CYFIP2;CERK;PREP;PPP2R2A;THUMPD1;KIAA0930;PNP;OGFOD1;NAMPT;LONP1;CHAC1;IER5;TRIM22;IER2;SOX4;IER3;ST6GAL1;ALG8;DAPK1;IL1R1;ZNF281;IFRD1;FNDC3B;DNTTIP2;LGALS14;ACSL3;RNASE2;BCAN;ARC;PRKD3;ZW10;DDIT4;NINJ1;TRIB3;SIK1;FAR2;TRIB1;ATF3;BEX4;TMEM87A;SHMT2;AKAP17A;BCL10;MTMR4;MTMR6;CD1A;SGPL1;RAB11FIP1;PRDX4;STC2;ASL;SCN3A;ZNF267;PCK2;ABCA1;STAT5A;VASP;EGR2;EGR3;NSUN5P2;GPR12;H3F3B;TIPARP;GADD45A;EDEM1;EIF2AK3;NFATC1;PPBP;PRDX6;NET1;XKR8;FOSL1;RNF103;STAR;MPHOSPH10;GRB2;CD24;ECM1;PTGDR2;SLC35F2;LPCAT1;SLC7A11;LITAF;HEY1;SEC61G;RAC2;PHGDH;NEFH;CCR3;CCT3;CD53;CBR1;MYBPC2;WARS;MME;NSUN5;RIPK2;ANXA3;TFE3;SERPINB9;AMPD2;FOS;GAB2;AMPD3;RHOC;SLC39A14;RHOB;SLC7A5;BACE2;UGDH;BDH2;GAL;PRPF18;SLCO4A1;PELI1;ARHGEF3;SGK1;PLCB2;DBN1;C1QA;ANKRD55;PTGER2;AMIGO2;GNAI3;CAPG;HSPA13;CST3;LIMA1;PGRMC1;SCAF8;NFIL3;CCT8;CKB;BID;PAK2;CD55;EGLN3;NQO2;GCH1;SLC31A1;PLEKHA5;GTF2H5;PSMB9;FABP1;PER3;RYBP;MARS;KBTBD2;CIAPIN1;CRLF3;MSRB1;CIB1;ARID4B;CWC25;LAPTM4B;ZFP36;CCND2;APMAP;PLAU;ARHGDIB;NFATC2IP;DENND5A;PIM2;PHLDA2;SLC16A3;SLC25A44;PHLDA1;PDGFRA;TOR3A;SLC38A1;G6PD;RNF44;MAP2K1;USP7;CISH;TPM4;USP3;NOSIP;FTSJ1;CDC25B;TPST2;MAP7D1;KAT6A;RAB38;LY6E;IDI1;DLX2;FKBP2;PSMD11;NOTCH1;UBA5;INSIG1;CREM;ITPR1;GLT8D1;CACNA1A;SLC1A4;PSEN1;SLC1A5;SEL1L3;SOCS2;CNN2;SOCS3;EBP;FUT8;BTBD1;TBXA2R;BTBD3;EIF4EBP1;RAB6A;IVNS1ABP;YARS;SDF2L1;GOT1;SLC52A2;GFPT1;ASNS;DHCR24;NR4A2;NR4A3;P4HA1;BCL6;MAFF;CASS4;ZNF536;DHCR7;GCLM;NFKBIE;ABCD3;TNFAIP3;CXCL1;ITGAE;CXCL3;CHD1;RND3;CXCL2;NRGN;SPRED2;ME1;HIBCH;NKX3-1;SRGN;SUN2;HMGCS1;CAD;OLIG2;MSL1;TNFRSF1A;GREM1;TGFBR3;VCAN;IRF3;TMEM214;ASPH;DCT;OAS1;ALDH1A2;CHI3L1;LCP1;EFHC2;MS4A1;TNFRSF21;RALA;CEBPB;BCL2A1;IL2RG;ADD3;COCH;AP3M2;MUC1;NCLN;GNG4;LEPROTL1;EIF4H;TYW1;TMEM208;BNIP2;ABCF2;SH2B3;SEC23B;NTRK1;GALNT7;DUT;PPP1R14B;CDK11A;MBOAT7;ZNF804A;ATP2B1;KLF4;SORL1;GALE;KLF6;MARCKS;P2RX5;CLEC2B;PSAT1;SCD;CTH;P2RX1;PMP22;RANGRF;CDK2AP1;PTPN7;GLA;CKLF",1.9672131147541,6,0,0,6.55737704918033,20
"10","deferasirox homo sapiens gpl570 gds3558 chdir down","177/1450",6.23405360617472e-17,4.35136941710996e-15,0,0,1.87942980011149,70.1288928321976,"EPHB6;RPL4;CHIC2;KDELR1;JMJD1C;IRS2;NR3C1;IFIT3;LAPTM4B;ZFP36;NAMPT;LONP1;DENND5A;CHAC1;IER5;PHLDA1;IER2;SEC63;IER3;AGFG1;PDK1;ACVR1;MYLIP;SLC38A1;TPM4;IFRD1;FNDC3B;ACSL3;SND1;ARMCX3;BCAN;GOLGA8B;KEL;DDIT4;TRIB3;HECA;RBCK1;TRIB1;RPL28;FAM8A1;ATF3;SKAP2;LY6E;IDI1;GYPA;PDXDC1;GYPC;SHMT2;YTHDC1;GYPB;INSIG1;GYPE;CREM;SLC1A4;SLC1A5;AKAP17A;NDRG1;SEL1L3;SOCS2;SDCBP;EBP;RAB11FIP1;MAN2A1;NEU1;PSAP;ATP6V1H;ATP6V1D;PCK2;YARS;KLHDC2;SDF2L1;JUP;GOT1;GADD45A;EDEM1;SEC16A;GFPT1;EIF2AK3;DSTN;ISG15;ABCA8;IGF2R;SQLE;P4HA1;P4HA2;MAFF;PIR;HBP1;DHCR7;RGL2;SLC35E2B;AARS;SLC25A1;PLEKHF2;BTG2;MS4A3;CITED2;RPLP1;QPRT;SLC7A11;MRC2;PPP3CA;LYL1;LASP1;MED13;HEY1;TMEM43;ALDH2;SEC61G;SLC22A18;RAC2;RPLP2;PHGDH;MAN1A1;SPG11;RBM5;CD53;SRGN;KLF11;WARS;HMGCS1;ANXA3;TFE3;HAUS4;WIPI1;GAB2;ARFGAP3;RHOC;RHOB;RBL2;SLC7A5;AFTPH;TMEM214;TFDP2;EEF1D;ALDH1A2;TMBIM1;PELI1;TERF2IP;SGK1;CD44;PPP1R15A;RALA;CEBPB;STAU1;STX16;WBP2;SLC3A2;HSD17B12;TANK;HSPA13;NFIL3;PLAGL1;UCP2;RPL14;SH2B3;SEC23B;CD55;MBD4;KDM4B;SLC31A1;BNIP3;SPSB3;RIT1;GALE;KLF6;RYBP;CLEC2B;HIST3H2A;PSAT1;AXL;SCD;CTH;MARS;KBTBD2;PDCD4;RGS10",0.564971751412429,1,0,0,4.51977401129944,8
