"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","prednisolone homo sapiens gpl570 gse32962 chdir down","173/845",1.85100288511971e-43,1.29200001381356e-40,0,0,3.13768165227051,308.733539791329,"CD86;FCN1;IL1RN;NCF2;LST1;RNF19B;IL5RA;IL27RA;LGALS2;RASSF4;ANPEP;C3AR1;GRB10;SIRPA;IL6R;ENTPD1;CD93;IL1R2;PRKCD;CD180;RNASE6;RNASE3;MYO7A;RNASE2;IPCEF1;EREG;RUNX1;TYROBP;BIN2;ADPRH;COL8A1;TRIB3;OPTN;PLA1A;RTN2;CD1E;ABHD5;GATA2;CD1C;CFP;TARP;SAMSN1;CSF2RA;SEL1L3;CD79B;ADAP2;CLEC7A;ALDH3B1;S100A12;NLRP3;ST3GAL6;SLC15A3;TRD@;N4BP1;ELANE;BANP;LYN;CCR1;CD163;BTN2A2;IQSEC1;DEFA4;HSPA6;NKG7;PPBP;TNFRSF10D;VNN1;IL8;GPR183;CD24;KCNK5;CD40;NRP2;FLT1;ITGAM;MS4A3;ITGB2;PLEK;DYSF;ICA1;SECTM1;PYGL;TCIRG1;CMAHP;LRRC32;TREM1;GPHN;FCAR;MS4A4A;PSTPIP2;STAB1;TCP11L1;ITGAX;CASP1;CTSG;PHACTR1;UPP1;CD33;KDM6B;IL11;CHST7;ARG1;MYOF;ITGA1;PLA2G4C;TFEB;PLAUR;TNFRSF1B;MMP8;SLC39A14;UPK3A;IL17RA;FGR;MN1;MS4A6A;VCAN;SLC7A7;IL1B;TFEC;PECAM1;IRF8;LCP2;BPI;CEACAM8;TKT;TLR4;IGLV3-19;CREB5;GAS7;TLR2;LTF;LILRA6;CEBPB;SELPLG;BCL2A1;PTAFR;FGL2;FAM129A;RETN;AOAH;PTGS2;MLLT3;SAMHD1;CST7;LILRA3;FYB;ARNTL2;AGPAT3;CCL5;IL21R;GBP2;FCGR1B;PDLIM7;CCL23;SLC16A1;TIE1;GZMA;OSM;LILRB1;LILRB3;LILRB4;PSAT1;APOC2;ST7;FAS;MNDA;CLC;FCGR2B;CPVL;SIGLEC7;PVRL2;FCGR2C;CD244",3.46820809248555,6,0,0,5.78034682080925,10
"2","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","461/3998",4.76548417418442e-41,1.66315397679036e-38,0,0,1.76716710845844,164.071905063639,"CDA;CHIC2;SPI1;WIPF1;GMFG;BACH1;SPIB;PCMT1;GPR176;SOX17;AKT3;GPR171;C3AR1;PSMD1;CYP1B1;UBASH3A;CMKLR1;NUP214;ZNF165;SDS;PRKCH;PRKCD;CACNA2D3;SPINT1;BIN2;AGTR1;PRKCQ;SKAP1;FLII;GATA2;PLA2G7;OAZ2;UGT8;CYB5R4;KLRK1;EPB41L3;PIP5K1B;SFN;ST3GAL6;S100A14;ATG7;ELANE;LYN;GPR15;JUP;KIR2DS1;ELL2;EHD1;TCN2;TCN1;PNOC;TNFSF9;FXYD6;ACHE;HEXB;LYST;MS4A4A;IFIH1;MMP25;HEY1;TIMP2;CTLA4;TPSAB1;NEFH;SS18;BATF3;CHST7;RIPK2;ANXA3;PGAM1;MYOF;TMC6;GMIP;SLC7A5;PLSCR3;SLC7A8;TAL1;CDC42EP2;PELI1;ACSBG1;RAPGEF5;TKT;CHST3;ENG;HLA-DQB1;CCL11;PTAFR;PELI2;FAM129A;AOAH;ASCL1;ADCY7;FSTL3;FRZB;ADRBK2;ALOX5;UBN1;STX3;CCL23;AOC2;IL10RB;IL10RA;EMR1;CARD9;EMR2;FMO1;G0S2;PLXDC1;FABP3;SLCO3A1;DHRS9;CLCF1;SIGLEC5;CRLF2;CSF3;CSF1;NCF2;GPR65;DGKA;ITGA2B;UBE2D1;STK10;ADORA3;GRAP2;LAMP3;GRB10;TNFRSF8;PLXNC1;PLS1;CD177;MAP2K3;TLE3;USP4;STX7;ZBTB32;MITF;PIAS1;CLEC4A;CLIP1;MFNG;KAT6A;RAB35;S100A6;SNRPG;ADAM8;ERH;PTPRCAP;ZFP106;PFKFB3;CORO1A;UQCRH;SNN;SOCS1;ADAP2;EIF4EBP1;SLC15A3;BCL2L14;CD163;CD160;DEFA4;GFPT1;LY86;TNFRSF10C;PHKB;TNFRSF10D;NFKB2;PTPRD;PTPRE;CXCL11;ARPC3;DMXL1;TBXAS1;RCAN3;NFE2L1;KCNK5;ITGAM;FLT1;HSP90AB1;DYSF;PTEN;FHL3;PTPN21;TREM2;PTPN22;ARRB2;FHL5;NAGPA;FCGR3B;DUSP10;UPP1;CLEC1B;SH2D3A;NRG1;TRAF1;TNFRSF1B;TNFRSF1A;LCK;TRAF3;NUMB;BPI;ASPA;BIRC3;PPP1R15A;CEBPB;HDAC1;HSD17B14;MLLT3;IL2RG;FYB;P2RY6;CCL8;PLN;CCL7;CCL5;SEMA4A;MARCKSL1;NDUFA4;TIE1;GZMA;MBOAT7;GZMB;TPD52L2;PTPN14;GZMK;GZMM;FCGR2A;EVI2A;IL2RA;IL2RB;CD247;PTPN7;TRIM38;FOLR3;FCGR2B;FOLR2;PVRL2;CD244;OXTR;AQP9;ICAM2;PRF1;IKZF1;IKZF2;ACTB;IL27RA;TP53AIP1;EDNRA;RASSF2;RPS6KA1;KDR;FAM53C;LGALS9;SYNPO;EPHB1;PDHX;TKTL1;ENTPD1;ACTN2;SP110;ACSL1;SLC11A1;RUNX3;TRIB3;EZR;PLA1A;PFN2;SLC22A4;GYPA;IGSF6;KLK1;TXK;ATP5J;CD1E;CD79A;INPP5A;SLAMF7;ARSB;CCR1;STAT5B;EGR2;BCL11B;INSR;RAB27A;VNN1;VNN2;CD28;ATM;CD24;ITM2B;CD40;NRP2;HIP1;ICA1;WFDC1;CTSW;CD3E;PCSK5;GYS1;MAP1LC3B;GLIPR1;UCHL1;CD38;CD37;CCR7;CTSG;FFAR2;SEC61B;CD34;NDEL1;RAB8B;VENTX;NCOA1;MAP4K1;SYK;IL15;IL18;IL16;RENBP;IL17RA;LAT2;TFEC;CEACAM4;ARHGEF3;STRAP;CD48;TLR4;TLR3;TLR2;VGLL3;LILRA6;SP100;SELPLG;RAMP3;SATB1;WAS;CST7;AIF1;ARNTL2;RELB;PERP;CXCR3;MGAT1;NT5M;CD58;PCNT;MAP3K3;SVIL;CD72;GCA;KLHL2;LILRB1;COX6C;LILRB4;LYVE1;BATF;RIT1;QPCT;MARS;FAS;CD69;TACC2;CD68;SIPA1;CDK5R1;CD83;CD80;FAIM3;RGS4;CCND3;IL18RAP;RGS1;CCRL2;SIRPA;OSTF1;IL6R;IL4R;WNT5B;LMO2;EEF1A1;EMCN;CD8A;ADAM12;RAF1;RTN2;SLC1A1;COX17;C5AR1;PXN;NCF1C;SLC1A5;RASGRP2;RASGRP1;CSF2RA;FUT3;MAN2A2;GRK6;LPXN;PMAIP1;MSC;YARS;MGAM;TGFB2;VCAM1;UBE2B;TGFB3;RARRES1;HSPA6;TBCA;ISG20;BMP1;IL8;CCPG1;FES;COL5A3;KLRD1;MXD1;PRR5;TNFAIP6;TNFAIP3;SLC2A3;CXCL1;CMAHP;CXCL2;FYCO1;CASP8;CPT2;FLOT2;CYTIP;SCARF1;GPSM3;PLA2G4C;PLAUR;PPP2R5A;MMP8;ELF3;OAS1;ELF4;CASQ2;CDH13;RBMS2;BCL2A1;MVP;SLC3A2;PRELP;RETN;AGPAT4;PDLIM3;GNA15;MAPK7;GBP2;PDLIM4;PDLIM7;HN1;S100B;EPOR;SGPP1;CD6;TNIP1;CD5;CD7;LTBR",1.51843817787419,7,0,0,5.42299349240781,25
"3","hydrocortisone homo sapiens gpl201 gse21909 chdir up","208/1270",6.9868020754105e-37,1.62559594954551e-34,0,0,2.51003107370199,208.964166913993,"CDA;OXTR;AQP9;PRF1;ACTB;SPIB;ANPEP;C3AR1;CYP1B1;VSIG4;ACTN2;ACSL1;SLC11A1;CLDN5;BIN2;TFR2;BIN1;BTK;CD226;SHMT2;C5ORF4;STXBP2;SLCO5A1;CD1E;GATA2;SAMSN1;KLRK1;SLAMF7;PIP5K1B;HIST1H3H;HBQ1;NFE2;APOBEC3G;BCL11B;KIR2DS2;INSR;CYP4F3;ELL2;EHD1;VNN1;VNN2;VNN3;GPR183;FXYD1;PNOC;ITM2A;CDKN1C;CLIC3;TNFRSF13B;AATK;CTSW;ARHGAP6;MS4A4A;MMP25;MAP1LC3B;GNLY;CTSG;JARID2;CCR3;NDEL1;HBZ;ARG1;ANXA3;RHOH;SIRT2;SLC7A5;TAL1;CDC42EP2;MMP19;ACSBG1;DNASE1L3;SERPINB10;LILRA6;SATB1;RPS27L;CXCR4;CST7;LILRA3;FSTL3;FRZB;CXCR3;MGAT3;LAIR2;NT5M;FLNC;CDKN2D;MPP1;SVIL;CCL22;G0S2;LILRB2;LILRB4;RIT1;CAMK4;CD69;CLC;IL18R1;CDK5R1;CSF1;ITGA2B;SLA;IL1RAP;FAIM3;CCND3;DACH1;IL18RAP;RGS1;SIT1;ADORA3;GRAP2;CCRL2;GRB10;PLXNC1;GYG1;ZBTB32;DOK2;KAT6A;DPEP2;PTPRCAP;CLEC4E;OSBP2;KLRB1;NOTCH4;C5AR1;CABP5;ALOX15;CORO1A;RASGRP1;UQCRH;SNN;SOCS1;MAN2A2;TNFRSF17;MGAM;CD163;CD160;TGFB3;ASNS;NKG7;ISG20;SELP;TBXAS1;GPER;LCN2;ALPL;KLRD1;IL7R;B4GALT2;FLT1;MS4A3;TNFAIP6;ITGB3;PTEN;ATP2A3;TNFAIP3;ARRB1;SLC2A3;ARRB2;CMAHP;NAGPA;CXCL2;OASL;HK3;FCGR3B;PSTPIP2;BLNK;FLOT2;EMILIN1;UPP1;CLEC1B;GPSM3;NAT8B;VWF;IRAK3;ETV6;LCK;IRF8;IRF5;BCAT1;PPP1R15A;CEBPB;RGS19;BCL2A1;UNC93B1;RGS16;HSD17B14;SLC3A2;MLLT3;MAPK7;CCL5;CCL4;E2F3;PDLIM7;SEMA4A;SLC12A4;TIE1;GZMA;GZMB;MERTK;HS3ST1;KLF1;GZMK;CD2;POU2AF1;ST7;CD247;FOLR3;FCGR2B",2.40384615384615,5,0,0,7.21153846153846,15
"4","valproic acid mus musculus gpl6885 gse35291 chdir up","119/498",1.2531985998327e-36,2.18683155670807e-34,0,0,3.66215821138962,302.740966563902,"FAM49A;CD86;IL1RN;CD84;PID1;CD83;CLEC10A;CD80;AQP9;LST1;PYCARD;RUSC2;RGS1;ANPEP;GPR171;SIRPA;TGM2;IL1R2;SLC11A1;CD180;RNASE6;DOK2;TYROBP;DOK3;DPEP2;ADAM8;CLEC4E;ABCG1;SDC3;FPR1;LY96;FPR2;CFP;CSF2RA;RASGRP1;CLEC7A;ALDH3B1;FAM176B;NCKAP1L;SLC15A3;RAB11FIP5;EGR2;TNFRSF9;IGF1;PILRA;MARCH1;BST1;HAL;PTPRC;FES;GPR183;LCN2;IL7R;CDK14;ITGAM;ITGB2;PLEK;TREM2;CXCL2;CTSS;TIMP2;FLOT2;FFAR2;UPP1;CCR5;CD33;CD52;VWF;ARG1;IL18;PLAUR;MMP8;ARL4C;FGR;IL1B;CDC42EP2;EVL;TLR7;IRF5;PLEKHO2;SMPDL3B;TLR4;GAS7;TLR2;CREB5;PLEC;LTF;LILRA6;LRP1;UNC93B1;FAM129A;IL2RG;SAMHD1;TOB1;FYB;AGPAT4;P2RY6;HLX;CCL5;CXCR2;STX3;MPP1;P2RY13;IL10RB;SMOX;IL10RA;P2RY14;OSM;APOBR;MERTK;LILRB4;CPPED1;EVI2A;P2RX4;QPCT;FAS;CAMK1;CD68;MYO1F",3.36134453781513,4,0,0,6.72268907563025,8
"5","ethanol homo sapiens gpl96 gds2767 chdir down","85/312",9.5014741043487e-31,1.32640578496708e-28,0,0,4.17526279595245,288.630451361933,"HIP1;ITGAM;TNFAIP6;AQP9;PTEN;SLC2A3;LYST;POFUT2;PPP4R1;IL18RAP;CASP8;C6ORF106;FAM53C;ITGAX;FAM65B;FFAR2;PLXNC1;JARID2;MAP3K5;TLE3;APAF1;SP110;ACSL1;USP4;LMO2;VASH1;F5;CLEC4A;WDFY3;LCP2;HLA-DQB1;CREB5;SP100;ZCCHC6;IGSF6;PFKFB3;FPR1;FAM129A;NCF1C;CSF2RB;DENND3;PTTG1IP;LILRA2;PTGS2;TARP;USP18;PHF21A;TYMP;HCAR3;CTIF;ADAM28;SEC14L1;ALOX5;UBN1;SLAMF8;MBP;ZNF467;LYN;CCR1;P2RY13;MGAM;RNF24;TRDV3;IL10RB;LIMK2;CYP4F3;HSPA6;TNFRSF10C;KCNJ15;RAB27A;NKG7;GZMB;CFLAR;MAPK14;GZMH;EHD1;PTPRE;HAL;PTPRC;FCGR2A;VNN2;CPD;POU2AF1;ATM;KLRD1",4.70588235294118,4,0,0,4.70588235294118,4
"6","sirolimus homo sapiens gpl8300 gds3603 chdir up","183/1225",3.24880413975245e-27,3.77944214924534e-25,0,0,2.28946751114239,139.638081835019,"CYFIP2;FAM49A;FCN1;IL1RN;CD83;ATP8A1;GPR65;SLA;UBE2D1;ICAM3;CASC3;BACH1;STK10;RGS1;FCGRT;TRBC2;ANPEP;TRBC1;CYP1B1;MIR22HG;LGALS9;GYG1;RPS10;RPS13;MAP3K5;CD97;MAP2K3;IL4R;FNBP1;PRKCB;ACSL1;PRKCD;LMO2;RUNX3;CLIP1;ACAP1;TYROBP;SYPL1;TFR2;CD8A;KAT6A;SNRPG;PRKCQ;PRKD2;ERH;MPPE1;OPTN;CSNK1G2;FBN2;KLRB1;COX17;FPR2;SLC1A5;RASGRP2;CFP;CORO1A;OAZ2;HCAR3;SEC14L1;MAN2A2;EPB41L3;PMAIP1;N4BP1;LYN;STAT5B;APOBEC3G;RARRES3;NKG7;KIAA0430;NFKB1;EHD1;PTPRE;CYLD;PTPRC;IL8;GPR183;CDKN1C;IGHM;RNF10;MAST3;ITGB2;PLEK;SECTM1;AKR1B1;TNFAIP3;CTSW;ARRB2;LSP1;TCIRG1;CD3D;CXCL2;CXCL5;OASL;FCGR3B;GNLY;TIMP2;PDE4B;CD37;JARID2;GPSM3;NCOA1;MAP4K1;CD52;SYK;BTN3A1;PLAUR;ARHGEF18;RHOH;PPP2R5A;TRAF1;ARAP1;VAV1;ARL4C;FGR;SLC7A5;HCK;ZAP70;SLC7A7;IL1B;IRF1;PECAM1;STRAP;LCP2;IRF5;PLEKHO2;LTB;TKT;DOCK2;HLA-DQB1;ENG;PPP1R15A;SASH3;CEBPB;SP100;RGS19;BCL2A1;SATB1;HDAC1;SLC20A1;WAS;CXCR4;SLC3A2;AOAH;PTGS2;IL2RG;CST7;CRIP1;AIF1;RELB;TYMP;CCL7;SPOCK2;UCP2;UBN1;PTK2B;BID;GBP2;CYTH1;CDKN2D;MPP1;P2RY10;MARCKSL1;IL10RB;IL10RA;LIMK2;EMR1;PLCL2;GZMB;G0S2;KIAA0232;CFLAR;COX6C;SORL1;GZMH;GZMK;FMNL1;P2RX4;TNIP1;CD6;KRT17;CD247;CPVL;MYO1F",3.27868852459016,6,0,0,6.55737704918033,12
"7","imatinib homo sapiens gpl96 gds3044 chdir up","401/4149",9.64236655874668e-19,9.6148169400074e-17,0,0,1.48122291389053,61.445496364239,"HCP5;TRIO;WIPF1;ATP5C1;BACH1;DCAF6;PCMT1;ISLR;GPR171;CYP1B1;NUP214;C14ORF159;LGALS14;TFR2;BIN1;MPPE1;OPTN;FPR2;IQGAP2;PLA2G7;UGT8;CHST12;PIP5K1B;SFN;HBQ1;ZNF266;NFE2;JUP;KIR2DS1;KIR2DS2;CYP4F2;ELL2;EHD1;CYLD;PPFIBP2;TCN1;ST20;CDKN1C;ACHE;SIGLEC9;HEXB;CLTB;TMEM51;ARHGAP6;LYST;ASGR2;GNLY;ZNF280A;TCP11L1;TIMP2;ANXA6;JARID2;DENND2D;CHST7;SIRT2;F5;C16ORF62;SLC7A8;TAL1;MMP19;ACSBG1;RAPGEF5;CHST3;GAS7;ENG;HLA-DQB1;CCL11;PTAFR;ZNF518A;RPS27L;ASCL1;TMEM164;FAM117A;RHD;SLC17A9;FRZB;ALOX5;UCP2;UBN1;MICALL2;DMD;AHSP;STX3;FLNC;CDKN2D;MBD5;CCL23;PKLR;IL10RB;STAT2;SAMD4A;PLXDC1;DHRS9;SIGLEC1;SIGLEC5;CSF1;NCF4;ITGA2B;CTNND1;RNF19B;IL5RA;STK10;POFUT2;IGHG1;SLCO2B1;HLA-DOA;PLS1;CD177;PPP1R16B;MAP2K3;STX7;ATP11B;FRMD4A;CLIP1;SYPL1;SLC9A7;MFNG;KAT6A;CLIP4;ADAM8;SLC27A2;DSC1;OSBP2;CALCRL;DPT;LIN7A;UBR2;ABHD5;TARP;CTIF;SNN;SOCS1;MBP;TNFRSF14;BCL2L14;SLC37A1;DEFA4;CYBRD1;PHKB;MARCH8;KIAA0430;NFKB1;PTPRD;PTPRE;CXCL11;BFSP2;PTPRC;ARPC3;DMXL1;TBXAS1;LCN2;RNF187;RNF10;DYSF;PTPN21;ARRB1;TREM2;ARRB2;TCIRG1;NAGPA;TREM1;FCGR3B;LBH;ITGAX;CLEC1B;SPG11;PLEKHG3;VWF;ARL4C;LCK;XCL1;PPP1R15A;PPM1H;PBXIP1;MLLT3;FYB;PPM1F;RAB20;CCL1;SEMA4A;MARCKSL1;SEMA4D;MBOAT2;KIAA0232;MERTK;PML;KLF1;SLC25A37;PINK1;P2RX4;APOC2;CD247;FOLR2;FCGR2C;IL1RN;LST1;ICAM2;IKZF1;IL27RA;FRAT1;EDNRA;FRAT2;FAM65A;SYNPO;HERC6;SLC34A2;IL15RA;TKTL1;ENTPD1;SP110;SLC11A2;FLT3LG;HNF1B;MYO7A;RUNX3;PISD;RUNX1;CYP27A1;BTK;LPPR2;RIN3;TRIM10;SLC22A4;NECAB2;CETP;GYPA;KLK1;EBI3;CD1A;SEC14L1;INPP5D;HIST1H3H;KCNN3;N4BP1;CCR10;STAT5B;CDSN;APOBEC3G;BCL11B;IQSEC1;SYNRG;INSR;SH2D1A;CD209;VNN3;ITGBL1;ATM;TECPR2;CD200;ITM2B;CD40;NRP2;CLIC3;ICA1;WFDC1;SECTM1;CD3G;CD3E;GYS1;STAB1;ACADM;CLIC2;CD34;CCR2;VENTX;NCOA1;MAP4K1;IL11;HBZ;BTN3A2;RENBP;SREBF2;RAB33A;IL17RA;RNF144A;CEACAM3;CEACAM1;CEACAM6;IL1B;TLR8;SP100;SELPLG;HAB1;NPL;LILRA2;AIF1;ARNTL2;LILRA5;CXCR1;CXCR3;MGAT3;LAIR2;CD58;PCNT;LAIR1;MPP1;LILRB1;C17ORF62;GFI1B;FAS;APBA2;IL18R1;SIPA1;CDK5R1;CD84;CD83;CD80;TRAC;GIMAP6;FAIM3;PVR;CCDC28B;GALNT10;RGS4;CCND3;IL18RAP;SIT1;C1RL;SIRPA;SVEP1;TGM2;CD96;CD93;LMO2;HMHA1;KMO;MR1;DOK2;DOK3;ADAM12;COL4A3;DPEP2;APLNR;WDFY3;EMID1;FBN2;ZCCHC6;UBA7;CABP5;ARHGAP15;CSF2RA;FUT6;MAN2A2;ALDH3B1;LPXN;MSC;TGFB2;RARRES1;NKG7;COQ9;SELE;BSPRY;BMP1;TCF3;IL7R;IGKV3-20;PRR5;MAST3;CMAHP;PHTF1;CPT2;CA4;CASP1;PDE4B;FLOT2;PLAUR;ARHGEF18;ARAP1;UPK3A;FGR;TBC1D2;FCHSD2;NAV3;ELF4;IRF1;IRF2;LTA;CDH13;RBM23;PLEC;TSEN34;USP15;LAMA4;MVP;PRELP;AGPAT4;CAND2;GNA15;CYTH4;MAPK7;MKNK1;SPOCK2;PDLIM4;CYTH1;MX2;MAPK14;EPOR;SH3YL1;MLPH;CD6;CD7",1.74563591022444,7,0,0,4.23940149625935,17
"8","tocilizumab homo sapiens gpl6244 gse25160 chdir down","48/176",6.53138869631615e-18,5.69863663753584e-16,0,0,4.17972831765935,165.391482086326,"CX3CR1;SERPINB10;GNAZ;ITGB3;AQP9;ITGA2B;C5ORF4;HP;PRF1;FPR3;PTGS2;TREM1;ABLIM3;CXCR1;RGS1;ANPEP;CXCR2;CYP1B1;S100A12;CD38;HIST1H3H;FFAR2;CTSG;CLEC1B;ELANE;MGAM;EGR2;SMOX;IL1R2;DEFA4;GZMA;CYP4F3;TNFRSF10C;TMEM40;G0S2;NRG1;RNASE3;PPBP;SELP;CEACAM6;IL1B;LCN2;XCL1;BPI;CEACAM8;SIGLEC1;CLEC4E;MXD1",6.25,3,0,0,6.25,3
"9","bleomycin mus musculus gpl1261 gse25640 chdir up","118/802",3.75214018184008e-17,2.90999316324931e-15,0,0,2.25489915059096,85.2839392371465,"CD86;CD84;IL1RN;NCF2;GPR65;SLA;CXCL13;RGS4;PYCARD;GPR176;IGHG1;TDO2;RGS1;CLEC5A;C3AR1;SIRPA;PLXNC1;CD177;CD300A;SLC11A1;CYBB;MYO7A;EREG;DOK2;TYROBP;ADAM12;CLIP4;COL8A1;CLEC4E;PLA1A;C5AR1;CSF2RB;CFP;PLA2G7;CSF2RA;PLAC8;CLEC7A;LPXN;SFN;NCKAP1L;S100A14;SLC15A3;CCR1;MSR1;EGR2;TGFB2;LY86;IGF1;PILRA;BST1;MARCH1;DARC;BMP1;COL5A3;TBXAS1;LCN2;ITGBL1;FXYD6;ITM2A;IGHM;ORM1;HEXB;ITGB2;PLEK;TREM2;ARRB2;PIK3CG;CTSS;GLIPR1;CHL1;ITGAX;CCR5;CD34;CCR2;BATF3;ARG1;TNFRSF1B;OSMR;MMP8;CYP7B1;SLC39A14;LAT2;VCAN;TBC1D2;SLC7A7;SLC7A8;TFEC;BMP2K;MMP19;CD48;TLR7;GAS7;TLR2;RGS16;NPL;AIF1;P2RY6;CCL8;CYTH4;RAB20;CCL7;FRZB;SPOCK2;P2RY2;E2F3;LAIR1;MARCKSL1;P2RY14;EMR1;HN1;S100B;LILRB3;LILRB4;EVI2A;PSAT1;FCGR2B;CD68;MYO1F",2.54237288135593,3,0,0,2.54237288135593,3
"10","dexamethasone homo sapiens gpl570 gse33135 chdir up","58/257",3.99040046284508e-17,2.78529952306587e-15,0,0,3.45871162991786,130.601141334736,"FAM49A;ITK;TRIO;HIP1;PRDM1;IKZF2;CLINT1;AKAP13;SMCHD1;CCND3;RASSF4;RGS1;FAM174B;RNF19A;GPR171;CTLA4;STARD5;CD93;PVRIG;IL1R2;RNASE6;TFEB;UGT2B17;LAX1;VCAN;PELI1;MMP19;SLC27A2;C5AR1;FGL2;FAM129A;IQGAP2;SEL1L3;OGFRL1;INPP5A;SOCS1;INPP5D;PTK2B;C18ORF1;CD163;CD72;SEMA4D;IQSEC1;NBEAL2;SYNJ2;CFLAR;ELL2;FLI1;ISG20;MARCH1;KLF7;CD6;PIK3IP1;CD7;KLRD1;IL7R;IL18R1;CDK5R1",0,0,0,0,6.89655172413793,4
