"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","hydrocortisone homo sapiens gpl201 gse21909 chdir up","51/1270",6.56953520605013e-19,4.58553557382299e-16,0,0,4.18307086614173,175.131262940543,"MS4A3;FLT1;ITGA2B;PRF1;SLA;AATK;HK3;LYL1;IL18RAP;GNLY;PSTPIP2;ADORA3;CCRL2;C3AR1;CTSG;ARG1;SLC11A1;SLC7A5;BIN2;LCK;KLRB1;HDC;CD1E;SLC3A2;CST7;RASGRP1;SAMSN1;CORO1A;LILRA3;SOCS1;KLRK1;CCL5;CCL4;FYN;NFE2;MGAM;CCL22;GZMA;TIE1;NKG7;GZMB;LILRB2;MERTK;CD2;THEMIS2;GPR183;LCN2;CD247;FOLR3;CD69;IL7R",3.92156862745098,2,0,0,19.6078431372549,10
"2","prednisolone homo sapiens gpl570 gse32962 chdir down","42/845",7.62345689808424e-19,2.6605864574314e-16,0,0,5.17751479289941,215.994976236885,"FCN1;MS4A3;FLT1;ITGAM;LST1;PLEK;FGL2;PTAFR;CD1E;RETN;TARP;CST7;SAMSN1;LILRA3;FCAR;PSTPIP2;ALDH3B1;CCL5;C3AR1;IL21R;S100A12;CTSG;FCGR1B;ELANE;ARG1;GZMA;TIE1;NKG7;MMP8;LILRB3;FGR;BIN2;PSAT1;GPR183;APOC2;COL8A1;TRIB3;BPI;LCP2;MNDA;CEACAM8;PLA1A",4.76190476190476,2,0,0,14.2857142857143,6
"3","tocilizumab homo sapiens gpl6244 gse25160 chdir down","17/176",1.21951715902166e-12,2.83740992332372e-10,0,0,10.061553030303,276.014218641015,"MGAM;SMOX;GZMA;ITGA2B;HP;PRF1;TNFRSF10C;FPR3;CXCR1;CEACAM6;LCN2;S100A12;FFAR2;CTSG;BPI;CEACAM8;ELANE",0,0,0,0,11.7647058823529,2
"4","valproic acid mus musculus gpl6885 gse35291 chdir up","26/498",2.23162600789369e-12,3.89418738377449e-10,0,0,5.4384203480589,145.903521745429,"ITGAM;CD80;LST1;PLEK;TREM2;FPR2;IL2RG;RASGRP1;ALDH3B1;CCL5;FFAR2;ARG1;SMOX;SLC11A1;TNFRSF9;IL10RA;MMP8;MERTK;FGR;BST1;EVI2A;GPR183;LCN2;CAMK1;IL7R;MYO1F",7.69230769230769,2,0,0,15.3846153846154,4
"5","sirolimus homo sapiens gpl8300 gds3603 chdir up","36/1225",1.54040702842614e-09,2.15040821168289e-07,0,0,3.06122448979592,62.1159769936844,"FCN1;KLRB1;GPR65;PLEK;SLA;ICAM3;SLC3A2;FPR2;SLC1A5;CST7;IL2RG;CORO1A;CD3D;AIF1;RELB;GNLY;CD37;FYN;CYTH1;PRKCB;FNBP1;IL10RA;NKG7;GZMB;TRAF1;RUNX3;FGR;HCK;SLC7A5;THEMIS2;CD8A;GPR183;LCP2;LTB;CD247;MYO1F",0,0,0,0,16.6666666666667,6
"6","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","73/3998",5.30122783615406e-09,6.16709504939256e-07,0,0,1.90199266299817,36.2430928602184,"FLT1;ITGAM;GMFG;GPR65;CD80;ITGA2B;PRF1;FHL3;TREM2;MECP2;IL18RAP;LAMP3;ADORA3;CCRL2;C3AR1;CCR7;CTSG;CD37;FFAR2;CYTIP;TPSAB1;TKTL1;PRKCH;SLC11A1;IL16;TRAF1;MMP8;RUNX3;SLC7A5;BIN2;CD8A;LCK;ARHGEF3;TRIB3;BPI;CD48;PLA1A;SLC22A4;IGSF6;HDC;PTAFR;CD1E;SLC3A2;SLC1A5;RETN;CST7;IL2RG;RASGRP1;CORO1A;AIF1;RELB;SOCS1;KLRK1;CCL8;CCL5;EIF4EBP1;FYN;ELANE;MGAM;GZMA;IL10RA;TIE1;TNFRSF10C;RAB27A;GZMB;EVI2A;THEMIS2;TCN1;IL2RB;CD247;FOLR3;CD69;SIGLEC5",1.36986301369863,1,0,0,17.8082191780822,13
"7","decitabine homo sapiens gpl96 gse19610 chdir up","8/56",5.97011809760875e-08,5.95306061732987e-06,0,0,14.8809523809524,247.528482662195,"HK3;CCL22;GZMA;SLAMF8;TREM2;CCR7;CD1E;LTB",0,0,0,0,25,2
"8","bleomycin mus musculus gpl1261 gse25640 chdir up","25/802",2.20485064637281e-07,1.92373218896028e-05,0,0,3.24709060681629,49.7695730674124,"ORM1;GPR65;PLEK;SLA;TREM2;AIF1;CCL8;C3AR1;LAIR1;CCR2;MSR1;ARG1;SLC11A1;MMP8;LILRB3;BST1;EVI2A;PSAT1;DDIT4;LCN2;TACC3;COL8A1;CD48;MYO1F;PLA1A",4,1,0,0,12,3
"9","rosiglitazone homo sapiens gpl570 gds2453 chdir up","16/366",5.27282785350173e-07,4.08937093527134e-05,0,0,4.55373406193078,65.8266340515851,"IGSF6;PLEK;FGL2;ICAM3;CD1E;FPR3;SAMSN1;CD1B;HCK;PSTPIP2;LAMP3;APOC2;SLAMF8;CAMK1;CYTIP;CCR2",0,0,0,0,31.25,5
"10","ethanol homo sapiens gpl96 gds2767 chdir down","14/312",2.04646593503337e-06,0.000142843322265329,0,0,4.6741452991453,61.2284811073714,"MGAM;IGSF6;ITGAM;TNFRSF10C;NKG7;RAB27A;GZMB;TARP;LILRA2;F5;IL18RAP;SLAMF8;FFAR2;LCP2",0,0,0,0,21.4285714285714,3
"11","mycophenolate mofetil homo sapiens gpl6255 gse13922 chdir up","10/178",8.86891116493608e-06,0.000562772726647762,0,0,5.85205992509363,68.0767703884387,"GNLY;MGAT4A;ITGA2B;C3AR1;FPR3;CD37;CD48;MNDA;LILRA2;AIF1",0,0,0,0,0,0
"12","decitabine homo sapiens gpl96 gse19610 chdir down","8/112",1.26446866103228e-05,0.000735499271167108,0,0,7.44047619047619,83.9157251624473,"SLC22A4;S100A12;CTSG;CEACAM8;TPSAB1;LILRA3;ELANE;CCR2",0,0,0,0,0,0
