"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","quinpirole-2977","55/100",1.01366299402619e-15,6.18334426355974e-12,0,0,5.27062941211366,181.969565665356,"FLT3;WDR3;PPAN;NAT10;ITGAL;TNF;PFAS;WDR43;PSTPIP2;ADAMTS1;MYC;CTSG;CHAC1;METTL1;IFRD2;CAD;DDX10;PUS7;CBFA2T3;SLC39A14;ENAH;CCNA1;RCN1;MRTO4;POLR1C;CCDC86;FAR2;TTLL12;NIP7;ANKRD55;MAK16;DDX21;PRDM13;SLC1A5;ADRB2;MRPL12;TRHDE;MRM1;TIMM50;NOL6;EXOSC5;TERT;PES1;EIF4EBP1;RRS1;CCL2;RPP40;NOC3L;HOPX;RCL1;RPIA;WT1;PSAT1;IMPDH1;FARSA",7.27272727272727,4,1.81818181818182,1,61.8181818181818,34
"2","nadolol-4139","51/100",5.85489270385629e-13,1.78574227467617e-09,0,0,4.48244897959184,126.25413061221,"UCN;CD82;COX6A2;SLC22A14;IBSP;DPF1;PDK4;DPF3;RGS9;SLC16A4;ABCC2;ITGA3;SEMA6D;HIST1H2AK;ACSL5;RAB3IL1;ZDHHC11;SERPINB5;SLC9A5;TEP1;IL1RAPL2;NOS1AP;CHST1;TAGLN3;ALPK1;MFGE8;CHST4;GPRC5D;OCA2;ITIH2;PRDM14;LPAR4;FSTL1;ART1;NEUROD1;HLA-DMB;EPYC;ZMAT4;HMOX1;HAS2;LEFTY2;UBQLN4;SLC14A2;HTR1F;GNG13;HS3ST2;NELL2;AKR1B10;KCNS1;SPRR1B;PLCD1",7.84313725490196,4,0,0,54.9019607843137,28
"3","Prestwick-983-3141","50/100",2.60023951214164e-12,3.965365256016e-09,0,0,4.30525193281792,114.844392987774,"IFITM3;FLT3;XYLT2;PPAN;NAT10;ITGAL;PFAS;PSTPIP2;MYC;CHAC1;METTL1;ANXA3;IFRD2;RAB3IL1;PUS7;CBFA2T3;SLC39A14;CCNA1;PTRH2;MRTO4;CCDC86;FAR2;FKBP5;NIP7;ANKRD55;MAK16;DDX21;PRDM13;ADRB2;MRPL12;RHOBTB2;CYP27B1;EXOSC5;TERT;PES1;EIF4EBP1;RRS1;CCL2;YARS;RPP40;NOC3L;HOPX;INHBE;BYSL;RPIA;TEC;WT1;PSAT1;IMPDH1;POLR3D",2,1,2,1,56,28
"4","co-dergocrine mesilate-2136","50/100",2.60023951214164e-12,3.965365256016e-09,0,0,4.30525193281792,114.844392987774,"FLT3;WDR3;PPAN;NAT10;DEFB1;ITGAL;PFAS;MRPL4;ADAMTS1;MYC;CTSG;CHAC1;IFRD2;SIGMAR1;DDX10;PUS7;UPB1;SLC39A14;CCNA1;MRTO4;CCDC86;TTLL12;ZNF593;TOMM40;NIP7;DDX21;TXLNG;SLC1A5;ADRB2;MRM1;NOL6;EXOSC5;TERT;EIF4EBP1;PLTP;NTSR1;RPP40;HMGA2;PYCR1;NOC3L;HOPX;INHBE;RPIA;TEC;DHRS9;PSAT1;POLR3D;CTH;LGR4;CD320",0,0,2,1,66,33
"5","brompheniramine-4131","48/100",4.55742303538606e-11,5.56005610317099e-08,0,0,3.97146897866322,94.5673432193105,"C1QB;HIST1H2BN;UCN;KHDRBS3;PCDHGB6;CD82;SERPINA5;FADS2;IBSP;P2RY4;ZNF280A;TCTN2;KIF5A;NNAT;INPP5J;CLCA1;FGF23;LEFTY2;SLC17A2;SCN1B;NKX3-2;HOXA4;STRA6;KLRG1;KCNF1;ABCC2;KCNK10;IQSEC2;SEMA6D;HIST1H2AK;MMP3;NACA2;ACSL5;TM4SF4;WDR78;KRT31;HS3ST2;NELL2;ERN2;CYP26A1;SCN10A;HIST1H4A;KCNS1;TCN1;RFXAP;NOS1AP;B3GNT4;CHST1",6.25,3,0,0,66.6666666666667,32
"6","dihydroergocristine-1745","47/100",1.79863989701759e-10,9.97427579255208e-08,0,0,3.81410520601924,85.5840208022509,"ORM1;SEH1L;WDR3;NIP7;DDX21;PRDM13;ADRB2;MRPL12;TNF;PFAS;WDR43;MRPL4;EXOSC5;PSTPIP2;CA2;MYC;EIF4EBP1;CCL2;BRIX1;CHAC1;DCPS;YARS;RPL39L;NOP14;GADD45A;IFRD2;SIGMAR1;ASNS;TFB2M;NOC3L;PUS7;SLC39A14;HOPX;BYSL;RPIA;PSAT1;CTH;MRTO4;POLR3E;CCDC86;PIN1;TRIB3;PFDN2;CEBPZ;FAR2;IARS;XAF1",4.25531914893617,2,0,0,48.936170212766,23
"7","LY-294002-6195","47/100",1.79863989701759e-10,9.97427579255208e-08,0,0,3.81410520601924,85.5840208022509,"ORM1;NPFFR1;GYPC;C2CD2;GSTCD;WDR3;IL24;SLC1A3;SLC3A2;SLC7A11;CD1C;PFAS;MRM1;NOL6;TERT;ALDH2;MPZ;KCNMB1;STC2;SLITRK5;BRIX1;CTSG;CHAC1;PITX2;PDZD7;KLRG1;SERPINB2;IGFBP4;ASNS;PUS7;FRMD1;HOPX;INHBE;LRRC20;KLF1;FOSL1;SLC7A5;KCNS1;DHRS9;PSAT1;CTH;SNAI1;CCDC86;ECHDC2;TRIB3;LGR4;ZNF696",2.12765957446809,1,0,0,70.2127659574468,33
"8","indometacin-452","47/100",1.79863989701759e-10,9.97427579255208e-08,0,0,3.81410520601924,85.5840208022509,"GPR27;COLEC12;KCNE1;SEMA7A;CPB1;DAGLA;TMPRSS5;NXPH3;CEBPE;CHRM4;CHRM5;GCNT1;NLK;CYP2C19;THBS2;KIR2DL3;ART3;RLBP1;SLC6A4;LGALS4;P2RY6;P2RY4;PENK;NDN;PLAC1;CA6;MAGEC1;CA9;NPTX1;N4BP3;NTSR1;CHGB;TNFSF18;NTNG1;RASL10A;ASCC1;IFNA17;TAS2R14;GDF3;GUCA2A;HS3ST2;ETV7;NELL2;TNFSF8;PTPN7;DNASE1L2;SIGLEC5",2.12765957446809,1,2.12765957446809,1,51.063829787234,24
"9","LY-294002-1177","47/100",1.79863989701759e-10,9.97427579255208e-08,0,0,3.81410520601924,85.5840208022509,"GRAMD1B;ZNF593;WDR3;ANKRD55;MRPS34;NAT10;ADRB2;ENO2;MRPL12;ITGAL;PFAS;NOL6;MRPL4;GGTLC1;P2RY6;HSPH1;TERT;CA2;ADAMTS1;MYC;PDGFD;RRS1;CCL2;CTSG;CHAC1;CGREF1;PPP1R14B;SERPINB2;CISH;METTL1;ANXA3;MMP2;DDX10;TFB2M;ZDHHC11;PUS7;SLC39A14;HOPX;INHBE;ERN2;CCNA1;DHRS9;WT1;MRTO4;TRMT12;CCDC86;LGR4",4.25531914893617,2,2.12765957446809,1,57.4468085106383,27
"10","genistein-268","47/100",1.79863989701759e-10,9.97427579255208e-08,0,0,3.81410520601924,85.5840208022509,"TAGLN;CLSTN2;PTPRN;ONECUT1;LRRC17;PRDM14;CHD5;HSPB3;BEST2;GATA1;TSPAN32;CD79A;GRM2;GALR3;EFCAB1;BDKRB1;ARSF;CACNA1S;A4GALT;HAVCR1;CACNG2;EDIL3;S1PR4;PDZD7;PELP1;APOBEC3C;MYBPC3;SLC34A2;ATP6V1G2;APOBEC2;ATP8B1;CADPS;TMEM176A;G0S2;MFSD11;TUBA4B;ALOX15B;PRSS53;HOPX;AGMAT;FGF17;CD5;MAGEB2;HOXB1;COL9A2;ALPK1;DNASE1L2",4.25531914893617,2,0,0,42.5531914893617,20
