"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","mefloquine-2210","60/100",1.45401208795494e-19,8.86947373652511e-16,0,0,6.47914995990377,281.031769370239,"HIST1H1T;TNFAIP3;MT1X;SLC7A11;ETS2;IFIT2;RND1;OASL;MT2A;RGS2;HIST1H2AE;CYP1B1;HIST1H2AG;CHAC1;SOX9;HIST1H1C;TSC22D3;GEM;HIST2H2BE;DDIT4;MT1F;HIST1H2BF;MT1G;TXNIP;MT1H;HOXB2;HIST1H2BH;TRIB3;HIST1H2BG;MT1E;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;HIST1H2BN;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H2BI;DDX60;HMOX1;HIST1H3B;CGA;IL32;GADD45A;AKR1C1;SPRY4;AKR1C2;KLF2;INHBE;VEGFA;EFNA1;CXCL10;RCAN1;NR4A1;KLF6;NR4A3;MAFF;HIST1H4H;HIST1H4E",1.66666666666667,1,1.66666666666667,1,56.6666666666667,34
"2","terfenadine-6823","58/100",5.65889406554254e-18,1.15064179332698e-14,0,0,5.9610065773571,236.731261557252,"HRK;CD83;HIST1H1T;TNFAIP3;MT1X;SLC7A11;CLDN1;SAT1;AREG;IFIT2;RND1;OASL;MT2A;HIST1H1D;CYP1B1;CHAC1;SOX9;PHLDA1;IER3;TGIF1;DUSP4;GEM;DUSP6;ETV5;ARC;DDIT4;MT1F;TXNIP;MT1H;TRIB3;TRIB1;MT1E;BIRC3;HBEGF;PPP1R15A;CEBPB;HIST1H2BO;HIST1H2BJ;INSIG1;HMOX1;HIST1H3B;EGR3;GADD45A;SPRY4;ASNS;KLF2;INHBE;VEGFA;NR4A2;FOSL1;RCAN1;NR4A1;KLF6;NR4A3;BCL6;FGF18;MAFF;CCL27",3.44827586206897,2,3.44827586206897,2,56.8965517241379,33
"3","astemizole-6807","58/100",5.65889406554254e-18,1.15064179332698e-14,0,0,5.9610065773571,236.731261557252,"CD83;TAT;TNFAIP3;MT1X;VLDLR;SLC7A11;SAT1;ETS2;IFIT3;CLGN;IFIT2;RND1;OASL;HERC5;MT2A;TRIM2;CHAC1;SOX9;PHLDA1;TGIF1;DUSP4;DDX58;GEM;DUSP6;ETV5;DDIT4;MT1F;TXNIP;MT1H;TRIB3;TRIB1;MT1E;BIRC3;HBEGF;PPP1R15A;HIST1H2BJ;INSIG1;SLC1A4;HMGCR;DDX60;SH3TC1;CD55;EGR2;EGR3;EGR4;GADD45A;LIF;ASNS;KLF2;INHBE;VEGFA;NR4A2;FOSL1;NR4A1;KLF6;NR4A3;BCL6;MAFF",3.44827586206897,2,3.44827586206897,2,48.2758620689655,28
"4","anisomycin-6764","57/100",3.32109564630304e-17,5.06467086061213e-14,0,0,5.72011031604055,217.041874309462,"BTG2;MT1M;IL24;HIST1H1T;TNFAIP3;MT1X;CXCL3;SAT1;CXCL2;RND1;DMBT1;ADAMTS1;HIST1H2AE;CYP1B1;HIST1H2AG;SOX4;HIST1H1C;GEM;HIST2H2BE;IL1A;ARC;MT1F;HIST1H2BF;TXNIP;HIST1H2BE;MT1H;HIST1H2BH;HIST1H2BG;SGK1;HIST1H2BD;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;PTGER4;HIST1H2BJ;HIST1H2BI;GATA6;PTGS2;HDAC9;PTHLH;STC2;HIST1H3H;HIST1H3B;LIF;INHBA;DHRS2;RPL3L;IL6;KITLG;KLF6;HIST3H2A;DHRS9;LPAR6;MAFF;HIST1H4H;HIST1H4D",5.26315789473684,3,0,0,57.8947368421053,33
"5","prenylamine-2886","55/100",1.01366299402619e-15,8.83334894794249e-13,0,0,5.27062941211366,181.969565665356,"TNFAIP3;MT1X;SLC7A11;SAT1;ETS2;IFIT2;RND1;OASL;HERC5;MT2A;RGS2;HIST1H2AE;HIST1H1D;CHAC1;SOX9;DUSP4;HMGCS1;GEM;HIST2H2BE;ARC;IL23A;DDIT4;MT1F;MT1G;MT1H;TRIB3;HIST1H2BG;TRIB1;MT1E;BIRC3;HBEGF;PPP1R15A;DLX2;HIST1H2BO;HIST1H2BJ;DDX60;HMOX1;OR2B6;HIST1H3B;HIST1H3E;GADD45A;AKR1C1;KLF4;KLF2;INHBE;VEGFA;NR4A2;RCAN1;NR4A1;KLF7;PER1;KLF6;NR4A3;MAFF;HIST1H4H",3.63636363636364,2,1.81818181818182,1,50.9090909090909,28
"6","suloctidil-1297","55/100",1.01366299402619e-15,8.83334894794249e-13,0,0,5.27062941211366,181.969565665356,"IFITM1;MT1M;IL24;MT1X;IFI35;SAT1;IFI44L;IFIT3;IFIT2;OASL;HERC5;MT2A;TNFSF10;TRIM21;TRIM22;HERC6;DSP;RSAD2;DDX58;ITGA2;CCNA1;PLSCR1;AIM2;OAS1;OAS2;OAS3;MT1F;IRF7;MT1G;MT1H;LAP3;RIN2;IRF9;LY6E;MT1E;IFI6;DDX60;IFI16;HMOX1;STAP1;CCL2;CD70;PHF11;IFI44;EIF2AK2;ISG15;PARP12;EXT1;BST2;CXCL10;LPAR6;AXL;XAF1;GCLM;RGL1",3.63636363636364,2,0,0,41.8181818181818,23
"7","lycorine-3808","55/100",1.01366299402619e-15,8.83334894794249e-13,0,0,5.27062941211366,181.969565665356,"CITED2;IL24;TNFAIP3;CXCL3;CLU;CLDN1;CXCL2;ETS2;OASL;AKAP12;ADAMTS1;HIST1H2AE;HIST1H2AG;IL12A;SOX4;SYBU;ARID5B;AEN;HIST2H2BE;ARC;HIST1H2BF;TXNIP;HIST1H2BE;MT1H;HIST1H2BG;SGK1;HIST1H2BC;HBEGF;PPP1R15A;HIST1H2BJ;HIST1H2BI;PTGS2;HDAC9;PTHLH;KRT33A;STC2;HAS2;HIST1H3H;HIST1H3B;KRTAP4-7;CCL20;LIF;INHBA;KLF4;DHRS2;IL6;KITLG;KLF6;NR4A3;HIST3H2A;KRT17;DHRS9;KRT16;MAFF;HIST1H4H",5.45454545454545,3,0,0,65.4545454545455,36
"8","cicloheximide-5743","54/100",5.27404565571365e-15,4.02145981248166e-12,0,0,5.06063981620079,166.373486554095,"IL24;TNFAIP3;CLDN1;CXCL2;AREG;ETS2;IFIT2;RND1;OASL;AKAP12;DMBT1;ADAMTS1;HIST1H2AE;CYP1B1;HIST1H2AG;PHLDA1;SOX4;HIST1H1C;ARID5B;GEM;HIST2H2BE;IL1A;HIST1H2BF;TXNIP;HIST1H2BE;HIST1H2BH;HIST1H2BG;SGK1;HIST1H2BD;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;DLX2;HIST1H2BJ;HIST1H2BI;GATA6;PTGS2;HDAC9;PTHLH;STC2;HIST1H3H;HIST1H3B;EGR2;GADD45A;LIF;INHBA;PER1;IL6;KLF6;HIST3H2A;MAFF;HIST1H4H;SNAI2",7.40740740740741,4,0,0,55.5555555555556,30
"9","azacyclonol-1520","53/100",2.63709879809664e-14,1.60863026683895e-11,0,0,4.85964713095211,151.944214991377,"TNFAIP3;MT1X;SLC7A11;TNF;SAT1;AREG;ETS2;RND1;OASL;MT2A;RGS2;HIST1H2AE;HIST1H1D;HIST1H2AG;CHAC1;CCNL1;PHLDA1;HIST1H1C;DDX58;GEM;HIST2H2BE;ARC;DDIT4;MT1F;TXNIP;MT1H;HIST1H2BG;TRIB1;HIST1H2BC;HBEGF;PPP1R15A;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H3B;EGR2;EGR3;EGR4;GADD45A;KLF4;KLF2;INHBE;VEGFA;NR4A2;EFNA1;FOSL1;RCAN1;NR4A1;PER1;KLF6;NR4A3;MAFF;HIST1H4H",5.66037735849057,3,0,0,49.0566037735849,26
"10","ivermectin-2213","53/100",2.63709879809664e-14,1.60863026683895e-11,0,0,4.85964713095211,151.944214991377,"EPHB6;THRB;NAB1;TNFAIP3;SLC7A11;ADRA1B;TNF;AREG;RND1;OASL;MRC2;UPK1B;MYC;RPS6KA2;CHAC1;PHLDA1;PSPH;SEMA6B;DDX58;MYT1;TM4SF1;MALL;DDIT4;TXNIP;TRIB3;CYP2E1;CFB;BIRC3;HBEGF;PPP1R15A;HIST1H2BO;GMPR;SLC1A4;TNFRSF11B;IL2RG;CACNA1G;NNAT;CGA;PCK2;GADD45A;CD70;ST8SIA3;LIF;ASNS;CSHL1;INHBE;VEGFA;COL1A1;NR4A1;KLF6;MAFF;HIST1H4H;TPP1",3.77358490566038,2,0,0,50.9433962264151,27
