"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","5109870-904","69/100",4.73534173028373e-27,2.88855845547308e-23,0,0,3.55395312902395,215.421957737927,"TOP2A;CCNF;KIF14;BUB1B;KIF11;MKI67;HOXC11;DNALI1;CDC20;C12ORF35;AKAP12;FRAT1;SALL2;ZNF85;NUSAP1;DNMT3B;DLEU2;CEP97;GTSE1;ZNF323;DLGAP5;ZNF165;ELOVL4;NPY1R;KIF23;CIT;ASPM;NEIL3;ARMCX1;PSRC1;CCNE1;KIFC1;DEPDC1;FAM64A;KIF20A;ZNF675;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB1;RACGAP1;HIST1H3G;FAM5C;RIBC2;E2F8;UBE2C;PLK1;PLEKHA6;NDC80;BMP4;TPX2;CENPE;KIF18A;CENPF;CXCL12;KIF18B;REEP4;KIF4A;NMU;TACC3;PTTG3P;SPC25",11.5942028985507,8,1.44927536231884,1,79.7101449275362,55
"2","etoposide-5027","66/100",3.16015645591073e-24,9.63847719052772e-21,0,0,3.39943342776204,183.948172331285,"ARHGAP11A;GPSM2;ERCC6L;HJURP;KIF14;HMGB2;BUB1B;SIX1;KIF11;MKI67;KIF15;LMNB1;CDC20;PTTG1;HIST1H2AG;NEK2;CEP55;DLGAP5;ZNF165;DSCAM;KIF23;NME5;TUBA4B;CCNA2;GPRIN2;ASPM;NEIL3;PSRC1;DBF4;ESPL1;DEPDC1;FAM64A;KIF20A;KIF20B;CDCA3;HIST1H2BJ;TROAP;NCAPG;TTK;HMMR;NCAPH;AURKB;RECQL4;CCNB1;RACGAP1;FAM5C;HIST1H3B;E2F8;STIL;C11ORF20;SPAG5;UBE2C;NDE1;PLK1;XRCC3;NDC80;TPX2;CENPE;KIF18A;CENPF;XK;UBE2S;PRC1;KIF4A;TACC3;CDKN3",6.06060606060606,4,3.03030303030303,2,72.7272727272727,48
"3","etoposide-3241","64/100",1.93308636610686e-22,3.93060894441727e-19,0,0,3.29642029358743,164.813611469279,"HIST2H2AA3;HJURP;KIF14;BUB1B;KIF11;BRCA2;COX6A2;LMNB1;CDC20;IPO8;CEP55;DLGAP5;ZNF165;DGAT1;KIF23;IL17RB;CCNA2;ERN2;ASPM;C9ORF9;NEIL3;RBL1;PSRC1;ESPL1;CLIP4;DEPDC1;FAM64A;KIF2C;KIF20A;ZNF675;DTL;CDCA3;TROAP;NCAPG;CDCA8;WDR62;HMMR;CENPA;AURKB;LDHB;REM1;CCNB1;RIBC2;BCL11B;UBE2C;NDE1;PLK1;NDC80;BMP4;LOC730101;TPX2;CENPE;MYO1E;KIF18A;CENPF;KIF18B;UBE2S;CENPI;PRC1;KIF4A;NMU;TACC3;MXD3;CDKN3",7.8125,5,0,0,71.875,46
"4","methotrexate-5000","60/100",4.33396652692815e-19,6.60929895356543e-16,0,0,3.09039402523822,130.669998209125,"TOP2A;ARHGAP11A;GPSM2;SUV39H2;SETD8;HJURP;KIF14;BUB1B;KIF11;LMNB1;CDC20;AKAP12;ZMYM3;HIST1H1E;CCDC99;PGPEP1;DLGAP5;ZNF165;ELOVL4;ENTPD7;CKAP2;HMHA1;COBL;KIF23;ASPM;PSRC1;DBF4;DEPDC1;FAM64A;KIF20A;EXOC5;ZNF675;RPL23AP32;CDCA3;TROAP;CDCA8;TTK;HMMR;AURKA;CCNB1;C1ORF109;CHST10;METTL4;ECT2;STIL;UBE2C;PLK1;XRCC3;GINS4;NDC80;TPX2;CENPE;KIF18A;EFNA3;CENPF;MEIS1;UBE2S;PRC1;TACC3;SOLH",8.33333333333333,5,0,0,68.3333333333333,41
"5","ciclopirox-5023","58/100",1.59960330838249e-17,1.95151603622664e-14,0,0,2.98738089106361,115.534538915784,"TOP2A;ARHGAP11A;ERCC6L;CCNF;HJURP;KIF14;BUB1B;HOXC13;CDC20;C12ORF35;ZNF329;HIST1H1D;DLGAP5;SGCG;CD97;ZNF165;KIF23;RAB3IL1;OVOL2;CIT;ASPM;PSRC1;DBF4;STIM1;ESPL1;DEPDC1;CKS2;FAM64A;KIF20A;CDCA3;TROAP;NCAPG;CDCA8;PLA2G3;TTK;HMMR;HSD17B11;CENPA;AURKB;AURKA;THBS3;CCNB1;CNNM4;C11ORF20;UBE2C;NDE1;PLK1;RFTN1;NDC80;CENPE;KIF18A;SMTN;MEIS1;KIF18B;UBE2S;PRC1;CAMK4;PVRL3",6.89655172413793,4,0,0,74.1379310344828,43
"6","0173570-0000-7389","57/100",9.14229307498237e-17,9.29466462623208e-14,0,0,2.93587432397631,108.424878422612,"GPSM2;NCF2;CLEC10A;HJURP;KIF14;HMGB3;KIF11;GRPR;CTGF;CDC20;CHEK2;DNMT3B;HIST1H2AG;DLEU2;DLGAP5;GABPA;ZNF165;SCARA3;EN2;KIF23;CCNA2;ASPM;CLDN4;PSRC1;DBF4;DEPDC1;CKS2;CDC42EP1;FAM64A;KIF2C;KIF20A;KIF20B;ST6GALNAC5;IPPK;TAGLN;CDCA3;CDCA8;HMMR;ADRB2;WDR67;PBLD;CCNB2;CCNB1;GPR110;APOL6;SLITRK5;PAK3;PLK1;NDC80;TPX2;CENPE;CENPF;PRC1;KIF4A;TGFBI;CENPO;SPC25",3.50877192982456,2,0,0,73.6842105263158,42
"7","monobenzone-5312","56/100",5.01853196251664e-16,4.3732921387645e-13,0,0,2.884367756889,101.611153538194,"TOP2A;ARHGAP11A;KIF14;HMGB3;KIF11;LMNB1;CDC20;PTTG1;NUSAP1;HIST1H1D;HIST1H2AG;CCDC99;DLGAP5;SLC6A14;HIST1H2AJ;CKAP2;KIF23;SULT2B1;ASPM;PSRC1;DEPDC1;CKS2;FAM64A;KIF20A;KIF20B;SNORA21;ZNF273;CDCA3;HIST1H2BI;TROAP;TTK;HMMR;CENPA;AURKB;AURKA;CCNB2;CCNB1;RACGAP1;GAR1;METTL4;HIST1H3G;ECT2;MAP9;CYP2J2;STIL;UBE2C;PLK1;C9ORF40;NDC80;TPX2;CENPE;KIF18A;EHD3;CENPF;UBE2S;TACC3",5.35714285714286,3,0,0,75,42
"8","resveratrol-958","56/100",5.01853196251664e-16,3.82663062141894e-13,0,0,2.884367756889,101.611153538194,"ARHGAP11A;ERCC6L;SUV39H1;HJURP;KIF14;BUB1B;KIF11;MKI67;KIF15;LMNB1;CDC20;C12ORF35;NKRF;FBXO5;GTSE1;DLGAP5;ZNF165;TMOD3;SLC6A14;CKAP2;KIF23;CCNA2;ASPM;KAT2A;PSRC1;KIFC1;TRAF5;DEPDC1;IRF6;KIF20B;ZNF552;CDCA3;TROAP;ARHGAP19;CDCA8;LYPD3;TTK;CENPA;C1ORF112;CCNB1;P2RY6;RACGAP1;TAF1A;FAM5C;E2F8;PRPF38B;ATAD5;UBE2C;PLK1;NDC80;CENPE;KIF18A;CENPF;CENPI;TACC3;SPC25",3.57142857142857,2,1.78571428571429,1,73.2142857142857,41
"9","resveratrol-841","56/100",5.01853196251664e-16,3.40144944126128e-13,0,0,2.884367756889,101.611153538194,"SUV39H2;ERCC6L;CCNF;HJURP;KIF14;BUB1B;KIF11;MKI67;CDC20;C12ORF35;ZNF85;SCMH1;DLEU2;GTSE1;DLGAP5;KIF23;URB2;HAUS6;CTPS;PISD;ASPM;PSRC1;ASPHD1;KIFC1;MMP15;TRAF5;DEPDC1;KIF20A;THOP1;IPPK;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;HMMR;CENPA;CCNB1;P2RY6;RACGAP1;P2RY2;FAM5C;CCDC76;RPRM;E2F8;PRPF38B;UBE2C;PLK1;NDC80;CENPE;CENPF;WEE1;KIF18B;CDK1;TACC3;SPC25",5.35714285714286,3,1.78571428571429,1,71.4285714285714,40
"10","pyrvinium-5439","53/100",6.53067675641969e-14,3.98371282141601e-11,0,0,2.72984805562709,82.877315399209,"ARHGAP11A;SUV39H2;FAAH;ERCC6L;CCNF;KIF14;BUB1B;MCM10;KIF11;AKAP12;DNMT3B;FBXO5;TIPIN;PAQR4;VASH2;KIF23;RBL1;PSRC1;CCNE2;ESPL1;BDH1;PRR15L;CCNE1;TRAF5;FAM64A;KIF20A;DTL;BLM;CDCA3;TROAP;HPN;CDCA8;NKAIN1;KCNMB4;FAM5C;E2F8;CDKN2C;BCL11B;ATAD5;IRX5;PLK1;NDC80;BMP4;LOC730101;CENPE;KIF18A;C19ORF40;TACC3;PVRL3;HIST1H4D;MXD3;MDM1;GPR19",7.54716981132075,4,1.88679245283019,1,69.811320754717,37
