"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","butyl hydroxybenzoate-4647","58/100",1.59960330838249e-17,9.75758018113321e-14,0,0,2.98738089106361,115.534538915784,"TRAF3IP3;SLA;IL5RA;CXCL13;TMEM140;COX6A2;SLC6A2;RAPGEFL1;FCAR;SOX2;HTR7;MMP24;FCER1A;EPM2A;SERPINB3;PCYT1B;G6PC;CD300A;SPINK5;STX7;IRAK3;CACYBP;SEZ6L;PARP8;IGL@;CLEC4A;F7;ASPHD1;NOS1AP;C9ORF7;CDHR5;TLN2;AGXT;MATN3;HLF;CXCR6;FYB;CPN2;CYP3A7;LARGE;CXCR2;S1PR1;MGAT3;CCL19;TRD@;MUC4;SNCA;KCNF1;CD163;PKLR;KLK13;PCDHB13;CYP4F11;ALOX15B;PYY;KRT14;COL9A3;FCGR2C",5.17241379310345,3,3.44827586206897,2,50,29
"2","betonicine-4767","58/100",1.59960330838249e-17,4.87879009056661e-14,0,0,2.98738089106361,115.534538915784,"SH3GL3;SPARC;RPL10L;ICA1;GRPR;ANTXR1;FAIM3;HAPLN1;HMGN5;SIT1;CASP10;CHL1;SMPD1;HLA-DOA;PTRF;SULT4A1;TP63;KCNH2;IL11;FBXO2;RPS3A;CYP7B1;AP3B2;MYL4;SFRP4;ZEB1;LOX;ITGA8;DCX;CLCNKB;GREB1L;DTX2;PCDH12;RASAL2;FUT2;MLLT4;CPN2;GK2;CYB5R2;HPX;TCEAL2;NTF3;PCK1;ICOS;RHBG;ALOXE3;PDLIM4;CPA4;NTRK2;LAMB4;ATP2B4;A1CF;DCBLD2;COL1A1;PIK3IP1;ACCN2;CD22;PLCD1",10.3448275862069,6,0,0,48.2758620689655,28
"3","cotinine-4650","58/100",1.59960330838249e-17,3.2525267270444e-14,0,0,2.98738089106361,115.534538915784,"COL16A1;MYT1L;LST1;C8A;PCSK5;SGCD;B3GALT2;CASP1;OLR1;HLA-DOA;SULT4A1;TP63;CCR2;NUDC;ACTN2;KCND3;STX7;POU3F2;EML3;CORT;C9ORF9;CDH10;LTA;IRF5;TLN2;MS4A2;EPHA3;CAMK1G;CRP;C9ORF125;CCL11;NPR1;TMPRSS4;PTGER3;FPR1;ADAM22;SLC3A1;SLC5A12;CABP1;PRDM12;LY9;SPATA6;FYB;FUT6;CXCR2;MAN1C1;CNNM2;PCDH1;SNCA;BTNL8;NTRK3;KCNJ15;APOC4;ARHGAP25;SERHL2;RGS12;CCL27;SCN2B",5.17241379310345,3,0,0,37.9310344827586,22
"4","sulfamethoxypyridazine-4733","57/100",9.14229307498237e-17,1.39419969393481e-13,0,0,2.93587432397631,108.424878422612,"IGHM;IL1RN;ATP8A1;GRIK5;DPYS;TRAC;SERPINE1;CLTA;IKZF1;COMP;RGS4;SYDE1;IBSP;SVEP1;SSX3;SSX1;FGB;PRKCA;NRG1;HTR3A;MYT1;CEACAM3;VCAN;HOXB9;LOX;MALL;SHANK2;IGSF6;SERPINB13;DTX2;HOXD13;MLLT4;PTHLH;SRPX2;CHRNG;DNAJB5;CCL19;HIST1H3C;MEF2D;XDH;MSR1;SPAG8;CCL21;RPL35A;TRMT1;ALOX15B;LYVE1;DSPP;COL1A1;COL3A1;SNRK;CNTN1;ANXA2P1;CSPG5;RGS12;SPRR1A;CCL27",3.50877192982456,2,0,0,49.1228070175439,28
"5","tetryzoline-6069","57/100",9.14229307498237e-17,1.11535975514785e-13,0,0,2.93587432397631,108.424878422612,"CRISP2;STEAP4;AQP7;PIK3C2G;ADAMTS5;AIM1L;NPPA;CASP1;COL10A1;HLA-DOA;TAPT1;GPR39;HGD;KCND3;SH2D3A;BHMT2;COPG2IT1;KCNAB1;SEZ6L;MUC3B;IGLJ3;GAP43;PSG4;BIN1;AGTR1;TRIM15;TAGLN3;CYP2E1;PPARA;TRIM10;IGLV3-19;MEG3;GLT25D2;LAMA2;LPL;PLA2G5;CXXC4;ADD2;ACAN;FZR1;CALD1;KCNMB1;P2RY1;MGAT3;PIP5K1B;MUC4;BUB1;MSR1;FZD9;ATP2B4;LILRB2;LILRB3;PLXDC1;IL6;CYP24A1;SERHL2;SIGLEC1",3.50877192982456,2,5.26315789473684,3,40.3508771929825,23
"6","clozapine-4453","56/100",5.01853196251664e-16,5.10217416189192e-13,0,0,2.884367756889,101.611153538194,"PGLYRP4;PIGR;ONECUT2;FAIM2;MSLN;CELSR3;FCAR;KHK;CALB2;MRC2;FGF6;SALL1;CAMKV;HNF4A;GRM8;IL12B;CTLA4;ITGB8;MS4A12;CD52;SLC15A1;SLC11A1;UGT2B17;NRG1;UNC93A;PAX5;LAX1;CACNB1;IRF4;ANGPTL2;LCP2;PTPRCAP;LPHN3;BHLHB9;ADH1B;LRP4;PCDH12;ADAM28;GNG4;HIST1H3F;HAO2;SLC17A2;RUNX1T1;CYP2J2;CADM3;SPAG8;NCAPH2;GAD2;LILRB2;SULF1;ESR1;KLK12;PYY;PPP2R2B;HAMP;CCL27",5.35714285714286,3,1.78571428571429,1,62.5,35
"7","streptozocin-6098","56/100",5.01853196251664e-16,4.3732921387645e-13,0,0,2.884367756889,101.611153538194,"VIPR1;PLEK;HOXA10;CDH6;SOX2;RPS6KA6;IBSP;PRB1;NPPA;TIMP3;PTGDS;SCN1A;AVPR1B;IGFBP3;SPINK5;TFEB;BAAT;TTC38;ACE2;BIN1;DAAM2;MAP1A;KIT;DNASE1;LILRA6;POPDC3;ADH1A;CXCR4;FBLN1;MLLT4;FSTL1;C2;ADD2;DPP4;PDLIM3;GNA15;DBC1;SRPX2;GNG7;P2RY1;MAN1C1;CCL19;RHBG;EXPH5;TFAP2A;SEMA4G;PLXDC1;ARHGAP33;BST1;DAB2;BMP1;ACTC1;ARTN;COL7A1;PTPN7;MYF5",5.35714285714286,3,1.78571428571429,1,50,28
"8","zuclopenthixol-4261","55/100",2.64653864295733e-15,2.01798571525496e-12,0,0,2.8328611898017,95.0864696350377,"SNED1;TRAF3IP3;KCNC1;LST1;PCSK6;TRO;B3GALT2;MCF2L;KYNU;PTGDS;MYOZ1;KRTAP1-3;CLIC2;PDGFRA;EPHA7;KCND3;ABCC9;CLEC4A;SLCO1C1;IGLJ3;TBC1D2;ACAP1;DMWD;KCNQ1;PECAM1;TLR8;IGFALS;AGXT;DSC1;TMPRSS4;ADAM22;PRDM14;RASAL1;PRDM12;FAM149A;LILRA4;NHLH2;EFS;DNAJB5;CLMN;SI;LARGE;CCL5;MYH13;NLRP3;NUP88;MUC4;HSPA6;PYY2;NR0B1;ESR1;REEP1;TTLL5;HRG;NFKBIB",9.09090909090909,5,1.81818181818182,1,34.5454545454545,19
"9","alimemazine-2736","55/100",2.64653864295733e-15,1.79376508022663e-12,0,0,2.8328611898017,95.0864696350377,"CNTNAP2;IGHM;IL1RN;CD80;FHL1;MYLK;PRB1;GRM8;IL12B;HLA-DOA;CEMP1;SSX1;MSX2;DSCAM;MYOC;HEG1;HIST1H2AJ;PSG1;NRG1;APOA4;C9ORF9;TMEM212;CEACAM1;CACNB4;PPAP2B;PKP2;ALDOB;HIST1H2BN;NLGN1;SFTPA2;HIST1H2BJ;PTGER3;GATA4;HPR;HOXD10;CD79B;ACAN;CST1;DBC1;MAP7;CCL19;IGHA1;GRIA3;CNNM4;SRPK3;NTRK3;INHBA;TBX5;ALOX15B;GUCA2A;EHD2;PLCH1;RGS12;IL7R;FGFR2",3.63636363636364,2,5.45454545454545,3,52.7272727272727,29
"10","buflomedil-4258","55/100",2.64653864295733e-15,1.61438857220397e-12,0,0,2.8328611898017,95.0864696350377,"SH3GL3;PLVAP;ORM1;FOXE1;CLEC10A;TAT;PLEK;LMOD1;CLTA;PIK3C2G;PCSK6;FCAR;GRM1;CAPN9;B3GALT2;TNFSF11;KRTAP1-3;MYOZ2;FGB;PACRG;HGD;GPR35;SPINK5;ACOT11;CYP3A43;KIF25;EBF2;IGL@;FETUB;AGXT;DSC1;GRIA1;LY9;NOL4;KLK7;DDO;CD79A;DBC1;SV2B;ALOX5;HIST1H3I;ARSE;MUC4;CD163;NTRK3;PRRX2;BMX;ARHGAP33;TTC9;COL3A1;PROC;FAM30A;HRG;CD200;SCN2B",5.45454545454545,3,1.81818181818182,1,49.0909090909091,27
