"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","betazole-1854","5/100",1.0845345753342e-06,0.000485871489749719,0,0,32.6776315789474,448.806343825588,"RBM28;PRR7;TAF1A;CEP72;WDR43",0,0,0,0,100,5
"2","dinoprost-2446","5/100",1.0845345753342e-06,0.000485871489749719,0,0,32.6776315789474,448.806343825588,"RECQL4;DDX31;NFE2L3;WDR43;RRP9",0,0,0,0,100,5
"3","puromycin-2448","5/100",1.0845345753342e-06,0.000485871489749719,0,0,32.6776315789474,448.806343825588,"PPAT;CEP72;CD3EAP;LRP8;WDR43",0,0,0,0,100,5
"4","sirolimus-4445","5/100",1.0845345753342e-06,0.000485871489749719,0,0,32.6776315789474,448.806343825588,"NUFIP1;PPAT;DDX31;CD3EAP;RRP9",0,0,0,0,100,5
"5","pergolide-2403","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"TAF1A;DDX31;WDR43;RRP9",0,0,0,0,100,4
"6","tanespimycin-1206","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"RECQL4;CHPF;TROAP;RFWD3",0,0,0,0,100,4
"7","LY-294002-4463","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"TEAD4;WDR74;DDX31;RRP9",0,0,0,0,100,4
"8","sirolimus-1022","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"RECQL4;CEP72;WDR43;RRP9",0,0,0,0,100,4
"9","LY-294002-1054","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"PRR7;DDX31;CEP72;RRP9",0,0,0,0,100,4
"10","hydroflumethiazide-1687","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"TAF1A;CEP72;WDR43;RRP9",0,0,0,0,100,4
"11","monorden-1160","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"DDX31;CD3EAP;WDR43;RRP9",0,0,0,0,100,4
"12","trichostatin A-6276","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"PRR7;TAF1A;WDR74;LRP8",0,0,0,0,100,4
"13","podophyllotoxin-2540","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"PPAT;DDX31;WDR43;RRP9",0,0,0,0,100,4
"14","prochlorperazine-1215","4/100",3.42307648755364e-05,0.00438153790406866,0,0,25.084595959596,257.929492302622,"TROAP;DDX31;CD3EAP;WDR43",0,0,0,0,100,4
"15","sirolimus-1221","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"WDR74;DDX31;WDR43",0,0,0,0,100,3
"16","sirolimus-6958","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"DDX31;CEP72;RRP9",0,0,0,0,100,3
"17","terguride-6299","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"PRR7;DDX31;ETV4",0,0,0,0,100,3
"18","geldanamycin-1169","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"DDX31;CD3EAP;RRP9",0,0,0,0,100,3
"19","1,5-isoquinolinediol-543","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"CD3EAP;WDR43;RRP9",0,0,0,0,100,3
"20","etoposide-5027","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"RECQL4;TROAP;CEP72",0,0,0,0,100,3
"21","hycanthone-5691","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"TROAP;TAF1A;NFE2L3",0,0,0,0,100,3
"22","tanespimycin-1147","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"CD3EAP;WDR43;RRP9",0,0,0,0,100,3
"23","5255229-833","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"PRR7;NFE2L3;CEP72",0,0,0,0,100,3
"24","levamisole-7450","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"RECQL4;TAF1A;CEP72",0,0,0,0,100,3
"25","droperidol-1290","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"DDX31;ETV4;RRP9",0,0,0,0,100,3
"26","geldanamycin-6187","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"DDX31;CD3EAP;RRP9",0,0,0,0,100,3
"27","resveratrol-958","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"CENPI;TROAP;TAF1A",0,0,0,0,100,3
"28","thioridazine-1986","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"RECQL4;CEP72;RRP9",0,0,0,0,100,3
"29","oxprenolol-7225","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"RECQL4;CHPF;CD3EAP",0,0,0,0,100,3
"30","galantamine-4772","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"RFWD3;TAF1A;CEP72",0,0,0,0,100,3
"31","tanespimycin-5215","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"CHPF;DDX31;CD3EAP",0,0,0,0,100,3
"32","carbamazepine-1847","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"PRR7;RFWD3;DDX31",0,0,0,0,100,3
"33","LY-294002-1077","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"PRR7;DDX31;WDR43",0,0,0,0,100,3
"34","bufexamac-5090","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"RECQL4;DDX31;WDR43",0,0,0,0,100,3
"35","bucladesine-3483","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"CHPF;DDX31;NFE2L3",0,0,0,0,100,3
"36","isradipine-3129","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"DDX31;NFE2L3;ETV4",0,0,0,0,100,3
"37","4,5-dianilinophthalimide-578","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"PRR7;CD3EAP;WDR43",0,0,0,0,100,3
"38","amphotericin B-6303","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"RECQL4;PRR7;CEP72",0,0,0,0,100,3
"39","fulvestrant-6965","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"PRR7;TAF1A;DDX31",0,0,0,0,100,3
"40","nitrofural-2459","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"PRR7;CHPF;NFE2L3",0,0,0,0,100,3
"41","securinine-2729","3/100",0.000832937363224714,0.021632228331865,0,0,18.0709520921771,128.133027538084,"NFE2L3;CD3EAP;ETV4",0,0,0,0,100,3
