"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","5109870-904","57/100",1.73228478379242e-22,1.05669371811338e-18,0,0,7.74562553980999,388.11339592791,"TOP2A;CCNF;KIF14;BUB1B;KIF11;MKI67;HOXC11;CDC20;AKAP12;SALL2;NUSAP1;DNMT3B;DLEU2;GTSE1;DLGAP5;SUN2;ELOVL4;NPY1R;KIF23;CIT;ASPM;NEIL3;ARMCX1;PSRC1;CCNE1;KIFC1;DEPDC1;KIF20A;SGK1;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB1;RACGAP1;HIST1H3G;RIBC2;UBE2C;PLK1;HSPA2;BMP4;TPX2;CENPE;KIF18A;CENPF;CXCL12;KIF18B;KIF4A;NMU;HIST1H4C;PTTG3P;SPC25",12.280701754386,7,0,0,100,57
"2","ciclopirox-3317","55/100",9.64355040551675e-21,2.94128287368261e-17,0,0,7.13592974417717,328.88071301425,"TOP2A;ERCC6L;CALML5;HJURP;KIF14;BUB1B;KIF11;MKI67;CDC20;NUSAP1;SCN1B;DLGAP5;RNF43;ACSL4;KIF23;CDC25B;ASPM;ARMCX1;PSRC1;DEPDC1;CKS2;KIF20A;SGK1;SLC26A2;CDCA3;TROAP;CDCA8;GMPR;HMMR;CENPA;NCAPH;AURKB;SLC9A1;AURKA;CCNB1;RACGAP1;GNG7;RRS1;RIBC2;IRX5;UBE2C;PLK1;HSPA2;ACTL8;LRRC20;PDP1;TPX2;CENPE;SLC4A8;KIF18A;CENPF;KIF18B;PRC1;KIF4A;HIST1H4C",12.7272727272727,7,1.81818181818182,1,100,55
"3","etoposide-5027","54/100",6.77417422612331e-20,1.0330615694838e-16,0,0,6.85111944199662,302.398713629043,"GPSM2;ERCC6L;HJURP;KIF14;TCHH;BUB1B;SIX1;KIF11;MKI67;CDC20;PTTG1;NEK2;CEP55;DLGAP5;SUN2;DUSP2;MATK;KIF23;CCNA2;GPRIN2;ASPM;NEIL3;PSRC1;DBF4;ESPL1;DEPDC1;PLEKHO1;KIF20A;KIF20B;PRR11;CDCA3;HIST1H2BJ;TROAP;NCAPG;TTK;HMMR;NCAPH;AURKB;RECQL4;CCNB1;RACGAP1;CEP72;STIL;UBE2C;PLK1;TPX2;CENPE;KIF18A;CENPF;PER3;UBE2S;PRC1;KIF4A;CDKN3",7.40740740740741,4,1.85185185185185,1,100,54
"4","etoposide-3241","54/100",6.77417422612331e-20,1.0330615694838e-16,0,0,6.85111944199662,302.398713629043,"HJURP;KIF14;BUB1B;KIF11;BRCA2;CDC20;CHAC1;CEP55;DLGAP5;TESC;KIF23;KREMEN2;CCNA2;ASPM;NEIL3;RBL1;PSRC1;ESPL1;CLIP4;DEPDC1;KIF2C;KIF20A;DTL;CHRNA5;CDCA3;SMYD5;TROAP;NCAPG;CDCA8;WDR62;HMMR;CENPA;AURKB;LDHB;CCNB1;PARD6A;RIBC2;UBE2C;PLK1;RANBP17;DDX31;LYZ;BMP4;TPX2;CENPE;KIF18A;CENPF;KIF18B;UBE2S;CENPI;PRC1;KIF4A;NMU;CDKN3",7.40740740740741,4,0,0,100,54
"5","0173570-0000-7389","53/100",4.5720735383549e-19,5.57792971679298e-16,0,0,6.57853051204115,277.805751355346,"GPSM2;MOCS3;CLEC10A;IL24;WDR4;HJURP;KIF14;KIF11;GRPR;CDH7;CDC20;SCML2;DNMT3B;DLEU2;DLGAP5;SCARA3;EN2;KIF23;CDC25B;CCNA2;ASPM;PSRC1;DBF4;SETBP1;CLDN14;DEPDC1;CKS2;KIF2C;KIF20A;KIF20B;ST6GALNAC5;OTUB2;TAGLN;CDCA3;CDCA8;HMMR;ADRB2;PBLD;CCNB2;CCNB1;GBX2;PAK3;MPP3;PLK1;TPX2;CENPE;CENPF;CABYR;PRC1;KIF4A;TGFBI;FBXL2;SPC25",9.43396226415094,5,0,0,100,53
"6","monobenzone-5312","52/100",2.96526490086528e-18,3.01468598254637e-15,0,0,6.31739901590571,254.967478126385,"TOP2A;GUCY1B2;KIF14;TESK2;KIF11;CDC20;GHR;PTTG1;NUSAP1;HIST1H1D;LMCD1;DLGAP5;SUN2;SLC6A14;HIST1H2AJ;CKAP2;KIF23;SULT2B1;ASPM;PSRC1;PPP1R3C;DEPDC1;CKS2;KIF20A;KIF20B;CDCA3;HIST1H2BI;TROAP;TTK;HMMR;CENPA;AURKB;AURKA;CCNB2;CCNB1;RACGAP1;HIST1H3G;SMYD3;ECT2;STIL;UBE2C;PLK1;DDX31;ARID3A;TPX2;CENPE;KIF18A;CENPF;HIST3H2A;UBE2S;PMP22;HIST1H4C",5.76923076923077,3,0,0,100,52
"7","quinpirole-2977","51/100",1.84820520038444e-17,1.2526724135939e-14,0,0,6.06702337764207,233.760782197824,"FLT3;WDR3;RRP1;DPY19L2P2;NAT10;ITGAL;WDR43;RRP9;ADAMTS1;MYC;RUVBL1;CTSG;CHAC1;KIF21B;DFFB;BATF3;METTL1;PUS1;IFRD2;CAD;DDX10;URB2;PUS7;KAT2A;RCN1;DKC1;POLR1C;CCDC86;KCNA3;DDX21;PRDM13;SLC1A5;ADRB2;TRHDE;TIMM50;NOL6;EXOSC5;TERT;CLTCL1;CCL4;EIF4EBP1;RRS1;RPP40;NOC3L;WDR12;KBTBD11;RCL1;WT1;PSAT1;IMPDH1;GPD1L",3.92156862745098,2,1.96078431372549,1,100,51
"8","co-dergocrine mesilate-2136","51/100",1.84820520038444e-17,1.2526724135939e-14,0,0,6.06702337764207,233.760782197824,"TTC26;FLT3;WDR3;RRP1;NAT10;DEFB1;ITGAL;RRP9;ADAMTS1;MYC;RUVBL1;CTSG;CHAC1;BATF3;PUS1;IFRD2;SIGMAR1;CD3EAP;DDX10;PUS7;UPB1;PLCB4;CCDC86;ZNF593;PCOLCE2;KCNA3;SEMA3G;DDX21;TXLNG;SLC1A5;ADRB2;NOL6;SRM;EXOSC5;TERT;EIF4EBP1;NTSR1;RPP40;DDX31;HMGA2;PYCR1;NOC3L;WDR12;KBTBD11;INHBE;DHRS9;PSAT1;PSMG1;GPD1L;POLR3K;LGR4",0,0,1.96078431372549,1,100,51
"9","methotrexate-3214","51/100",1.84820520038444e-17,1.2526724135939e-14,0,0,6.06702337764207,233.760782197824,"FKBP10;NPFFR1;MOCS3;DOC2A;KIF14;KIF11;GLI3;CDC20;HIST1H1D;HIST1H1E;HIST1H1B;DLGAP5;HIST1H1C;CDKL3;HIST1H2AL;HIST1H2AJ;MATK;KIF23;KREMEN2;TRAIP;ASPM;PSRC1;DBF4;CKS2;TXNIP;KIF20A;HIST1H2BM;TROAP;CDCA8;HMMR;CENPA;TIMM50;AURKA;CCNB1;HIST1H3G;CLSPN;UBE2C;PLK1;CIDEB;BMP4;TPX2;CYP26A1;CENPE;CENPF;CABYR;UBE2S;CLCF1;MAP6D1;HIST1H4C;CDKN3;SPC25",15.6862745098039,8,0,0,100,51
"10","ciclopirox-5023","50/100",1.10714226547891e-16,6.13960710856484e-14,0,0,5.82675814751286,214.072643185626,"TOP2A;ERCC6L;CCNF;HJURP;KIF14;BUB1B;HOXC13;CDC20;HIST1H1D;DLGAP5;DDX10;KIF23;CIT;ASPM;PSRC1;DBF4;ESPL1;EHHADH;DEPDC1;CKS2;CNGB3;GNB1L;KIF20A;CDCA3;TROAP;NCAPG;CDCA8;PLA2G3;TTK;HMMR;HSD17B11;CENPA;AURKB;AURKA;CCNB1;SLIT2;CNNM4;HOXC6;UBE2C;PLK1;HSPA2;CENPE;KIF18A;SMTN;MEIS1;KIF18B;UBE2S;PRC1;CAMK4;HIST1H4C",8,4,0,0,100,50
"11","Prestwick-983-3141","50/100",1.10714226547891e-16,6.13960710856484e-14,0,0,5.82675814751286,214.072643185626,"IFITM3;ZNF692;FLT3;RRP1;NAT10;ITGAL;MYC;RAC3;CHAC1;BATF3;METTL1;ANXA3;PUS1;IFRD2;URB2;PUS7;GNL3;NME1;DKC1;PTRH2;CCDC86;LTB;FKBP5;CX3CR1;KCNA3;NOLC1;DDX21;PRDM13;ADRB2;SRM;CYP27B1;EXOSC5;TERT;EIF4EBP1;RRS1;FCGR1A;DCAF13;PNO1;RPP40;DDX31;NOC3L;WDR12;KBTBD11;INHBE;BYSL;WT1;PSAT1;IMPDH1;GPD1L;ABCE1",4,2,2,1,100,50
"12","resveratrol-958","47/100",1.87618466613316e-14,6.73219203730132e-12,0,0,5.16090110828042,163.120348548855,"ERCC6L;CDCA3;TROAP;SUV39H1;HJURP;KIF14;BUB1B;CDCA8;LYPD3;TTK;KIF11;MKI67;CENPA;C1ORF112;TIMM50;CDC20;CYP27B1;CCNB1;RACGAP1;NKRF;TAF1A;FBXO5;GTSE1;DLGAP5;ATAD5;UBE2C;SLC6A14;PLK1;CKAP2;KIF23;CCNA2;KAT2B;ASPM;CENPE;KIF18A;KAT2A;CENPF;PSRC1;KIFC1;CENPI;TRAF5;DEPDC1;KIF20B;HIST1H4C;FJX1;LGR4;SPC25",4.25531914893617,2,0,0,97.8723404255319,46
