"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","lycorine-3808","49/100",6.37442127376451e-16,3.88839697699635e-12,0,0,5.59600849942172,195.799122930895,"CITED2;IL24;CXCL3;CLU;CLDN1;CXCL2;ETS2;NR3C2;OASL;AKAP12;DUSP10;ADAMTS1;SOX4;IL11;ARL14;DIO2;TMEM40;AEN;RUNX1;COL4A6;HIST1H2BF;TXNIP;HIST1H2BE;MT1H;HIST1H2BG;SGK1;ST6GALNAC5;HIST1H2BJ;HIST1H2BI;PTGS2;HDAC9;PTHLH;STC2;PMAIP1;ALOXE3;BDNF;CCL20;LIF;INHBA;KLF4;DHRS2;BMP2;IL6;KITLG;HIST3H2A;KRT17;DHRS9;KRT16;HIST1H4H",10.2040816326531,5,0,0,100,49
"2","clozapine-4453","46/100",9.59060770468877e-14,1.95009023328672e-10,0,0,4.95556570616523,148.545099187723,"PGLYRP4;PIGR;NPY6R;ONECUT2;ADH1B;LRP4;MSLN;SLC7A1;CELSR3;FCAR;CALB2;ARVCF;ADAM28;FUT7;CAMKV;GNG4;GRM8;HIST1H3F;CLCA1;CTLA4;ITGB8;MS4A12;RUNX1T1;ARSA;CD52;SVIL;SLC15A1;CADM3;AHSG;SLC11A1;UGT2B17;NRG1;UNC93A;PAX5;RNASE2;SULF1;LAX1;KLK12;CACNB1;PYY;TEF;IRF4;PPP2R2B;ACO2;TOX;HAMP",6.52173913043478,3,0,0,100,46
"3","fluocinonide-3933","46/100",9.59060770468877e-14,1.95009023328672e-10,0,0,4.95556570616523,148.545099187723,"SPON2;SPTBN5;MEGF6;WNT2B;TNXB;SPEF1;AHNAK;FBLN1;TREM2;PRELP;FGF2;SCUBE3;PDLIM3;HIST1H3A;C6;FUT7;EPYC;HYAL3;SIX3;CA7;PLCE1;CA9;SLC17A7;HIST1H3I;CCL18;MAGEA3;EPM2A;FGA;GPR15;CD70;APLP1;NEB;SORBS2;ATP11A;LIME1;FLI1;DCN;RUNX1;CACNB1;PER1;KRT15;B3GNT4;ITGA7;SIGLEC8;SCG2;NOX1",4.34782608695652,2,0,0,100,46
"4","(-)-isoprenaline-4495","45/100",4.71136693301187e-13,5.74786765827448e-10,0,0,4.75778331257783,135.043152237244,"PTPRU;SLC35D1;BCL2A1;EPAS1;ITPR1;STC1;PIK3CD;LYPD3;PTGS2;PTHLH;AKAP12;TRIM29;NPY;CD55;KRT6A;TNS1;INSL4;ZNF343;SERPINB3;IL11;SERPINB2;PTGIS;SERPIND1;TNFSF15;SMOX;IL1R2;TFPI2;AKR1C2;ANXA10;URB1;POU2F2;BAAT;MUC5AC;BMP2;COL3A1;TTLL4;PDE10A;KRT17;ACRV1;UTS2;PADI2;TFF1;S100P;DNASE1L3;PTGES",13.3333333333333,6,0,0,100,45
"5","MS-275-7074","45/100",4.71136693301187e-13,5.74786765827448e-10,0,0,4.75778331257783,135.043152237244,"PTGER4;CPM;RGS17;IL1RN;BEX1;TUBAL3;CITED2;SH2D2A;IL24;STC1;PTGS2;CLU;CLDN1;CXCL5;APOLD1;TRIM9;DUSP10;TRIM29;KYNU;LIPG;ENC1;ENPP2;PLAC1;LMCD1;CD55;KRT6A;CPA4;IL11;FGFBP1;SERPINB2;ARL14;TNFSF15;MMP1;IL1R2;PCDH7;HSPA2;BMP6;MMP10;TUBB2B;MMP13;FABP4;DHRS9;BAMBI;IL1B;TAGLN3",6.66666666666667,3,0,0,100,45
"6","dydrogesterone-4254","44/100",2.22399437593586e-12,1.35663656932088e-09,0,0,4.56714921504377,122.544451893268,"GRB7;TPSB2;CSF1;HPN;SLC2A1;PTPN21;ENO3;BICD1;ACAN;MPZ;TNFSF10;NRIP3;PTK2B;MADCAM1;CCR7;IGF2BP3;DRD2;HIST1H2AB;RUNX1T1;SERPINB3;ARL14;LRRN2;ODAM;SPINK5;HTR1D;MST1;BGN;KRT12;AKR1C2;SDHD;FOXN3;BMP7;PLXDC1;FMO5;RUNX1;MAPK10;TTC9;NR5A2;SLC7A9;DDIT4;KIT;PNPLA3;ITGA7;GAS7",6.81818181818182,3,0,0,100,44
"7","clioquinol-3084","44/100",2.22399437593586e-12,1.35663656932088e-09,0,0,4.56714921504377,122.544451893268,"KCNG1;CDA;SNAP25;C1QA;ADAMDEC1;PRR7;MAOA;MT1M;IL24;MT1X;RASAL1;TNFRSF11B;PTGS2;CELSR3;SLC9A1;OASL;DDN;MT2A;FCGR3B;RELN;FLRT2;PRX;SIX3;INPP5J;PHLDA1;SH3BGR;DRD5;FOXD2;CR1;SERPINB2;TNFSF15;MMP1;SYN3;ETV4;MMP14;VGF;IGLL1;IL1B;MT1F;MT1G;MT1H;CD44;MT1E;PTGES",6.81818181818182,3,0,0,100,44
"8","trichostatin A-3746","44/100",2.22399437593586e-12,1.35663656932088e-09,0,0,4.56714921504377,122.544451893268,"CPM;RGS17;DYRK3;INSIG1;STON1;GMPR;STC1;IL1RAP;OASL;RIMS3;KIF5C;PRKAR2B;ENPP2;MAN1C1;PMAIP1;SLC17A7;RAB6B;LMCD1;EPHB3;PDGFRA;ELOVL4;PCDH9;MMP1;CCL20;PCDH7;USP2;LIFR;BMP6;SYTL2;SQLE;EFNA3;TUBB2B;MMP13;FABP4;BAMBI;SYT11;MAK;DDIT4;AGTR1;ITGA7;TRIM36;MAPT;RGL1;TJP3",6.81818181818182,3,0,0,100,44
"9","alexidine-3699","44/100",2.22399437593586e-12,1.35663656932088e-09,0,0,4.56714921504377,122.544451893268,"TMEM63A;ABCB6;EPAS1;MT1M;IL24;MT1X;SLC7A11;SLC5A2;PTGS2;CXCL2;JPH3;CBS;STC2;SIX3;PMAIP1;CHAC1;CD55;IL11;KCNK10;TNFSF15;CCDC57;ENTPD5;TSC22D3;SPINK5;HSPA6;ASNS;ANXA10;FRMD4B;RUNX1;PCDHGA10;BMP2;IL6;GAP43;KRT17;SCD;KRT16;DDIT4;MT1F;MT1G;MT1H;TRIB3;S100P;CPEB3;MT1E",6.81818181818182,3,0,0,100,44
"10","fluticasone-2928","44/100",2.22399437593586e-12,1.35663656932088e-09,0,0,4.56714921504377,122.544451893268,"CPM;FLT3;SERPINE1;IL24;FPR1;ZBTB20;NCF1C;MT1X;ACACB;AREG;CDH6;POU5F1B;MT2A;PORCN;TRIM29;PRKAR2B;NPTX1;METTL7A;SLAMF1;RPRM;TMOD1;SLC13A3;GSN;EYA1;CCL20;IL1R2;ZBTB16;TSC22D3;RHBDF2;NAP1L2;ANK3;OLFM1;RCAN1;PER1;TNFSF4;CLCF1;KLF9;MT1F;MT1G;MT1H;IL6ST;CES3;FKBP5;MT1E",4.54545454545455,2,0,0,100,44
