"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","etoposide-5027","63/100",2.10201317720895e-31,1.28222803809746e-27,0,0,11.6268739234908,821.290311007559,"ARHGAP11A;GPSM2;ERCC6L;HJURP;KIF14;HMGB2;DYSF;TCHH;BUB1B;SIX1;KIF11;MKI67;KIF15;LMNB1;CDC20;PTTG1;HIST1H2AG;NEK2;CEP55;DLGAP5;DSCAM;MATK;KIF23;NME5;TUBA4B;CCNA2;ASPM;NEIL3;PSRC1;DBF4;ESPL1;DEPDC1;PLEKHO1;KIF20A;KIF20B;CDCA3;HIST1H2BJ;TROAP;NCAPG;TTK;HMMR;NCAPH;AURKB;RECQL4;CCNB1;RACGAP1;HIST1H3B;E2F8;STIL;SPAG5;UBE2C;PLK1;NDC80;TPX2;CENPE;KIF18A;CENPF;PER3;UBE2S;PRC1;KIF4A;TACC3;CDKN3",6.34920634920635,4,1.58730158730159,1,77.7777777777778,49
"2","5109870-904","57/100",2.41884169377238e-25,4.91831144400384e-22,0,0,9.02727173159067,511.677845094648,"TOP2A;CCNF;KIF14;BUB1B;KIF11;MKI67;HOXC11;CDC20;AKAP12;FRAT1;NUSAP1;DNMT3B;DLEU2;A4GALT;GTSE1;DLGAP5;ELOVL4;NPY1R;KIF23;CIT;ASPM;NEIL3;PSRC1;KIFC1;DEPDC1;KIF20A;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB1;RACGAP1;HIST1H3G;E2F8;UBE2C;PLK1;PLEKHA6;NDC80;BMP4;TPX2;CENPE;KIF18A;CENPF;CXCL12;KIF18B;REEP4;KIF4A;NMU;TACC3;PTTG3P;SPC25",12.280701754386,7,0,0,85.9649122807018,49
"3","etoposide-3241","57/100",2.41884169377238e-25,4.91831144400384e-22,0,0,9.02727173159067,511.677845094648,"HIST2H2AA3;HJURP;KIF14;BUB1B;KIF11;BRCA2;LMNB1;CDC20;CHAC1;CEP55;DLGAP5;KIF23;KREMEN2;IL17RB;CCNA2;ASPM;NEIL3;RBL1;PSRC1;ESPL1;CLIP4;DEPDC1;KIF2C;KIF20A;DTL;CHRNA5;CDCA3;TROAP;NCAPG;CDCA8;WDR62;HMMR;CENPA;AURKB;LDHB;CCNB1;PARD6A;GPC3;UBE2C;PLK1;RANBP17;NDC80;BMP4;LOC730101;TPX2;CENPE;KIF18A;CENPF;KIF18B;UBE2S;CENPI;PRC1;KIF4A;NMU;TACC3;MXD3;CDKN3",7.01754385964912,4,0,0,85.9649122807018,49
"4","ciclopirox-5023","48/100",1.93024038447489e-17,2.94361658632421e-14,0,0,6.26082247826479,240.955904880985,"TOP2A;ARHGAP11A;ERCC6L;CDCA3;TROAP;CCNF;HJURP;KIF14;BUB1B;NCAPG;CDCA8;PLA2G3;TTK;HMMR;HOXC13;HSD17B11;CENPA;AURKB;AURKA;CDC20;CCNB1;HIST1H1D;DLGAP5;SGCG;CNNM4;HOXC6;UBE2C;PLK1;KIF23;RAB3IL1;NDC80;OVOL2;CIT;ASPM;CENPE;KIF18A;MEIS1;KIF18B;PSRC1;DBF4;ESPL1;UBE2S;PRC1;CAMK4;DEPDC1;CKS2;GNB1L;KIF20A",6.25,3,0,0,89.5833333333333,43
"5","monobenzone-5312","47/100",1.19421189033267e-16,1.21411542183821e-13,0,0,6.01202295425377,220.424058248737,"TOP2A;ARHGAP11A;CDCA3;HIST1H2BI;TROAP;KIF14;TTK;HMMR;KIF11;CENPA;AURKB;LMNB1;AURKA;CDC20;CCNB2;CCNB1;PTTG1;RACGAP1;NUSAP1;HIST1H1D;METTL4;HIST1H3G;HIST1H2AG;ECT2;DLGAP5;STIL;UBE2C;HIST1H2AJ;PLK1;CKAP2;KIF23;ARID3A;C9ORF40;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;PSRC1;HIST3H2A;UBE2S;DEPDC1;CKS2;TACC3;KIF20A;KIF20B",6.38297872340426,3,0,0,85.1063829787234,40
"6","resveratrol-841","47/100",1.19421189033267e-16,1.21411542183821e-13,0,0,6.01202295425377,220.424058248737,"IPPK;ERCC6L;CDCA3;TROAP;CCNF;HJURP;ARHGAP19;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;MKI67;CENPA;CDC20;CCNB1;PARD6A;RACGAP1;P2RY2;DLEU2;GTSE1;DLGAP5;RPRM;E2F8;PHC1;UBE2C;PLK1;KIF23;HAUS6;NDC80;SNHG3;ASPM;CENPE;CENPF;KIF18B;PSRC1;ASPHD1;CLDN9;KIFC1;MMP15;TRAF5;CDK1;DEPDC1;TACC3;KIF20A;SPC25",6.38297872340426,3,0,0,82.9787234042553,39
"7","resveratrol-958","46/100",7.09996098766747e-16,6.18710886068166e-13,0,0,5.77255293589799,201.353990237697,"ARHGAP11A;ERCC6L;TMEM183A;CDCA3;TROAP;SUV39H1;HJURP;ARHGAP19;KIF14;BUB1B;CDCA8;LYPD3;TTK;KIF11;MKI67;CENPA;C1ORF112;KIF15;LMNB1;CDC20;CYP27B1;CCNB1;RACGAP1;FBXO5;GTSE1;DLGAP5;E2F8;ATAD5;UBE2C;PLK1;CKAP2;KIF23;NDC80;CCNA2;ASPM;CENPE;KIF18A;CENPF;PSRC1;KIFC1;CENPI;TRAF5;DEPDC1;TACC3;KIF20B;SPC25",4.34782608695652,2,0,0,80.4347826086957,37
"8","methotrexate-5000","45/100",4.05601872622699e-15,3.09271427874808e-12,0,0,5.54190340909091,183.650779058873,"TOP2A;ARHGAP11A;GPSM2;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;TTK;HMMR;KIF11;LMNB1;AURKA;CDC20;AKAP12;CCNB1;METTL4;HIST1H1E;ECT2;DLGAP5;STIL;ELOVL4;UBE2C;PLK1;GINS4;CKAP2;KIF23;NDC80;SNHG3;TPX2;ASPM;CENPE;KIF18A;EFNA3;CENPF;MEIS1;PSRC1;DBF4;UBE2S;PRC1;DEPDC1;TACC3;TXNIP;KIF20A",11.1111111111111,5,0,0,88.8888888888889,40
"9","trifluridine-3559","43/100",1.17379364167845e-13,5.50780093402964e-11,0,0,5.10520837613159,151.999233796054,"FKBP10;HIST1H2BI;TROAP;HJURP;KIF14;HMMR;ENO3;HOXC11;CACNA1H;CDC20;CCNB1;HIST1H1D;HIST1H1E;HIST1H3B;SULT4A1;SLC12A8;DLGAP5;SGCG;WLS;HIST1H2AI;ATP8B2;UBE2C;HIST1H2AJ;PLK1;KIF23;RAB3IL1;NDC80;TPX2;ASPM;CENPE;CENPF;KIF18B;PSRC1;ESPL1;UBE2S;MMP15;DEPDC1;TACC3;HIST1H2BH;KIF20A;HIST1H2BG;CCNO;HIST1H4F",4.65116279069767,2,0,0,76.7441860465116,33
"10","ciclopirox-3317","43/100",1.17379364167845e-13,5.50780093402964e-11,0,0,5.10520837613159,151.999233796054,"TOP2A;ARHGAP11A;ERCC6L;CALML5;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;HMMR;KIF11;MKI67;CENPA;NCAPH;AURKB;AURKA;CDC20;CCNB1;RACGAP1;GNG7;NUSAP1;A4GALT;DLGAP5;SGCG;IRX5;UBE2C;PLK1;PLEKHA6;KIF23;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;KIF18B;PSRC1;PRC1;KIF4A;DEPDC1;CKS2;KIF20A",11.6279069767442,5,0,0,88.3720930232558,38
"11","0173570-0000-7389","43/100",1.17379364167845e-13,5.50780093402964e-11,0,0,5.10520837613159,151.999233796054,"IPPK;GPSM2;TAGLN;CDCA3;CLEC10A;HJURP;KIF14;CDCA8;HMMR;KIF11;CDC20;CCNB2;CCNB1;SCML2;GBX2;DNMT3B;HIST1H2AG;DLEU2;PAK3;DLGAP5;GABPA;MPP3;PLK1;EN2;KIF23;NDC80;CCNA2;TPX2;ASPM;CENPE;CENPF;PSRC1;DBF4;PRC1;KIF4A;DEPDC1;CKS2;KIF2C;KIF20A;CENPO;KIF20B;SLC29A2;SPC25",2.32558139534884,1,0,0,86.046511627907,37
"12","resveratrol-622","43/100",1.17379364167845e-13,5.50780093402964e-11,0,0,5.10520837613159,151.999233796054,"TOP2A;CHRNA5;TROAP;KIF14;BUB1B;CDCA8;TTK;KIF11;HOXC11;CDC20;CYP27B1;CCNB1;SCML2;RACGAP1;P2RY2;ZIC1;KPNA2;DLGAP5;GINS1;UBE2C;PLK1;KIF23;ILF2;VANGL1;CCNA2;TPX2;ASPM;CENPE;MELK;KIF18B;PSRC1;DBF4;UBE2S;SLCO4A1;PRC1;KIF4A;DEPDC1;CKS2;TACC3;KIF20A;KIF20B;GPRC5C;EZH2",4.65116279069767,2,0,0,86.046511627907,37
"13","methotrexate-3214","43/100",1.17379364167845e-13,5.50780093402964e-11,0,0,5.10520837613159,151.999233796054,"FKBP10;HIST1H2BM;TROAP;KIF14;CDCA8;HMMR;KIF11;CENPA;AURKA;CDC20;CCNB1;HIST1H1D;HIST1H3G;HIST1H1E;CLSPN;HIST1H1B;DLGAP5;HIST1H2AL;UBE2C;HIST1H2AJ;PLK1;MATK;CIDEB;KIF23;KREMEN2;NDC80;TRAIP;SPATA2L;BMP4;TPX2;ASPM;CENPE;CENPF;PSRC1;DBF4;UBE2S;CKS2;TACC3;TXNIP;KIF20A;HIST1H4F;CDKN3;SPC25",13.953488372093,6,0,0,90.6976744186046,39
