"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","meptazinol-4188","42/100",5.94435895887392e-13,3.62605896491309e-09,0,0,4.89831420614312,137.893244156217,"PLVAP;ELN;KCNA6;CDH4;ADAM28;PLN;CHRNG;DHX34;ERBB4;CLCA2;GPC3;KIF21B;APOB;CACNG2;SSX3;PKNOX2;SOX5;GABRA2;CADM3;SEMA6A;DSCAM;EDN3;CMA1;LMO3;CEP152;NRG1;TRMT1;KIAA1045;SORCS3;SEZ6L;SELE;FABP1;CCKBR;SYT11;LEP;MMRN2;PMP2;MNDA;ALDOB;HAMP;SLC22A7;GART",4.76190476190476,2,0,0,59.5238095238095,25
"2","pepstatin-4790","41/100",2.89080136364583e-12,4.40847207955989e-09,0,0,4.69853777201936,124.837739961924,"IL1RN;HPSE2;KLRB1;KCNC1;TMPRSS6;SIX1;ALOX12B;ZNF204P;SLCO1B1;CDH4;IGHG1;CALD1;AOX1;COL10A1;ZNF423;TPSAB1;KCNH2;GABRA2;CASR;SNRPN;MCAM;HTR1D;BGN;GPR1;RAB3IL1;HSPA12A;TBX5;ESR1;DCN;CACNB1;EFNA3;CEACAM1;FABP3;CLIP4;CLDN17;B9D1;C2ORF72;CARD14;MS4A1;PAPPA2;FOXA2",2.4390243902439,1,0,0,58.5365853658537,24
"3","labetalol-4473","41/100",2.89080136364583e-12,4.40847207955989e-09,0,0,4.69853777201936,124.837739961924,"CD86;C1QB;IGHM;C17ORF53;NNMT;ADH1B;HAAO;MT1X;PTPRH;AIF1;PTHLH;ACAN;ADAM28;RIMS3;ENPP2;HIST1H3F;TNS1;KCNF1;CD52;NTRK2;SPAG8;RBPMS;MAGI2;HSPA6;BTNL3;PLXDC1;DCN;VCX2;STXBP5L;EDAR;SLC2A9;CNKSR2;SULT1B1;MAG;CEACAM1;CEACAM7;MT1F;MNDA;SPRR1A;ZNF334;MT1E",4.8780487804878,2,0,0,65.8536585365854,27
"4","norfloxacin-7283","41/100",2.89080136364583e-12,4.40847207955989e-09,0,0,4.69853777201936,124.837739961924,"ITK;KCNE2;KCNC1;COL14A1;CLEC10A;LAMA4;PTGER3;TNFRSF11B;SGCD;IBSP;CASP5;PRB1;DNAJB5;CXCR2;HIST1H3G;BDKRB1;CCR7;HIST1H3B;CEMP1;CHGA;FCER1G;SPAG8;KCND3;APOC4;KRT12;NRG1;KRT32;CTAG2;LSM4;CYP39A1;CACNB4;SLC6A9;CEACAM7;LY6D;PLCH1;PKP3;MAP3K13;SPRR1A;FGFR2;TJP3;OSBP2",2.4390243902439,1,0,0,51.219512195122,21
"5","pyrithyldione-2740","40/100",1.34968018150772e-11,1.37217485119951e-08,0,0,4.50552306692658,112.766792083251,"HIST1H2BN;KRT81;IL1RN;NLGN1;KCNE2;FHL1;PTGER3;HPR;GRIK2;C8A;RAPGEFL1;AQP1;LMF1;SGCD;CASP5;PRB1;CALD1;SPAG8;RBPMS;CKM;KCND3;HIST1H2AJ;ST8SIA3;CYP3A43;NRG1;AZGP1;CEACAM1;CLDN3;SLC6A9;PPP1R1A;GSTA3;SLCO2A1;ZNF415;PLCH1;PMP2;HAMP;SPRR1A;FGFR2;TJP3;FOXA2",2.5,1,0,0,62.5,25
"6","buflomedil-4258","40/100",1.34968018150772e-11,1.37217485119951e-08,0,0,4.50552306692658,112.766792083251,"GRIA1;SH3GL3;PLVAP;ORM1;FOXE1;CLEC10A;TAT;LMOD1;PIK3C2G;LY9;KLK7;CD79A;CAPN9;B3GALT2;TNFSF11;HIST1H3I;MYOZ2;ARSE;FGB;CD163;HGD;GPR35;NTRK3;SPINK5;CYP3A43;PRRX2;KIF25;GPR37L1;ARHGAP33;SLC9A3;TTC9;COL3A1;MAF;PROC;FAM30A;FETUB;AGXT;DSC1;CD200;SCN2B",2.5,1,0,0,62.5,25
"7","azathioprine-5627","39/100",6.04823296878972e-11,2.63530150782981e-08,0,0,4.31893742892555,101.618852932035,"SH3GL3;EXD3;MAOB;WAS;CEND1;GTDC1;TREM2;LDB3;FPR2;TREM1;PLAU;MCF2L;CCRL2;KIF21B;LY6G6C;NKX2-5;GABRD;HIST1H1B;PRKCB;SH2D3A;PLA2G2A;DIO2;KIF25;HTR3A;SDHD;FRMD4B;SYN2;MUC5AC;BAIAP3;CACNB1;SLCO1C1;SFRP4;VCAN;FCGR2A;CCKBR;ARTN;SLCO2A1;MAP1A;ALOX5AP",10.2564102564103,4,0,0,66.6666666666667,26
"8","glimepiride-4973","39/100",6.04823296878972e-11,2.63530150782981e-08,0,0,4.31893742892555,101.618852932035,"SLC48A1;CNTFR;CSF1R;SPON1;IGSF6;STON1;AKR1B1;STMN4;FBLN1;GLYAT;SMC4;TREM1;THBS1;AIF1;PLAU;CEP250;RRP12;MBNL3;XYLB;PKNOX2;SNCA;KCNH2;CD52;PTGIS;MSX2;LIF;PAX5;MUC3A;RUNX1;BMP5;BAIAP3;VCAN;RAD51;GJB3;ITGA8;SGK2;CCNO;S100A7;FBN1",0,0,0,0,61.5384615384615,24
"9","clozapine-4453","39/100",6.04823296878972e-11,2.63530150782981e-08,0,0,4.31893742892555,101.618852932035,"PGLYRP4;ADH1B;LRP4;MSLN;CELSR3;KHK;CALB2;ADAM28;CAMKV;GNG4;HNF4A;HIST1H3F;CLCA1;ITGB8;MS4A12;SLC17A2;RUNX1T1;CD52;SVIL;SLC15A1;CADM3;SPAG8;NCAPH2;UGT2B17;NRG1;UNC93A;PAX5;RNASE2;LAX1;ESR1;KLK12;CACNB1;PYY;MAP7D3;ANGPTL2;LCP2;TOX;HAMP;CCL27",7.69230769230769,3,0,0,74.3589743589744,29
"10","valproic acid-5574","39/100",6.04823296878972e-11,2.63530150782981e-08,0,0,4.31893742892555,101.618852932035,"DLX2;PDE1C;LAMA4;TGFA;HAB1;ACACB;THBS1;FUT3;DLL3;CD79A;ADAMTS5;RASSF2;CHRNG;LOC390940;DRD2;CLIC2;SSX3;TP63;PTGIS;KIR2DS1;NTRK3;GP2;BGN;NRG1;LILRB3;SLURP1;RUNX1;CNKSR2;CYP2C9;MMP11;CYP24A1;FCGR2A;CDHR2;CLDN17;CD248;RLN1;ALDOB;DZIP1;VGLL3",12.8205128205128,5,0,0,51.2820512820513,20
