"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP007 HT29 24H-PD-0325901-0.04","8/168",6.57782828537674e-10,2.40880071810496e-06,0,0,34.1431034482759,721.858487792074,"BOP1;DSCC1;PPAT;WDR74;CD3EAP;LRP8;EXOSC2;NLE1",0,0,0,0,100,8
"2","LJP006 A375 24H-selumetinib-0.12","7/165",1.91373513594999e-08,2.75646130578697e-05,0,0,29.2478902953587,519.782504529526,"BOP1;DSCC1;PPAT;NFE2L3;CD3EAP;LRP8;ETV4",0,0,0,0,100,7
"3","LJP006 A375 24H-PD-0325901-0.04","7/169",2.25816054542897e-08,2.75646130578697e-05,0,0,28.5199588477366,502.126108202378,"BOP1;DSCC1;PPAT;TAF1A;NFE2L3;CD3EAP;ETV4",0,0,0,0,100,7
"4","LJP006 A375 24H-PD-0325901-3.33","7/190",5.05722202951582e-08,3.7738182936718e-05,0,0,25.2204007285975,423.699287573454,"BOP1;DSCC1;PPAT;RFWD3;NFE2L3;CD3EAP;ETV4",0,0,0,0,100,7
"5","LJP005 HT29 24H-dovitinib-10","6/111",5.15267380348417e-08,3.7738182936718e-05,0,0,36.6046082949309,614.267970783934,"BOP1;NUP155;PPAT;WDR74;EXOSC2;NLE1",0,0,0,0,100,6
"6","LJP006 BT20 24H-GDC-0941-1.11","6/126",1.09864267153506e-07,6.02444164146719e-05,0,0,32.0048387096774,512.846180958953,"BOP1;NUP155;DSCC1;LRP8;EXOSC2;WDR43",0,0,0,0,100,6
"7","LJP005 MCF10A 24H-geldanamycin-0.37","6/127",1.15158633233944e-07,6.02444164146719e-05,0,0,31.7387363369768,507.088369819964,"BOP1;PPAT;CD3EAP;LRP8;EXOSC2;WDR43",0,0,0,0,100,6
"8","LJP005 MCF10A 24H-radicicol-1.11","6/154",3.60758883142694e-07,0.000165137378758568,0,0,25.9132519616391,384.424544394666,"BOP1;DSCC1;PPAT;CD3EAP;EXOSC2;WDR43",0,0,0,0,100,6
"9","LJP006 HT29 24H-PD-0325901-0.12","6/158",4.19582565249521e-07,0.000170723483771527,0,0,25.2262308998302,370.422113584392,"BOP1;DSCC1;PPAT;CD3EAP;LRP8;WDR43",0,0,0,0,100,6
"10","LJP007 HT29 24H-PD-0325901-0.12","6/162",4.86062641325492e-07,0.000177996139253395,0,0,24.5744416873449,357.236897552197,"BOP1;DSCC1;PPAT;WDR74;CD3EAP;NLE1",0,0,0,0,100,6
"11","LJP007 HT29 24H-XMD-885-10","6/165",5.41399202081105e-07,0.000180236716183728,0,0,24.1071211199026,347.844276713935,"BOP1;PPAT;WDR74;CD3EAP;EXOSC2;WDR43",0,0,0,0,100,6
"12","LJP005 A375 24H-PLX-4720-0.37","6/176",7.90396939708523e-07,0.000237865378351665,0,0,22.534724857685,316.629347271944,"BOP1;PPAT;RFWD3;NFE2L3;CD3EAP;ETV4",0,0,0,0,100,6
