"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 HA1E 24H-withaferin-a-10","79/181",2.02854592485871e-24,6.66417907234583e-20,0,0,5.30229534410756,289.265253701727,"FCGBP;PLVAP;CLEC10A;AQP1;SOX2;ZNF204P;CCND2;KIF5C;CCRL2;ZIC1;C3AR1;ENPP2;COL10A1;MS4A12;GPRASP1;PDGFRA;MEF2C;EGFL6;EDN3;LMO3;RNASE6;PCOLCE;KRT5;HIST2H2BE;DCN;VSNL1;CLDN8;SCGB2A1;MT1F;ANGPTL2;TOX;MXRA5;CES2;CD44;CHODL;COL15A1;ADH1C;PDE1A;RGS16;LAMA4;CRABP1;FGL2;HTRA1;TWIST1;CXCR4;VTCN1;PTN;CYP27B1;MUC2;CCL8;OLFML1;CLCA1;PRAME;APOE;ZNF423;PCK1;GPM6B;SPDEF;TFAP2A;CADM1;FOXF2;TMEM30B;ATP2B2;GDF3;KLK10;MEIS2;TF;COL3A1;P2RX5;COL1A2;TMEM158;RCAN2;SSPN;SNAI2;CPE;SPRY1;APBA2;CD200;FGFR2",3.79746835443038,3,0,0,65.8227848101266,52
"2","LJP006 HA1E 24H-A443654-3.33","80/190",1.77665033278039e-23,2.91832583662506e-19,0,0,4.97857785778578,260.801443834913,"FCGBP;PLVAP;SPON1;CLEC10A;FAM107A;STON1;LRMP;AQP1;SOX2;CCND2;CCRL2;C3AR1;ENPP2;COL10A1;TPSAB1;GPRASP1;CCR2;MEF2C;EGFL6;PTGIS;CD93;LMO3;RNASE6;HIST2H2BE;DCN;DKK3;SFRP4;AZGP1;RBP4;VSNL1;IL1B;SCGB2A1;ANGPTL2;TOX;MXRA5;CES2;CD44;COL15A1;PARM1;IGSF6;ADH1B;RGS16;LAMA4;FGL2;STC1;TGFA;CXCR4;PTN;THBS2;CCL8;FRZB;ERBB4;SLAMF8;APOE;ZNF423;PCK1;SPDEF;TFAP2A;FOXF2;TMEM30B;FMO3;KLK10;MEIS2;TF;COL3A1;P2RX5;COL1A2;PTPRC;TMEM158;CILP;RCAN2;NMU;SSPN;SNAI2;CPE;SPRY1;RLN1;TEK;APBA2;CD200",7.5,6,1.25,1,68.75,55
"3","LJP006 HA1E 24H-alvocidib-10","83/212",8.07644550420035e-22,8.84424625679967e-18,0,0,4.40488968395945,213.936330585342,"PLVAP;TREM2;AQP1;MS4A4A;KIF5C;CCRL2;ENPP2;COL10A1;VSIG4;TPSAB1;CLIC2;PDGFRA;MEF2C;EGFL6;MAGI2;CYBB;PCOLCE;DKK3;SFRP4;TYROBP;VSNL1;IL1B;SCGB2A1;COL4A6;ANGPTL2;COL21A1;COL6A3;EFHC2;TOX;MXRA5;C1QB;CHODL;GPM6A;C1QA;IGSF6;PARM1;PCOLCE2;ADH1B;RGS16;NDUFA4L2;HTRA1;TWIST1;STC1;CXCR4;DPT;THY1;PTN;VTCN1;THBS2;CCL8;ERBB4;CCL5;CCL4;SLAMF8;PRAME;APOE;CCL18;SPDEF;P2RY13;CADM1;TMEM30B;NEBL;CCL20;RARRES2;FMO2;CP;ARHGAP25;ESR1;MEIS2;MFAP5;TF;COL3A1;COL1A2;TMEM158;PTPRC;CILP;RCAN2;NMU;COL5A2;SSPN;SDC1;CPE;SPRY1",6.02409638554217,5,1.20481927710843,1,72.289156626506,60
"4","LJP006 HA1E 24H-AT-7519-10","83/222",2.58715298377433e-20,2.12482874557386e-16,0,0,4.08562349169039,184.266292704679,"PCSK1;SPON1;PLVAP;ST6GALNAC2;CLEC10A;AQP9;TREM2;AQP1;TRBC1;CCRL2;ENPP2;COL10A1;VSIG4;TPSAB1;PDGFRA;EGFL6;ADIPOQ;PCOLCE;DKK3;SFRP4;AZGP1;RBP4;TYROBP;IL1B;SCGB2A1;ANGPTL2;COL21A1;COL6A3;CD302;PLIN1;TOX;MXRA5;EPHA3;HIST1H2BC;C1QB;GPM6A;LRRC15;C1QA;CSF1R;IGSF6;PARM1;ADH1B;RGS16;HTRA1;TWIST1;STC1;CXCR4;GLT8D2;DPT;FBLN1;PTN;VTCN1;THBS2;AIF1;HCAR3;CCL8;ERBB4;CCL5;CCL4;SLAMF8;SUSD4;GPM6B;SPDEF;P2RY13;CADM1;CCL20;RARRES2;FMO2;CP;ARHGAP25;ESR1;MEIS2;TF;COL3A1;COL1A2;PTPRC;CILP;RCAN2;NMU;COL5A2;SSPN;SDC1;CPE",6.02409638554217,5,1.20481927710843,1,68.6746987951807,57
"5","LJP006 HA1E 24H-alvocidib-3.33","80/215",1.75834299216252e-19,1.15530167957046e-15,0,0,4.05075174184085,174.930680555907,"PLVAP;IFITM2;AQP9;TREM2;AQP1;CCRL2;ENPP2;COL10A1;TPSAB1;CLIC2;PDGFRA;FCER1G;CERS6;EGFL6;PCOLCE;HIST2H2BE;DCN;DKK3;SFRP4;RBP4;TYROBP;IL1B;SCGB2A1;CDH11;ANGPTL2;COL6A3;CD302;TOX;MXRA5;CD44;C1QB;GPM6A;LRRC15;C1QA;IGSF6;PARM1;CFH;ADH1B;RGS16;FGL2;HTRA1;TWIST1;STC1;CXCR4;DPT;FBLN1;PTN;VTCN1;THBS2;CCL8;ERBB4;CBS;CCL5;CCL4;SLAMF8;SUSD4;GPM6B;SPDEF;CADM1;TMEM30B;NEBL;RARRES2;FMO2;CP;ARHGAP25;MEIS2;SOD3;TF;COL3A1;COL1A2;PTPRC;CILP;SST;RCAN2;NMU;COL5A2;SSPN;CPE;SPRY1;FGFR2",6.25,5,1.25,1,70,56
"6","LJP006 HA1E 24H-CGP-60474-10","72/187",1.24526422689115e-18,6.10737393704861e-15,0,0,4.27113407370535,176.08683007222,"PLVAP;SPON1;ST6GALNAC2;CLEC10A;STON1;TREM2;SOX2;GNLY;ENPP2;COL10A1;CLIC2;CCR2;PDGFRA;MEF2C;EGFL6;FCER1G;PCOLCE;DCN;SFRP4;TYROBP;IL1B;SCGB2A1;COL6A3;ANGPTL2;CD302;MXRA5;CD44;C1QB;CSF1R;C1QA;IGSF6;CFH;ADH1B;RGS16;TMPRSS3;LAMA4;CRABP1;FGL2;HTRA1;GLT8D2;TWIST1;STC1;CXCR4;VTCN1;PTN;THBS2;NID2;AIF1;ADAM28;CCL8;ERBB4;CCL5;SLAMF8;APOE;SPDEF;TFAP2A;TMEM30B;KCNJ15;ARHGAP25;CP;TF;COL3A1;COL1A2;PTPRC;TMEM158;CILP;COL5A2;SSPN;SNAI2;CPE;SPRY1;FGFR2",6.94444444444444,5,1.38888888888889,1,68.0555555555556,49
"7","LJP006 HA1E 24H-alvocidib-0.37","76/204",1.30133987456898e-18,6.10737393704861e-15,0,0,4.05388740608936,166.951801511799,"PLVAP;ST6GALNAC2;AQP9;TREM2;LRMP;AQP1;SOX2;CCND2;CCRL2;C3AR1;ENPP2;COL10A1;VSIG4;CLIC2;PDGFRA;MEF2C;FCER1G;EGFL6;MAGI2;CYBB;DKK3;RBP4;TYROBP;SCGB2A1;CDH11;TXNIP;ANGPTL2;COL21A1;COL6A3;EFHC2;LTB;TOX;MXRA5;C1QB;GPM6A;C1QA;CSF1R;IGSF6;PARM1;PCOLCE2;ADH1B;RGS16;NDUFA4L2;HTRA1;TWIST1;STC1;CXCR4;DPT;FBLN1;PTN;VTCN1;CYP27B1;HCAR3;PDZD2;CCL8;CCL5;CCL4;SLAMF8;APOE;SPDEF;CADM1;RARRES2;FMO2;CP;ARHGAP25;TF;COL3A1;COL1A2;TMEM158;PTPRC;CILP;NMU;COL5A2;SSPN;CPE;SPRY1",3.94736842105263,3,0,0,68.4210526315789,52
"8","LJP006 HA1E 24H-alvocidib-1.11","79/218",1.84957948683342e-18,7.59529816268144e-15,0,0,3.8825680548198,158.531362375192,"PLVAP;IFITM2;ST6GALNAC2;CLEC10A;AQP9;TREM2;AQP1;EDNRA;CCRL2;ENPP2;COL10A1;OLR1;PDGFRA;FCER1G;EGFL6;MAGI2;CYBB;HIST2H2BE;DCN;DKK3;SFRP4;RBP4;TYROBP;SCGB2A1;CDH11;ANGPTL2;COL6A3;CD302;TOX;MXRA5;EPHA3;CD44;C1QB;CHODL;GPM6A;C1QA;IGSF6;PARM1;PCOLCE2;ADH1B;RGS16;HTRA1;TWIST1;STC1;CXCR4;DPT;PTN;HCAR3;PDZD2;CCL8;FRZB;CCL4;SUSD4;APOE;ZNF423;GPM6B;SPDEF;CADM1;FOXF2;RARRES2;FMO2;CP;ARHGAP25;MEIS2;TF;COL3A1;COL1A2;TMEM158;PTPRC;FXYD3;CILP;SST;RCAN2;NMU;COL5A2;SSPN;CPE;SPRY1;FGFR2",7.59493670886076,6,0,0,68.3544303797468,54
"9","LJP006 HA1E 24H-mitoxantrone-3.33","76/207",3.46231336426228e-18,1.26382131825271e-14,0,0,3.96036208983426,159.2247527102,"SPON1;PLVAP;AQP9;TREM2;AQP1;PLAU;CCRL2;ENPP2;COL10A1;PDGFRA;MEF2C;FCER1G;EGFL6;CD93;PCOLCE;DCN;DKK3;SFRP4;AZGP1;TYROBP;SCGB2A1;CDH11;ANGPTL2;COL21A1;COL6A3;CD302;EFHC2;TOX;MXRA5;CD44;C1QB;LRRC15;C1QA;COL15A1;IGSF6;PARM1;CFH;PCOLCE2;ADH1B;RGS16;LAMA4;CRABP1;HTRA1;TWIST1;STC1;CXCR4;DPT;FBLN1;THY1;PTN;AIF1;CCL8;WIF1;PLAGL1;SUSD4;PRAME;GPM6B;SPDEF;CADM1;NEBL;RARRES2;FMO2;CP;ARHGAP25;TF;COL3A1;COL1A2;TMEM158;PTPRC;CILP;RCAN2;NMU;COL5A2;SSPN;CPE;SPRY1",9.21052631578947,7,0,0,69.7368421052632,53
"10","LJP006 HA1E 24H-BMS-387032-3.33","74/201",8.01478223781771e-18,2.63301626076787e-14,0,0,3.97537309021675,156.491531916122,"PCSK1;PLVAP;IFITM2;TREM2;AQP1;EDNRA;CCND2;CCRL2;ENPP2;COL10A1;TPSAB1;PDGFRA;FCER1G;CERS6;EGFL6;MAGI2;CYBB;PCOLCE;DKK3;SFRP4;AZGP1;RBP4;TYROBP;ANGPTL2;COL21A1;COL6A3;EFHC2;TOX;MXRA5;SCG2;CD44;C1QB;GPM6A;C1QA;PARM1;PCOLCE2;ADH1B;RGS16;CRABP1;NDUFA4L2;TWIST1;STC1;CXCR4;GLT8D2;PTN;THBS2;C2;CCL8;FRZB;PLAGL1;CCL5;CCL4;SLAMF8;PRAME;APOE;SPDEF;CADM1;NEBL;CCL20;RARRES2;FMO2;CP;ARHGAP25;MEIS2;TF;COL3A1;COL1A2;TMEM158;PTPRC;RCAN2;NMU;COL5A2;SSPN;CPE",6.75675675675676,5,1.35135135135135,1,71.6216216216216,53
