"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Clotrimazole-89 mg/kg in Corn Oil-Rat-Liver-3d-dn","114/312",1.96453266738704e-13,1.54726592883403e-09,0,0,1.92257098334446,56.2512582299786,"SPON2;SCARB1;SPARC;ACAA2;TFRC;GLDC;PITPNB;HP;C4BPA;ABAT;PHB2;TNF;FADS2;NSDHL;FGF9;IBSP;FCGRT;BANF1;GLUL;FADS1;SLC34A2;IGFBP3;DIO1;SLC6A13;TM4SF4;UPB1;PDIA5;ALDH3A2;CARHSP1;PPP1R3C;RBP1;FETUB;CYP2E1;NPTXR;RAI14;IDI1;CPB2;RETSAT;MAOB;ABCB6;SHMT2;CFI;CREM;HTRA1;PTTG1IP;NREP;C3;SULT1A1;LDHA;PGK1;CD14;PCK1;SDF2L1;HMGA2;INHBE;RCL1;GCLC;AMACR;CYP1A2;ALB;SERPINI2;HRG;NIT2;COX7B;ALAS2;TAT;CROT;HSPB3;ETFB;WFDC2;ALAD;HEBP1;HHEX;CSRP1;CA3;ADAMTS1;CD36;FGB;DUSP2;HMGCS1;TACR1;BAAT;PRODH2;FAHD2A;NIPSNAP1;ACTA2;ACOX1;DPYD;CANX;KIF2C;DNASE1L3;C1QB;ITIH3;MVK;HAAO;HSD17B6;HMGCR;AGPAT2;PTS;CYP17A1;TTN;NT5E;UGP2;CBS;GC;SERPIND1;DHRS1;GCK;GNMT;FABP1;GSTA3;FABP7;CTH;APOC1",9.64912280701754,11,0.87719298245614,1,42.9824561403509,49
"2","Phenylhydrazine-78 mg/kg in Water-Rat-Liver-3d-up","119/335",5.54063107228297e-13,2.18190051626503e-09,0,0,1.86910750116819,52.7490132372029,"SCARB1;TFRC;GLDC;HP;C4BPA;COMT;ETS2;LGALS3;RGS2;FTH1;PDK4;CCNL1;GLUL;BNIP3L;CPT1A;SDS;RPL23;RPS5;SLC6A13;RNASE4;RPSA;TM4SF4;MAT1A;UPB1;PDIA5;PPP1R3C;COL4A1;NINJ1;FETUB;S100A9;SHMT2;CFI;ALOX15;PTTG1IP;C3;SULT1A1;SDCBP;VTN;LDHA;PRDX1;PGK1;HMOX1;CD14;A2M;PCK1;OSBPL9;GSTM1;GADD45A;EEF2;CP;NET1;P4HA1;CYP1A2;ALB;DEGS1;ITM2C;PIGR;BTG2;ORM1;CXCL9;ALAS2;DPYS;HSPB8;TAT;CHD7;CXCL1;YBX1;ETFB;LITAF;ADAMTS1;ENC1;FGB;DSP;ABCC2;APOA2;SIRT5;APOA1;RPS3A;PRODH2;F5;ACTA2;UGDH;PSMA2;NPC2;ACOX1;PCCB;MYH9;LCP1;DNASE1L3;C1QB;C1QA;ITIH3;C1S;SLC20A1;SLC3A2;HSD17B6;HMGCR;PTS;PSMB10;PDLIM1;RELN;HSD17B2;GC;MAPK6;GDF15;GCK;VEGFA;KLF6;FABP4;PSMC4;GSTA3;FABP7;CTH;KLF9;CHPT1;CIAPIN1;VIM;TARDBP;KLKB1",5.88235294117647,7,0.840336134453782,1,42.0168067226891,50
"3","Dexamethasone-1 mg/kg in Corn Oil-Rat-Liver-3d-dn","112/310",7.51931263215788e-13,1.97407020969585e-09,0,0,1.90102774312363,53.069340424997,"SPARC;ACAA2;PITPNB;HP;C4BPA;TMEM97;COMT;FADS2;NSDHL;ALCAM;AKR7A3;PSMD4;IBSP;PSMD2;ANPEP;STMN1;BANF1;GLUL;FADS1;TMPO;IGFBP3;DIO1;SLC6A13;RNASE4;ACSL3;UPB1;CLPX;ALDH3A2;CARHSP1;RBP1;PSME1;PSME2;FETUB;RAB38;CYP2E1;NPTXR;CES1;GNE;NOTCH2;IDI1;CPB2;RETSAT;MAOB;ABCB6;SLC22A1;HTRA1;NREP;C3;VTN;EBP;APOE;SLC38A3;FDFT1;SLC19A2;GCKR;GSTM1;HMGA2;CP;INHBE;SCCPDH;AMACR;FASN;CYP1A2;ALB;GCLM;PIGR;DPYS;SERPINA10;CROT;WFDC2;ALAD;CSRP1;CA3;SLC22A18;CTSC;FGB;DCXR;APOA2;RPS3A;BAAT;PRODH2;FAHD2A;F5;NPC2;ACOX1;CANX;MYH9;DNASE1L3;C1QA;MVK;C1S;PON1;HSD17B6;ABCB11;PTS;PSMB10;SELENBP1;PGRMC1;NT5E;RELN;UGP2;HSD17B2;SERPIND1;DHRS3;GCK;FABP1;NFIB;FABP7;CTH;APOC1;KLKB1;OTC",11.6071428571429,13,0,0,41.0714285714286,46
"4","Fenofibrate-100 mg/kg in Corn Oil-Rat-Liver-1d-dn","109/299",7.84732744944387e-13,1.5451387747955e-09,0,0,1.91817150741004,53.4660253537593,"SCARB1;SPARC;HP;C4BPA;ABAT;TMEM97;COMT;PHB2;NSDHL;ALCAM;AKR7A3;FTH1;GLUL;FADS1;TMPO;RPL23;DIO1;RNASE4;RPSA;MAT1A;UPB1;PDIA5;CARHSP1;PPP1R3C;RBP1;FETUB;CPB2;MAOB;CFI;SLC22A1;HTRA1;PTTG1IP;NREP;C3;SULT1A1;SLC9A3R1;VTN;LDHA;EBP;PGK1;APOE;PCK1;FDFT1;SLC19A2;GSTM1;SDF2L1;CP;ALDH6A1;GCLC;SCCPDH;FASN;CYP1A2;ALB;HRG;GCLM;NIT2;FKBP11;PIGR;SLC25A3;HSPB8;TAT;SERPINA10;WFDC2;FTCD;ASGR2;ALAD;HHEX;CSRP1;SLC22A18;TMED2;CD36;CTSC;FGB;DCXR;APOA2;APOA1;TACR1;BAAT;PRODH2;NIPSNAP1;F5;ACTA2;NPC2;DPYD;CANX;PCCB;MYH9;DNASE1L3;C1QB;C1QA;ITIH3;C1S;AKR1D1;PON1;HSD17B6;HMGCR;AGPAT2;PTS;PGRMC1;NT5E;UGP2;GC;TMEM30A;SERPIND1;GCK;VEGFA;GSTA3;CTH;KLKB1",6.42201834862385,7,0,0,38.5321100917431,42
"5","Ethinylestradiol-1480 mg/kg in Corn Oil-Rat-Liver-1d-dn","110/306",1.74503586660397e-12,2.74878049707457e-09,0,0,1.89148710435678,51.2105871815868,"SCARB1;SPARC;ACAA2;HP;C4BPA;ABAT;COMT;RCBTB2;FADS2;NSDHL;ALCAM;ANPEP;BSG;GLUL;FADS1;CPT1A;IGFBP3;SLC6A13;RNASE4;ACSL3;TM4SF4;SDHD;MAT1A;UPB1;CLPX;PDIA5;ALDH3A2;CARHSP1;PPP1R3C;ETHE1;RBP1;PSME1;TXNIP;FETUB;MASP2;CYP2E1;RPL29;NOTCH2;IDI1;CPB2;RETSAT;MAOB;CFI;PTTG1IP;NREP;C3;SULT1A1;VTN;LDHA;EBP;APOE;FDFT1;SLC19A2;GCKR;CP;RCL1;ALDH6A1;AMACR;FASN;CYP1A2;ECHDC2;HRG;NIT2;ITM2C;PIGR;DPYS;SERPINA10;CROT;ETFB;ASGR2;ALAD;CA3;SLC22A18;CTSC;FGB;DCXR;APOA2;APOA1;BAAT;PRODH2;F5;NPC2;DPYD;CANX;PCCB;DNASE1L3;C1QB;C1QA;ITIH3;MVK;C1S;HSD17B6;ABCB11;PTS;NT5E;RELN;HSD17B2;GC;TMEM30A;SERPIND1;G0S2;DHRS3;GCK;GNMT;FABP1;GSTA3;FABP7;CTH;APOC1;OTC",9.09090909090909,10,0,0,44.5454545454545,49
"6","Fenofibrate-43 mg/kg in Corn Oil-Rat-Liver-5d-dn","107/295",1.83488091137098e-12,2.40858700965964e-09,0,0,1.90850757383204,51.5755879450294,"SCARB1;SPARC;PITPNB;HP;C4BPA;ABAT;TMEM97;COMT;RCBTB2;NSDHL;ALCAM;AKR7A3;IBSP;CLP1;BANF1;TMPO;RPL23;IGFBP3;DIO1;SLC6A13;RNASE4;RPSA;UPB1;PDIA5;MAG;PPP1R3C;FETUB;RAB38;NPTXR;S100A9;NOTCH2;IDI1;CPB2;MAOB;ABCB6;SHMT2;CFI;SLC22A1;HTRA1;NREP;C3;VTN;EBP;PGK1;APOE;CD14;PCK1;SLC38A3;SLC19A2;GSTM1;SDF2L1;GADD45A;HMGA2;CP;INHBE;RCL1;GCLC;FASN;CYP1A2;ALB;SERPINI2;HRG;ITM2C;PIGR;ALAS2;DPYS;SERPINA10;CXCL1;FTCD;ASGR2;ALAD;CSRP1;CA3;SLC22A18;DCXR;APOA2;APOA1;TACR1;BAAT;PRODH2;FAHD2A;F5;UGDH;NPC2;DPYD;CANX;DNASE1L3;C1QB;C1QA;ITIH3;MVK;AKR1D1;PON1;HSD17B6;ABCB11;PSMB10;PGRMC1;NT5E;RELN;UGP2;CEPT1;TMEM30A;SERPIND1;G0S2;GCK;GSTA3;DLC1",10.2803738317757,11,0,0,41.1214953271028,44
"7","Fenofibrate-43 mg/kg in Corn Oil-Rat-Liver-3d-dn","114/322",2.1828679036573e-12,2.45603822988641e-09,0,0,1.86286380994867,50.0186040757364,"SPON2;SCARB1;SPARC;TFRC;HP;C4BPA;ABAT;TMEM97;COMT;RPL10A;PHB2;RCBTB2;NSDHL;AKR7A3;IBSP;STMN1;BANF1;RPL23;DIO1;SLC6A13;RNASE4;RPSA;UPB1;PDIA5;CARHSP1;PPP1R3C;NINJ1;RBP1;VDAC3;FETUB;RAB38;CES1;RAI14;NOTCH2;IDI1;CPB2;MAOB;CFI;SLC22A1;HTRA1;NREP;C3;VTN;PGK1;APOE;CD14;PCK1;FDFT1;SLC19A2;GSTM1;SDF2L1;HMGA2;EEF2;CP;INHBE;ALDH6A1;GCLC;SCCPDH;CYP1A2;ALB;PKIG;HRG;GCLM;PIGR;DPYS;TAT;SERPINA10;HSPB3;FTCD;ALAD;HHEX;CSRP1;TMED2;CTSC;FGB;HMGCS1;DCXR;APOA2;APOA1;TACR1;BAAT;PRODH2;FAHD2A;ACTA2;NPC2;DPYD;CANX;MYH9;DNASE1L3;C1QB;C1QA;ITIH3;MVK;HAAO;AKR1D1;PON1;HSD17B6;HMGCR;AGPAT2;TTN;SELENBP1;PGRMC1;NT5E;UGP2;CBS;CEPT1;GC;SERPIND1;GCK;GNMT;GSTA3;PRC1;CTH;PSMC2",7.01754385964912,8,0.87719298245614,1,35.0877192982456,40
"8","Crotamiton-750 mg/kg in Corn Oil-Rat-Liver-1d-dn","108/300",2.49715975809021e-12,2.45845378183981e-09,0,0,1.89423835832676,50.6062202872905,"SPARC;GLDC;PITPNB;HP;C4BPA;ABAT;FADS2;NSDHL;ALCAM;PLAU;ANPEP;BANF1;OSTF1;GLUL;FADS1;IGFBP3;DIO1;SLC6A13;RNASE4;TM4SF4;MAT1A;UPB1;CLPX;PDIA5;ALDH3A2;PPP1R3C;RBP1;TXNIP;FETUB;RAB38;CYP2E1;NPTXR;RAI14;IDI1;CPB2;RETSAT;SHMT2;CFI;CREM;HTRA1;PTTG1IP;NREP;C3;SULT1A1;VTN;LDHA;EBP;APOE;PCK1;SLC38A3;SLC19A2;GCKR;HMGA2;CP;RCL1;AMACR;FASN;CYP1A2;ALB;SERPINI2;HRG;NIT2;PIGR;COX7B;TAT;CROT;ETFB;ASGR2;ALAD;CA3;ADAMTS1;CTSC;FGB;HMGCS1;APOA2;APOA1;BAAT;PRODH2;ACTA2;NPC2;ACOX1;DPYD;PCCB;HAND1;DNASE1L3;C1QB;C1QA;ITIH3;MVK;C1S;AKR1D1;PON1;HSD17B6;ABCB11;PTS;NT5E;RELN;GC;UBL4A;SERPIND1;DHRS1;GNMT;FABP1;FABP7;CTH;APOC1;KLKB1;OTC",9.25925925925926,10,0,0,44.4444444444444,48
"9","Mifepristone-300 mg/kg in Corn Oil-Rat-Liver-1d-dn","102/278",2.70595281637571e-12,2.36800937575278e-09,0,0,1.93057866256324,51.4220573598773,"ACAA2;HP;C4BPA;TMEM97;COMT;FADS2;NSDHL;ALCAM;FCGRT;GLUL;FADS1;IGFBP3;DIO1;SLC6A13;RNASE4;ACSL3;TM4SF4;MAT1A;UPB1;CLPX;PDIA5;ALDH3A2;CARHSP1;MAG;PPP1R3C;RBP1;FETUB;CYP2E1;NOTCH2;IDI1;CPB2;RETSAT;MAOB;HTRA1;NREP;C3;SULT1A1;VTN;LDHA;EBP;APOE;PCK1;SLC38A3;FDFT1;SLC19A2;GCKR;SDF2L1;CP;RCL1;ALDH6A1;AMACR;FASN;CYP1A2;ALB;ECHDC2;NIT2;PIGR;COX7B;SERPINA10;CROT;ETFB;WFDC2;FTCD;ASGR2;ALAD;CA3;CTSC;FGB;HMGCS1;DCXR;APOA2;BAAT;PRODH2;NPC2;ACOX1;DPYD;CANX;PCCB;C1QA;ITIH3;MVK;C1S;HSD17B6;ABCB11;PTS;CYP17A1;NT5E;RELN;UGP2;GC;TMEM30A;SERPIND1;G0S2;GCK;VEGFA;GNMT;FABP1;FABP7;CTH;APOC1;KLKB1;OTC",6.86274509803922,7,0,0,42.156862745098,43
"10","Simvastatin-15 mg/kg in Corn Oil-Rat-Liver-0.25d-up","112/318",4.9755202465262e-12,3.91871974616404e-09,0,0,1.85320314581234,48.2323753266742,"SPON2;EIF4A1;SCARB1;SPARC;NAB1;C4BPA;GRPR;COMT;RPL10A;TNF;FADS2;NSDHL;IBSP;FTH1;BSG;ADORA1;CHAC1;FADS1;CPT1A;USP3;DIO1;USP2;NPY1R;ADAM10;MAT1A;PSME1;FETUB;S100A4;CYP2E1;NPTXR;GNE;RAI14;CHRNA1;IDI1;POM121;CPB2;RETSAT;SHMT2;CFI;TNFRSF11B;C3;AANAT;MOBP;THPO;GADD45A;HMGA2;CP;EIF2S1;NFKB1;INHBE;ABTB2;AMACR;ALB;SERPINI2;DEGS1;ITM2C;HSPB8;FHL2;HSPB3;C8B;ADRA1B;PKD2;ASGR2;GRM7;ADAMTSL4;CTSH;FGB;ARG1;SIRT5;APOA1;RPS3A;LSR;TACR1;GFRA3;PRODH2;NIPSNAP1;F5;GREM1;PSMA4;SLC7A9;NPC2;DPYD;C1QB;C1QA;ITIH3;MVK;AKR1D1;PON1;HMGCR;PTS;CYP17A1;DLL3;TTN;PGRMC1;HSD17B2;GC;SERPIND1;GDF15;GSS;ATAD2;G0S2;DHRS1;S100B;MYO9A;GCK;FABP1;PSMC4;P2RX2;FABP7;APOC1;PTPN7;FOLR1",8.92857142857143,10,0.892857142857143,1,44.6428571428571,50
