"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Aminosalicylic Acid-2337 mg/kg in CMC-Rat-Liver-5d-dn","96/293",3.55663411200023e-08,0.000280120502661138,0,0,1.68758718101746,28.9452693954636,"PIGR;SPARC;DPYS;GBE1;TAT;C4BPA;TMEM53;ASGR1;FTCD;KHK;GYS2;LIPC;IBSP;CA3;CA5A;ADORA3;SLCO2B1;KYNU;STMN1;AOX1;SLC37A4;ACADS;SULT2A1;GAMT;FGB;SDS;G6PC;DIO1;ABCC6;SLC6A13;MIF;MAT1A;BAAT;KMO;UPB1;PRODH2;AZGP1;TST;ETHE1;PPAP2B;SERPING1;FETUB;MASP2;CYP2E1;CD302;DNASE1L3;SLC27A2;POPDC2;C1QA;PFKFB1;ITIH4;CPB2;ITIH3;DDC;RETSAT;LRP1;SHMT2;SDC2;HAAO;PON1;HTRA1;PTTG1IP;HSD17B6;ABCB11;EGFR;ACAT1;VTN;CD14;PCK1;GC;HAO2;GCKR;PKLR;F10;SRD5A1;GCGR;RARRES2;EPHX2;CIDEB;AGT;GCK;FABP1;GJB1;CXCL12;PROC;AMACR;GSTA3;PAH;FABP7;PXMP2;APOC1;HRG;CDO1;SLC22A7;KLKB1;OTC",9.375,9,1.04166666666667,1,41.6666666666667,40
"2","Fluconazole-394 mg/kg in Corn Oil-Rat-Liver-5d-dn","95/296",1.26104176628582e-07,0.000496598247563354,0,0,1.6530823896263,26.2611271573888,"PIGR;PECR;SPARC;DPYS;PLEKHB1;SERPINA10;CIB2;C4BPA;C4BPB;TMEM53;FTCD;KHK;LIPC;ACADL;CA3;CA5A;SMPD1;SLCO2B1;KYNU;ENPP2;SLC37A4;ACADS;SULT2A1;GAMT;FGB;G6PC;IGFBP3;DIO1;ABCC6;SLC6A13;MAT1A;BAAT;KMO;UPB1;SDHB;PRODH2;F5;AZGP1;TYROBP;TST;PPAP2B;DPYD;SERPING1;FETUB;RAB38;CYP2E1;CD302;DNASE1L3;SLC27A2;POPDC2;C1QA;ITIH4;ENPEP;CPB2;DDC;AHCY;RETSAT;LRP1;SDC2;HAAO;HPN;PON1;HTRA1;ABCB11;C2;CPN1;ACAT1;VTN;HSD17B2;PCK1;HAO2;GCKR;SERPIND1;PKLR;F10;SRD5A1;RARRES2;EPHX2;NR1H4;CIDEB;FMO1;DHRS1;FABP1;RCL1;GJB1;CXCL12;AMACR;GSTA3;PAH;FABP7;PXMP2;APOC1;HRG;SLC22A7;OTC",10.5263157894737,10,1.05263157894737,1,50.5263157894737,48
"3","Allyl Alcohol-32 mg/kg in Saline-Rat-Liver-1d-dn","98/309",1.52066910051603e-07,0.000399226327855476,0,0,1.63354160988859,25.6448802404736,"PECR;SPARC;GLDC;AQP5;LIPC;SLCO2B1;ENPP2;SULT2A1;GAMT;SDS;G6PC;IGFBP3;DIO1;SLC6A13;MAT1A;KMO;UPB1;SDHB;AZGP1;ETHE1;FETUB;CYP2E1;SLC27A2;PFKFB1;ENPEP;CPB2;RETSAT;SHMT2;SDC2;HPN;PTTG1IP;ACAT1;VTN;PCK1;HAO2;GCKR;SRD5A1;RARRES2;EPHX2;CIDEB;RCL1;HAL;GJB1;CXCL12;PROC;AMACR;PAH;PXMP2;HRG;SLC22A7;PIGR;DPYS;GBE1;TAT;SLC2A2;ASGR1;FTCD;KHK;ACADL;CA3;CA5A;KYNU;AOX1;SLC37A4;ACADS;ABCC2;ARG1;ABCC6;BAAT;PRODH2;TST;DPYD;CD302;DNASE1L3;RGNEF;C1QA;ITIH3;DDC;AHCY;HAAO;PON1;HSD17B6;ABCB11;CPN1;HSD17B2;SERPIND1;F10;FMO1;FMO3;DHRS1;AGT;FABP1;GSTA3;FABP7;APOC1;CDO1;KLKB1;OTC",9.18367346938776,9,0,0,52.0408163265306,51
"4","Nafenopin-338 mg/kg in Corn Oil-Rat-Liver-3d-dn","94/296",2.5287792764197e-07,0.000497916639527038,0,0,1.63568152236707,24.8465894756982,"PIGR;ORM1;SPARC;DPYS;GBE1;SERPINA10;SLC2A2;C4BPA;C4BPB;ATP5G1;ASGR1;FTCD;KHK;LIPC;IBSP;CA3;CA5A;SLCO2B1;ENPP1;HAVCR1;SLC37A4;SULT2A1;GAMT;PDIA3;FGB;G6PC;ABCC2;IGFBP3;DIO1;ABCC6;MIF;MAT1A;BAAT;KMO;UPB1;PRODH2;AZGP1;TYROBP;TST;ETHE1;PPAP2B;DPYD;SERPING1;FETUB;RAB38;CYP2E1;CD302;DNASE1L3;C1QA;ITIH4;ENPEP;CPB2;ITIH3;DDC;AHCY;LRP1;C1S;SHMT2;SDC2;HAAO;PON1;HTRA1;ABCB11;AIF1;CPN1;DPP4;VTN;INPP5D;CD14;PCK1;GC;SLC38A3;HAO2;GCKR;SERPIND1;PKLR;F10;SRD5A1;GCGR;RARRES2;NR1H4;CIDEB;FMO1;RCL1;HAL;CXCL12;AMACR;PAH;PXMP2;APOC1;HRG;CDO1;KLKB1;OTC",11.7021276595745,11,1.06382978723404,1,51.063829787234,48
"5","Carbon Tetrachloride-3178 mg/kg in Saline-Rat-Liver-1d-dn","88/274",3.49189364602311e-07,0.00055004308712156,0,0,1.65422551229296,24.5944483694052,"PIGR;SPARC;DPYS;GBE1;SERPINA10;TMEM53;ASGR1;FTCD;KHK;LIPC;ACADL;IBSP;CA3;CA5A;SLCO2B1;KYNU;ENPP2;AOX1;SLC37A4;ACADS;XYLB;SULT2A1;GAMT;DIO1;ABCC6;SLC6A13;MIF;MAT1A;BAAT;KMO;UPB1;SDHB;PRODH2;AZGP1;TST;ETHE1;DPYD;SERPING1;FETUB;CYP2E1;CD302;DNASE1L3;SLC27A2;PFKFB1;CPB2;ITIH3;DDC;AHCY;RETSAT;LRP1;SDC2;HAAO;AKR1D1;PON1;MRPL16;HSD17B6;ABCB11;ACAT1;DPP4;VTN;HSD17B2;HAO2;TRAP1;GCKR;SERPIND1;PKLR;F10;SRD5A1;RARRES2;NR1H4;CIDEB;FMO1;DHRS1;FABP1;GJB1;CXCL12;PROC;AMACR;GSTA3;PAH;FABP7;PXMP2;APOC1;HRG;CDO1;SLC22A7;KLKB1;OTC",9.09090909090909,8,1.13636363636364,1,44.3181818181818,39
"6","Miconazole-920 mg/kg in Corn Oil-Rat-Liver-5d-dn","94/302",6.93074547667707e-07,0.000909775856238477,0,0,1.60318453847899,22.7365687670333,"PIGR;PECR;DPYS;GBE1;C4BPA;C4BPB;TMEM53;ATP5G1;ASGR1;FTCD;KHK;LIPC;CA3;CA5A;SLCO2B1;KYNU;SLC37A4;ACADS;SULT2A1;GAMT;FGB;G6PC;DIO1;ABCC6;SLC6A13;MAT1A;BAAT;UPB1;SDHB;PRODH2;AZGP1;TST;ETHE1;PPAP2B;DPYD;SERPING1;FETUB;MASP2;CYP2E1;CD302;DNASE1L3;SLC27A2;C1QA;ITIH4;CPB2;ITIH3;DDC;AHCY;RETSAT;LRP1;SDC2;HAAO;HPN;AKR1D1;PON1;MRPL16;HSD17B6;ABCB11;CPN1;VTN;HSD17B2;PCK1;GC;SLC38A3;HAO2;TRAP1;GCKR;SERPIND1;PKLR;F10;SRD5A1;RARRES2;EPHX2;NR1H4;CIDEB;FMO5;GCK;FABP1;RCL1;HAL;GJB1;CXCL12;PROC;AMACR;GSTA3;PAH;FABP7;PXMP2;APOC1;HRG;CDO1;SLC22A7;KLKB1;OTC",7.4468085106383,7,1.06382978723404,1,46.8085106382979,44
"7","Crotamiton-750 mg/kg in Corn Oil-Rat-Liver-1d-dn","92/300",1.84135109501482e-06,0.0020717830320481,0,0,1.57953472401064,20.8577733502126,"PIGR;SPARC;GLDC;TAT;C4BPA;C4BPB;KHK;LIPC;ACADL;CA3;ADAMTS1;SMPD1;SLCO2B1;KYNU;OSTF1;SLC37A4;SULT2A1;FGB;G6PC;IGFBP3;DIO1;ABCC6;SLC6A13;TM4SF4;MAT1A;BAAT;UPB1;SDHB;PRODH2;ACTA2;AZGP1;TST;PPAP2B;DPYD;SERPING1;FETUB;RAB38;CYP2E1;CD302;VAMP4;DNASE1L3;SLC27A2;C1QA;ITIH4;CPB2;ITIH3;RETSAT;LRP1;C1S;SHMT2;SDC2;AKR1D1;PON1;HTRA1;PTTG1IP;HSD17B6;ABCB11;CPN1;VTN;MGAT3;PCK1;GC;SLC38A3;HAO2;GCKR;SERPIND1;PKLR;F10;SRD5A1;RARRES2;EPHX2;NR1H4;CIDEB;FMO1;DHRS1;FABP1;RCL1;HAL;GJB1;CXCL12;PROC;AMACR;PAH;FABP7;PXMP2;GNB1;APOC1;HRG;CDO1;SLC22A7;KLKB1;OTC",10.8695652173913,10,2.17391304347826,2,48.9130434782609,45
"8","1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-3d-dn","83/264",1.94549833583907e-06,0.00191534311163356,0,0,1.61933525312356,21.2942462714844,"PIGR;PECR;DPYS;GBE1;TAT;ICAM2;SLC2A2;PCSK7;FTCD;CA3;CA5A;SMPD1;ADORA3;SLCO2B1;KYNU;ENPP2;SLC37A4;XYLB;SULT2A1;GAMT;SDS;G6PC;ABCC2;ARG1;PGAM1;IGFBP3;DIO1;ABCC6;SLC6A13;RPS3A;MAT1A;PRODH2;F5;AZGP1;TST;ETHE1;PPAP2B;DPYD;SERPING1;FETUB;CYP2E1;CD302;SLC27A2;POPDC2;ENPEP;CPB2;DDC;AHCY;RETSAT;ANP32A;LRP1;HAAO;AKR1D1;PON1;HSD17B6;EGFR;VTN;HSD17B2;PCK1;SLC38A3;HAO2;GCKR;SERPIND1;SRD5A1;NR1H4;CIDEB;FMO1;FMO3;NR0B2;FMO5;ZFHX4;RCL1;HAL;GJB1;CXCL12;PAH;FABP7;NEDD4;APOC1;HRG;CDO1;KLKB1;OTC",12.0481927710843,10,1.20481927710843,1,48.1927710843374,40
"9","Ethinylestradiol-1480 mg/kg in Corn Oil-Rat-Liver-1d-dn","93/306",2.48137469575475e-06,0.00217147856708494,0,0,1.56539566637884,20.2040888637392,"PIGR;PECR;SPARC;DPYS;SERPINA10;C4BPA;C4BPB;TMEM53;CTSS;ASGR1;KHK;LIPC;ACADL;CA3;SMPD1;SLCO2B1;KYNU;SLC37A4;SULT2A1;GAMT;PDIA3;FGB;G6PC;IGFBP3;ABCC6;SLC6A13;TM4SF4;MAT1A;BAAT;KMO;UPB1;SDHB;PRODH2;F5;AZGP1;TYROBP;TST;ETHE1;PPAP2B;DPYD;SERPING1;FETUB;MASP2;CYP2E1;CD302;DNASE1L3;SLC27A2;C1QA;ITIH4;CPB2;ITIH3;DDC;AHCY;RETSAT;LRP1;C1S;SDC2;PTTG1IP;HSD17B6;ABCB11;AIF1;EGFR;C2;CPN1;VTN;HSD17B2;STAP2;GC;GCKR;SERPIND1;F10;SRD5A1;RARRES2;NR1H4;CIDEB;FMO1;FMO5;GCK;FABP1;RCL1;GJB1;CXCL12;PROC;AMACR;GSTA3;PAH;FABP7;PXMP2;APOC1;HRG;CDO1;SLC22A7;OTC",11.8279569892473,11,1.0752688172043,1,49.4623655913978,46
"10","Carbamazepine-490 mg/kg in CMC-Rat-Liver-3d-dn","90/294",2.57254085939333e-06,0.00202613318085819,0,0,1.5767316455297,20.2935083112966,"PIGR;SPARC;DPYS;TAT;C4BPA;C4BPB;ASGR1;KHK;LIPC;ACADL;IBSP;CA3;SMPD1;ADORA3;SLCO2B1;KYNU;ENPP1;OSTF1;SLC37A4;SULT2A1;FGB;SLC34A2;SDS;G6PC;IGFBP3;DIO1;ABCC6;PCOLCE;TM4SF4;MAT1A;BAAT;UPB1;SDHB;PRODH2;F5;AZGP1;TYROBP;TST;COL4A1;PPAP2B;DPYD;SERPING1;FETUB;CYP2E1;CD302;DNASE1L3;POPDC2;C1QA;ITIH4;ENPEP;CPB2;ITIH3;LRP1;C1S;SDC2;PON1;HTRA1;PTTG1IP;HSD17B6;ABCB11;AIF1;EGFR;VTN;INPP5D;HSD17B2;HAO2;GCKR;SERPIND1;PKLR;F10;SRD5A1;RARRES2;EPHX2;CIDEB;FMO1;FMO5;ZFHX4;FABP1;HAL;GJB1;CXCL12;AMACR;BMP1;PAH;FABP7;APOC1;HRG;CDO1;KLKB1;OTC",13.3333333333333,12,1.11111111111111,1,52.2222222222222,47
