"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Allyl Alcohol-32 mg/kg in Saline-Rat-Liver-1d-dn","84/309",1.10502331306461e-08,8.70316361369686e-05,0,0,1.83369079388988,33.594708539397,"PIGR;SPARC;ACAA2;TAT;QPRT;SLC2A2;AQP5;COMT;ASGR1;FADS2;NSDHL;LIPC;SCP2;KYNU;ENPP2;AOX1;ACADM;ACADS;SULT2A1;CPT1A;G6PC;ABCC2;IGFBP3;MST1;APOA2;ACSL4;SDHD;MAT1A;BAAT;UPB1;AZGP1;PPP1R3C;POLG2;TST;ACOX1;ETHE1;EHHADH;RBP1;DPYD;TXNIP;CD302;DNASE1L3;C1QA;ENPEP;AHCY;RETSAT;MAOB;SHMT2;GLS2;HPN;CFI;HSD17B6;ABCB11;PAPSS2;CPN1;ACAT1;SULT1A1;PRDX4;RELN;UGP2;HSD17B2;PCK1;SLC19A2;GCKR;GSTM1;SERPIND1;EPHX2;CIDEB;G0S2;FMO1;FMO3;AGT;GNMT;INHBE;FABP1;RCL1;HAL;CXCL12;FASN;PAH;PXMP2;CDO1;NIT2;OTC",11.9047619047619,10,0,0,100,84
"2","Indomethacin-5 mg/kg in Corn Oil-Rat-Liver-3d-dn","80/310",2.6954932041287e-07,0.00106148522378588,0,0,1.74073872599684,26.3313095033338,"PIGR;ACAA2;TAT;SLC2A2;CROT;COMT;WFDC2;FADS2;NSDHL;LIPC;IBSP;ANPEP;KYNU;ENPP2;ME1;AOX1;ACADM;ACADS;PDK2;FADS1;SULT2A1;G6PC;ABCC2;IGFBP3;APOA2;ACSL4;MIF;MAT1A;BAAT;UPB1;ACTA2;UGDH;AZGP1;PPP1R3C;TST;ACOX1;ETHE1;EHHADH;DPYD;HAND1;NPTXR;POPDC2;ENPEP;AHCY;RETSAT;MAOB;SHMT2;GLS2;SLC22A1;ABCB11;PAPSS2;ACAT1;SULT1A1;SELENBP1;UGP2;CBS;PERP;HSD17B2;PGK1;TRAP1;GCKR;GSTM1;EPHX2;NR1H4;CIDEB;G0S2;FMO1;HMGA2;FMO3;NR0B2;GNMT;FABP1;HAL;FASN;PAH;PXMP2;KLF9;CDO1;NIT2;OTC",12.5,10,0,0,100,80
"3","Fluconazole-394 mg/kg in Corn Oil-Rat-Liver-5d-dn","77/296",3.17513874331488e-07,0.000833579758078267,0,0,1.75470580192334,26.2552142725552,"PIGR;GUCY1B2;SPARC;ACAA2;PLEKHB1;SERPINA10;C4BPB;COMT;WFDC2;FADS2;NSDHL;LIPC;SCP2;ANPEP;SMPD1;KYNU;ENPP2;CTSH;ACADM;ACADS;FADS1;SULT2A1;FGB;CPT1A;G6PC;IGFBP3;MAT1A;BAAT;UPB1;F5;AZGP1;PPP1R3C;TST;ACOX1;EHHADH;RBP1;DPYD;CD302;DNASE1L3;POPDC2;C1QA;ENPEP;AHCY;RETSAT;MAOB;ABCB6;GLS2;HPN;CFI;ABCB11;C2;CPN1;ACAT1;SULT1A1;PRDX4;UGP2;HSD17B2;FLNA;PCK1;SLC19A2;GCKR;SERPIND1;EPHX2;NR1H4;CIDEB;G0S2;FMO1;HMGA2;GNMT;FABP1;RCL1;CXCL12;PC;PAH;PXMP2;NIT2;OTC",12.987012987013,10,0,0,100,77
"4","Clotrimazole-52 mg/kg in Corn Oil-Rat-Liver-1d-dn","73/280",5.80561507467042e-07,0.0011431256082026,0,0,1.75861238255842,25.2523901766954,"PIGR;SPARC;ACAA2;TAT;SLC2A2;C4BPB;CROT;HSPB3;ASGR1;FADS2;NSDHL;LIPC;SCP2;ADAMTS1;KYNU;BSG;CTSF;ACADM;SULT2A1;FGB;DUSP2;G6PC;IGFBP3;APOA2;ACSL4;TM4SF4;MAT1A;BAAT;AZGP1;PPP1R3C;POLG2;TST;LACTB2;SLC7A9;ACOX1;EHHADH;DPYD;CD302;POPDC2;ENPEP;RETSAT;GLS2;CFI;HSD17B6;PAPSS2;SULT1A1;PRDX4;RELN;UGP2;HSD17B2;SLC25A20;PCK1;SLC38A3;GCKR;SERPIND1;CIDEB;FMO1;HMGA2;NR0B2;FMO5;GNMT;INHBE;FABP1;RCL1;HAL;CXCL12;PC;PAH;PXMP2;KLF9;CDO1;NIT2;OTC",8.21917808219178,6,0,0,100,73
"5","Nafenopin-338 mg/kg in Corn Oil-Rat-Liver-3d-dn","76/296",6.57204953397107e-07,0.00103522924259112,0,0,1.73191741488537,24.6543118691116,"PIGR;ORM1;GUCY1B2;SPARC;SERPINA10;SLC2A2;C4BPB;COMT;ASGR1;LIPC;SCP2;CSRP1;IBSP;ENPP1;SULT2A1;FGB;G6PC;ABCC2;IGFBP3;MST1;APOA2;APOA1;MIF;MAT1A;BAAT;UPB1;UGDH;AZGP1;PPP1R3C;TST;ETHE1;RBP1;DPYD;CD302;DNASE1L3;C1QA;ENPEP;AHCY;MAOB;SHMT2;GLS2;CFI;SLC22A1;ABCB11;AIF1;PAPSS2;CPN1;SULT1A1;SELENBP1;SLC9A3R1;PRDX4;RELN;UGP2;CBS;INPP5D;A2M;PCK1;SLC38A3;SLC19A2;GCKR;SERPIND1;NR1H4;CIDEB;G0S2;FMO1;CP;GNMT;RCL1;HAL;CXCL12;FASN;PAH;PXMP2;CDO1;NIT2;OTC",10.5263157894737,8,0,0,100,76
"6","Azathioprine-20 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","72/278",9.04165657838958e-07,0.00118686812018994,0,0,1.74700037609036,24.3116996501991,"PIGR;ORM1;SPARC;ACAA2;SERPINA10;CROT;CLU;ASGR1;LIPC;SCP2;IBSP;CPT2;PLAU;SMPD1;BSG;CTSH;AOX1;ACADM;ACADS;FADS1;SULT2A1;FGB;CPT1A;DUSP2;G6PC;MST1;ACSL4;SDHD;MAT1A;AZGP1;PPP1R3C;ACOX1;EHHADH;TXNIP;SMPDL3A;POPDC2;AHCY;RETSAT;HPN;CFI;HSD17B6;AKAP4;C2;ACAT1;SULT1A1;PRDX4;RELN;UGP2;PERP;HSD17B2;PGK1;SLC25A20;PCK1;SERPIND1;GDF15;EPHX2;NR1H4;CIDEB;G0S2;FMO1;HMGA2;FMO3;S100B;CP;AGT;INHBE;FABP1;CXCL12;PXMP2;CRAT;ITM2C;OTC",5.55555555555556,4,0,0,100,72
"7","Acetaminophen-972 mg/kg in Corn Oil-Rat-Liver-5d-dn","79/315",1.09254968627543e-06,0.00122927447558647,0,0,1.69169410316122,23.2218789174232,"PIGR;ORM1;GUCY1B2;SPARC;ACAA2;TAT;SERPINA10;SLC2A2;C4BPB;CROT;COMT;WFDC2;ASGR1;FADS2;NSDHL;LIPC;SCP2;CSRP1;KYNU;CD36;ACADM;FADS1;SULT2A1;FGB;IGFBP3;APOA2;TM4SF4;SDHD;MAT1A;BAAT;UPB1;F5;ACTA2;AZGP1;POLG2;TST;ACOX1;ETHE1;EHHADH;RBP1;DPYD;TXNIP;CD302;DNASE1L3;C1QA;AHCY;MAOB;SHMT2;CFI;HSD17B6;ABCB11;PAPSS2;CPN1;SULT1A1;PLAC8;PRDX4;HSD17B2;FLNA;SLC25A20;PCK1;SLC19A2;GCKR;SERPIND1;NR1H4;FMO1;FMO3;CP;GNMT;FABP1;RCL1;HAL;CXCL12;FASN;PAH;PXMP2;CDO1;NIT2;ITM2C;OTC",11.3924050632911,9,0,0,100,79
"8","Ethinylestradiol-1480 mg/kg in Corn Oil-Rat-Liver-1d-dn","77/306",1.2949225896574e-06,0.00127485128951771,0,0,1.6973624750631,23.0112443066998,"PIGR;GUCY1B2;SPARC;ACAA2;SERPINA10;C4BPB;CROT;COMT;ASGR1;FADS2;NSDHL;LIPC;SCP2;ANPEP;SMPD1;KYNU;BSG;CTSF;ACADM;FADS1;SULT2A1;FGB;CPT1A;G6PC;IGFBP3;APOA2;APOA1;TM4SF4;SDHD;MAT1A;BAAT;UPB1;F5;AZGP1;PPP1R3C;TST;ETHE1;EHHADH;RBP1;DPYD;TXNIP;CD302;DNASE1L3;C1QA;AHCY;RETSAT;MAOB;CFI;HSD17B6;ABCB11;AIF1;PAPSS2;C2;CPN1;SULT1A1;RELN;HSD17B2;SLC19A2;GCKR;SERPIND1;NR1H4;CIDEB;G0S2;FMO1;CP;FMO5;GNMT;FABP1;RCL1;CXCL12;FASN;PAH;PXMP2;CDO1;NIT2;ITM2C;OTC",11.6883116883117,9,0,0,100,77
"9","Norethindrone-375 mg/kg in Corn Oil-Rat-Liver-1d-dn","75/299",2.00832832882875e-06,0.00175751043531725,0,0,1.69198057606299,22.1957528904019,"ACAA2;TAT;SERPINA10;ECE1;C4BPB;TMEM97;COMT;WFDC2;ASGR1;FADS2;NSDHL;LIPC;CSRP1;ANPEP;AOX1;CTSF;ACADM;FADS1;SULT2A1;FGB;G6PC;IGFBP3;APOA2;APOA1;MAT1A;BAAT;UPB1;AZGP1;PPP1R3C;POLG2;TST;SLC7A9;ACOX1;EHHADH;RBP1;DPYD;RDH5;CD302;DNASE1L3;POPDC2;C1QA;AHCY;RETSAT;ABCB6;GLS2;HPN;CFI;SLC22A1;HSD17B6;AIF1;PAPSS2;C2;CPN1;ACAT1;SULT1A1;RELN;INPP5D;A2M;PCK1;SLC38A3;SLC19A2;SERPIND1;NR1H4;HMGA2;CP;FMO5;GNMT;INHBE;FABP1;RCL1;CXCL12;PC;FASN;PAH;CRAT",8,6,0,0,100,75
"10","Carbon Tetrachloride-3178 mg/kg in Saline-Rat-Liver-1d-dn","70/274",2.16529788227324e-06,0.00170538861207841,0,0,1.72326780812644,22.4765003660884,"PIGR;GUCY1B2;SPARC;ACAA2;SERPINA10;COMT;WFDC2;ASGR1;FADS2;NSDHL;LIPC;SCP2;IBSP;KYNU;BSG;ENPP2;AOX1;ACADM;ACADS;FADS1;SULT2A1;APOA2;APOA1;ACSL4;MIF;SDHD;MAT1A;BAAT;UPB1;AZGP1;PPP1R3C;TST;ACOX1;ETHE1;EHHADH;RBP1;DPYD;CD302;DNASE1L3;AHCY;RETSAT;MAOB;GLS2;CFI;SLC22A1;HSD17B6;ABCB11;ACAT1;SULT1A1;SELENBP1;UGP2;HSD17B2;SLC19A2;TRAP1;GCKR;GSTM1;SERPIND1;NR1H4;CIDEB;G0S2;FMO1;GNMT;FABP1;CXCL12;FASN;PAH;PXMP2;CDO1;NIT2;OTC",14.2857142857143,10,0,0,100,70
