"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Allyl Alcohol-32 mg/kg in Saline-Rat-Liver-1d-dn","81/309",2.8882345269261e-10,2.274773513407e-06,0,0,2.01255986433856,44.2062910109544,"SPARC;TAT;QPRT;SLC2A2;AQP5;ASGR1;FTCD;KHK;ASGR2;LIPC;ACADL;CA3;CA5A;SLCO2B1;ENPP2;AOX1;ACADM;ACADS;SULT2A1;SDS;G6PC;ABCC2;IGFBP3;ABCC6;SDHD;MAT1A;BAAT;PRODH2;AZGP1;POLG2;TST;TXNIP;FETUB;CD302;APCS;C1QA;PFKFB1;ENPEP;CPB2;ITIH3;DDC;AHCY;MAOB;SHMT2;GLS2;HAAO;HPN;PON1;MRPL15;HSD17B6;ABCB11;CPN1;ACAT1;APOE;PCK1;GCKR;GSTM1;SERPIND1;F10;RARRES2;EPHX2;CIDEB;FMO1;FMO3;DHRS1;AGT;GNMT;INHBE;FABP1;HAL;GJB1;CXCL12;PROC;GSTA3;PAH;FABP7;PXMP2;ECHDC2;CDO1;SLC22A7;OTC",8.64197530864197,7,0,0,64.1975308641975,52
"2","Carbon Tetrachloride-3178 mg/kg in Saline-Rat-Liver-1d-dn","69/274",3.39795030459209e-08,0.000133811282994836,0,0,1.93339591184835,33.2495923295715,"SPARC;SERPINA10;TMEM53;ASGR1;FTCD;KHK;ASGR2;LIPC;ACADL;IBSP;CA3;CA5A;SLCO2B1;ENPP2;AOX1;ACADM;ACADS;XYLB;SULT2A1;ABCC6;APOA1;SDHD;MAT1A;BAAT;PRODH2;AZGP1;TST;FETUB;CD302;APCS;PFKFB1;CPB2;ITIH3;DDC;AHCY;MAOB;GLS2;HAAO;AKR1D1;PON1;MRPL15;HSD17B6;ABCB11;ACAT1;APOE;TRAP1;GCKR;GSTM1;SERPIND1;PKLR;F10;RARRES2;NR1H4;CIDEB;FMO1;DHRS1;GNMT;FABP1;GJB1;CXCL12;PROC;GSTA3;PAH;FABP7;PXMP2;ECHDC2;CDO1;SLC22A7;OTC",7.2463768115942,5,0,0,53.6231884057971,37
"3","Aminosalicylic Acid-2337 mg/kg in CMC-Rat-Liver-5d-dn","71/293",1.12434207049401e-07,0.000295177271573694,0,0,1.86042855364782,29.7685268024893,"ALAS2;SPARC;TAT;TMEM53;ASGR1;FTCD;KHK;ASGR2;LIPC;IBSP;CA3;CA5A;SLCO2B1;STMN1;AOX1;ACADM;ACADS;SULT2A1;FGB;SDS;G6PC;ABCC6;MAT1A;BAAT;PRODH2;AZGP1;POLG2;TST;FETUB;MASP2;CD302;APCS;C1QA;PFKFB1;CPB2;ITIH3;DDC;SHMT2;GLS2;HAAO;PON1;HTRA1;HSD17B6;ABCB11;EGFR;ACAT1;CBS;PCK1;GC;GCKR;PKLR;F10;GCGR;RARRES2;EPHX2;CIDEB;CP;AGT;GNMT;FABP1;GJB1;CXCL12;PROC;GSTA3;PAH;FABP7;PXMP2;ECHDC2;CDO1;SLC22A7;OTC",7.04225352112676,5,0,0,52.112676056338,37
"4","Carbamazepine-490 mg/kg in CMC-Rat-Liver-3d-dn","71/294",1.29642268069196e-07,0.000255265625828248,0,0,1.8541005653701,29.4032296452956,"ALAS2;SPARC;TAT;C4BPB;ASGR1;KHK;ASGR2;LIPC;ACADL;IBSP;CA3;ANPEP;SMPD1;SLCO2B1;ENPP1;ACADM;SULT2A1;FGB;SLC34A2;SDS;G6PC;IGFBP3;ABCC6;APOA1;PCOLCE;TM4SF4;MAT1A;BAAT;PRODH2;AZGP1;TYROBP;TST;COL4A1;FETUB;CD302;C1QB;APCS;C1QA;ENPEP;CPB2;ITIH3;GLS2;PON1;HTRA1;MRPL15;HSD17B6;ABCB11;AIF1;EGFR;INPP5D;APOE;GCKR;SERPIND1;PKLR;F10;RARRES2;EPHX2;CIDEB;FMO1;CP;FMO5;ZFHX4;GNMT;FABP1;HAL;GJB1;CXCL12;PAH;FABP7;CDO1;OTC",8.45070422535211,6,0,0,61.9718309859155,44
"5","Ethinylestradiol-1480 mg/kg in Corn Oil-Rat-Liver-1d-dn","73/306",1.45890176511142e-07,0.000229806206040352,0,0,1.83157076010187,28.8296778472748,"SPARC;SERPINA10;C4BPB;TMEM53;ASGR1;KHK;ASGR2;LIPC;ACADL;CA3;ANPEP;SMPD1;SLCO2B1;CTSF;ACADM;SULT2A1;FGB;G6PC;IGFBP3;ABCC6;APOA1;TM4SF4;SDHD;MAT1A;BAAT;PRODH2;AZGP1;TYROBP;TST;TXNIP;FETUB;MASP2;CD302;C1QB;APCS;C1QA;CPB2;ITIH3;DDC;AHCY;MAOB;MRPL15;HSD17B6;ABCB11;AIF1;EGFR;C2;CPN1;APOE;GC;GCKR;SERPIND1;F10;RARRES2;NR1H4;CIDEB;FMO1;CP;FMO5;GNMT;FABP1;GJB1;CXCL12;PROC;GSTA3;PAH;FABP7;PXMP2;ECHDC2;CDO1;SLC22A7;ITM2C;OTC",8.21917808219178,6,0,0,61.6438356164384,45
"6","Nafenopin-338 mg/kg in Corn Oil-Rat-Liver-3d-dn","71/296",1.71809701810438e-07,0.000225528868576502,0,0,1.84157285884733,28.6859564086491,"ORM1;SPARC;SERPINA10;SLC2A2;C4BPB;ASGR1;FTCD;KHK;ASGR2;LIPC;IBSP;CA3;CA5A;SLCO2B1;ENPP1;HAVCR1;SULT2A1;FGB;G6PC;ABCC2;IGFBP3;ABCC6;APOA1;MAT1A;BAAT;PRODH2;AZGP1;TYROBP;TST;FETUB;CD302;C1QB;APCS;C1QA;ENPEP;CPB2;ITIH3;DDC;AHCY;MAOB;SHMT2;GLS2;HAAO;PON1;HTRA1;ABCB11;AIF1;CPN1;CBS;INPP5D;APOE;PCK1;GC;SLC38A3;GCKR;SERPIND1;PKLR;F10;GCGR;RARRES2;NR1H4;CIDEB;FMO1;CP;GNMT;HAL;CXCL12;PAH;PXMP2;CDO1;OTC",8.45070422535211,6,0,0,64.7887323943662,46
"7","Miconazole-920 mg/kg in Corn Oil-Rat-Liver-5d-dn","72/302",1.8187732961699e-07,0.000204637978294774,0,0,1.83040764703639,28.4078047589395,"ALAS2;C4BPB;TMEM53;ASGR1;FTCD;KHK;ASGR2;LIPC;CA3;CA5A;SLCO2B1;ACADM;ACADS;SULT2A1;FGB;G6PC;ABCC6;SDHD;MAT1A;BAAT;PRODH2;AZGP1;TST;FETUB;MASP2;CD302;C1QB;APCS;C1QA;CPB2;ITIH3;DDC;AHCY;MAOB;GLS2;HAAO;HPN;AKR1D1;PON1;MRPL15;HSD17B6;ABCB11;CPN1;CBS;PCK1;GC;SLC38A3;TRAP1;GCKR;SERPIND1;PKLR;F10;RARRES2;EPHX2;NR1H4;CIDEB;CP;FMO5;GNMT;FABP1;HAL;GJB1;CXCL12;PROC;GSTA3;PAH;FABP7;PXMP2;ECHDC2;CDO1;SLC22A7;OTC",4.16666666666667,3,0,0,56.9444444444444,41
"8","Fluconazole-394 mg/kg in Corn Oil-Rat-Liver-5d-dn","70/296",3.71286749684649e-07,0.000365531805064537,0,0,1.81563521294807,26.8828236081219,"ALAS2;SPARC;PLEKHB1;SERPINA10;C4BPB;TMEM53;FTCD;KHK;ASGR2;LIPC;ACADL;CA3;CA5A;ANPEP;SMPD1;SLCO2B1;ENPP2;ACADM;ACADS;SULT2A1;FGB;G6PC;IGFBP3;ABCC6;MAT1A;BAAT;PRODH2;AZGP1;TYROBP;TST;FETUB;CD302;APCS;C1QA;ENPEP;CPB2;DDC;AHCY;MAOB;GLS2;HAAO;HPN;PON1;HTRA1;ABCB11;C2;CPN1;ACAT1;PCK1;GCKR;SERPIND1;PKLR;F10;RARRES2;EPHX2;NR1H4;CIDEB;FMO1;DHRS1;GNMT;FABP1;GJB1;CXCL12;GSTA3;PAH;FABP7;PXMP2;ECHDC2;SLC22A7;OTC",5.71428571428571,4,0,0,60,42
"9","Itraconazole-30 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","69/291",4.03931666834058e-07,0.000353485089776115,0,0,1.82044838435206,26.8006777323701,"SPARC;PLEKHB1;SERPINA10;C4BPB;ASGR1;KHK;ASGR2;LIPC;ACADL;CA3;SMPD1;SLCO2B1;STMN1;AOX1;CTSF;ACADM;XYLB;FGB;G6PC;ABCC6;BAAT;PRODH2;AZGP1;CLDN3;TYROBP;TST;TXNIP;RDH5;FETUB;MASP2;CD302;C1QB;APCS;C1QA;ENPEP;CPB2;ITIH3;DDC;MAOB;HAAO;AKR1D1;AIF1;C2;CPN1;PCK1;GC;SLC38A3;CRYM;SERPIND1;PKLR;F10;GDF15;GCGR;RARRES2;EPHX2;NR1H4;FMO1;IMMT;CP;FABP1;GJB1;CXCL12;PROC;FABP7;PXMP2;ECHDC2;SLC22A7;ITM2C;OTC",2.89855072463768,2,0,0,53.6231884057971,37
"10","Promethazine-113 mg/kg in Saline-Rat-Liver-3d-dn","71/303",4.45482615438364e-07,0.000350862107919255,0,0,1.79902827134921,26.3091830397274,"ALAS2;SPARC;C4BPB;KHK;ASGR2;TUBA1B;LIPC;ACADL;IBSP;CA3;CA5A;ENPP1;ACADM;SULT2A1;SLC34A2;G6PC;MMP2;ABCC6;BAAT;PRLR;PRODH2;AZGP1;MAG;TYROBP;TST;FETUB;SCN4A;CD302;C1QB;APCS;C1QA;CPB2;ITIH3;MAOB;SHMT2;GLS2;HAAO;HPN;PON1;HTRA1;HSD17B6;ABCB11;AIF1;EGFR;CBS;APOE;PCK1;GC;GCKR;SERPIND1;PKLR;F10;NOS2;TNFSF12;GCGR;EPHX2;NR1H4;FMO1;CP;GNMT;INHBE;FABP1;HAL;GJB1;CXCL12;PAH;FABP7;LCN2;CDO1;SLC22A7;OTC",8.45070422535211,6,0,0,56.3380281690141,40
