"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
"1","Gemcitabine-11 mg/kg in Saline-Rat-Bone marrow-3d-dn","9","3","0","1","0","NA","NA"
"1","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn","9","3","0","1","0","NA","NA"
"1","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Carbon Tetrachloride-400 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Bisphenol A-610 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Methotrexate-0.3 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Penciclovir-1200 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Busulfan-3 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-dn","9","3","0","1","0","NA","NA"
"1","Bisphenol A-100 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","9","3","0","1","0","NA","NA"
"1","Carbon Tetrachloride-1175 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Clopidogrel-400 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Lomustine-4.2 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Mitotane-5000 mg/kg in Water-Rat-Bone marrow-1d-dn","9","3","0","1","0","NA","NA"
"1","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","9","3","0","1","0","NA","NA"
"1","Clopidogrel-400 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-dn","9","3","0","1","0","NA","NA"
