"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_up_drug","DE_down_drug","p_value","adjusted_pvalue"
"1","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-0.25d-up","9","3","0","1","0","0","NA","NA"
"1","Doxorubicin-3 mg/kg in Saline-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","Gemcitabine-11 mg/kg in Saline-Rat-Bone marrow-3d-dn","9","3","0","1","0","0","NA","NA"
"1","Amikacin-20 mg/kg in Saline-Rat-Bone marrow-0.25d-up","9","3","0","1","0","0","NA","NA"
"1","Penciclovir-1200 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","9","3","0","1","0","0","NA","NA"
"1","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","9","3","0","1","0","0","NA","NA"
"1","Vincristine-0.05 mg/kg in Saline-Rat-Bone marrow-0.25d-up","9","3","0","1","0","0","NA","NA"
"1","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-up","9","3","0","1","0","0","NA","NA"
"1","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn","9","3","0","1","0","0","NA","NA"
"1","Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-1d-up","9","3","0","1","0","0","NA","NA"
"1","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-1d-up","9","3","0","1","0","0","NA","NA"
"1","Methyl Methanesulfonate-113 mg/kg in Water-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-1d-up","9","3","0","1","0","0","NA","NA"
"1","Azathioprine-54 mg/kg in Water-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","Busulfan-9 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","9","3","0","1","0","0","NA","NA"
"1","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","0","NA","NA"
"1","Vincristine-0.05 mg/kg in Saline-Rat-Bone marrow-3d-up","9","3","0","1","0","0","NA","NA"
"1","1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","0","NA","NA"
"1","Carbon Tetrachloride-400 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","0","NA","NA"
"1","Thioguanine-24 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","9","3","0","1","0","0","NA","NA"
"1","Bisphenol A-610 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","9","3","0","1","0","0","NA","NA"
"1","Ifosfamide-17 mg/kg in Saline-Rat-Spleen-3d-up","9","3","0","1","0","0","NA","NA"
