"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_up_drug","DE_down_drug","p_value","adjusted_pvalue"
"1","hydrocortisone homo sapiens gpl201 gse21909 chdir up","9","3","0","3","0","0","0.0160640347016703","1"
"1","prednisolone homo sapiens gpl570 gse32962 chdir down","9","3","0","1","0","0",NA,NA
"1","tocilizumab homo sapiens gpl6244 gse25160 chdir down","9","3","0","1","0","0",NA,NA
"1","valproic acid mus musculus gpl6885 gse35291 chdir up","9","3","0","1","0","0",NA,NA
"1","sirolimus homo sapiens gpl8300 gds3603 chdir up","9","3","0","1","0","0",NA,NA
"1","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","9","3","0","3","1","0",NA,NA
"1","ethanol homo sapiens gpl96 gds2767 chdir down","9","3","0","2","0","0","0.00812296610689943","1"
"1","decitabine homo sapiens gpl96 gse19610 chdir down","9","3","0","1","0","0","0.0492950722094505","1"
"2","hydrocortisone homo sapiens gpl201 gse21909 chdir up","16","2","0","6","1","0","0.000298343412126499","0.208243701664297"
"2","prednisolone homo sapiens gpl570 gse32962 chdir down","16","2","0","3","1","0","0.0278893308558464","1"
"2","tocilizumab homo sapiens gpl6244 gse25160 chdir down","16","2","0","1","0","0",NA,NA
"2","sirolimus homo sapiens gpl8300 gds3603 chdir up","16","2","0","5","1","0","0.00211418490416463","0.368925265776727"
"2","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","16","2","0","5","1","0",NA,NA
"2","decitabine homo sapiens gpl96 gse19610 chdir up","16","2","0","2","1","0","0.000901034677445669","0.314461102428538"
"2","bleomycin mus musculus gpl1261 gse25640 chdir up","16","2","0","1","0","0",NA,NA
"2","rosiglitazone homo sapiens gpl570 gds2453 chdir up","16","2","0","1","0","0",NA,NA
"2","ethanol homo sapiens gpl96 gds2767 chdir down","16","2","0","3","1","0","0.00181098899250677","0.421356772256575"
"2","mycophenolate mofetil homo sapiens gpl6255 gse13922 chdir up","16","2","0","1","0","0",NA,NA
"2","decitabine homo sapiens gpl96 gse19610 chdir down","16","2","0","1","0","0",NA,NA
"2","imatinib homo sapiens gpl571 gds3518 chdir up","16","2","0","1","0","0",NA,NA
"2","celecoxib homo sapiens gpl8300 gds3384 chdir up","16","2","0","1","0","0",NA,NA
"2","pioglitazone mus musculus gpl6246 gse37534 chdir up","16","2","0","1","0","0",NA,NA
"2","dexamethasone homo sapiens gpl570 gse37474 chdir up","16","2","0","1","0","0",NA,NA
"2","imatinib homo sapiens gpl201 gds838 chdir up","16","2","0","1","0","0",NA,NA
