"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
"1","LJP006 HS578T 3H-BI-2536-1.11-dn","9","3","0","1","0","0.0258042082434216","0.0674065505245075"
"1","LJP008 HEPG2 24H-I-BET-1.11-dn","9","3","0","1","0","0.0280007529737584","0.0674065505245075"
"1","LJP009 HEPG2 24H-XMD-892-10-dn","9","3","0","1","0","NA","NA"
"1","LJP006 HS578T 3H-dasatinib-3.33-dn","9","3","0","1","0","0.0293165658483658","0.0674065505245075"
"1","LJP008 HEPG2 24H-I-BET151-10-dn","9","3","0","2","0","0.00144269911329555","0.0674065505245075"
"1","LJP006 HME1 24H-CHIR-99021-3.33-dn","9","3","0","1","0","0.0354361161229415","0.0674065505245075"
"1","LJP006 HME1 3H-canertinib-10-dn","9","3","0","1","0","NA","NA"
"1","LJP006 HA1E 24H-PHA-793887-0.37-dn","9","3","0","1","0","0.0200725304633906","0.0674065505245075"
"1","LJP008 HEPG2 24H-PFI-1-10-dn","9","3","0","1","0","NA","NA"
"1","CPC006 NCIH2073 6H-ski ii-40.0-dn","9","3","0","1","0","0.0354361161229415","0.0674065505245075"
"1","CPC018 ASC 24H-rottlerin ncgc00025228-11-10.0-dn","9","3","0","1","0","0.0354361161229415","0.0674065505245075"
"1","LJP008 HEPG2 24H-I-BET151-0.37-dn","9","3","0","1","0","0.0367429780930849","0.0674065505245075"
"1","LJP008 A375 24H-I-BET151-0.12-dn","9","3","0","2","0","0.00025447657793138","0.0674065505245075"
"2","LJP007 A375 24H-KIN001-266-10-dn","16","2","0","4","1","3.20748716658234e-07","0.000263227780137524"
"2","LJP008 HA1E 24H-(-)-JQ1-10-dn","16","2","0","2","0","0.000966248488570235","0.0466451721345082"
"2","LJP006 MCF7 3H-KIN001-043-1.11-dn","16","2","0","4","1","3.98887017436868e-08","4.91029918464784e-05"
"2","LJP008 HEPG2 24H-I-BET-10-dn","16","2","0","1","0","NA","NA"
"2","LJP006 MCF10A 3H-BMS-387032-0.12-dn","16","2","0","2","1","0.000838040944035689","0.0438990809407631"
"2","LJP005 SKBR3 3H-PD-0325901-10-dn","16","2","0","1","1","0.0431196604465477","0.0975662959457128"
"2","LJP006 LNCAP 24H-QL-X-138-1.11-dn","16","2","0","2","0","0.00312247532297066","0.0904415793547502"
"2","LJP008 HCC515 24H-IOX2-10-dn","16","2","0","2","0","0.00039313432145597","0.034302690379625"
"2","LJP006 HS578T 3H-BI-2536-1.11-dn","16","2","0","1","0","0.0454207685297007","0.0975662959457128"
"2","LJP006 BT20 3H-WYE-125132-3.33-dn","16","2","0","1","0","0.0174618968734111","0.0975662959457128"
"2","LJP006 HME1 3H-selumetinib-10-dn","16","2","0","2","0","0.00220656674546906","0.0744187305115729"
"2","LJP005 MCF7 3H-SAR-245408-3.33-dn","16","2","0","3","1","1.61990256360094e-05","0.00498525013948188"
"2","LJP006 MCF10A 3H-BI-2536-3.33-dn","16","2","0","1","0","NA","NA"
"2","LJP005 HS578T 3H-NVP-BEZ235-0.04-dn","16","2","0","1","0","0.0354116876094495","0.0975662959457128"
"2","LJP007 HA1E 24H-BMS509744-10-dn","16","2","0","2","0","0.00148437429368802","0.0619079685814197"
"2","LJP006 HME1 3H-HG-6-64-01-0.37-dn","16","2","0","1","0","0.0408133529856871","0.0975662959457128"
"2","LJP006 HME1 24H-CHIR-99021-3.33-dn","16","2","0","1","1","NA","NA"
"2","LJP006 MDAMB231 3H-JW-7-24-1-10-dn","16","2","0","1","0","NA","NA"
"2","LJP006 HME1 3H-KIN001-043-3.33-dn","16","2","0","5","1","4.59003372662834e-09","1.1300663034959e-05"
"2","LJP005 HS578T 3H-NVP-BEZ235-0.37-dn","16","2","0","1","0","0.0438872736413356","0.0975662959457128"
"2","CPC018 MCF7 6H-dorsomorphin dihydrochloride-10.0-dn","16","2","0","1","0","NA","NA"
"2","LJP009 HA1E 24H-JWE-035-3.33-dn","16","2","0","1","0","0.0461866510315301","0.0975662959457128"
"2","LJP005 MCF7 3H-TG-101348-0.37-dn","16","2","0","1","0","0.0461866510315301","0.0975662959457128"
"2","CPC017 HEPG2 6H-daunorubicin-10.0-dn","16","2","0","2","0","0.00683579968169593","0.0975662959457128"
"2","LJP007 HA1E 24H-WZ-7043-1.11-dn","16","2","0","1","0","0.0292034414014455","0.0975662959457128"
"2","LJP006 HCC515 24H-WZ-4-145-0.37-dn","16","2","0","2","1","0.000459784233358092","0.034302690379625"
"2","LJP006 LNCAP 24H-sirolimus-1.11-dn","16","2","0","1","0","NA","NA"
"2","LJP006 HME1 3H-XMD11-85H-10-dn","16","2","0","2","1","0.000507058164209647","0.036061631572381"
"2","LJP005 BT20 24H-YM-201636-10-dn","16","2","0","4","0","3.81071988430322e-06","0.00187639847103091"
"2","CPC015 HT29 6H-vorinostat-10.0-dn","16","2","0","2","0","0.0030068950936281","0.0881306633394331"
"2","CPC017 MCF7 6H-pkc-412-10.0-dn","16","2","0","2","0","0.000556597075446985","0.036061631572381"
"2","LJP009 HEPG2 24H-PF 573228-3.33-dn","16","2","0","3","0","5.45277767179455e-06","0.00223745643799303"
"2","CPC015 A375 6H-reserpine-10.0-dn","16","2","0","1","0","0.0182487894189074","0.0975662959457128"
"2","LJP006 HA1E 24H-PHA-793887-0.37-dn","16","2","0","1","1","0.0354116876094495","0.0975662959457128"
"2","CPC003 HA1E 6H-cct 018159-10.0-dn","16","2","0","1","0","NA","NA"
"2","LJP009 A375 24H-KIN001-265-10-dn","16","2","0","1","0","NA","NA"
"2","LJP005 MCF7 3H-mitoxantrone-3.33-dn","16","2","0","1","1","NA","NA"
"2","CPC006 RKO 6H-vorinostat-11.1000003815-dn","16","2","0","1","0","NA","NA"
"2","LJP009 PC3 24H-XMD-892-3.33-dn","16","2","0","2","0","0.00160930543834722","0.0619079685814197"
"2","LJP005 MCF10A 3H-dovitinib-3.33-dn","16","2","0","1","0","0.0198208026407264","0.0975662959457128"
"2","LJP006 LNCAP 24H-GSK-2126458-10-dn","16","2","0","2","0","0.00169529431893101","0.0642125325108945"
"2","CPC006 COV644 6H-BRD-K49371609-0.09-dn","16","2","0","1","0","NA","NA"
"2","LJP009 A549 24H-chelerythrine chloride-10-dn","16","2","0","1","0","0.0206059241328129","0.0975662959457128"
"2","LJP005 HS578T 24H-GDC-0980-10-dn","16","2","0","1","0","NA","NA"
"2","LJP006 MCF7 24H-XMD-1150-3.33-dn","16","2","0","1","1","0.0385018352066203","0.0975662959457128"
"2","CPC013 ASC 24H-hy-50940-10.0-dn","16","2","0","1","0","NA","NA"
"2","LJP008 A375 24H-PD-0325901-1.11-dn","16","2","0","1","0","NA","NA"
"2","CPC006 NCIH2073 6H-ski ii-40.0-dn","16","2","0","1","0","NA","NA"
"2","LJP005 A549 24H-dasatinib-0.37-dn","16","2","0","1","0","NA","NA"
"2","LJP006 BT20 3H-QL-XII-47-1.11-dn","16","2","0","1","0","0.0213904560937907","0.0975662959457128"
"2","LJP007 PC3 24H-idelalisib-10-dn","16","2","0","1","0","0.0221743989287616","0.0975662959457128"
"2","LJP008 HEPG2 24H-I-BET151-0.37-dn","16","2","0","1","0","NA","NA"
"2","CPC014 HA1E 6H-hy-70044-10.0-dn","16","2","0","1","0","NA","NA"
"2","LJP005 HS578T 3H-SB590885-10-dn","16","2","0","1","0","0.0229577530466617","0.0975662959457128"
"2","CPC008 VCAP 6H-vu0418939-2-10.0-dn","16","2","0","1","0","0.0423514695379365","0.0975662959457128"
"2","LJP006 HT29 24H-XMD-1150-10-dn","16","2","0","2","0","0.000838040944035689","0.0438990809407631"
"2","LJP006 HME1 3H-linifanib-1.11-dn","16","2","0","1","0","NA","NA"
"2","LJP005 PC3 24H-dasatinib-0.37-dn","16","2","0","1","1","0.0431196604465477","0.0975662959457128"
"2","CPC006 LOVO 6H-b675700.cdx-0.04-dn","16","2","0","1","0","NA","NA"
"2","LJP006 HEPG2 24H-AZD-5438-3.33-dn","16","2","0","1","1","NA","NA"
"3","LJP009 A375 24H-SB-203580-1.11-dn","7","3","0","1","0","0.0156462838746999","0.0647566592974708"
"3","LJP006 HS578T 3H-BI-2536-1.11-dn","7","3","0","1","0","0.0201270821818301","0.0647566592974708"
"3","LJP008 HEPG2 24H-PFI-1-3.33-dn","7","3","0","1","0","0.0304007210272824","0.0647566592974708"
"3","LJP008 HEPG2 24H-I-BET-1.11-dn","7","3","0","1","0","0.0218458055031973","0.0647566592974708"
"3","LJP009 HEPG2 24H-XMD-892-10-dn","7","3","0","1","0","0.04159496000931","0.0665950396003979"
"3","LJP006 HS578T 3H-dasatinib-3.33-dn","7","3","0","1","0","0.0228757988010257","0.0647566592974708"
"3","LJP008 HEPG2 24H-I-BET151-10-dn","7","3","0","2","0","0.000848723548855487","0.0647566592974708"
"3","LJP006 SKBR3 3H-GSK-2126458-0.12-dn","7","3","0","1","0","0.0163367782286596","0.0647566592974708"
"3","LJP009 MCF7 24H-SYK-inhibitor-1.11-dn","7","3","0","1","0","0.0101073601190722","0.0647566592974708"
"3","LJP005 MDAMB231 3H-SB590885-1.11-dn","7","3","0","1","0","0.0177165217463899","0.0647566592974708"
"3","LJP006 HME1 24H-CHIR-99021-3.33-dn","7","3","0","1","0","0.0276701530557868","0.0647566592974708"
"3","LJP005 A549 24H-foretinib-0.37-dn","7","3","0","1","0","0.0187502406506921","0.0647566592974708"
"3","CPC018 MCF7 6H-dorsomorphin dihydrochloride-10.0-dn","7","3","0","1","0","0.0293775292387814","0.0647566592974708"
"3","CPC017 A549 6H-ag-879-10.0-dn","7","3","0","1","0","0.01322628156092","0.0647566592974708"
"3","LJP006 HME1 3H-canertinib-10-dn","7","3","0","1","0","0.0476540836662411","0.0674037665585659"
"3","CPC006 SW948 6H-narciclasine-10.0-dn","7","3","0","1","0","NA","NA"
"3","LJP006 HA1E 24H-PHA-793887-0.37-dn","7","3","0","1","0","0.0156462838746999","0.0647566592974708"
"3","LJP008 HEPG2 24H-PFI-1-10-dn","7","3","0","2","0","0.0010412997163339","0.0647566592974708"
"3","LJP005 MCF10A 3H-dovitinib-3.33-dn","7","3","0","1","0","0.0087184638276748","0.0647566592974708"
"3","LJP005 A549 24H-AZD-8330-1.11-dn","7","3","0","1","0","NA","NA"
"3","LJP006 MDAMB231 3H-torin-1-10-dn","7","3","0","1","0","0.0166818697165674","0.0647566592974708"
"3","LJP006 BT20 3H-QL-XII-47-1.11-dn","7","3","0","1","0","0.00941312053617665","0.0647566592974708"
"3","LJP008 HEPG2 24H-I-BET151-0.37-dn","7","3","0","1","0","0.0286948873747529","0.0647566592974708"
"3","LJP006 SKBR3 3H-torin-1-0.12-dn","7","3","0","1","0","0.0184057713212007","0.0647566592974708"
"3","LJP008 A375 24H-I-BET151-0.12-dn","7","3","0","2","0","0.000148959520590184","0.0230142459311834"
"3","CPC008 VCAP 6H-vu0418939-2-10.0-dn","7","3","0","1","0","0.0187502406506921","0.0647566592974708"
"4","LJP006 LNCAP 3H-ZSTK-474-0.37-dn","3","2","0","1","1","0.0115060514233315","0.0218615642739877"
"4","LJP006 MCF10A 3H-BMS-387032-0.12-dn","3","2","0","1","1","0.008078462047278","0.0218615642739877"
"4","LJP006 SKBR3 3H-GDC-0941-0.37-dn","3","2","0","1","1","0.00703371311091952","0.0218615642739877"
"4","LJP006 LNCAP 24H-QL-X-138-1.11-dn","3","2","0","1","1","0.0156681043562104","0.0223990767212186"
"4","CPC014 PHH 24H-hy-10518-10.0-dn","3","2","0","1","1","0.0286727702925846","0.0293845533490281"
"4","LJP009 A549 24H-PF-3758309-3.33-dn","3","2","0","1","1","0.00359580673873441","0.0218615642739877"
"4","LJP006 MCF10A 3H-BI-2536-3.33-dn","3","2","0","1","1","0.00986775589382722","0.0218615642739877"
"4","LJP005 HS578T 3H-NVP-BEZ235-0.04-dn","3","2","0","1","1","0.00673507883011605","0.0218615642739877"
"4","LJP006 LNCAP 3H-WYE-125132-3.33-dn","3","2","0","2","2","6.5187917475775e-06","0.00311378469632927"
"4","LJP006 LNCAP 3H-ZSTK-474-3.33-dn","3","2","0","1","1","0.00449341473423012","0.0218615642739877"
"4","LJP006 LNCAP 24H-sirolimus-0.04-dn","3","2","0","2","2","2.14276787732931e-05","0.00311378469632927"
"4","LJP005 BT20 3H-mitoxantrone-1.11-dn","3","2","0","1","1","0.00822765208709083","0.0218615642739877"
"4","LJP009 A375 24H-PF-3758309-0.12-dn","3","2","0","1","1","0.00822765208709083","0.0218615642739877"
"4","LJP005 BT20 3H-GSK-690693-0.37-dn","3","2","0","1","1","0.0049420167963793","0.0218615642739877"
"4","LJP005 HS578T 3H-NVP-BEZ235-0.37-dn","3","2","0","1","1","0.00837682717621764","0.0218615642739877"
"4","CPC018 MCF7 6H-dorsomorphin dihydrochloride-10.0-dn","3","2","0","1","1","0.0126964037761181","0.0218615642739877"
"4","LJP006 LNCAP 3H-A443654-0.04-dn","3","2","0","2","2","2.29370605293842e-06","0.00311378469632927"
"4","LJP006 LNCAP 24H-sirolimus-1.11-dn","3","2","0","1","1","0.0144801405312483","0.0218953334363312"
"4","LJP005 HS578T 3H-torin-2-0.04-dn","3","2","0","1","1","0.00628701524151983","0.0218615642739877"
"4","LJP005 MCF7 3H-SAR-245408-10-dn","3","2","0","1","1","0.00658573925675946","0.0218615642739877"
"4","LJP008 HEPG2 24H-PFI-1-10-dn","3","2","0","1","1","0.0212978997651538","0.0241449765213246"
"4","LJP009 PC3 24H-XMD-892-3.33-dn","3","2","0","1","1","0.0112083139716832","0.0218615642739877"
"4","LJP006 LNCAP 24H-GSK-2126458-10-dn","3","2","0","1","1","0.0115060514233315","0.0218615642739877"
"4","CPC006 COV644 6H-BRD-K49371609-0.09-dn","3","2","0","1","1","0.0165584506223493","0.02258721319308"
"4","LJP005 HS578T 24H-GDC-0980-10-dn","3","2","0","1","1","0.0167067894603528","0.0226529410871963"
"4","LJP006 HS578T 3H-torin-1-0.37-dn","3","2","0","1","1","0.0077800371147531","0.0218615642739877"
"4","LJP006 LNCAP 24H-sirolimus-0.37-dn","3","2","0","1","1","0.00792925705799002","0.0218615642739877"
"4","CPC014 HA1E 6H-hy-70044-10.0-dn","3","2","0","1","1","0.0125476620021733","0.0218615642739877"
"4","LJP005 HS578T 3H-torin-2-0.12-dn","3","2","0","1","1","0.00434385079686094","0.0218615642739877"
"4","LJP006 HT29 24H-XMD-1150-10-dn","3","2","0","1","1","0.008078462047278","0.0218615642739877"
"4","LJP006 PC3 24H-MK-2206-1.11-dn","3","2","0","1","1","0.008078462047278","0.0218615642739877"
"4","LJP006 HEPG2 24H-AZD-5438-3.33-dn","3","2","0","1","1","0.0131425395073887","0.0218615642739877"
