"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_up_drug","DE_down_drug","p_value","adjusted_pvalue"
"1","LJP006 HS578T 3H-BI-2536-1.11-dn","9","3","0","1","0","0","0.0258042082434216","0.0674065505245075"
"1","LJP008 HEPG2 24H-I-BET-1.11-dn","9","3","0","1","0","0","0.0280007529737584","0.0674065505245075"
"1","LJP009 HEPG2 24H-XMD-892-10-dn","9","3","0","1","0","0","NA","NA"
"1","LJP006 HS578T 3H-dasatinib-3.33-dn","9","3","0","1","0","0","0.0293165658483658","0.0674065505245075"
"1","LJP008 HEPG2 24H-I-BET151-10-dn","9","3","0","2","0","0","0.00144269911329555","0.0674065505245075"
"1","LJP006 HME1 24H-CHIR-99021-3.33-dn","9","3","0","1","0","0","0.0354361161229415","0.0674065505245075"
"1","LJP006 HME1 3H-canertinib-10-dn","9","3","0","1","0","0","NA","NA"
"1","LJP006 HA1E 24H-PHA-793887-0.37-dn","9","3","0","1","0","0","0.0200725304633906","0.0674065505245075"
"1","LJP008 HEPG2 24H-PFI-1-10-dn","9","3","0","1","0","0","NA","NA"
"1","CPC006 NCIH2073 6H-ski ii-40.0-dn","9","3","0","1","0","0","0.0354361161229415","0.0674065505245075"
"1","CPC018 ASC 24H-rottlerin ncgc00025228-11-10.0-dn","9","3","0","1","0","0","0.0354361161229415","0.0674065505245075"
"1","LJP008 HEPG2 24H-I-BET151-0.37-dn","9","3","0","1","0","0","0.0367429780930849","0.0674065505245075"
"1","LJP008 A375 24H-I-BET151-0.12-dn","9","3","0","2","0","0","0.00025447657793138","0.0674065505245075"
"1","LJP005 PC3 24H-WZ-3105-0.37-up","9","3","0","1","0","0","NA","NA"
"1","LJP005 PC3 24H-WZ-3105-1.11-up","9","3","0","1","0","0","NA","NA"
"1","LJP006 HS578T 24H-BMS-387032-0.12-up","9","3","0","1","0","0","NA","NA"
"1","LJP006 HS578T 24H-canertinib-10-up","9","3","0","1","0","0","NA","NA"
"1","LJP006 HME1 3H-KIN001-043-0.37-up","9","3","0","1","0","0","0.0156431732908392","0.0704592483372694"
"1","LJP005 PC3 24H-pelitinib-0.37-up","9","3","0","1","0","0","0.0160869082852461","0.0704592483372694"
"1","LJP007 HEPG2 24H-NVP-BGT226-0.04-up","9","3","0","1","0","0","0.0336911821161097","0.0704592483372694"
"1","LJP006 HS578T 24H-celastrol-3.33-up","9","3","0","1","0","0","NA","NA"
"1","LJP005 BT20 24H-withaferin-a-10-up","9","3","0","1","0","0","0.0402202524791916","0.0704592483372694"
"1","LJP009 HEPG2 24H-GSK-2334470-10-up","9","3","0","1","0","0","NA","NA"
"2","LJP007 A375 24H-KIN001-266-10-dn","16","2","0","4","1","0","3.20748716658234e-07","0.000263227780137524"
"2","LJP008 HA1E 24H-(-)-JQ1-10-dn","16","2","0","2","0","0","0.000966248488570235","0.0466451721345082"
"2","LJP006 MCF7 3H-KIN001-043-1.11-dn","16","2","0","4","1","0","3.98887017436868e-08","4.91029918464784e-05"
"2","LJP008 HEPG2 24H-I-BET-10-dn","16","2","0","1","0","0","NA","NA"
"2","LJP006 MCF10A 3H-BMS-387032-0.12-dn","16","2","0","2","1","0","0.000838040944035689","0.0438990809407631"
"2","LJP005 SKBR3 3H-PD-0325901-10-dn","16","2","0","1","1","0","0.0431196604465477","0.0975662959457128"
"2","LJP006 LNCAP 24H-QL-X-138-1.11-dn","16","2","0","2","0","0","0.00312247532297066","0.0904415793547502"
"2","LJP008 HCC515 24H-IOX2-10-dn","16","2","0","2","0","0","0.00039313432145597","0.034302690379625"
"2","LJP006 HS578T 3H-BI-2536-1.11-dn","16","2","0","1","0","0","0.0454207685297007","0.0975662959457128"
"2","LJP006 BT20 3H-WYE-125132-3.33-dn","16","2","0","1","0","0","0.0174618968734111","0.0975662959457128"
"2","LJP006 HME1 3H-selumetinib-10-dn","16","2","0","2","0","0","0.00220656674546906","0.0744187305115729"
"2","LJP005 MCF7 3H-SAR-245408-3.33-dn","16","2","0","3","1","0","1.61990256360094e-05","0.00498525013948188"
"2","LJP006 MCF10A 3H-BI-2536-3.33-dn","16","2","0","1","0","0","NA","NA"
"2","LJP005 HS578T 3H-NVP-BEZ235-0.04-dn","16","2","0","1","0","0","0.0354116876094495","0.0975662959457128"
"2","LJP007 HA1E 24H-BMS509744-10-dn","16","2","0","2","0","0","0.00148437429368802","0.0619079685814197"
"2","LJP006 HME1 3H-HG-6-64-01-0.37-dn","16","2","0","1","0","0","0.0408133529856871","0.0975662959457128"
"2","LJP006 HME1 24H-CHIR-99021-3.33-dn","16","2","0","1","1","0","NA","NA"
"2","LJP006 MDAMB231 3H-JW-7-24-1-10-dn","16","2","0","1","0","0","NA","NA"
"2","LJP006 HME1 3H-KIN001-043-3.33-dn","16","2","0","5","1","0","4.59003372662834e-09","1.1300663034959e-05"
"2","LJP005 HS578T 3H-NVP-BEZ235-0.37-dn","16","2","0","1","0","0","0.0438872736413356","0.0975662959457128"
"2","CPC018 MCF7 6H-dorsomorphin dihydrochloride-10.0-dn","16","2","0","1","0","0","NA","NA"
"2","LJP009 HA1E 24H-JWE-035-3.33-dn","16","2","0","1","0","0","0.0461866510315301","0.0975662959457128"
"2","LJP005 MCF7 3H-TG-101348-0.37-dn","16","2","0","1","0","0","0.0461866510315301","0.0975662959457128"
"2","CPC017 HEPG2 6H-daunorubicin-10.0-dn","16","2","0","2","0","0","0.00683579968169593","0.0975662959457128"
"2","LJP007 HA1E 24H-WZ-7043-1.11-dn","16","2","0","1","0","0","0.0292034414014455","0.0975662959457128"
"2","LJP006 HCC515 24H-WZ-4-145-0.37-dn","16","2","0","2","1","0","0.000459784233358092","0.034302690379625"
"2","LJP006 LNCAP 24H-sirolimus-1.11-dn","16","2","0","1","0","0","NA","NA"
"2","LJP006 HME1 3H-XMD11-85H-10-dn","16","2","0","2","1","0","0.000507058164209647","0.036061631572381"
"2","LJP005 BT20 24H-YM-201636-10-dn","16","2","0","4","0","0","3.81071988430322e-06","0.00187639847103091"
"2","CPC015 HT29 6H-vorinostat-10.0-dn","16","2","0","2","0","0","0.0030068950936281","0.0881306633394331"
"2","CPC017 MCF7 6H-pkc-412-10.0-dn","16","2","0","2","0","0","0.000556597075446985","0.036061631572381"
"2","LJP009 HEPG2 24H-PF 573228-3.33-dn","16","2","0","3","0","0","5.45277767179455e-06","0.00223745643799303"
"2","CPC015 A375 6H-reserpine-10.0-dn","16","2","0","1","0","0","0.0182487894189074","0.0975662959457128"
"2","LJP006 HA1E 24H-PHA-793887-0.37-dn","16","2","0","1","1","0","0.0354116876094495","0.0975662959457128"
"2","CPC003 HA1E 6H-cct 018159-10.0-dn","16","2","0","1","0","0","NA","NA"
"2","LJP009 A375 24H-KIN001-265-10-dn","16","2","0","1","0","0","NA","NA"
"2","LJP005 MCF7 3H-mitoxantrone-3.33-dn","16","2","0","1","1","0","NA","NA"
"2","CPC006 RKO 6H-vorinostat-11.1000003815-dn","16","2","0","1","0","0","NA","NA"
"2","LJP009 PC3 24H-XMD-892-3.33-dn","16","2","0","2","0","0","0.00160930543834722","0.0619079685814197"
"2","LJP005 MCF10A 3H-dovitinib-3.33-dn","16","2","0","1","0","0","0.0198208026407264","0.0975662959457128"
"2","LJP006 LNCAP 24H-GSK-2126458-10-dn","16","2","0","2","0","0","0.00169529431893101","0.0642125325108945"
"2","CPC006 COV644 6H-BRD-K49371609-0.09-dn","16","2","0","1","0","0","NA","NA"
"2","LJP009 A549 24H-chelerythrine chloride-10-dn","16","2","0","1","0","0","0.0206059241328129","0.0975662959457128"
"2","LJP005 HS578T 24H-GDC-0980-10-dn","16","2","0","1","0","0","NA","NA"
"2","LJP006 MCF7 24H-XMD-1150-3.33-dn","16","2","0","1","1","0","0.0385018352066203","0.0975662959457128"
"2","CPC013 ASC 24H-hy-50940-10.0-dn","16","2","0","1","0","0","NA","NA"
"2","LJP008 A375 24H-PD-0325901-1.11-dn","16","2","0","1","0","0","NA","NA"
"2","CPC006 NCIH2073 6H-ski ii-40.0-dn","16","2","0","1","0","0","NA","NA"
"2","LJP005 A549 24H-dasatinib-0.37-dn","16","2","0","1","0","0","NA","NA"
"2","LJP006 BT20 3H-QL-XII-47-1.11-dn","16","2","0","1","0","0","0.0213904560937907","0.0975662959457128"
"2","LJP007 PC3 24H-idelalisib-10-dn","16","2","0","1","0","0","0.0221743989287616","0.0975662959457128"
"2","LJP008 HEPG2 24H-I-BET151-0.37-dn","16","2","0","1","0","0","NA","NA"
"2","CPC014 HA1E 6H-hy-70044-10.0-dn","16","2","0","1","0","0","NA","NA"
"2","LJP005 HS578T 3H-SB590885-10-dn","16","2","0","1","0","0","0.0229577530466617","0.0975662959457128"
"2","CPC008 VCAP 6H-vu0418939-2-10.0-dn","16","2","0","1","0","0","0.0423514695379365","0.0975662959457128"
"2","LJP006 HT29 24H-XMD-1150-10-dn","16","2","0","2","0","0","0.000838040944035689","0.0438990809407631"
"2","LJP006 HME1 3H-linifanib-1.11-dn","16","2","0","1","0","0","NA","NA"
"2","LJP005 PC3 24H-dasatinib-0.37-dn","16","2","0","1","1","0","0.0431196604465477","0.0975662959457128"
"2","CPC006 LOVO 6H-b675700.cdx-0.04-dn","16","2","0","1","0","0","NA","NA"
"2","LJP006 HEPG2 24H-AZD-5438-3.33-dn","16","2","0","1","1","0","NA","NA"
"2","LJP005 HA1E 24H-HG-5-113-01-10-up","16","2","0","4","1","0","1.18234811716877e-05","0.00318938404606276"
"2","LJP008 HCC515 24H-CGP-60474-1.11-up","16","2","0","4","2","0","2.83085358550638e-06","0.00111072400682232"
"2","LJP005 SKBR3 24H-mitoxantrone-0.37-up","16","2","0","3","1","0","4.57418223281895e-05","0.00940103357945076"
"2","LJP008 HA1E 24H-olaparib-10-up","16","2","0","2","0","0","0.0086141280887496","0.118095436741044"
"2","LJP005 HS578T 24H-AS-601245-1.11-up","16","2","0","2","0","0","0.00625830772594311","0.118095436741044"
"2","LJP005 HA1E 24H-AS-601245-3.33-up","16","2","0","1","0","0","NA","NA"
"2","LJP005 HA1E 24H-erlotinib-10-up","16","2","0","4","1","0","2.20834796793201e-08","9.53122982959458e-05"
"2","LJP006 HCC515 24H-AT-7519-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP005 MDAMB231 3H-torin-2-0.04-up","16","2","0","4","1","0","1.79525854014011e-07","0.000387416792962235"
"2","LJP005 A549 24H-CYT387-10-up","16","2","0","4","0","0","1.55335044288905e-06","0.000893132257724011"
"2","LJP008 HA1E 24H-GSK-461364-1.11-up","16","2","0","3","0","0","2.13102947226967e-05","0.00510973511239771"
"2","LJP008 HEPG2 24H-CGP-60474-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 HEPG2 24H-BI-2536-0.12-up","16","2","0","3","0","0","9.55745628353281e-07","0.000824999626394552"
"2","LJP005 A375 24H-AS-601245-3.33-up","16","2","0","2","1","0","0.00165203025461274","0.118095436741044"
"2","LJP005 HA1E 24H-PF-431396-10-up","16","2","0","3","0","0","0.000451619890477399","0.0573936884603023"
"2","LJP005 BT20 3H-NVP-AUY922-0.04-up","16","2","0","3","1","0","1.51543828876691e-06","0.000893132257724011"
"2","LJP006 HCC515 24H-A443654-3.33-up","16","2","0","2","1","0","0.0120604593283546","0.118095436741044"
"2","LJP006 HA1E 24H-CGP-60474-10-up","16","2","0","2","0","0","0.00957328030316911","0.118095436741044"
"2","LJP006 LNCAP 3H-JW-7-24-1-1.11-up","16","2","0","2","1","0","0.000777273665131305","0.0798741223501598"
"2","LJP009 HEPG2 24H-PF-3758309-10-up","16","2","0","4","1","0","6.02515358131991e-06","0.00185746877549834"
"2","LJP007 MCF7 24H-tivantinib-10-up","16","2","0","4","1","0","2.83085358550638e-06","0.00111072400682232"
"2","LJP005 PC3 24H-BX-912-10-up","16","2","0","2","1","0","0.00182831419978963","0.118095436741044"
"2","LJP006 HA1E 24H-HG-6-64-01-0.37-up","16","2","0","3","1","0","3.32383320424404e-05","0.00755034953132488"
"2","LJP009 MCF7 24H-JNK-IN-5A-10-up","16","2","0","2","0","0","0.00335983283561305","0.118095436741044"
"2","LJP006 A549 24H-MK-2206-3.33-up","16","2","0","4","1","0","5.06985561882295e-07","0.000547037421270996"
"2","LJP006 HEPG2 24H-withaferin-a-3.33-up","16","2","0","4","1","0","4.38545370041765e-06","0.00145597062853866"
"2","LJP007 PC3 24H-pazopanib-10-up","16","2","0","2","1","0","0.000556597075446985","0.0649262966926807"
"2","LJP005 SKBR3 24H-mitoxantrone-0.04-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 HCC515 24H-alvocidib-10-up","16","2","0","2","1","0","0.0131722346470274","0.118095436741044"
"2","LJP006 HS578T 3H-torin-1-0.04-up","16","2","0","2","1","0","0.000608394514713089","0.0685314084780325"
"2","LJP008 MCF7 24H-CGP-60474-1.11-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 HCC515 24H-BMS-387032-10-up","16","2","0","2","1","0","0.00957328030316911","0.118095436741044"
"2","LJP007 HEPG2 24H-dinaciclib-10-up","16","2","0","2","1","0","0.00132539638750632","0.110007900163024"
"2","LJP006 HCC515 24H-CGP-60474-0.37-up","16","2","0","1","0","0","NA","NA"
"2","LJP008 HCC515 24H-CGP-60474-10-up","16","2","0","2","1","0","0.00452899838037377","0.118095436741044"
"2","LJP007 HA1E 24H-bosutinib-3.33-up","16","2","0","1","0","0","0.0392729207344652","0.118095436741044"
"2","LJP006 HA1E 24H-A443654-1.11-up","16","2","0","1","1","0","NA","NA"
"2","LJP005 A549 24H-AS-601245-1.11-up","16","2","0","1","0","0","NA","NA"
"2","LJP005 MCF7 3H-GSK-1059615-1.11-up","16","2","0","4","2","0","4.16366878577018e-07","0.000547037421270996"
"2","LJP006 HS578T 3H-sorafenib-3.33-up","16","2","0","2","2","0","0.00187372745971972","0.118095436741044"
"2","LJP009 PC3 24H-RAF 265-3.33-up","16","2","0","1","1","0","0.0284247822669754","0.118095436741044"
"2","LJP008 MCF7 24H-GSK-461364-0.12-up","16","2","0","1","0","0","0.0461866510315301","0.118095436741044"
"2","LJP005 HS578T 24H-geldanamycin-10-up","16","2","0","3","0","0","0.000103355056529913","0.0202763829083229"
"2","LJP005 HEPG2 24H-AS-601245-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP005 SKBR3 3H-PD-0325901-1.11-up","16","2","0","3","0","0","4.07569377811399e-06","0.00145597062853866"
"2","LJP006 HA1E 24H-QL-XII-47-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP008 MCF7 24H-GSK-461364-3.33-up","16","2","0","1","1","0","0.0492444241632619","0.118095436741044"
"2","LJP005 HEPG2 24H-geldanamycin-3.33-up","16","2","0","3","0","0","0.000237400083219551","0.0370796321375718"
"2","LJP007 HEPG2 24H-NVP-BGT226-3.33-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 HS578T 24H-canertinib-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 HT29 24H-HG-5-88-01-0.04-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 MDAMB231 24H-alvocidib-0.37-up","16","2","0","1","0","0","NA","NA"
"2","LJP008 A375 24H-olaparib-3.33-up","16","2","0","1","1","0","0.0338631248228565","0.118095436741044"
"2","CPC005 HT29 24H-lomatin-10.0-up","16","2","0","1","0","0","0.037730169536143","0.118095436741044"
"2","LJP006 HA1E 24H-CGP-60474-0.37-up","16","2","0","1","0","0","NA","NA"
"2","LJP009 MCF7 24H-ON-01910-3.33-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 HCC515 24H-CGP-60474-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 MDAMB231 3H-geldanamycin-10-up","16","2","0","1","1","0","0.0408133529856871","0.118095436741044"
"2","LJP007 HEPG2 24H-dinaciclib-1.11-up","16","2","0","1","1","0","0.0415827005217074","0.118095436741044"
"2","LJP009 MCF7 24H-JNK-IN-5A-0.12-up","16","2","0","1","0","0","NA","NA"
"2","LJP008 HEPG2 24H-CGK-733-10-up","16","2","0","1","1","0","NA","NA"
"2","LJP007 HA1E 24H-dinaciclib-1.11-up","16","2","0","3","1","0","0.000203081722568861","0.0337115659464308"
"2","LJP007 HCC515 24H-dinaciclib-1.11-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 PC3 24H-JNK-9L-3.33-up","16","2","0","2","0","0","0.00977061946487098","0.118095436741044"
"2","LJP008 HA1E 24H-ABT-737-1.11-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 SKBR3 24H-AZD-7762-0.12-up","16","2","0","1","1","0","NA","NA"
"2","LJP007 HT29 24H-idelalisib-1.11-up","16","2","0","2","1","0","0.00196615926382052","0.118095436741044"
"2","LJP006 HA1E 24H-A443654-3.33-up","16","2","0","1","0","0","NA","NA"
"2","LJP005 HA1E 24H-CGP-60474-10-up","16","2","0","1","1","0","NA","NA"
"2","LJP005 HS578T 24H-AZD-8330-1.11-up","16","2","0","1","1","0","NA","NA"
"2","LJP005 HS578T 24H-WZ-3105-1.11-up","16","2","0","1","0","0","NA","NA"
"2","LJP009 HCC515 24H-KIN001-055-0.37-up","16","2","0","1","1","0","0.0276455376880298","0.118095436741044"
"2","LJP007 HA1E 24H-dinaciclib-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP005 HEPG2 24H-vemurafenib-3.33-up","16","2","0","2","0","0","0.0010682179317221","0.0940903794553584"
"2","LJP005 MCF7 3H-radicicol-10-up","16","2","0","2","1","0","0.0010682179317221","0.0940903794553584"
"2","LJP009 A375 24H-CGP-60474-0.37-up","16","2","0","1","0","0","NA","NA"
"2","LJP008 MCF7 24H-rocilinostat-10-up","16","2","0","3","1","0","0.000265465566313667","0.0395085994555099"
"2","LJP009 MCF7 24H-JNK-IN-5A-3.33-up","16","2","0","2","0","0","0.0023571766245942","0.118095436741044"
"2","LJP005 HS578T 24H-buparlisib-10-up","16","2","0","1","0","0","NA","NA"
"2","LJP006 HEPG2 24H-HG-5-88-01-0.04-up","16","2","0","2","0","0","0.00246022260643176","0.118095436741044"
"2","LJP005 HT29 24H-pelitinib-3.33-up","16","2","0","1","0","0","0.0307590049844483","0.118095436741044"
"2","LJP005 HA1E 24H-GDC-0980-0.12-up","16","2","0","2","1","0","0.000113047430261891","0.0210439498066407"
"2","LJP009 HA1E 24H-CGP-60474-0.37-up","16","2","0","1","0","0","NA","NA"
