"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
"7","vorinostat-6179-dn","108","5","0","7","0","1.16575583666757e-06","0.00141639334155109"
"7","vorinostat-1161-dn","108","5","0","6","0","1.70258011951738e-05","0.0103431742260681"
"7","trichostatin A-6193-dn","108","5","0","7","0","1.16575583666757e-06","0.00141639334155109"
"7","vorinostat-2680-dn","108","5","0","2","0","NA","NA"
"7","trichostatin A-1175-dn","108","5","0","5","0","0.000209568166220551","0.0636563304894925"
"7","LY-294002-2696-dn","108","5","0","1","0","NA","NA"
"7","trichostatin A-2694-dn","108","5","0","2","0","NA","NA"
"7","valproic acid-410-dn","108","5","0","4","0","0.00211853400064599","0.198001446983452"
"7","lycorine-2195-dn","108","5","0","1","0","NA","NA"
"7","piperlongumine-1764-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","dequalinium chloride-1276-dn","108","5","0","5","0","0.000209568166220551","0.0636563304894925"
"7","etynodiol-3102-dn","108","5","0","1","0","NA","NA"
"7","parthenolide-1736-dn","108","5","0","4","0","0.00211853400064599","0.198001446983452"
"7","alprostadil-2938-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","guanadrel-2575-dn","108","5","0","1","0","NA","NA"
"7","acacetin-2189-dn","108","5","0","2","0","NA","NA"
"7","chrysin-3106-dn","108","5","0","2","0","NA","NA"
"7","verteporfin-6133-dn","108","5","0","2","0","NA","NA"
"7","prochlorperazine-2675-dn","108","5","0","2","0","NA","NA"
"7","anisomycin-1304-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","valproic acid-1150-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","11-deoxy-16,16-dimethylprostaglandin E2-7538-dn","108","5","0","2","0","NA","NA"
"7","papaverine-1755-dn","108","5","0","2","0","NA","NA"
"7","trichostatin A-3077-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","lynestrenol-2037-dn","108","5","0","1","0","NA","NA"
"7","diflorasone-2142-dn","108","5","0","2","0","NA","NA"
"7","flunisolide-2168-dn","108","5","0","1","0","NA","NA"
"7","fluphenazine-1178-dn","108","5","0","1","1","NA","NA"
"7","benzamil-2200-dn","108","5","0","1","0","NA","NA"
"7","valproic acid-1155-dn","108","5","0","2","0","NA","NA"
"7","ciclosporin-1331-dn","108","5","0","1","0","NA","NA"
"7","gabexate-2937-dn","108","5","0","1","1","NA","NA"
"7","brinzolamide-1615-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","apigenin-1321-dn","108","5","0","6","0","1.70258011951738e-05","0.0103431742260681"
"7","dipivefrine-1752-dn","108","5","0","2","0","NA","NA"
"7","trifluoperazine-2684-dn","108","5","0","2","0","NA","NA"
"7","ciclosporin-261-dn","108","5","0","1","0","NA","NA"
"7","acetohexamide-1870-dn","108","5","0","3","1","0.0169600753440739","0.321976430360154"
"7","oxyphenbutazone-6160-dn","108","5","0","2","0","NA","NA"
"7","mepacrine-1563-dn","108","5","0","1","0","NA","NA"
"7","arachidonic acid-441-dn","108","5","0","1","0","NA","NA"
"7","betulinic acid-1345-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","trichostatin A-1284-dn","108","5","0","2","0","NA","NA"
"7","atovaquone-2480-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","mometasone-1746-dn","108","5","0","1","0","NA","NA"
"7","nocodazole-1393-dn","108","5","0","2","0","NA","NA"
"7","Prestwick-983-3141-dn","108","5","0","1","0","NA","NA"
"7","methylbenzethonium chloride-2190-dn","108","5","0","1","0","NA","NA"
"7","copper sulfate-500-dn","108","5","0","1","0","NA","NA"
"7","methylprednisolone-1567-dn","108","5","0","2","0","NA","NA"
"7","netilmicin-2963-dn","108","5","0","4","0","0.00211853400064599","0.198001446983452"
"7","ethionamide-2495-dn","108","5","0","1","1","NA","NA"
"7","trichostatin A-1400-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","fluticasone-2928-dn","108","5","0","1","0","NA","NA"
"7","ribostamycin-2705-dn","108","5","0","1","0","NA","NA"
"7","levamisole-2094-dn","108","5","0","1","0","NA","NA"
"7","nipecotic acid-3121-dn","108","5","0","1","0","NA","NA"
"7","ellipticine-1765-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","clozapine-1289-dn","108","5","0","2","0","NA","NA"
"7","troglitazone-1173-dn","108","5","0","2","0","NA","NA"
"7","securinine-2729-dn","108","5","0","1","0","NA","NA"
"7","quercetin-2499-dn","108","5","0","4","0","0.00211853400064599","0.198001446983452"
"7","benzethonium chloride-2508-dn","108","5","0","3","0","0.0169600753440739","0.321976430360154"
"7","Gly-His-Lys-6570-dn","108","5","0","2","0","NA","NA"
"7","dihydroergocristine-1745-dn","108","5","0","1","0","NA","NA"
"7","tanespimycin-521-dn","108","5","0","2","0","NA","NA"
"7","ebselen-2717-dn","108","5","0","1","0","NA","NA"
"7","moxonidine-2923-dn","108","5","0","1","0","NA","NA"
"7","suprofen-3005-dn","108","5","0","2","0","NA","NA"
"7","hemicholinium-1601-dn","108","5","0","2","0","NA","NA"
"7","trichostatin A-2370-dn","108","5","0","1","1","NA","NA"
"7","mefloquine-1364-dn","108","5","0","2","0","NA","NA"
"7","kaempferol-6157-dn","108","5","0","1","0","NA","NA"
"7","chlorcyclizine-2197-dn","108","5","0","1","0","NA","NA"
"7","famprofazone-2174-dn","108","5","0","1","0","NA","NA"
"7","Chicago Sky Blue 6B-1330-dn","108","5","0","4","1","0.00211853400064599","0.198001446983452"
"7","celecoxib-482-dn","108","5","0","2","1","NA","NA"
"7","lasalocid-3021-dn","108","5","0","4","0","0.00211853400064599","0.198001446983452"
