"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
"7","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn","108","5","0","6","1","0.00516487952639209","0.473006873835629"
"7","Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","4","0","0.0472378665743814","1"
"7","Tegafur-175 mg/kg in Water-Rat-Bone marrow-5d-dn","108","5","0","2","0","NA","NA"
"7","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","6","1","0.00247371604761214","0.259773167879909"
"7","Procarbazine-54 mg/kg in Water-Rat-Bone marrow-5d-dn","108","5","0","2","0","NA","NA"
"7","Cytarabine-23 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","6","1","0.0016335822507674","0.218069386560068"
"7","Lomustine-8.75 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","108","5","0","5","1","0.0219819965877583","1"
"7","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-5d-dn","108","5","0","6","1","0.00578131450642096","0.49493079404969"
"7","Melphalan-12 mg/kg in CMC-Rat-Spleen-3d-dn","108","5","0","7","1","0.0011084205181272","0.203021395366741"
"7","Methotrexate-0.3 mg/kg in Corn Oil-Rat-Spleen-1d-dn","108","5","0","4","0","NA","NA"
"7","5-Fluoro-2'-Deoxyuridine-54 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","5","1","0.020056683448123","1"
"7","5-Fluoro-2'-Deoxyuridine-54 mg/kg in Saline-Rat-Bone marrow-1d-dn","108","5","0","6","1","0.00436995154990803","0.419728517159459"
"7","Bleomycin A2-12 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","4","0","NA","NA"
"7","Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-1d-dn","108","5","0","5","0","0.0315821485578704","1"
"7","Sodium Arsenite-10 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","5","1","0.0243254586029744","1"
"7","Carmustine-16 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","108","5","0","4","0","NA","NA"
"7","Altretamine-40 mg/kg in Corn Oil-Rat-Spleen-1d-dn","108","5","0","5","0","0.020056683448123","1"
"7","Zopiclone-414 mg/kg in Water-Rat-Liver-3d-dn","108","5","0","1","0","NA","NA"
"7","Gemcitabine-11 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","4","1","NA","NA"
"7","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","5","1","0.0271482405442769","1"
"7","Ifosfamide-17 mg/kg in Saline-Rat-Bone marrow-3d-dn","108","5","0","4","0","NA","NA"
"7","Betamethasone-79 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","108","5","0","5","1","0.0240240700793906","1"
"7","Clopidogrel-400 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","108","5","0","2","1","NA","NA"
"7","Ifosfamide-143 mg/kg in Saline-Rat-Spleen-5d-dn","108","5","0","2","0","NA","NA"
"8","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn","86","4","0","6","1","0.00165606512359799","1"
"8","Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-3d-dn","86","4","0","5","1","0.00456418209865272","1"
"8","Tegafur-175 mg/kg in Water-Rat-Bone marrow-5d-dn","86","4","0","2","0","NA","NA"
"8","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-3d-dn","86","4","0","4","0","0.0233882487262243","1"
"8","Procarbazine-54 mg/kg in Water-Rat-Bone marrow-5d-dn","86","4","0","3","1","NA","NA"
"8","Cytarabine-23 mg/kg in Saline-Rat-Bone marrow-3d-dn","86","4","0","4","0","0.0178746430935453","1"
"8","Lomustine-8.75 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","86","4","0","4","0","0.0384330889645158","1"
"8","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-5d-dn","86","4","0","5","0","0.00952322221838332","1"
"8","Melphalan-12 mg/kg in CMC-Rat-Spleen-3d-dn","86","4","0","6","0","0.00171397440341726","1"
"8","Methotrexate-0.3 mg/kg in Corn Oil-Rat-Spleen-1d-dn","86","4","0","3","0","NA","NA"
