"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_up_drug","DE_down_drug","p_value","adjusted_pvalue"
"1","Doxorubicin-3 mg/kg in Saline-Rat-Bone marrow-3d-up","132","4","1","16","1","1","3.9264103337839e-09","3.0924407788882e-05"
"1","Thioguanine-12 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","132","4","1","11","0","1","3.96903158365554e-05","0.00496191948458271"
"1","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","132","4","1","10","1","0","2.31552967639933e-05","0.00364742234626422"
"1","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-up","132","4","1","13","0","1","1.48792849164944e-06","0.000558044038106238"
"1","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","132","4","1","9","1","0","0.000200123208288288","0.0153026251308598"
"1","Famciclovir-112 mg/kg in Saline-Rat-Spleen-0.25d-up","132","4","1","13","1","0","1.48792849164944e-06","0.00058594624001155"
"1","Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","132","4","1","12","0","1","3.05481499795445e-06","0.00096238891695557"
"1","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-1d-up","132","4","1","10","1","0","4.42310239958904e-05","0.00519945589539751"
"1","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-1d-up","132","4","1","10","1","1","3.75736746325106e-05","0.00493217102342756"
"1","Carboplatin-6 mg/kg in Saline-Rat-Spleen-3d-up","132","4","1","12","1","0","1.30544001824625e-06","0.000541139241247763"
"1","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","132","4","1","13","1","1","1.10112063517944e-07","0.000108405326533416"
"1","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-0.25d-up","132","4","1","14","1","0","1.66186300429832e-07","0.000145431478020595"
"1","Thioguanine-24 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","132","4","1","11","1","1","8.16065474489409e-06","0.00164803376335348"
"1","Azathioprine-54 mg/kg in Water-Rat-Bone marrow-5d-up","132","4","1","13","1","1","9.07926959108746e-08","0.000102154753284864"
"1","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","132","4","1","12","1","0","7.57927503945919e-07","0.000397962468071871"
"1","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-3d-up","132","4","1","15","1","0","5.68511990496138e-09","2.23880021857379e-05"
"1","Acyclovir-330 mg/kg in Saline-Rat-Spleen-0.25d-up","132","4","1","11","1","0","3.45800630354257e-05","0.00469573407701746"
"1","Azathioprine-54 mg/kg in Water-Rat-Bone marrow-3d-up","132","4","1","11","1","0","4.54331493643357e-05","0.0051859635419349"
"1","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","132","4","1","15","0","0","2.14847151881449e-08","4.23034042054574e-05"
"1","Busulfan-9 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","132","4","1","10","0","1","0.000253903635743986","0.0180157210371138"
"1","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Bone marrow-3d-up","132","4","1","15","0","0","8.28834672170554e-08","0.000108798364633588"
"1","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn","132","4","1","12","1","0","3.98326736636067e-06","0.00112043620633774"
"1","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","132","4","1","9","1","0","0.000389250662583153","0.0247236953105235"
"1","Cisplatin-1.17 mg/kg in Saline-Rat-Spleen-0.25d-up","132","4","1","9","0","0","0.000537598205374843","0.0328226625235059"
"1","N-Nitrosodiethylamine-1.67 mg/kg in Saline-Rat-Spleen-3d-up","132","4","1","11","1","0","0.000117164354129453","0.0108563112132185"
"1","Acyclovir-980 mg/kg in Saline-Rat-Spleen-5d-up","132","4","1","8","1","0","0.00479774136811833","0.169448479889238"
"1","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-3d-up","132","4","1","14","0","0","5.181454393468e-08","8.16182696059079e-05"
"1","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","132","4","1","11","1","1","7.68662248441861e-06","0.00168166218575781"
"1","Bisphenol A-100 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","132","4","1","13","0","0","4.24803417190733e-07","0.000304159246708565"
"1","Acyclovir-330 mg/kg in Saline-Rat-Spleen-1d-up","132","4","1","12","1","0","8.40708575869417e-06","0.00165535518588688"
"1","Allyl Alcohol-25 mg/kg in Saline-Rat-Bone marrow-1d-up","132","4","1","13","1","0","4.74873718475251e-07","0.000311675450559257"
"1","Azathioprine-54 mg/kg in Water-Rat-Bone marrow-1d-up","132","4","1","12","1","0","4.11512229611022e-06","0.001117610455316"
"1","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-1d-up","132","4","1","9","0","0","0.00143783515016885","0.06821921471524"
"1","Thioguanine-24 mg/kg in Corn Oil-Rat-Spleen-5d-up","132","4","1","12","0","1","7.92054627631937e-06","0.00164163743348135"
"1","Etoposide-100 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","132","4","1","10","0","0","0.000195312271248592","0.0152304895876625"
"1","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","132","4","1","7","1","0","0.00540203350908861","0.183389723782681"
"1","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-3d-up","132","4","1","11","0","1","2.31552967639933e-05","0.00357590426104335"
"1","Methotrexate-27 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","132","4","1","9","1","0","0.000862560903221997","0.0468519287846652"
"1","Famciclovir-112 mg/kg in Saline-Rat-Spleen-3d-up","132","4","1","8","0","0","0.00756009982363019","0.241066178991544"
"1","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","132","4","1","10","1","0","4.30561843360956e-05","0.00521708473586291"
"1","Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-3d-up","132","4","1","9","0","1","0.00177219960503845","0.0821049652310755"
"1","Hydroxyurea-400 mg/kg in Saline-Rat-Spleen-1d-up","132","4","1","14","0","1","1.20932787977004e-08","3.17488879368961e-05"
"1","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","132","4","1","9","1","0","0.000231108642025132","0.0168538117091661"
"1","Ifosfamide-17 mg/kg in Saline-Rat-Spleen-0.25d-up","132","4","1","13","0","0","1.14306755142281e-06","0.000529576472647414"
"1","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","132","4","1","11","1","0","7.92054627631937e-06","0.00168600601276463"
"1","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Spleen-1d-up","132","4","1","7","0","1","0.013655787680575","0.380045879053742"
