"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
7,"prednisolone homo sapiens gpl570 gse32962 chdir down",108,5,0,32,2,7.34547149803201e-18,2.56356955281317e-15
7,"ethanol homo sapiens gpl96 gds2767 chdir down",108,5,0,26,2,3.5184356111736e-21,2.45586805659917e-18
7,"tocilizumab homo sapiens gpl6244 gse25160 chdir down",108,5,0,3,0,NA,NA
7,"doxorubicin mus musculus gpl8321 gse17115 chdir down",108,5,0,7,0,7.83107255176141e-06,0.000546608864112946
7,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",108,5,0,10,0,1.16270824938025e-05,0.000737791234606743
7,"celecoxib homo sapiens gpl8300 gse11237 chdir down",108,5,0,4,0,0.00116363154471411,0.0477773422476735
7,"decitabine homo sapiens gpl96 gse19610 chdir down",108,5,0,3,0,0.0228264997768074,0.569032030150414
7,"letrozole homo sapiens gpl3921 gse33366 chdir down",108,5,0,4,0,NA,NA
7,"dexamethasone homo sapiens gpl3921 gse28896 chdir down",108,5,0,2,0,NA,NA
7,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",108,5,0,1,0,NA,NA
7,"enzalutamide homo sapiens gpl570 gse44905 chdir down",108,5,0,4,0,NA,NA
7,"imatinib homo sapiens gpl201 gds838 chdir down",108,5,0,2,0,NA,NA
7,"valproic acid mus musculus gpl6885 gse41020 chdir down",108,5,0,2,1,NA,NA
7,"vorinostat homo sapiens gpl6884 gse46703 chdir down",108,5,0,1,0,NA,NA
7,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",108,5,0,3,0,NA,NA
7,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",108,5,0,3,0,NA,NA
7,"tamoxifen homo sapiens gpl3921 gse33366 chdir down",108,5,0,3,0,NA,NA
7,"valproic acid homo sapiens gpl570 gse14973 chdir down",108,5,0,6,1,0.0432270652600346,0.887426222103063
7,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",108,5,0,2,0,NA,NA
