"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_up_drug","DE_down_drug","p_value","adjusted_pvalue"
"1","prednisolone homo sapiens gpl570 gse32962 chdir down","132","4","1","33","2","0","6.2525545573017e-17","4.36428308099659e-14"
"1","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","132","4","1","52","2","0","2.17526970046454e-07","2.53056375154041e-05"
"1","hydrocortisone homo sapiens gpl201 gse21909 chdir up","132","4","1","19","3","0","0.000248715902123371","0.0124002642630081"
"1","valproic acid mus musculus gpl6885 gse35291 chdir up","132","4","1","18","0","0","4.99298244157486e-09","6.9702034884385e-07"
"1","ethanol homo sapiens gpl96 gds2767 chdir down","132","4","1","24","2","0","1.12833289989868e-16","3.93788182064639e-14"
"1","sirolimus homo sapiens gpl8300 gds3603 chdir up","132","4","1","37","2","0","2.14524337918947e-15","4.99126626224751e-13"
"1","imatinib homo sapiens gpl96 gds3044 chdir up","132","4","1","45","2","1","0.000968533527483101","0.0355808632728002"
"1","tocilizumab homo sapiens gpl6244 gse25160 chdir down","132","4","1","4","0","0","0.0293780803621645","0.569608335910856"
"1","bleomycin mus musculus gpl1261 gse25640 chdir up","132","4","1","23","0","0","2.60483111928822e-09","4.54543030315794e-07"
"1","dexamethasone homo sapiens gpl570 gse33135 chdir up","132","4","1","7","0","0","0.000311621257361051","0.0135944773523758"
"1","trovafloxacin homo sapiens gpl96 gse9166 chdir up","132","4","1","40","0","1","0.00258305948860432","0.0721190209218325"
"1","mycophenolate mofetil homo sapiens gpl6255 gse13922 chdir up","132","4","1","10","0","0","2.96100097440088e-07","2.95254097161688e-05"
"1","rosiglitazone homo sapiens gpl570 gds2453 chdir up","132","4","1","12","0","0","5.73630762931452e-06","0.000363994793205594"
"1","celecoxib homo sapiens gpl8300 gds3384 chdir up","132","4","1","5","0","0","0.000309091304192287","0.0143830486884144"
"1","dexamethasone homo sapiens gpl570 gse37474 chdir up","132","4","1","5","1","0","0.0216088446074153","0.471342922999246"
"1","doxorubicin mus musculus gpl8321 gse17115 chdir down","132","4","1","5","0","0","0.00190057787588916","0.0603001526077562"
"1","rosiglitazone homo sapiens gpl570 gds2453 chdir down","132","4","1","12","0","0","2.74523003955073e-06","0.000191617056760641"
"1","celecoxib homo sapiens gpl8300 gse11237 chdir down","132","4","1","6","0","0","2.10400882455015e-05","0.00112969089195077"
"1","dexamethasone rattus norvegicus gpl1355 gse29912 chdir up","132","4","1","19","0","0","1.87078190949069e-06","0.000163225721603063"
"1","imatinib homo sapiens gpl96 gds3043 chdir up","132","4","1","46","2","0","0.0393697796702112","0.723160689731774"
"1","bleomycin mus musculus gpl6885 gse37635 chdir up","132","4","1","1","0","0",NA,NA
"1","decitabine homo sapiens gpl96 gse19610 chdir down","132","4","1","2","0","0",NA,NA
"1","imatinib homo sapiens gpl96 gds3045 chdir up","132","4","1","40","1","0","0.00751995660506697","0.187461775369169"
"1","imatinib homo sapiens gpl96 gds3042 chdir up","132","4","1","24","0","0",NA,NA
"1","sirolimus rattus norvegicus gpl6247 gse35048 chdir up","132","4","1","11","1","0","0.000729099687482244","0.0299359754036827"
"1","imatinib homo sapiens gpl96 gds3048 chdir up","132","4","1","34","0","1","0.0105366816413291","0.24515345952159"
"1","cyclophosphamide homo sapiens gpl8300 gse7114 chdir up","132","4","1","6","0","0",NA,NA
"1","pioglitazone mus musculus gpl6246 gse37534 chdir up","132","4","1","4","1","0","0.00153391148051465","0.0509842958761537"
"1","letrozole homo sapiens gpl3921 gse33366 chdir down","132","4","1","4","0","0",NA,NA
"1","tretinoin homo sapiens gpl96 gse5007 chdir up","132","4","1","8","0","0","2.14089696339245e-06","0.000166038453383103"
"1","fluoxetine sus scrofa gpl3533 gse21663 chdir up","132","4","1","2","0","0",NA,NA
"1","imatinib homo sapiens gpl201 gds838 chdir up","132","4","1","7","0","0","0.00235758532694561","0.071547589487306"
"1","folic acid homo sapiens gpl2700 gds3656 chdir up","132","4","1","8","0","0",NA,NA
"1","dexamethasone homo sapiens gpl3921 gse28896 chdir down","132","4","1","2","0","0",NA,NA
"1","estradiol homo sapiens gpl571 gds4052 chdir up","132","4","1","10","0","0",NA,NA
"1","cyclophosphamide mus musculus gpl13209 gse27422 chdir up","132","4","1","3","0","0","0.0308210662606783","0.581435249998741"
"1","enzalutamide homo sapiens gpl570 gse44905 chdir down","132","4","1","6","0","0",NA,NA
"1","imatinib homo sapiens gpl201 gds838 chdir down","132","4","1","3","0","0",NA,NA
"1","cyclophosphamide homo sapiens gpl5104 gse27930 chdir up","132","4","1","1","0","0",NA,NA
"1","valproic acid mus musculus gpl6885 gse41020 chdir down","132","4","1","2","1","0",NA,NA
"1","estradiol homo sapiens gpl571 gds4063 chdir up","132","4","1","2","0","0",NA,NA
"1","sevoflurane homo sapiens gpl570 gds2772 chdir up","132","4","1","20","0","0","0.00256150436284591","0.0744970852194351"
