"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","nadolol-4139","44/100",2.50094515492371e-12,5.08525514834487e-09,0,0,4.54888628941853,121.520551333634,"UCN;OCA2;ITIH2;PRDM14;LPAR4;COX6A2;FSTL1;ART1;NEUROD1;HLA-DMB;IBSP;EPYC;ZMAT4;DPF1;PDK4;DPF3;HAS2;RGS9;LEFTY2;UBQLN4;SLC16A4;ABCC2;ITGA3;SEMA6D;HIST1H2AK;ACSL5;RAB3IL1;ZDHHC11;SERPINB5;GNG13;HS3ST2;NELL2;AKR1B10;KCNS1;ETNK2;IL1RAPL2;NOS1AP;RIMBP2;CHST1;TAGLN3;SERPINI1;MFGE8;GPRC5D;SPRR1B",0,0,0,0,38.6363636363636,17
"2","erastin-6364","44/100",2.50094515492371e-12,5.08525514834487e-09,0,0,4.54888628941853,121.520551333634,"EPHB6;KHDRBS3;PTPRS;MOGAT2;TAT;PTPRN;ELAVL4;STMN4;PLG;PHEX;MYLK;KRT83;SLCO1B1;ADAMTS13;GRM4;EXTL1;ZMAT4;TCTN2;NNAT;NT5M;CTSE;SLC17A2;CCL16;SPINK2;LEFTY1;HIST1H2AI;FOXJ1;GPR3;MMP10;PAX1;SSTR5;KLK12;GJD2;KCNS1;DOK5;KRT38;MALL;MXRA8;FSCN1;COL9A1;C11ORF16;TRIM58;HOXB2;HAMP",0,0,0,0,29.5454545454545,13
"3","benserazide-641","44/100",2.50094515492371e-12,5.08525514834487e-09,0,0,4.54888628941853,121.520551333634,"SLC24A2;SPON2;PON3;CXCL9;PARM1;PTPRS;CPNE7;PTPRN;PRDM5;BCL10;PRL;PTH1R;TSPAN32;SLC6A4;CST4;ART1;CKMT2;CD79A;REM1;ADAMTS13;SEC14L5;CA7;PMEPA1;AHSP;PIM2;CCL19;CD177;SRPK3;RIC3;CNTD2;ZBTB16;PYHIN1;CARTPT;KRT32;FRMD1;HS3ST2;ERN2;ADCYAP1;MYL1;PLXNB3;PCDHB6;IGFALS;HIST1H4D;PADI1",6.81818181818182,3,2.27272727272727,1,27.2727272727273,12
"4","finasteride-3641","43/100",1.12980662727873e-11,1.72295510660006e-08,0,0,4.36576434264379,110.045156621911,"CD83;NPFFR1;DAGLA;RASL11B;CALML5;HAAO;TYRP1;CEND1;COX6A2;CACNA1H;CLGN;SLC9A3R2;REM1;HLA-DMB;CHRNG;TCTN2;NNAT;TNFRSF8;ATP6V0A4;MADCAM1;AHSP;A2M;HOXA4;PRPH;CD53;NKX2-8;HTR1E;GRTP1;SERPINF1;IFNA17;FRMD1;ANO2;ETV7;ERN2;MORN1;MMP13;SLPI;CYP1A1;HOXB2;FAM76A;INHA;KCNK2;F2RL2",6.97674418604651,3,0,0,32.5581395348837,14
"5","brompheniramine-4131","42/100",4.90304757611636e-11,3.73857377678872e-08,0,0,4.18903793926426,99.4418082933346,"C1QB;HIST1H2BN;UCN;KHDRBS3;PCDHGB6;HDAC11;IFIT1;SERPINA5;FADS2;IBSP;P2RY4;ZNF280A;TCTN2;KIF5A;NNAT;INPP5J;LEFTY2;SLC17A2;SCN1B;NKX3-2;HOXA4;STRA6;KCNF1;ABCC2;KCNK10;IQSEC2;SEMA6D;HIST1H2AK;ACSL5;TM4SF4;WDR78;HS3ST2;NELL2;ERN2;CYP26A1;SCN10A;HIST1H4A;KCNS1;TCN1;NOS1AP;B3GNT4;CHST1",0,0,0,0,30.952380952381,13
"6","equilin-5620","42/100",4.90304757611636e-11,3.73857377678872e-08,0,0,4.18903793926426,99.4418082933346,"CLSTN2;CPNE7;PTGER2;HMHB1;KRT24;GRPR;CLGN;RHOBTB2;NEUROD1;REM1;GJA1;P2RY6;PRB3;ZNF747;HIST1H1D;ZNF205;SLIT2;N4BP3;A4GALT;SULT4A1;NKX3-2;HIST1H3E;CHRNB2;CBX8;SLC34A2;LEFTY1;LRRC23;HTR1E;GRTP1;PYHIN1;AHNAK2;SPAG4;SSTR4;SSTR5;BMP4;ALDH1A3;ARMC4;LY6D;CYP1A1;VIM;S100A9;S100A7",11.9047619047619,5,0,0,26.1904761904762,11
"7","indometacin-452","42/100",4.90304757611636e-11,3.73857377678872e-08,0,0,4.18903793926426,99.4418082933346,"GPR27;COLEC12;SERPINA3;KCNE1;SEMA7A;CPB1;DAGLA;NXPH3;CEBPE;CHRM5;CHRNA6;CYP2C19;THBS2;ART3;RLBP1;SLC6A4;LGALS4;P2RY6;P2RY4;PENK;NDN;PLAC1;MAGEC1;CA9;N4BP3;CHGB;TNFSF18;NTNG1;RASL10A;IFNA17;FZD8;GDF3;ADRA2B;GUCA2A;HS3ST2;ETV7;NELL2;GAPDHS;TNFSF8;PTPN7;DNASE1L2;SIGLEC5",9.52380952380952,4,0,0,28.5714285714286,12
"8","pioglitazone-5972","42/100",4.90304757611636e-11,3.73857377678872e-08,0,0,4.18903793926426,99.4418082933346,"HIST2H2AA3;PRR4;EXD3;CD83;RAB3A;CPNE7;GREB1L;HSF2BP;ATP2A1;HPR;WFDC2;SLC6A3;ELAVL2;ELAVL3;CST4;SLC9A3R2;GGTLC1;PCBP3;PRB3;LRRTM2;C19ORF73;PCDHA5;TNFRSF8;ZNF423;PCK1;CACNG3;SLC18A3;CBX8;SLC34A2;PRMT8;UNC13A;ZFHX2;POU3F2;EREG;AIM2;TRPV6;LHX3;VGF;OR10C1;HAMP;HLA-DQB2;ITM2C",0,0,0,0,26.1904761904762,11
"9","betonicine-3642","41/100",2.04365868419418e-10,8.31087864905634e-08,0,0,4.01838180074636,89.6545553879377,"HIST2H2AA3;CD83;MAOB;ONECUT2;CPNE7;STAB2;BMP15;HERC5;RELN;PCBP3;RAB40C;GPNMB;HOXC5;TNFRSF8;ZNF205;MADCAM1;AHSP;SLC16A4;PDK1;CHRNB2;APOBEC3C;NKX2-8;LEFTY1;SPINK1;FOXF2;MMP2;TMOD2;MX1;NAA11;KRT9;BATF;ERN2;CORT;ARC;MMP13;VIM;FGF13;SPRR1B;F2RL2;ITM2C;ZNF695",9.75609756097561,4,0,0,24.390243902439,10
"10","thalidomide-266","41/100",2.04365868419418e-10,8.31087864905634e-08,0,0,4.01838180074636,89.6545553879377,"GLDC;CEBPE;ELAVL4;STAB2;NDUFA4L2;PRDM14;HSPB3;GATA1;DUSP13;CD79A;ARVCF;ZNF280A;EFCAB1;DSE;MAGEC1;ARSF;CACNG2;HOXA6;SULT4A1;ADAMTS6;VENTX;ZNF286A;SEMA6B;APOBEC3C;DUSP2;ZFR2;TMEM176A;CIDEA;COPZ2;NMNAT2;KRT75;HOPX;ENOX1;CORT;BHMT;ARMC4;CLDN7;GAPDHS;MAGEB2;HOXB1;IGFALS",4.8780487804878,2,0,0,14.6341463414634,6
