"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","mefloquine-2210","54/100",7.9264175271826e-20,4.83511469158139e-16,0,0,6.82364586279267,300.114185211331,"HIST1H1T;TNFAIP3;IRS2;SLC7A11;IFIT1;ETS2;IFIT2;RND1;RGS2;HIST1H2AE;CYP1B1;HIST1H2AG;CHAC1;SOX9;TEX14;GEM;HIST2H2BE;RHOB;DDIT4;HIST1H2BF;TXNIP;HOXB2;HIST1H2BH;TRIB3;HIST1H2BG;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;HIST1H2BN;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H2BI;DDX60;DNAJB9;HIST1H3B;CGA;IL32;JUN;GADD45B;GADD45A;AKR1C1;SPRY4;AKR1C2;KLF2;INHBE;EFNA1;CXCL10;NR4A1;NR4A3;CYP1A1;HIST1H4H;HIST1H4E",9.25925925925926,5,0,0,33.3333333333333,18
"2","anisomycin-6764","52/100",3.44209615036893e-18,1.04983932586252e-14,0,0,6.29208005473828,253.007376993688,"BTG2;MT1M;HIST1H1T;TNFAIP3;ADM;CXCL3;SAT1;CXCL2;RND1;DMBT1;ADAMTS1;HIST1H2AE;CYP1B1;HIST1H2AG;TEX14;GEM;HIST2H2BE;RHOB;ARC;HIST1H2BF;TXNIP;HIST1H2BE;HIST1H2BH;HIST1H2BG;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;HIST1H2BJ;HIST1H2BI;GATA6;PTGS2;HDAC9;PTHLH;IL1RL1;STC2;HIST1H3H;HIST1H3B;JUN;GADD45B;LIF;INHBA;DHRS2;RPL3L;IL6;KITLG;HIST3H2A;DHRS9;LPAR6;CYP1A1;HIST1H4H;HIST1H4D",13.4615384615385,7,0,0,30.7692307692308,16
"3","cicloheximide-5743","51/100",2.13688420241484e-17,4.3449978782435e-14,0,0,6.04271476032273,231.947175652898,"TNFAIP3;ADM;CLDN1;CXCL2;AREG;ETS2;IFIT2;RND1;AKAP12;DMBT1;ADAMTS1;HIST1H2AE;CYP1B1;HIST1H2AG;PHLDA1;ARID5B;GEM;HIST2H2BE;RHOB;HIST1H2BF;TXNIP;HIST1H2BE;HIST1H2BH;HIST1H2BG;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;DLX2;HIST1H2BJ;HIST1H2BI;GATA6;GATA3;PTGS2;HDAC9;PTHLH;STC2;HIST1H3H;HIST1H3B;EGR2;JUN;GADD45B;GADD45A;LIF;INHBA;TBX3;IL6;HIST3H2A;CYP1A1;HIST1H4H;ID3",19.6078431372549,10,0,0,33.3333333333333,17
"4","terfenadine-6823","50/100",1.27499016051751e-16,1.55548799583136e-13,0,0,5.8034188034188,212.395976367845,"HRK;CD83;HIST1H1T;TNFAIP3;IRS2;SLC7A11;IFIT1;CLDN1;SAT1;AREG;IFIT2;RND1;HIST1H1D;CYP1B1;CHAC1;SOX9;PHLDA1;IER3;DUSP4;GEM;DUSP6;ETV5;ARC;DDIT4;TXNIP;TRIB3;NUPR1;TRIB1;BIRC3;HBEGF;PPP1R15A;CEBPB;HIST1H2BO;HIST1H2BJ;DNAJB9;HIST1H3B;JUN;JAG1;EGR3;GADD45A;SPRY4;KLF2;INHBE;NR4A2;FOSL1;NR4A1;NR4A3;FGF18;CYP1A1;CCL27",8,4,0,0,26,13
"5","lycorine-3808","50/100",1.27499016051751e-16,1.55548799583136e-13,0,0,5.8034188034188,212.395976367845,"CITED2;TNFAIP3;ADM;CXCL3;CLU;CLDN1;CXCL2;ETS2;AKAP12;ADAMTS1;HIST1H2AE;HIST1H2AG;SYBU;ARID5B;TEX14;HIST2H2BE;ARC;HIST1H2BF;TXNIP;HIST1H2BE;HIST1H2BG;HIST1H2BC;HBEGF;PPP1R15A;HIST1H2BJ;HIST1H2BI;PTGS2;HDAC9;PTHLH;IL1RL1;STC2;HAS2;HIST1H3H;KRTAP2-4;HIST1H3B;PDLIM5;KRTAP4-7;CCL20;LIF;INHBA;KLF4;DHRS2;IL6;KITLG;NR4A3;HIST3H2A;KRT17;DHRS9;KRT16;HIST1H4H",12,6,0,0,38,19
"6","mebendazole-4694","49/100",7.3116961141939e-16,7.43355771609713e-13,0,0,5.57359977483816,194.250465157775,"CRISP2;SERPINA3;ONECUT2;IL5RA;IRS2;AQP3;SAT1;AREG;ADORA1;TIMP3;CHAC1;SOX9;ZNF385D;PDE8B;PHLDA1;DUSP4;IGFBP3;PLAUR;TEX14;GPR37L1;NAV2;ETV5;ANO2;DCT;MALL;KCNMA1;HOXB6;PTGES;BIRC3;PAPPA2;HBEGF;LPAR4;RASGRP2;MEFV;THSD4;PTGS1;CCDC33;ST3GAL1;HSD3B1;SPRY4;LIF;DHRS3;INHBE;FOSL1;CYP26A1;COL5A1;C11ORF16;TGFBI;SIGLEC8",12.2448979591837,6,0,0,32.6530612244898,16
"7","trichostatin A-3868","48/100",4.03013900255793e-15,2.45838479156034e-12,0,0,5.35271083545768,177.415469647548,"GLDC;NXN;STXBP1;DIXDC1;TNFAIP3;PIK3CD;ADM;GLRX;CYP46A1;IFIT1;ADD3;CASC1;SAT1;CLGN;RND1;RGS2;CSRP2;CA5B;HEY1;TBXA2R;HOXA1;SLC17A7;FYN;PRPH;CXADR;SLC30A3;TMOD2;AHNAK2;RNASE4;SERPINB9;ZDHHC11;DHRS2;GEM;RPL3L;SERPINB5;PSMB9;CCNA1;ARMCX2;MAP1B;PADI3;FSCN1;TXNIP;SERPINI1;NES;ITM2C;BIRC3;TMEM45A;HBEGF",4.16666666666667,2,0,0,16.6666666666667,8
"8","propofol-3386","48/100",4.03013900255793e-15,2.45838479156034e-12,0,0,5.35271083545768,177.415469647548,"PPP1R15A;CD83;HIST1H2BO;HIST1H2BJ;HIST1H2BI;GRIK5;GSTP1;TNFAIP3;IRS2;SLC7A11;IFIT1;NR3C1;ETS2;IFIT2;RGS2;STS;GM2A;MPZ;HIST1H3F;MYL10;HOXA1;PTGDS;HIST1H3B;EGR2;JUN;EGR4;AKR1C1;MX1;TEX14;PNMA3;GEM;KLF2;INHBE;NR4A1;ARC;FABP3;IL1B;DNAJC4;ITGA8;TXNIP;HIST1H4H;HIST1H2BG;CD47;ABCG4;FGFR3;HOXB5;BIRC3;HBEGF",8.33333333333333,4,0,0,25,12
"9","felodipine-3295","48/100",4.03013900255793e-15,2.45838479156034e-12,0,0,5.35271083545768,177.415469647548,"PPP1R15A;HIST1H2BN;DLX2;BTG2;CD83;HIST1H2BO;HIST1H2BJ;TNFAIP3;IRS2;SLC7A11;IFIT1;DDX60;RND1;CA5B;PLAU;SEC14L5;HIST1H2AE;HIST1H1D;HIST1H1E;DNAJB9;CHAC1;SOX9;HIST1H3B;CGA;PHLDA1;DUSP4;EGR2;JUN;EGR4;GADD45A;USP2;SPRY4;LIF;GEM;KLF2;INHBE;NR4A2;EFNA1;NR4A1;SCN10A;NR4A3;STK24;DDIT4;C11ORF16;DNASE1;TRIB1;BIRC3;HBEGF",4.16666666666667,2,0,0,31.25,15
"10","miconazole-1477","48/100",4.03013900255793e-15,2.45838479156034e-12,0,0,5.35271083545768,177.415469647548,"PPP1R15A;DLX2;CEBPB;HIST1H2BJ;GRIK5;TNFAIP3;IRS2;SLC7A11;IFIT1;COX6A2;SLC1A7;AREG;ETS2;RND1;HERC5;RGS2;HLA-DMA;DNAJB9;CHAC1;HIST1H3B;CGA;PHLDA1;STRA6;DUSP4;JUN;GADD45A;LIF;TEX14;GEM;KLF2;NR4A2;EFNA1;FOSL1;SFRP4;NR4A1;ARC;NR4A3;MALL;DDIT4;HIST1H4H;AAGAB;SIK1;TRIB1;ALDH7A1;HIST1H4D;STX1A;BIRC3;HBEGF",4.16666666666667,2,0,0,33.3333333333333,16
