"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","etoposide-5027","66/100",1.67661297544977e-30,1.02273391502436e-26,0,0,4.33070866141732,296.916751296195,"ARHGAP11A;GPSM2;ERCC6L;HJURP;KIF14;BUB1B;SIX1;KIF11;MKI67;KIF15;LMNB1;CDC20;GJA1;HIST1H2AG;NEK2;SYBU;CEP55;DLGAP5;ZNF165;DSCAM;KIF23;NME5;TUBA4B;CCNA2;GPRIN2;ASPM;NEIL3;PSRC1;DBF4;ESPL1;DEPDC1;FAM64A;KIF20A;KIF20B;CDCA3;HIST1H2BJ;TROAP;C2ORF67;NCAPG;TTK;HMMR;NCAPH;AURKB;RECQL4;CCNB1;RACGAP1;CCDC85C;FAM5C;HIST1H3B;E2F8;STIL;SPAG5;UBE2C;NDE1;PLK1;XRCC3;NDC80;TPX2;CENPE;KIF18A;CENPF;XK;PRC1;KIF4A;TACC3;CDKN3",1.51515151515152,1,0,0,51.5151515151515,34
"2","5109870-904","65/100",1.80134494607377e-29,5.49410208552499e-26,0,0,4.26509186351706,282.291221634752,"TOP2A;CCNF;KIF14;BUB1B;KIF11;MKI67;HOXC11;DNALI1;CDC20;FRAT1;HYAL2;ZNF85;NUSAP1;DNMT3B;DLEU2;CEP97;A4GALT;GTSE1;ZNF323;DLGAP5;ZNF165;ELOVL4;NPY1R;KIF23;CIT;ASPM;NEIL3;PSRC1;CCNE1;KIFC1;DEPDC1;FAM64A;KIF20A;ZNF675;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB1;RACGAP1;HIST1H3G;FAM5C;RIBC2;E2F8;UBE2C;PLK1;PLEKHA6;NDC80;BMP4;TPX2;CENPE;KIF18A;CENPF;KIF18B;REEP4;KIF4A;TACC3;PTTG3P;SPC25",3.07692307692308,2,0,0,47.6923076923077,31
"3","etoposide-3241","60/100",1.35291001133602e-24,2.75091702304991e-21,0,0,3.93700787401575,216.377103918697,"HIST2H2AA3;HJURP;KIF14;BUB1B;KIF11;BRCA2;COX6A2;LMNB1;CDC20;IPO8;CEP55;DLGAP5;ZNF165;DGAT1;KIF23;IL17RB;CCNA2;ERN2;ASPM;NEIL3;RBL1;PSRC1;ESPL1;CLIP4;DEPDC1;FAM64A;KIF2C;KIF20A;ZNF675;DTL;CDCA3;TROAP;NCAPG;CDCA8;WDR62;HMMR;CENPA;AURKB;LDHB;CCNB1;CCDC85C;RIBC2;BCL11B;UBE2C;NDE1;PLK1;NDC80;BMP4;LOC730101;TPX2;CENPE;KIF18A;CENPF;KIF18B;CENPI;PRC1;KIF4A;TACC3;MXD3;CDKN3",3.33333333333333,2,1.66666666666667,1,48.3333333333333,29
"4","monobenzone-5312","53/100",1.59908032201051e-18,2.43859749106603e-15,0,0,3.47769028871391,142.505673192814,"TOP2A;ARHGAP11A;KIF14;HMGB3;KIF11;LMNB1;CDC20;NUSAP1;HIST1H1D;HIST1H2AG;CCDC99;DLGAP5;SLC6A14;HIST1H2AJ;CKAP2;ARID5B;KIF23;SULT2B1;ASPM;PSRC1;DEPDC1;FAM64A;KIF20A;KIF20B;SNORA21;ZNF273;CDCA3;HIST1H2BI;TROAP;TTK;HMMR;CENPA;AURKB;AURKA;CCNB2;CCNB1;RACGAP1;GAR1;METTL4;HIST1H3G;ECT2;UBQLN4;CYP2J2;STIL;UBE2C;PLK1;C9ORF40;NDC80;TPX2;CENPE;KIF18A;CENPF;TACC3",5.66037735849057,3,0,0,41.5094339622642,22
"5","0173570-0000-7389","53/100",1.59908032201051e-18,1.95087799285283e-15,0,0,3.47769028871391,142.505673192814,"GPSM2;HJURP;KIF14;HMGB3;KIF11;GRPR;CDH7;CDC20;CHEK2;DNMT3B;HIST1H2AG;DLEU2;DLGAP5;GABPA;ZNF165;SCARA3;EN2;KIF23;CCNA2;ASPM;CLDN4;PSRC1;DBF4;ADORA2B;CLDN14;DEPDC1;CDC42EP1;FAM64A;KIF2C;KIF20A;KIF20B;ST6GALNAC5;SLC29A2;IPPK;CDCA3;CDCA8;HMMR;ADRB2;WDR67;CCNB2;CCNB1;GPR110;APOL6;PAK3;PLK1;NDC80;TPX2;CENPE;CENPF;PRC1;KIF4A;CENPO;SPC25",7.54716981132075,4,0,0,45.2830188679245,24
"6","methotrexate-5000","52/100",1.00371490011943e-17,1.02044348178809e-14,0,0,3.41207349081365,133.549370428275,"TOP2A;ARHGAP11A;GPSM2;SUV39H2;SETD8;HJURP;KIF14;BUB1B;KIF11;LMNB1;CDC20;ZMYM3;HIST1H1E;CCDC99;PGPEP1;DLGAP5;ZNF165;ELOVL4;ENTPD7;CKAP2;COBL;KIF23;ASPM;PSRC1;DBF4;DEPDC1;FAM64A;KIF20A;EXOC5;ZNF675;CDCA3;TROAP;CDCA8;TTK;HMMR;AURKA;CCNB1;METTL4;ECT2;STIL;UBE2C;PLK1;XRCC3;GINS4;NDC80;TPX2;CENPE;KIF18A;EFNA3;CENPF;PRC1;TACC3",5.76923076923077,3,1.92307692307692,1,42.3076923076923,22
"7","resveratrol-841","52/100",1.00371490011943e-17,8.74665841532648e-15,0,0,3.41207349081365,133.549370428275,"SUV39H2;ERCC6L;CCNF;HJURP;KIF14;BUB1B;KIF11;MKI67;HOXC10;CDC20;ZNF85;SCMH1;DLEU2;GTSE1;DLGAP5;KIF23;HAUS6;CTPS;PISD;ASPM;PSRC1;ASPHD1;KIFC1;MMP15;DEPDC1;KIF20A;IPPK;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;HMMR;CENPA;CCNB1;RACGAP1;P2RY2;FAM5C;RPRM;E2F8;PRPF38B;CHKA;UBE2C;PLK1;NDC80;CENPE;CENPF;WEE1;KIF18B;CDK1;TACC3;SPC25",0,0,0,0,50,26
"8","ciclopirox-5023","51/100",6.05476334437373e-17,4.61675705008497e-14,0,0,3.34645669291339,124.967071242679,"TOP2A;ARHGAP11A;ERCC6L;CCNF;HJURP;KIF14;BUB1B;HOXC13;CDC20;HIST1H1D;PITX2;DLGAP5;SGCG;ZNF165;KIF23;OVOL2;CIT;ASPM;PSRC1;DBF4;ESPL1;DEPDC1;FAM64A;KIF20A;CDCA3;TROAP;NCAPG;CDCA8;PLA2G3;TTK;HMMR;CENPA;AURKB;AURKA;THBS3;CCNB1;UBQLN4;CNNM4;UBE2C;NDE1;PLK1;RFTN1;NDC80;CENPE;KIF18A;SMTN;KIF18B;PRC1;CAMK4;ECHDC3;PVRL3",3.92156862745098,2,0,0,54.9019607843137,28
"9","resveratrol-958","51/100",6.05476334437373e-17,4.10378404451997e-14,0,0,3.34645669291339,124.967071242679,"ARHGAP11A;ERCC6L;SUV39H1;HJURP;KIF14;BUB1B;KIF11;MKI67;KIF15;LMNB1;CDC20;FBXO5;GTSE1;DLGAP5;ZNF165;TMOD3;SLC6A14;CKAP2;KIF23;CCNA2;ASPM;PSRC1;KIFC1;DEPDC1;IRF6;KIF20B;ZNF552;CDCA3;TROAP;ARHGAP19;CDCA8;LYPD3;TTK;CENPA;C1ORF112;CCNB1;RACGAP1;FAM5C;E2F8;PRPF38B;CHKA;ATAD5;UBE2C;PLK1;NDC80;CENPE;KIF18A;CENPF;CENPI;TACC3;SPC25",0,0,0,0,43.1372549019608,22
"10","ciclopirox-3317","51/100",6.05476334437373e-17,3.69340564006798e-14,0,0,3.34645669291339,124.967071242679,"TOP2A;ARHGAP11A;ERCC6L;CALML5;HJURP;KIF14;BUB1B;KIF11;MKI67;CDC20;NUSAP1;A4GALT;DLGAP5;SGCG;RNF43;ZNF165;KIF23;ASPM;C12ORF48;PSRC1;ARMC4;DEPDC1;FAM64A;KIF20A;CDCA3;DHX8;TROAP;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;CCNB1;RACGAP1;FAM5C;RIBC2;IRX5;UBE2C;PLK1;PLEKHA6;NDC80;TPX2;CENPE;SLC4A8;KIF18A;CENPF;KIF18B;PRC1;KIF4A;ECHDC3",5.88235294117647,3,1.96078431372549,1,52.9411764705882,27
