"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","tetryzoline-6069","50/100",3.51043811572415e-16,2.14136725059173e-12,0,0,3.28083989501312,116.750723880976,"ALK;CRISP2;STEAP4;PIK3C2G;RPH3A;ADAMTS5;AIM1L;COL10A1;HOXA7;ADAMTS9;TAPT1;GPR39;HGD;SH2D3A;BHMT2;COPG2IT1;KCNAB1;SEZ6L;MUC3B;GAP43;BIN1;AGTR1;TRIM15;TAGLN3;CYP2E1;PPARA;TRIM10;MEG3;LAMA2;PLA2G5;LRP2;CXXC4;ADD2;ACAN;FZR1;CALD1;P2RY1;KIAA0319;MUC4;BUB1;MSR1;MBD2;FZD9;ATP2B4;PLXDC1;CYP24A1;PCDHB17;ACCN1;SERPINI2;SERHL2",14,7,0,0,36,18
"2","skimmianine-2504","48/100",1.04780761578861e-14,3.19581322815527e-11,0,0,3.1496062992126,101.384224584536,"DNAH3;ENPEP;ABCB1;SERPINB13;HIST1H2BJ;NPR1;DPT;ATP1A3;PRELP;SLC6A1;C8A;CDH6;RIMS2;SOX2;CLEC3B;CALCR;SLN;THPO;PRB1;SLC22A18AS;CALD1;HOXC4;PDLIM4;HOXA4;KCNJ3;TFAP2B;KCNK10;CDX1;SLC34A1;GAD1;SPINK5;HIST1H2AJ;NR2F1;GPR1;GAD2;TTC38;RUNX1;SSTR5;BAIAP3;C19ORF21;BIN1;SLCO1A2;TAGLN3;TRIM31;CFTR;LIMS2;CDK5R2;SLC28A3",6.25,3,0,0,22.9166666666667,11
"3","phthalylsulfathiazole-3371","48/100",1.04780761578861e-14,2.13054215210352e-11,0,0,3.1496062992126,101.384224584536,"TPMT;HR;AKAP6;COX6A2;HOXA11;SYDE1;APOM;TRIM29;KIF5A;PENK;HOXC4;DGCR8;SLC17A7;LY6G6C;EPHB2;SULT4A1;TRPM3;RAI2;MYOG;APC2;TKTL1;MSX2;SLC30A3;HGF;CEP152;PIPOX;HMGA2;PDE4DIP;ETV4;RUNX1;BAIAP3;CACNB1;ERN2;MMP11;PTPRB;LPHN1;CEACAM7;ARMC4;HECW1;GPER;MMP19;ROR2;TAGLN3;BIRC7;MOCS1;FRK;HCN2;GPR124",8.33333333333333,4,0,0,31.25,15
"4","Prestwick-1100-4356","47/100",5.39431932597067e-14,8.22633697210528e-11,0,0,3.08398950131234,94.2184848622384,"RIF1;HPGD;COL14A1;CYP3A5;BARX2;EDNRA;HYAL1;SOX15;NPY;BDKRB1;E2F2;KIAA1609;KIF21B;ACADS;ALOXE3;TP63;SEMA6B;ZCCHC24;IL11;SLC30A3;SLC11A1;MBD2;DIO2;FZD9;HTR3A;BAIAP2;MUC3B;BICC1;TBX3;RUNX1;FOSL2;MLXIPL;CEACAM1;OBSCN;DOK4;ADAM12;ID4;ACRV1;TRIM36;SERHL2;TRIM10;LPHN3;HOXB6;FBXL7;CDK5R2;S100A7;SLC28A3",12.7659574468085,6,0,0,31.9148936170213,15
"5","Prestwick-1084-3546","47/100",5.39431932597067e-14,6.58106957768422e-11,0,0,3.08398950131234,94.2184848622384,"CNTNAP2;OCA2;FOXG1;HAAO;ATP1A3;ADCY2;NPAS2;MYLK;RPH3A;MRC2;C3ORF18;EDNRB;GPR153;MLANA;NPY;CCRL2;PAK6;EPHB2;GPM6B;ZBED4;MARK1;DLGAP4;PDGFRB;ABCC3;MSR1;SPINK2;SEMA6A;ENTPD3;NTRK3;AMPD1;TM4SF5;TTC38;BCMO1;SSTR5;TBX2;CACNB1;COL1A1;GNAO1;KCNQ2;PKP1;FSCN3;SCN4A;PLCH2;ALDOB;FAM70A;CHST5;CRYAB",8.51063829787234,4,0,0,27.6595744680851,13
"6","ajmaline-1749","47/100",5.39431932597067e-14,5.48422464807018e-11,0,0,3.08398950131234,94.2184848622384,"CNTFR;EXD3;CHRNA2;DNAH7;LAMA2;ELN;C22ORF31;CACNA1A;PTN;CDH6;MRC2;SAMD14;EFNB3;PRB1;AIM1L;CHN2;ADORA1;RNF39;DGCR8;SLC39A2;SPDEF;C2ORF54;KCNF1;ATP8B2;GPX3;DIO2;TNFRSF10C;SLC6A11;DUSP26;GNL1;PRODH2;SPTB;MUC5AC;GNAO1;ERN2;KRT17;SLC7A9;C9ORF7;MXRA8;MYF6;TUT1;BIRC7;CENPO;PPARA;PADI1;LIMS2;LLGL2",4.25531914893617,2,0,0,27.6595744680851,13
"7","trichostatin A-3791","46/100",2.66911509679519e-13,2.32594315577866e-10,0,0,3.01837270341207,87.387501570196,"RGS17;TPMT;CITED1;STON1;FHL3;DENND3;IL1RAP;AQP3;RND1;ARNTL;TRIM9;PAIP2B;KIF5C;CLMN;BAI2;KDR;ENPP2;HOXA1;TPPP;SNCB;RAI2;KCNH2;PDGFRA;STARD5;SLC30A3;SYT1;ELOVL4;PCDH7;PDE4DIP;TMPRSS11E;NGF;BAIAP2;CYP39A1;EFNA3;MMP16;CRISPLD2;IL7;SYT11;MAK;AGTR1;FXYD7;TRIM36;LPPR4;IRF6;EPHA3;TJP3",2.17391304347826,1,0,0,19.5652173913043,9
"8","nimodipine-6480","46/100",2.66911509679519e-13,2.03520026130633e-10,0,0,3.01837270341207,87.387501570196,"MEG3;BTG4;NPR1;COL14A1;ITGB4;HFE;ADAM22;SLC2A2;CHD5;ABHD6;IL1RAP;CPN2;ART4;CST4;AKT3;CXCR2;ZFPL1;PITX1;GABRD;DUOX2;SOX5;FGB;PLEKHG3;TFAP2B;SVIL;CDKN2A;EMR2;GPR1;PDE4DIP;PARVA;SOX10;RUNX1;RBP4;G6PC2;PTPRB;AKR1B10;LPHN1;C7ORF44;TRPV6;ARTN;RBM12B;MAP3K13;MFGE8;CRYAB;APBA2;ATP6V1B1",4.34782608695652,2,2.17391304347826,1,32.6086956521739,15
"9","epiandrosterone-3306","46/100",2.66911509679519e-13,1.80906689893896e-10,0,0,3.01837270341207,87.387501570196,"GPM6A;SPRR3;STEAP4;SLC24A3;PTGER3;RORC;LECT1;HR;LRP2;ADH7;COX6A2;ELAVL2;PTHLH;HOXA10;CSRP3;TRIM29;CASP10;SVEP1;N4BP3;ACADS;RHBG;XDH;SYT5;FGA;GCKR;KCNB1;NCAPH2;FANCA;MAPK8IP2;POU4F1;STXBP5L;MAPK10;RBP4;ARC;KRT17;CAMK4;TBX10;NOS1AP;PGR;PLCH1;TAGLN3;ALDOB;HAMP;NOX1;CDRT1;CHST3",8.69565217391304,4,0,0,28.2608695652174,13
"10","butyl hydroxybenzoate-6446","45/100",1.26923598349268e-12,7.74233949930533e-10,0,0,2.95275590551181,80.8836790874576,"POPDC3;PTGER3;ICA1;SIX1;CACNA1D;GATA4;SLC6A20;PLD1;CLDN1;PHYHIP;BEGAIN;CDH6;RGS5;CNN1;C18ORF25;SLC22A18AS;CALD1;HYAL1;CLCA2;MYOZ3;SPRR2B;MUC4;NKX3-2;TGM2;PCDHA6;CEP135;HGD;TPSG1;FAM5B;RFPL3;CDC25C;GNG11;TTC38;FOSL2;GNAO1;GAP43;AKR1B10;PPAP2B;TBX10;RIMBP2;TRIM36;PGR;CHST4;DSC1;LRP12",2.22222222222222,1,0,0,40,18
