"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","quinpirole-2977","13/100",3.82853653598808e-14,1.72628712407702e-10,0,0,27.1309712116419,838.176320742809,"DFFB;UBIAD1;METTL1;PUS1;RRP1;RPP40;PPAN;URB2;PWP2;RRP9;NOL6;KAT2A;POLR1C",0,0,0,0,0,0
"2","trichostatin A-1153","12/100",1.02123848534829e-12,2.30238216521772e-09,0,0,24.5330578512397,677.357850523297,"QTRT1;KAT2A;METTL1;PUS1;GRWD1;DPH2;RRP1;UBTF;TRMT2A;PPRC1;RRP9;NOL6",0,0,0,0,0,0
"3","LY-294002-4460","11/100",2.46521883114705e-11,2.77891792741052e-08,0,0,22.0345176637311,538.218553589336,"DBNDD1;PRR7;PODXL2;PUS1;GRWD1;DPH2;RRP1;PPAN;URB2;PPRC1;RRP9",0,0,0,0,27.2727272727273,3
"4","tetryzoline-2507","11/100",2.46521883114705e-11,2.77891792741052e-08,0,0,22.0345176637311,538.218553589336,"QTRT1;PDCD11;METTL1;PUS1;GRWD1;RSAD1;PPAN;DOLK;URB2;RRP9;NOL6",0,0,0,0,0,0
"5","wortmannin-1243","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"DFFB;GRWD1;PAK1IP1;RRP1;MOGS;DOLK;URB2;PPRC1;NOL6;BYSL",0,0,0,0,0,0
"6","trichostatin A-6454","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"ZNF692;PRR7;KAT2A;URGCP;METTL1;PUS1;PPAN;UBTF;TRMT2A;PPRC1",0,0,0,0,10,1
"7","15-delta prostaglandin J2-6190","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"QTRT1;SMPD2;CGREF1;METTL1;DEAF1;PUS1;RSAD1;RPP40;POLR1C;URB2",0,0,0,0,10,1
"8","pergolide-2403","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"SUPV3L1;QTRT1;PUS1;RSAD1;RPP40;PPAN;URB2;PWP2;RRP9;NOL6",0,0,0,0,0,0
"9","tretinoin-1548","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"UBIAD1;MTG1;PUS1;RRP1;RPP40;PPAN;URB2;PWP2;NOL6;BYSL",0,0,0,0,0,0
"10","tretinoin-1152","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"ZNF692;UBIAD1;DEAF1;DPH2;RRP1;RPP40;PPAN;URB2;RRP9;BYSL",0,0,0,0,0,0
"11","trichostatin A-1400","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"TOE1;UBIAD1;URGCP;MTG1;PUS1;GRWD1;PAK1IP1;ACIN1;TRMT2A;PWP2",0,0,0,0,0,0
"12","mephentermine-2563","10/100",5.35000123622754e-10,2.0102629645125e-07,0,0,19.6309523809524,419.096375874992,"DFFB;UBIAD1;PDCD11;DEAF1;DPH2;ZNF74;PPAN;DOLK;PWP2;RRP9",0,0,0,0,0,0
"13","Prestwick-983-3141","9/100",1.03563870890984e-08,2.74687937557321e-06,0,0,17.318195079257,318.406488061462,"ZNF692;METTL1;PUS1;RRP1;RPP40;PPAN;DDX54;URB2;BYSL",0,0,0,0,0,0
"14","tanespimycin-1159","9/100",1.03563870890984e-08,2.74687937557321e-06,0,0,17.318195079257,318.406488061462,"DFFB;UBIAD1;METTL1;DPH2;RRP1;RSAD1;PMM2;RRP9;NOL6",0,0,0,0,0,0
"15","alprostadil-2938","9/100",1.03563870890984e-08,2.74687937557321e-06,0,0,17.318195079257,318.406488061462,"QTRT1;ZNF692;DEAF1;PUS1;PPAN;URB2;PWP2;RRP9;BYSL",0,0,0,0,0,0
"16","geldanamycin-1169","9/100",1.03563870890984e-08,2.74687937557321e-06,0,0,17.318195079257,318.406488061462,"UBIAD1;METTL1;PUS1;GRWD1;PAK1IP1;MOGS;DOLK;RRP9;NOL6",0,0,0,0,0,0
"17","fulvestrant-6925","9/100",1.03563870890984e-08,2.74687937557321e-06,0,0,17.318195079257,318.406488061462,"ZNF692;UBIAD1;METTL1;PUS1;GRWD1;PPAN;URB2;AARSD1;BYSL",0,0,0,0,0,0
"18","syrosingopine-5733","8/100",1.7712817094647e-07,2.66223640932544e-05,0,0,15.0922959572845,234.630752705618,"TMEM120B;ZNF84;PUS1;GRWD1;PMM2;TRMT2A;ANAPC2;NOL6",0,0,0,0,0,0
