"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","moracizine-2959","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"UCN;SMPD2;DEAF1;NCAPH2;MOGS;ZNF783",0,0,0,0,16.6666666666667,1
"2","raubasine-1748","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"VAC14;AMN;NR3C1;SEC31B;NADK;ZNF783",16.6666666666667,1,0,0,0,0
"3","glipizide-1926","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"QTRT1;TMEM120B;VAC14;SNAPC4;APOC1;ANKZF1",0,0,0,0,16.6666666666667,1
"4","piperine-1327","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"QTRT1;ZNF692;PRR7;NPRL3;SLC19A1;ZNF783",0,0,0,0,33.3333333333333,2
"5","spiperone-1559","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"VAC14;PAQR6;ARVCF;DEAF1;DPH2;NCAPH2",0,0,0,0,16.6666666666667,1
"6","iloprost-496","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"RRP1;NPRL3;PPAN;TRMT2A;ANAPC2;ZNF783",0,0,0,0,0,0
"7","zimeldine-2012","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"LETM1;VAC14;ARVCF;PAK1IP1;APOC1;NOL6",0,0,0,0,16.6666666666667,1
"8","loracarbef-2970","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"UCN;PRR7;TNK2;APOC1;AP1B1;NLE1",0,0,0,0,50,3
"9","tetraethylenepentamine-412","6/100",3.39975406001356e-05,0.0129077329145181,0,0,10.8862802641233,112.011358433364,"QTRT1;VAC14;PAQR6;AMN;PEX10;SLC19A1",0,0,0,0,50,3
"10","iloprost-488","5/100",0.00036883273112096,0.0307390595668371,0,0,8.89923526765632,70.3499438099065,"SMPD2;PWP2;ACACA;NADK;TARBP1",0,0,0,0,0,0
"11","monorden-325","5/100",0.00036883273112096,0.0307390595668371,0,0,8.89923526765632,70.3499438099065,"PTP4A2;VAC14;BRF1;PAK1IP1;TARBP1",0,0,0,0,0,0
