"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","etoposide-5027","37/100",1.89656516968997e-19,1.15500818834119e-15,0,0,8.92230100610898,384.632119352728,"ERCC6L;CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;TTK;HMMR;KIF11;MKI67;NCAPH;AURKB;CDC20;GJA1;PTTG1;NEK2;CEP55;DLGAP5;STIL;DUSP2;SPAG5;UBE2C;PLK1;MATK;TUBA4B;CCNA2;TPX2;ASPM;CENPE;NEIL3;CENPF;ESPL1;KIF4A;LHX6;KIF20A;CDKN3",2.7027027027027,1,0,0,100,37
"2","5109870-904","32/100",6.53495764867899e-15,1.98989460402275e-11,0,0,7.11831442463533,232.49561335718,"TOP2A;CDCA3;TROAP;KIF14;BUB1B;NCAPG;CDCA8;TTK;HMMR;KIF11;MKI67;HOXC11;CENPA;NCAPH;AURKB;CDC20;FRAT1;GTSE1;DLGAP5;UBE2C;PLK1;TPX2;ASPM;CENPE;NEIL3;ARMCX1;CENPF;KIF18B;KIFC1;KIF4A;KIF20A;SPC25",3.125,1,0,0,96.875,31
"3","ciclopirox-5023","30/100",3.11075274802597e-13,4.73612105886954e-10,0,0,6.47156726768377,186.372992653258,"TOP2A;ERCC6L;CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;PLA2G3;TTK;HMMR;HOXC13;CENPA;AURKB;CDC20;PITX2;DLGAP5;SGCG;HOXC6;UBE2C;PLK1;ASPM;CENPE;SMTN;MEIS1;KIF18B;ESPL1;CNGB3;KIF20A",3.33333333333333,1,0,0,100,30
"4","resveratrol-841","30/100",3.11075274802597e-13,4.73612105886954e-10,0,0,6.47156726768377,186.372992653258,"ERCC6L;PRR7;CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;MKI67;CENPA;CDC20;P2RY2;GTSE1;DLGAP5;UBE2C;PLK1;SNHG3;ASPM;ALDH1A3;CENPE;CENPF;KIF18B;ASPHD1;KIFC1;ID1;KIF20A;SPC25",0,0,0,0,100,30
"5","etoposide-3241","29/100",2.00014347114778e-12,2.436174747858e-09,0,0,6.16242157878557,166.002093576927,"CHRNA5;CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;CENPA;AURKB;CDC20;CEP55;DLGAP5;UBE2C;PLK1;CCNA2;ERN2;TPX2;ASPM;CENPE;NEIL3;CENPF;KIF18B;ESPL1;KIF4A;KIF20A;CDKN3",0,0,0,0,100,29
"6","ciclopirox-3317","28/100",1.225649916331e-11,1.24403466507597e-08,0,0,5.86223299228146,147.288397437917,"TOP2A;ERCC6L;SLC47A1;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;HMMR;KIF11;MKI67;CENPA;NCAPH;AURKB;CDC20;DLGAP5;SGCG;UBE2C;PLK1;TPX2;ASPM;CENPE;ARMCX1;CENPF;KIF18B;KIF4A;KIF20A",3.57142857142857,1,0,0,100,28
"7","methotrexate-5419","26/100",3.96895041734757e-10,2.41709080416467e-07,0,0,5.28727114210985,114.455404985811,"TOP2A;TROAP;HJURP;KIF14;CDCA8;HMMR;MKI67;CDC20;DLGAP5;DUSP2;EGLN3;SLC12A5;UBE2C;PLK1;MATK;ERN2;TPX2;ASPM;CENPE;SMTN;ESPL1;VGF;KIFC1;KIF20A;GPR19;CDKN3",3.84615384615385,1,0,0,100,26
"8","0173570-0000-7389","26/100",3.96895041734757e-10,2.41709080416467e-07,0,0,5.28727114210985,114.455404985811,"OTUB2;TAGLN;CDCA3;HJURP;KIF14;CDCA8;HMMR;KIF11;GRPR;CDH7;CDC20;CCNB2;PAK3;DLGAP5;SCARA3;PLK1;EN2;RHOB;CCNA2;TPX2;ASPM;CENPE;CENPF;KIF4A;KIF20A;SPC25",3.84615384615385,1,0,0,100,26
"9","CP-320650-01-4379","26/100",3.96895041734757e-10,2.41709080416467e-07,0,0,5.28727114210985,114.455404985811,"STEAP4;DPYS;FOXI1;HOXC13;HOXD11;NCALD;ZIC3;PCDHA5;KCNN2;ANKRD2;GABRD;SCARA3;TPSG1;PIPOX;A1CF;DLK2;EDAR;CYP26A1;ACTA1;ARC;CYP2W1;DAAM2;PCDHB3;BIRC7;CDH18;CES1",3.84615384615385,1,0,0,100,26
"10","paroxetine-4378","26/100",3.96895041734757e-10,2.41709080416467e-07,0,0,5.28727114210985,114.455404985811,"CNTFR;STEAP4;HIST1H2BO;SLC47A1;CCDC69;GSTP1;TMPRSS4;PLA2G3;SERPINA5;TRPM2;HEY2;DGCR9;ANKRD2;OR2B6;CGA;GABRD;CBX8;SCARA3;SPINK1;SERPINF1;CBX2;PIPOX;SERPINB5;DLK2;BIRC7;PADI1",15.3846153846154,4,0,0,100,26
"11","trifluridine-3559","25/100",2.09303024453805e-09,1.06221284910306e-06,0,0,5.01181842600054,100.159451858247,"TROAP;HJURP;KIF14;HMMR;HOXC11;CDC20;CHST11;HIST1H1E;SULT4A1;SLC12A8;DLGAP5;SGCG;CBX8;HIST1H2AI;UBE2C;PLK1;ZNF804A;TPX2;ASPM;CENPE;CENPF;KIF18B;ESPL1;KIF20A;HIST1H2BG",4,1,0,0,100,25
"12","fulvestrant-5969","25/100",2.09303024453805e-09,1.06221284910306e-06,0,0,5.01181842600054,100.159451858247,"RAB3B;COL17A1;PLAG1;KRT20;HOXC11;CHST11;CYP11A1;TCEAL2;DPF1;KCNMB2;NTF3;PCDHA5;HOXC4;SOSTDC1;ANKRD2;MYOZ1;PCDHGA8;EGF;KCNK12;PIPOX;CIDEC;CNKSR2;CYP24A1;VGF;F2RL2",4,1,0,0,100,25
"13","monobenzone-5312","24/100",1.04753937161223e-08,3.5441748739547e-06,0,0,4.743961352657,87.1666691953597,"CYP2J2;TOP2A;STIL;CDCA3;UBE2C;TROAP;PLK1;KIF14;TTK;HMMR;KIF11;CENPA;AURKB;CDC20;CCNB2;TPX2;ASPM;CENPE;CENPF;HIST3H2A;PTTG1;PPP1R3C;KIF20A;DLGAP5",4.16666666666667,1,0,0,100,24
"14","methotrexate-2041","24/100",1.04753937161223e-08,3.5441748739547e-06,0,0,4.743961352657,87.1666691953597,"TOP2A;CDCA3;SPAG5;UBE2C;PLK1;KIF14;ZNF804A;HMMR;KIF11;FOXM1;AURKB;CDC20;TRPM2;CCNB2;TPX2;ASPM;CENPE;MELK;KIFC1;WWC3;HIST1H1E;LONRF3;KIF20A;DLGAP5",4.16666666666667,1,0,0,100,24
"15","resveratrol-958","24/100",1.04753937161223e-08,3.5441748739547e-06,0,0,4.743961352657,87.1666691953597,"VAV3;ERCC6L;CDCA3;UBE2C;TROAP;PLK1;HJURP;KIF14;BUB1B;CDCA8;TTK;KIF11;MKI67;CENPA;CDC20;CCNA2;ASPM;ALDH1A3;CENPE;CENPF;KIFC1;GTSE1;DLGAP5;SPC25",4.16666666666667,1,0,0,100,24
"16","methotrexate-5000","24/100",1.04753937161223e-08,3.5441748739547e-06,0,0,4.743961352657,87.1666691953597,"TOP2A;STIL;CDCA3;UBE2C;TROAP;PLK1;HJURP;KIF14;BUB1B;CDCA8;TTK;HMMR;KIF11;SNHG3;CDC20;TDRD1;TPX2;ASPM;CENPE;CENPF;MEIS1;HIST1H1E;KIF20A;DLGAP5",4.16666666666667,1,0,0,100,24
"17","CP-690334-01-4380","24/100",1.04753937161223e-08,3.5441748739547e-06,0,0,4.743961352657,87.1666691953597,"CNTFR;POPDC3;CBX2;DNAJC22;KRT24;GATA4;DKK1;PCDH17;FOSL1;CYP26A1;GJA1;NT5E;TH;KCNS1;DAAM2;KIT;LY6D;HOXC4;HIST1H1E;RGS20;PRODH;CDH18;PCDHA6;ZNF750",4.16666666666667,1,0,0,100,24
"18","resveratrol-622","24/100",1.04753937161223e-08,3.5441748739547e-06,0,0,4.743961352657,87.1666691953597,"TOP2A;CHRNA5;UBE2C;TROAP;PLK1;KIF14;BUB1B;CDCA8;TTK;KIF11;HOXC11;CDC20;CCNA2;TPX2;ASPM;CENPE;MELK;KIF18B;KIF4A;P2RY2;ID1;KIF20A;DLGAP5;EZH2",8.33333333333333,2,0,0,100,24
"19","chlorogenic acid-4142","23/100",4.96940181594902e-08,1.26098571079706e-05,0,0,4.48340316160107,75.3991003559996,"OCA2;CPB2;LEFTY1;STEAP4;HIST1H2BO;ONECUT2;PIPOX;HOXD11;GNG13;HS3ST2;SLC2A9;NELL2;FADS2;CYP26A1;AKR1B10;KCNS1;DAAM2;NNAT;PDK4;HOXB2;FFAR2;ANKRD2;HOXB6",4.34782608695652,1,0,0,100,23
"20","trifluridine-6136","23/100",4.96940181594902e-08,1.26098571079706e-05,0,0,4.48340316160107,75.3991003559996,"TOP2A;GRAMD1B;CRABP2;CDCA3;UBE2C;TROAP;PLK1;KIF14;IFI6;RASAL1;HMMR;A1CF;CENPA;CDC20;ASPM;CENPE;CENPF;KIFC1;HIST1H1E;KIF20A;HIST1H4J;OR2B6;DLGAP5",4.34782608695652,1,0,0,100,23
"21","PNU-0251126-3689","23/100",4.96940181594902e-08,1.26098571079706e-05,0,0,4.48340316160107,75.3991003559996,"CHRM3;DUSP2;NPFFR1;APOBEC2;FGL1;PLK1;KIF14;CDCA8;HMMR;WFDC2;DLL3;DLK2;CDC20;CCNB2;CENPE;KCNS1;MAK;KIF4A;ZNF219;KIF20A;NKX3-2;DLGAP5;SPC25",0,0,0,0,100,23
"22","paroxetine-3821","23/100",4.96940181594902e-08,1.26098571079706e-05,0,0,4.48340316160107,75.3991003559996,"DUSP2;NPFFR1;STEAP4;NPY6R;ST6GALNAC2;APOBEC2;KRT4;PLAG1;SLC6A11;PLA2G7;A1CF;CHRDL1;LRRC2;NCALD;CDH7;SLC2A9;ALDH3A1;ADAMTS5;BCL2L10;DPF1;PDK4;COL21A1;PADI1",4.34782608695652,1,0,0,100,23
"23","dicycloverine-4581","23/100",4.96940181594902e-08,1.26098571079706e-05,0,0,4.48340316160107,75.3991003559996,"RGS17;ACE;HIST1H2AI;SERPIND1;BNC1;PLEKHB1;PLA2G7;CHRDL1;ELAVL3;AGMAT;ERN2;CPEB1;VGF;FLRT3;LHX6;SPEG;TSPAN2;NDP;SMPDL3B;PAK3;TSPAN1;EDIL3;NKX3-2",4.34782608695652,1,0,0,100,23
"24","methotrexate-3214","23/100",4.96940181594902e-08,1.26098571079706e-05,0,0,4.48340316160107,75.3991003559996,"NPFFR1;UBE2C;TROAP;PLK1;ARHGDIG;MATK;KIF14;CDCA8;HMMR;KIF11;CENPA;CDC20;TPX2;CYP26A1;ASPM;CENPE;CENPF;HIST1H1E;KIF20A;CLSPN;DLGAP5;CDKN3;SPC25",0,0,0,0,100,23
"25","exisulind-314","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"DGKG;PNMT;PTPRT;RASL12;CPB2;SPINK1;CAV3;TNNC2;PLA2G2A;KRT75;HPX;CYP26A1;IL6;HOXB9;TTR;MYH13;ZNF536;CTLA4;TK1;SLC39A2;PRSS2;GPR19",13.6363636363636,3,0,0,100,22
"26","betonicine-4767","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"CHRM3;SLC34A2;KCNF1;DUSP2;S100A2;PODXL2;TGFB1I1;PLEKHB1;CACNA1D;CAPG;TMC5;FADS2;CYP26A1;ASPHD1;KCNMB1;NNAT;TRIM36;PGR;FFAR2;HIST1H4E;NKX3-2;GPR19",0,0,0,0,100,22
"27","semustine-7487","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"UCN;ABCC4;ENTPD3;ONECUT2;GPR87;GSTP1;TMPRSS4;CST6;VAX2;ARC;C10ORF95;ETNK2;MAK;KRT15;HEY2;KIT;PCDHA5;B3GNT3;LONRF3;PCDHA9;PAK3;HOXC6",13.6363636363636,3,0,0,95.4545454545455,21
"28","terguride-4633","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"OTUB2;SCARA3;NPFFR1;SPINK1;PODXL2;PLA2G2A;OLFM4;CHRDL1;CIDEC;COMP;NYNRIN;SCIN;PPP1R3C;GSTA3;SFRP5;NCS1;NNAT;NTF3;TSPAN2;CGA;LIMS2;ASTN1",4.54545454545455,1,0,0,100,22
"29","guanabenz-4642","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"OCA2;SPINK1;ACE;PODXL2;HSPB6;EGF;TMPRSS4;OLFM4;SLC6A20;KRT20;ADAM2;HOXB9;PPP1R3C;GSTA3;TCEAL2;LY6D;DGCR9;TSPAN2;ANKRD2;MYOZ1;ASTN1;ABCG2",18.1818181818182,4,0,0,100,22
"30","pirinixic acid-368","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"CHRM2;CBX8;SLC24A2;POPDC2;IQCA1;POPDC3;SCARA3;LEFTY1;S100A2;S100A1;BNC1;HMGA2;TMEM40;CYP19A1;PCDH17;CRHBP;TRPM2;F7;AKR1B10;CAMKV;CTNNA3;SLC39A2",4.54545454545455,1,0,0,100,22
"31","nadolol-4139","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"GNAZ;IQCA1;UCN;OCA2;NPY6R;ENTPD3;SEMA6D;ZDHHC11;SERPINB5;GNG13;HS3ST2;SLC2A9;NELL2;AKR1B10;HLA-DMB;KCNS1;ETNK2;DPF1;PDK4;HAS2;GPRC5D;RGS9",0,0,0,0,100,22
"32","acacetin-3849","22/100",2.23137133241694e-07,3.99677982777033e-05,0,0,4.2298623134636,64.7823687342276,"UPK2;PLEKHA2;SERPINF1;TGFB1I1;HPN;ALOX15;HOXD11;WFDC2;TDRD1;MYLPF;TGFBR3;ERN2;TMEM158;ETNK2;PADI3;CNGB3;ANKRD2;BIRC7;HIST1H4D;HIST1H4E;PCDHB8;TLR2",9.09090909090909,2,0,0,100,22
