"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","tretinoin-849","28/100",1.225649916331e-11,7.47401318978644e-08,0,0,5.86223299228146,147.288397437917,"DLX2;RGS16;TMPRSS4;HOXC13;RAP1GAP;SERPINA5;PTGS1;CYP26B1;P2RY2;BDKRB2;PHLDA1;DUSP4;SERPINF1;KRT13;NAV2;ATP1B1;DHRS2;DLK2;CYP26A1;ALDH1A3;GPRC5B;SCNN1A;ID1;PADI3;SIK1;HOXB2;TRIM31;PTGES",3.57142857142857,1,0,0,100,28
"2","dexibuprofen-6712","27/100",7.15125723460783e-11,1.45361222055462e-07,0,0,5.57063252512521,130.136370007822,"GLP1R;NPY6R;RASGRF1;TMPRSS4;LMOD1;ATP2A3;PLA2G3;RAPGEFL1;GRM4;GJA3;APOB;PITX1;PRKG1;DUOX2;SLC17A4;SYCE1L;LRRN3;TPM1;PLA2G2A;KIF25;NRG1;CARTPT;A1CF;PAX2;PAX8;CNGB3;TCL6",0,0,0,0,100,27
"3","paromomycin-3017","27/100",7.15125723460783e-11,1.45361222055462e-07,0,0,5.57063252512521,130.136370007822,"ONECUT2;RASGRF1;LMOD1;ABHD6;SLC6A20;SCIN;SPOCK3;CCL18;MUC4;SLC12A8;TP63;SLC19A1;SGCG;OPCML;PCDHGA8;DUSP4;PDIA2;SVIL;EGLN3;WNT16;CACNB1;DBNDD1;GAL;SNPH;PALLD;HIST1H4E;HIST1H2BC",3.7037037037037,1,0,0,100,27
"4","clozapine-5630","26/100",3.96895041734757e-10,3.02533245562319e-07,0,0,5.28727114210985,114.455404985811,"COL17A1;PON3;HFE;HR;TRPM2;CNN1;EDNRA;KCNMB1;DPF1;CDK18;FGFBP1;SLC30A3;STAC;KCNAB1;HTR3A;CARTPT;PAX2;CACNB1;GNAO1;ANO1;KRT17;LHX2;ULBP1;VCL;HOXB5;ZNF695",0,0,0,0,100,26
"5","sulfafurazole-5257","26/100",3.96895041734757e-10,3.02533245562319e-07,0,0,5.28727114210985,114.455404985811,"ATP8A2;CEND1;PRDM12;CLEC3B;TRIM29;KCNMB2;SPOCK3;SPOCK1;ANKRD2;DRD2;SULT4A1;PRKCB;MCF2;FN1;TBX5;GNAO1;KCNS1;KRT17;MAP1A;PADI3;BCL2;NOX4;PDE7B;CDO1;HCN2;PAPPA2",7.69230769230769,2,0,0,100,26
"6","0173570-0000-3690","26/100",3.96895041734757e-10,3.02533245562319e-07,0,0,5.28727114210985,114.455404985811,"GRAMD1B;CCL11;PDE3B;PLA2G3;CALML3;HR;PCSK6;CYP3A5;CDH8;CYP3A7;CNN1;DMBT1;SOX15;SNCG;PTGDS;CDK18;ACE;PTGIS;LRRN3;ANXA10;CLDN8;KIF26B;DDIT4;GJB5;KCNMA1;PTGES",7.69230769230769,2,0,0,100,26
"7","haloperidol-5563","26/100",3.96895041734757e-10,3.02533245562319e-07,0,0,5.28727114210985,114.455404985811,"SNAP25;PON3;POPDC3;DLX2;STEAP4;PDE1C;TMPRSS4;CEND1;ATP10B;COL19A1;HPX;TRPM2;EDNRA;C1QTNF1;NNAT;PRND;CAV2;SEMA6D;FN1;ATP2B4;CDC25C;EHD2;FAM163A;SCNN1A;KIT;NOX1",7.69230769230769,2,0,0,100,26
"8","prednicarbate-5119","26/100",3.96895041734757e-10,3.02533245562319e-07,0,0,5.28727114210985,114.455404985811,"TMPRSS4;LMOD1;ATP1A2;HOXD13;PTPRH;CYP3A5;BDKRB2;SNCG;NOS1;PTGDS;MUC4;SCN1A;CYP2J2;TRPC7;DTNA;PRLR;PAX2;TBX2;MFAP5;DOK4;CEACAM5;SCNN1A;MAL;CHI3L1;CYP2E1;ULBP1",11.5384615384615,3,0,0,100,26
"9","etamsylate-4576","25/100",2.09303024453805e-09,8.50886562079536e-07,0,0,5.01181842600054,100.159451858247,"TMPRSS4;ATP10B;HIF3A;CDH8;AMOT;SOCS3;IL1RL1;HLA-DMB;CALD1;PENK;CLCA2;CGA;PCDHA9;SULT4A1;SDS;KRT2;BHMT2;TBX5;MMP9;ERN2;ASPHD1;BCL2;PCDHB3;TCL6;VCL",12,3,0,0,100,25
"10","tretinoin-1049","25/100",2.09303024453805e-09,8.50886562079536e-07,0,0,5.01181842600054,100.159451858247,"RET;RGS16;TMPRSS4;CACNA1D;HOXC13;AQP3;RAP1GAP;PTGS1;CYP26B1;P2RY2;BDKRB2;AOX1;PHLDA1;DUSP4;ABCC4;DHRS2;CYP26A1;ALDH1A3;GPRC5A;CEACAM6;SCNN1A;ID1;HOXB2;S100P;PTGES",8,2,0,0,100,25
"11","CP-690334-01-3823","25/100",2.09303024453805e-09,8.50886562079536e-07,0,0,5.01181842600054,100.159451858247,"ATP8A2;HFE;CALML3;SLC1A6;CLU;AQP3;ADRA1A;TRIM9;GRM7;CHN2;HIST1H3H;OR2B6;TGM4;KCNJ5;VWA5A;OLFM4;DHRS2;KITLG;HIST3H2A;DOK4;TRIM36;SCN4A;HIST1H2BG;BIRC7;HIST1H2BC",8,2,0,0,100,25
"12","tretinoin-991","25/100",2.09303024453805e-09,8.50886562079536e-07,0,0,5.01181842600054,100.159451858247,"RGS16;TMPRSS4;CACNA1D;HOXC13;RAP1GAP;SERPINA5;PTGS1;CYP26B1;BDKRB2;AOX1;PHLDA1;KRT13;NAV2;MEIS2;AJAP1;CYP26A1;ALDH1A3;MAG;VGF;SCNN1A;ID1;SIK1;HOXB2;TRIM31;PTGES",4,1,0,0,100,25
"13","thiamazole-4372","25/100",2.09303024453805e-09,8.50886562079536e-07,0,0,5.01181842600054,100.159451858247,"HPGD;VTCN1;HIF3A;FUT6;ITGB8;DRD2;PDLIM5;PHLDA1;BUB1;PCDHGA8;FGFBP1;WSCD2;EN2;KCNAB1;SORBS1;KRT75;MYT1;FMO5;REC8;CPEB1;HOXB9;CDH16;HCN2;DSC3;CCNJL",12,3,0,0,100,25
"14","tetrandrine-6082","25/100",2.09303024453805e-09,8.50886562079536e-07,0,0,5.01181842600054,100.159451858247,"HPGD;ARHGDIG;PLA2G3;ELAVL2;AFF2;ADAMTS5;DMBT1;COL10A1;HOXA7;PHLDA1;TP63;SLC16A5;TBX1;AVPR1B;STAC;EGF;PLA2G2A;NRG1;TUBA4B;DES;P2RX1;DDIT4;SLCO4C1;CD200;TLR2",8,2,0,0,96,24
"15","tanespimycin-5586","25/100",2.09303024453805e-09,8.50886562079536e-07,0,0,5.01181842600054,100.159451858247,"POPDC3;DLX2;HFE;ITGB3;HSPA4L;PLA2G3;LDB3;SLC7A11;TRPM2;CNN1;EDNRA;UPK1B;DNAJB5;DNAJB4;CA4;TIMP3;KCNJ5;APOBEC2;PTGIS;EGF;HSPA6;CPEB1;CPS1;DDIT4;CHST2",8,2,0,0,100,25
"16","(-)-isoprenaline-4495","24/100",1.04753937161223e-08,2.90358867640516e-06,0,0,4.743961352657,87.1666691953597,"PTGIS;SERPIND1;IL1R2;AKR1C2;ANXA10;ETV1;PTGS2;AQP3;SLC2A9;IL1RL1;GPRC5A;DMBT1;KRT17;TRIM29;CEACAM6;NPY;GPD1;NTF3;S100P;APOE;ABCG4;KRT6A;TNS1;PTGES",8.33333333333333,2,0,0,100,24
